,,,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,STANDARD
Player,Season,Week,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,FPTS
Tyreek Hill (MIA),2021,1,11,15,197,17.9,75,7,1,1,4,0,0,26.1
Amari Cooper (CLE),2021,1,13,17,139,10.7,28,2,2,0,0,0,0,25.9
Deebo Samuel (SF),2021,1,9,12,189,21.0,79,6,1,0,0,0,1,22.9
Tyler Lockett (SEA),2021,1,4,5,100,25.0,69,5,2,0,0,0,0,22.0
Corey Davis (NYJ),2021,1,5,7,97,19.4,35,4,2,0,0,0,0,21.7
Adam Thielen (CAR),2021,1,9,10,92,10.2,24,2,2,0,0,0,0,21.2
DeAndre Hopkins (ARI),2021,1,6,8,83,13.8,38,2,2,0,0,0,0,20.3
Christian Kirk (JAC),2021,1,5,5,70,14.0,26,2,2,0,0,0,0,19.0
Antonio Brown (FA),2021,1,5,7,121,24.2,47,5,1,1,6,0,0,18.7
Sterling Shepard (NYG),2021,1,7,9,113,16.1,37,3,1,0,0,0,0,17.3
Cooper Kupp (LAR),2021,1,7,10,108,15.4,56,4,1,0,0,0,0,16.8
CeeDee Lamb (DAL),2021,1,7,15,104,14.9,31,4,1,0,0,0,0,16.4
Zach Pascal (ARI),2021,1,4,5,43,10.8,16,0,2,0,0,0,0,16.3
Ja'Marr Chase (CIN),2021,1,5,7,101,20.2,50,4,1,1,-2,0,0,15.9
DJ Chark Jr. (FA),2021,1,3,12,86,28.7,41,4,1,0,0,0,0,14.6
Chris Godwin (TB),2021,1,9,13,105,11.7,24,1,1,0,0,0,1,14.5
Jarvis Landry (FA),2021,1,5,5,71,14.2,32,2,0,2,13,1,0,14.4
Mike Williams (LAC),2021,1,8,12,82,10.3,20,1,1,0,0,0,0,14.2
Van Jefferson (LAR),2021,1,2,3,80,40.0,67,4,1,0,0,0,0,14.0
Marvin Jones Jr. (FA),2021,1,5,9,77,15.4,33,2,1,0,0,0,0,13.7
Marquise Brown (ARI),2021,1,6,6,69,11.5,29,1,1,1,5,0,0,13.4
Deonte Harty (BUF),2021,1,2,2,72,36.0,55,4,1,0,0,0,0,13.2
Nelson Agholor (FA),2021,1,5,7,72,14.4,25,2,1,0,0,0,0,13.2
Brandin Cooks (DAL),2021,1,5,7,132,26.4,52,8,0,0,0,0,0,13.2
DeVonta Smith (PHI),2021,1,6,8,71,11.8,19,0,1,0,0,0,0,13.1
Jaylen Waddle (MIA),2021,1,4,5,61,15.3,36,2,1,0,0,0,0,12.1
DK Metcalf (SEA),2021,1,4,5,60,15.0,30,2,1,0,0,0,0,12.0
Tee Higgins (CIN),2021,1,4,5,58,14.5,28,1,1,0,0,0,0,11.8
Chosen Anderson (FA),2021,1,1,3,57,57.0,57,4,1,0,0,0,0,11.7
A.J. Brown (PHI),2021,1,4,8,49,12.3,19,0,1,0,0,0,0,10.9
Jalen Reagor (MIN),2021,1,6,6,49,8.2,23,1,1,0,0,0,0,10.9
Zay Jones (JAC),2021,1,2,2,46,23.0,31,2,1,0,0,0,0,10.6
