,,,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,STANDARD
Player,Season,Week,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,FPTS
Sammy Watkins (FA),2019,1,9,11,198,22.0,68,9,3,0,0,0,0,37.8
John Ross (FA),2019,1,7,12,158,22.6,55,8,2,0,0,0,0,27.8
DeSean Jackson (FA),2019,1,8,9,154,19.3,53,8,2,0,0,0,0,27.4
Marquise Brown (ARI),2019,1,4,5,147,36.8,83,7,2,0,0,0,0,26.7
DeAndre Hopkins (ARI),2019,1,8,13,111,13.9,38,3,2,0,0,0,0,23.1
Phillip Dorsett II (LV),2019,1,4,4,95,23.8,58,5,2,0,0,0,0,21.5
T.Y. Hilton (FA),2019,1,8,9,87,10.9,19,0,2,0,0,0,0,20.7
DJ Chark Jr. (CAR),2019,1,4,4,146,36.5,69,8,1,0,0,0,0,20.6
Terry McLaurin (WAS),2019,1,5,7,125,25.0,69,5,1,0,0,0,0,18.5
John Brown (FA),2019,1,7,10,123,17.6,38,3,1,0,0,0,0,18.3
Keenan Allen (LAC),2019,1,8,10,123,15.4,28,4,1,0,0,0,0,18.3
Larry Fitzgerald (FA),2019,1,8,13,113,14.1,45,6,1,0,0,0,0,17.3
Alshon Jeffery (FA),2019,1,5,7,49,9.8,16,0,1,1,2,1,0,17.1
Amari Cooper (CLE),2019,1,6,9,106,17.7,45,4,1,0,0,0,0,16.6
Tyrell Williams (FA),2019,1,6,7,105,17.5,43,4,1,0,0,0,0,16.5
Danny Amendola (FA),2019,1,7,13,104,14.9,47,3,1,0,0,0,0,16.4
Michael Gallup (DAL),2019,1,7,7,158,22.6,62,7,0,0,0,0,0,15.8
Chris Conley (TEN),2019,1,6,7,97,16.2,21,3,1,0,0,0,0,15.7
Emmanuel Sanders (FA),2019,1,5,7,86,17.2,53,5,1,0,0,0,0,14.6
Josh Gordon (FA),2019,1,3,4,73,24.3,44,4,1,0,0,0,0,13.3
Randall Cobb (FA),2019,1,4,5,69,17.3,25,1,1,0,0,0,0,12.9
Calvin Ridley (JAC),2019,1,4,6,64,16.0,20,2,1,0,0,0,0,12.4
Michael Thomas (NO),2019,1,10,13,123,12.3,24,1,0,0,0,0,0,12.3
Courtland Sutton (DEN),2019,1,7,8,120,17.1,30,4,0,0,0,0,0,12.0
Chris Godwin (TB),2019,1,3,6,53,17.7,28,1,1,0,0,0,0,11.3
Tyler Lockett (SEA),2019,1,1,2,44,44.0,44,3,1,0,0,0,0,10.4
Julian Edelman (FA),2019,1,6,11,83,13.8,24,1,0,1,8,0,0,10.4
Adam Thielen (CAR),2019,1,3,3,43,14.3,23,1,1,0,0,0,0,10.3
Jamison Crowder (NYG),2019,1,14,17,99,7.1,19,0,0,1,4,0,0,10.3
Kenny Golladay (FA),2019,1,4,9,42,10.5,13,0,1,0,0,0,0,10.2
Allen Robinson II (LAR),2019,1,7,13,102,14.6,27,3,0,0,0,0,0,10.2
Willie Snead IV (FA),2019,1,2,3,41,20.5,33,2,1,0,0,0,0,10.1
Ted Ginn Jr. (FA),2019,1,7,7,101,14.4,41,3,0,0,0,0,0,10.1
A.J. Brown (PHI),2019,1,3,4,100,33.3,51,7,0,0,0,0,0,10.0
Richie James Jr. (FA),2019,1,1,2,39,39.0,39,2,1,0,0,0,0,9.9
Kenny Stills (FA),2019,1,3,3,37,12.3,37,2,1,0,0,0,0,9.7
Trey Quinn (FA),2019,1,4,6,33,8.3,14,0,1,0,0,0,0,9.3
Dede Westbrook (FA),2019,1,5,6,30,6.0,15,0,1,1,2,0,0,9.2
Julio Jones (FA),2019,1,6,11,31,5.2,10,0,1,0,0,0,0,9.1
DK Metcalf (SEA),2019,1,4,6,89,22.3,42,4,0,0,0,0,0,8.9
Robert Woods (HOU),2019,1,8,13,70,8.8,22,1,0,2,16,0,0,8.6
Tre'Quan Smith (NO),2019,1,2,2,26,13.0,14,0,1,0,0,0,0,8.6
Preston Williams (CAR),2019,1,3,5,24,8.0,11,0,1,0,0,0,0,8.4
JuJu Smith-Schuster (NE),2019,1,6,8,78,13.0,26,1,0,0,0,0,0,7.8
