,,,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,STANDARD
Player,Season,Week,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,FPTS
Ja'Marr Chase (CIN),2022,3,6,10,29,4.8,10,0,1,2,-2,0,1,6.7
Ben Skowronek (LAR),2022,3,4,4,66,16.5,32,3,0,0,0,0,0,6.6
Jalen Guyton (FA),2022,3,2,3,64,32.0,54,4,0,0,0,0,0,6.4
Marquez Callaway (DEN),2022,3,1,1,4,4.0,4,0,1,0,0,0,0,6.4
Chris Moore (FA),2022,3,3,3,63,21.0,52,4,0,0,0,0,0,6.3
Equanimeous St. Brown (CHI),2022,3,1,2,20,20.0,20,1,0,2,43,0,0,6.3
Curtis Samuel (WAS),2022,3,7,10,48,6.9,16,0,0,3,13,0,0,6.1
Alec Pierce (IND),2022,3,3,5,61,20.3,30,2,0,0,0,0,0,6.1
Garrett Wilson (NYJ),2022,3,6,11,60,10.0,23,1,0,0,0,0,0,6.0
Kendrick Bourne (NE),2022,3,4,5,58,14.5,26,2,0,0,0,0,0,5.8
Randall Cobb (FA),2022,3,2,2,57,28.5,40,3,0,0,0,0,0,5.7
Noah Brown (HOU),2022,3,5,7,54,10.8,19,0,0,0,0,0,0,5.4
Sterling Shepard (NYG),2022,3,5,10,49,9.8,16,0,0,0,0,0,0,4.9
Elijah Moore (CLE),2022,3,4,9,49,12.3,18,0,0,0,0,0,0,4.9
Olamide Zaccheaus (FA),2022,3,2,2,49,24.5,26,2,0,0,0,0,0,4.9
Michael Thomas (NO),2022,3,5,5,49,9.8,16,0,0,0,0,0,0,4.9
Marquez Valdes-Scantling (KC),2022,3,4,7,48,12.0,24,1,0,0,0,0,0,4.8
Chase Claypool (CHI),2022,3,3,6,35,11.7,20,1,0,1,11,0,0,4.6
DJ Chark Jr. (CAR),2022,3,3,6,46,15.3,23,1,0,0,0,0,0,4.6
Nico Collins (HOU),2022,3,2,4,41,20.5,22,1,0,0,0,0,0,4.1
Richie James Jr. (FA),2022,3,4,5,36,9.0,16,0,0,1,4,0,0,4.0
Nick Westbrook-Ikhine (TEN),2022,3,3,3,40,13.3,15,0,0,0,0,0,0,4.0
George Pickens (PIT),2022,3,3,7,39,13.0,36,2,0,0,0,0,0,3.9
Rashod Bateman (BAL),2022,3,2,4,59,29.5,35,3,0,0,0,0,1,3.9
Gabe Davis (BUF),2022,3,3,6,37,12.3,18,0,0,0,0,0,0,3.7
Tyreek Hill (MIA),2022,3,2,4,33,16.5,22,1,0,0,0,0,0,3.3
Marquise Goodwin (CLE),2022,3,2,5,31,15.5,23,1,0,0,0,0,0,3.1
Corey Davis (NYJ),2022,3,2,5,27,13.5,22,1,0,0,0,0,0,2.7
Kendall Hinton (DEN),2022,3,1,1,27,27.0,27,1,0,0,0,0,0,2.7
Brandon Powell (MIN),2022,3,3,3,27,9.0,16,0,0,0,0,0,0,2.7
