,,,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,STANDARD
Player,Season,Week,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,FPTS
Davante Adams (LV),2020,1,14,17,156,11.1,40,4,2,0,0,0,0,27.6
Adam Thielen (CAR),2020,1,6,8,110,18.3,37,3,2,0,0,0,0,25.0
Calvin Ridley (JAC),2020,1,9,12,130,14.4,22,1,2,1,-1,0,0,24.9
Darius Slayton (NYG),2020,1,6,9,102,17.0,41,3,2,0,0,0,0,22.2
Chosen Anderson (FA),2020,1,6,8,114,19.0,75,4,1,0,0,0,0,19.4
JuJu Smith-Schuster (NE),2020,1,6,6,69,11.5,17,0,2,0,0,0,0,18.9
Jamison Crowder (NYG),2020,1,7,13,115,16.4,69,5,1,0,0,0,0,17.5
Julio Jones (FA),2020,1,9,12,157,17.4,44,4,0,0,0,0,0,15.7
Marquez Valdes-Scantling (KC),2020,1,4,6,96,24.0,45,5,1,0,0,0,0,15.6
DK Metcalf (SEA),2020,1,4,8,95,23.8,38,4,1,0,0,0,0,15.5
DeAndre Hopkins (ARI),2020,1,14,16,151,10.8,33,2,0,0,0,0,0,15.1
Sammy Watkins (FA),2020,1,7,9,82,11.7,19,0,1,1,3,0,0,14.5
Allen Lazard (NYJ),2020,1,4,4,63,15.8,38,2,1,1,19,0,0,14.2
Anthony Miller (PIT),2020,1,4,6,76,19.0,27,1,1,0,0,0,0,13.6
John Brown (FA),2020,1,6,10,70,11.7,20,1,1,0,0,0,0,13.0
Willie Snead IV (FA),2020,1,4,4,64,16.0,20,1,1,0,0,0,0,12.4
Robert Woods (HOU),2020,1,6,8,105,17.5,31,5,0,1,14,0,0,11.9
Russell Gage (TB),2020,1,9,12,114,12.7,24,1,0,0,0,0,0,11.4
William Fuller V (FA),2020,1,8,10,112,14.0,31,3,0,0,0,0,0,11.2
Laviska Shenault Jr. (CAR),2020,1,3,4,37,12.3,18,0,1,2,10,0,0,10.7
Keelan Cole Sr. (LV),2020,1,5,5,47,9.4,22,1,1,0,0,0,0,10.7
Tyreek Hill (MIA),2020,1,5,6,46,9.2,15,0,1,0,0,0,0,10.6
Corey Davis (NYJ),2020,1,7,8,101,14.4,23,2,0,0,0,0,0,10.1
Marquise Brown (ARI),2020,1,5,6,101,20.2,47,4,0,0,0,0,0,10.1
James Washington (FA),2020,1,2,3,34,17.0,21,1,1,0,0,0,0,9.4
Tyler Lockett (SEA),2020,1,8,8,92,11.5,20,1,0,0,0,0,0,9.2
Stefon Diggs (BUF),2020,1,8,9,86,10.8,22,1,0,0,0,0,0,8.6
DJ Chark Jr. (CAR),2020,1,3,3,25,8.3,12,0,1,0,0,0,0,8.5
Nelson Agholor (BAL),2020,1,1,1,23,23.0,23,1,1,0,0,0,0,8.3
Amari Cooper (CLE),2020,1,10,14,81,8.1,14,0,0,0,0,0,0,8.1
Danny Amendola (FA),2020,1,5,7,81,16.2,32,2,0,0,0,0,0,8.1
Julian Edelman (FA),2020,1,5,7,57,11.4,16,0,0,1,23,0,0,8.0
Parris Campbell (NYG),2020,1,6,9,71,11.8,21,1,0,1,9,0,0,8.0
Chris Godwin (TB),2020,1,6,7,79,13.2,29,2,0,0,0,0,0,7.9
Scotty Miller (FA),2020,1,5,6,73,14.6,37,2,0,1,6,0,0,7.9
Emmanuel Sanders (FA),2020,1,3,5,15,5.0,6,0,1,0,0,0,0,7.5
Allen Robinson II (LAR),2020,1,5,9,74,14.8,22,2,0,1,-1,0,0,7.3
Mike Williams (LAC),2020,1,4,9,69,17.3,37,2,0,0,0,0,0,6.9
Henry Ruggs III (FA),2020,1,3,5,55,18.3,45,3,0,2,11,0,0,6.6
Mike Evans (TB),2020,1,1,4,2,2.0,2,0,1,0,0,0,0,6.2
Jarvis Landry (FA),2020,1,5,6,61,12.2,20,1,0,0,0,0,0,6.1
Terry McLaurin (WAS),2020,1,5,7,61,12.2,21,1,0,0,0,0,0,6.1
Javon Wims (ARI),2020,1,1,2,1,1.0,1,0,1,0,0,0,0,6.1
