Player,TEAM,POS,DPCHT,G,pass_CMP,pass_CMP_mean,pass_ATT,pass_ATT_mean,pass_PCT,pass_YDS,pass_YDS_mean,pass_Y/A,pass_TD,pass_TD_mean,pass_INT,pass_INT_mean,pass_SACKS,pass_SACKS_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_TD,rush_TD_mean,FL,FL_mean,OPP,OPP_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE
Brett Rypien,FA,QB,8.0,3.13,36.74,9.42,61.03,15.98,0.45,339.87,87.49,4.28,1.49,0.39,2.97,0.78,5.23,1.32,4.36,1.13,3.97,0.95,0.65,0.0,0.0,0.64,0.16,65.38,17.12,0.55,15.67,4.05,4.06,3.36,4.59,3.03,0.1,0.0,0.0,0.0,0.0,0.0,3.56,15.67,4.05,4.06,3.36,4.59,3.03,0.1,0.0,0.0,0.0,0.0,0.0,3.56,15.67,4.05,4.06,3.36,4.59,3.03,0.1,0.0,0.0,0.0,0.0,0.0,3.56,3
Nick Foles,IND,QB,1.0,2.52,44.24,16.58,69.83,26.12,0.63,410.98,158.07,5.87,1.35,0.39,3.33,1.34,8.0,3.72,3.95,1.82,7.9,4.67,3.19,0.1,0.01,0.08,0.02,73.78,27.93,0.46,20.26,7.51,7.6,1.2,5.82,1.61,0.24,0.58,0.1,0.0,0.34,0.03,3.52,20.26,7.51,7.6,1.2,5.82,1.61,0.24,0.58,0.1,0.0,0.34,0.03,3.52,20.26,7.51,7.6,1.2,5.82,1.61,0.24,0.58,0.1,0.0,0.34,0.03,3.52,4
Jake Fromm,WAS,QB,3.0,3.0,27.0,9.0,60.0,20.0,0.45,210.0,70.0,3.5,1.0,0.33,3.0,1.0,6.0,2.0,8.0,2.67,65.0,21.67,8.12,0.0,0.0,1.0,0.33,68.0,22.67,0.56,13.9,4.63,3.3,4.26,5.28,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42,13.9,4.63,3.3,4.26,5.28,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42,13.9,4.63,3.3,4.26,5.28,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42,2
Jeff Driskel,FA,QB,13.0,6.32,19.25,3.97,30.2,6.5,0.67,180.52,40.38,5.64,1.42,0.3,0.47,0.14,3.65,0.86,18.27,2.89,72.83,11.94,4.03,0.05,0.01,0.0,0.0,48.47,9.37,0.79,20.62,4.08,3.27,4.31,4.36,6.03,0.0,0.1,0.13,0.05,0.22,0.12,3.14,20.62,4.08,3.27,4.31,4.36,6.03,0.0,0.1,0.13,0.05,0.22,0.12,3.14,20.62,4.08,3.27,4.31,4.36,6.03,0.0,0.1,0.13,0.05,0.22,0.12,3.14,4
Nick Mullens,MIN,QB,2.0,3.77,38.65,10.24,54.9,14.45,0.75,414.24,94.7,7.46,2.04,0.52,1.8,0.27,1.87,0.19,3.47,0.76,5.6,1.25,1.28,0.0,0.0,0.39,0.04,58.37,15.21,0.58,22.94,5.67,5.75,2.29,3.82,3.08,0.39,0.2,0.1,0.0,0.04,0.03,3.09,22.94,5.67,5.75,2.29,3.82,3.08,0.39,0.2,0.1,0.0,0.04,0.03,3.09,22.94,5.67,5.75,2.29,3.82,3.08,0.39,0.2,0.1,0.0,0.04,0.03,3.09,4
Malik Willis,TEN,QB,2.0,7.0,31.0,4.43,61.0,8.71,0.51,276.0,39.43,4.52,0.0,0.0,3.0,0.43,10.0,1.43,27.0,3.86,123.0,17.57,4.56,1.0,0.14,2.0,0.29,88.0,12.57,0.84,22.3,3.19,1.6,4.97,3.49,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.97,22.3,3.19,1.6,4.97,3.49,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.97,22.3,3.19,1.6,4.97,3.49,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.97,1
Anthony Brown,BAL,QB,3.0,2.0,22.0,11.0,49.0,24.5,0.45,302.0,151.0,6.16,0.0,0.0,2.0,1.0,5.0,2.5,3.0,1.5,-5.0,-2.5,-1.67,0.0,0.0,1.0,0.5,52.0,26.0,0.44,7.5,3.75,3.75,5.16,4.07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71,7.5,3.75,3.75,5.16,4.07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71,7.5,3.75,3.75,5.16,4.07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71,1
Trace McSorley,FA,QB,9.0,3.56,28.0,5.69,52.09,10.71,0.36,262.56,55.17,3.94,0.1,0.05,3.08,0.62,1.85,0.37,9.77,2.13,39.28,8.39,2.88,0.0,0.0,1.23,0.25,61.86,12.85,0.57,9.36,2.15,2.0,1.42,3.03,3.56,0.0,0.0,0.0,0.0,0.0,0.0,2.41,9.36,2.15,2.0,1.42,3.03,3.56,0.0,0.0,0.0,0.0,0.0,0.0,2.41,9.36,2.15,2.0,1.42,3.03,3.56,0.0,0.0,0.0,0.0,0.0,0.0,2.41,4
Josh Johnson,FA,QB,12.0,1.86,17.0,4.79,25.71,7.5,0.55,189.43,52.71,5.72,1.43,0.36,0.57,0.14,0.86,0.21,4.0,2.07,10.14,4.14,1.96,0.0,0.0,0.0,0.0,29.71,9.57,0.39,14.33,3.96,3.67,3.6,3.0,1.29,0.0,0.0,0.29,0.29,0.29,0.29,2.37,14.33,3.96,3.67,3.6,3.0,1.29,0.0,0.0,0.29,0.29,0.29,0.29,2.37,14.33,3.96,3.67,3.6,3.0,1.29,0.0,0.0,0.29,0.29,0.29,0.29,2.37,2
Bryce Perkins,LAR,QB,3.0,5.0,19.0,3.8,34.0,6.8,0.56,161.0,32.2,4.74,1.0,0.2,2.0,0.4,6.0,1.2,19.0,3.8,90.0,18.0,4.74,0.0,0.0,0.0,0.0,53.0,10.6,0.72,17.5,3.5,0.5,4.73,3.88,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,17.5,3.5,0.5,4.73,3.88,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,17.5,3.5,0.5,4.73,3.88,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,1
