Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE
Laviska Shenault Jr. ,CAR,WR,3.0,13.87,39.41,2.77,54.26,3.76,394.62,27.73,10.04,61.51,15.83,9.18,0.66,1.15,0.09,10.44,0.75,61.51,4.53,6.1,0.64,0.05,49.85,3.52,64.69,4.51,0.26,0.02,0.0,1.0,55.87,4.01,2.77,4.21,4.48,11.36,0.56,1.21,0.64,0.1,0.17,0.07,3.82,75.57,5.39,4.23,4.59,6.07,10.74,0.97,1.41,0.64,0.1,0.21,0.08,5.21,95.28,6.77,5.69,5.08,7.65,8.87,2.59,1.41,0.9,0.1,0.23,0.12,6.6,3
Kendrick Bourne ,NE,WR,5.0,16.15,41.11,2.54,55.82,3.46,544.11,33.55,13.03,49.73,18.44,12.04,0.73,2.24,0.13,6.65,0.41,54.8,3.31,6.57,0.0,0.0,47.76,2.94,62.47,3.86,0.25,0.01,0.0,1.0,74.35,4.57,2.82,4.84,4.86,12.92,1.2,0.29,0.63,1.11,0.16,0.16,3.96,94.91,5.83,4.01,5.48,6.22,11.44,2.3,0.92,0.38,1.11,0.2,0.15,5.13,115.46,7.11,5.51,6.17,7.58,10.62,3.02,1.01,0.38,1.11,0.21,0.16,6.42,4
Sammy Watkins ,FA,WR,11.0,9.79,22.2,2.21,37.66,3.74,365.17,37.1,17.73,52.26,21.98,12.58,1.32,0.56,0.05,0.18,0.02,0.77,0.06,0.53,0.0,0.0,22.37,2.23,37.84,3.75,1.0,0.1,0.05,0.95,37.94,3.81,3.93,3.57,4.41,7.88,1.28,0.49,0.1,0.04,0.07,0.02,3.98,49.04,4.91,5.19,4.11,5.65,7.72,0.82,1.11,0.1,0.04,0.14,0.02,5.1,60.14,6.02,6.12,4.68,6.88,7.23,1.17,1.25,0.1,0.04,0.16,0.02,6.04,4
Wan'Dale Robinson ,NYG,WR,2.0,6.0,23.0,3.83,31.0,5.17,227.0,37.83,9.87,19.0,13.0,0.0,0.0,1.0,0.17,2.0,0.33,-1.0,-0.17,-0.5,0.0,0.0,25.0,4.17,33.0,5.5,0.0,0.0,0.0,0.78,28.6,4.77,3.25,4.37,5.24,4.0,0.0,2.0,0.0,0.0,0.5,0.0,3.62,40.1,6.68,5.25,5.6,7.11,3.0,1.0,2.0,0.0,0.0,0.5,0.0,4.98,51.6,8.6,7.25,6.95,8.92,3.0,1.0,1.0,1.0,0.0,0.5,0.33,6.39,1
Chosen Anderson ,FA,WR,4.0,13.78,36.78,2.51,71.37,4.93,440.16,30.66,12.82,71.24,17.93,9.12,0.65,2.34,0.15,1.17,0.07,10.5,0.62,3.48,0.0,0.0,37.95,2.58,72.54,5.0,0.71,0.06,0.03,1.0,57.95,3.96,2.73,4.58,4.29,10.39,1.04,1.17,1.0,0.18,0.2,0.13,3.79,76.34,5.21,3.93,5.26,5.63,8.99,2.25,1.27,1.1,0.18,0.24,0.2,4.97,94.73,6.47,5.27,6.0,6.96,8.74,2.32,0.77,1.78,0.18,0.28,0.37,6.24,4
Mack Hollins ,ATL,WR,2.0,16.62,40.52,2.4,68.15,4.05,502.07,29.82,12.96,57.09,14.7,11.79,0.7,3.55,0.22,2.46,0.15,24.63,1.45,6.16,0.0,0.0,42.98,2.55,70.61,4.19,0.1,0.01,0.01,1.0,73.88,4.4,2.47,4.74,4.66,10.84,3.07,2.09,0.0,0.62,0.21,0.06,3.74,94.14,5.6,3.72,5.44,5.89,10.18,3.72,2.09,0.0,0.62,0.21,0.07,4.87,114.39,6.8,5.1,6.21,7.13,9.81,3.48,2.71,0.0,0.62,0.28,0.07,6.08,4
A.J. Green ,FA,WR,5.0,13.56,32.71,2.26,61.85,4.29,405.71,27.45,11.02,61.01,15.18,9.85,0.65,2.17,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.71,2.26,61.85,4.29,0.0,0.0,0.0,0.97,54.81,3.76,2.72,4.09,4.15,9.62,1.8,1.28,0.86,0.0,0.18,0.09,3.64,71.16,4.89,3.91,4.66,5.38,8.66,2.66,1.03,1.21,0.0,0.19,0.15,4.74,87.52,6.02,5.13,5.29,6.59,8.56,2.76,0.69,1.55,0.0,0.19,0.21,5.85,4
Olamide Zaccheaus ,FA,WR,13.0,15.64,34.35,2.15,53.97,3.39,459.73,28.88,14.29,48.47,17.64,11.68,0.73,2.72,0.17,1.58,0.1,4.8,0.28,2.65,0.0,0.0,35.93,2.25,55.54,3.49,0.62,0.04,0.01,1.0,61.57,3.87,2.55,3.87,4.42,12.45,1.58,1.23,0.38,0.0,0.11,0.03,3.55,78.74,4.94,3.77,4.31,5.65,11.83,1.48,1.95,0.38,0.0,0.17,0.03,4.68,95.92,6.02,4.99,4.82,6.89,11.73,1.95,1.62,0.34,0.0,0.14,0.03,5.77,4
T.Y. Hilton ,FA,WR,10.0,6.18,17.27,2.55,27.11,3.84,250.85,39.97,15.97,51.13,27.79,7.88,1.45,1.43,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.27,2.55,27.11,3.84,0.0,0.0,0.0,0.72,33.85,4.77,4.65,2.95,5.84,4.31,0.83,0.71,0.2,0.14,0.12,0.05,3.75,42.49,6.04,5.57,3.31,7.42,3.6,1.3,0.88,0.18,0.24,0.17,0.07,4.61,51.12,7.32,6.35,3.79,8.9,3.4,1.39,0.98,0.18,0.24,0.18,0.08,5.39,4
Tre'Quan Smith ,NO,WR,3.0,10.43,23.64,2.26,34.85,3.34,317.4,30.39,13.72,42.25,15.17,6.56,0.63,1.95,0.18,0.1,0.01,0.3,0.02,0.3,0.0,0.0,23.74,2.27,34.95,3.34,0.0,0.0,0.0,0.97,43.44,4.13,2.53,4.22,4.58,7.53,0.95,1.62,0.34,0.0,0.24,0.05,3.56,55.26,5.26,3.53,4.87,5.8,6.81,1.32,1.96,0.34,0.0,0.29,0.05,4.55,67.08,6.39,4.5,5.55,7.02,6.37,1.76,1.96,0.34,0.0,0.29,0.07,5.52,4
