Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Cooper Kupp,LAR,WR,1.0,17,145,8.53,191,11.24,1947,114.53,13.43,59,37.35,57,3.35,16,0.94,4,0.24,18,1.06,4.5,0,0.0,149,8.76,195,11.47,0,0.0,0.0,1.0,294.5,17.32,17.5,6.69,17.12,0,2,4,3,8,7.5,11.0,23.23,367.0,21.59,21.0,7.02,21.71,0,1,2,4,10,16.0,14.0,31.87,439.5,25.85,24.5,7.47,26.35,0,1,1,4,11,16.0,15.0,35.78
Deebo Samuel,SF,WR,1.0,16,77,4.81,121,7.56,1405,87.81,18.25,83,40.44,53,3.31,6,0.38,59,3.69,365,22.81,6.19,8,0.5,136,8.5,180,11.25,2,0.12,0.01,1.0,262.0,16.38,15.15,6.61,16.24,1,1,3,5,6,7.0,11.0,21.5,300.5,18.78,17.2,7.09,18.84,0,2,3,4,7,7.0,11.0,23.59,339.0,21.19,19.85,7.76,21.39,0,2,4,4,6,7.0,10.0,25.68
Justin Jefferson,MIN,WR,1.0,17,108,6.35,167,9.82,1616,95.06,14.96,56,31.41,45,2.65,10,0.59,6,0.35,14,0.82,2.33,0,0.0,114,6.71,173,10.18,1,0.06,0.01,1.0,222.4,13.08,12.5,6.67,12.94,2,3,4,6,2,2.4,4.0,14.67,276.4,16.26,15.6,7.41,16.13,1,3,2,8,3,3.25,11.0,19.67,330.4,19.44,19.4,8.25,19.32,1,1,4,6,5,7.5,11.0,24.94
Davante Adams,LV,WR,1.0,16,123,7.69,169,10.56,1553,97.06,12.63,59,32.12,37,2.31,11,0.69,0,0.0,0,0.0,0.0,0,0.0,123,7.69,169,10.56,0,0.0,0.0,1.0,221.3,13.83,11.25,7.69,13.2,3,3,3,1,6,1.67,2.33,13.48,282.8,17.68,15.25,8.66,16.87,0,4,4,2,6,3.0,8.0,19.01,344.3,21.52,19.0,9.68,20.55,0,3,4,3,6,4.33,9.0,23.27
Stefon Diggs,BUF,WR,1.0,17,103,6.06,164,9.65,1225,72.06,11.89,61,25.82,24,1.41,10,0.59,0,0.0,0,0.0,0.0,0,0.0,103,6.06,164,9.65,0,0.0,0.0,1.0,182.5,10.74,10.0,4.52,11.71,2,5,5,4,1,1.43,2.5,12.07,234.0,13.76,12.5,5.05,15.03,0,4,7,5,1,3.25,6.0,16.48,285.5,16.79,15.9,5.71,18.3,0,3,7,4,3,4.67,7.0,20.44
Diontae Johnson,PIT,WR,1.0,16,107,6.69,169,10.56,1161,72.56,10.85,50,28.44,27,1.69,8,0.5,5,0.31,53,3.31,10.6,0,0.0,112,7.0,174,10.88,2,0.12,0.02,1.0,167.4,10.46,9.6,4.51,11.41,2,4,7,2,1,1.67,1.5,11.75,220.9,13.81,12.95,4.8,15.27,0,4,9,2,1,3.0,3.0,16.03,274.4,17.15,15.55,5.27,19.07,0,2,7,4,3,7.0,7.0,21.92
Keenan Allen,LAC,WR,1.0,16,106,6.62,157,9.81,1138,71.12,10.74,42,22.75,19,1.19,6,0.38,0,0.0,0,0.0,0.0,0,0.0,106,6.62,157,9.81,0,0.0,0.0,1.0,151.8,9.49,10.2,3.85,10.77,4,2,7,3,0,1.67,0.75,11.44,204.8,12.8,13.3,4.11,14.72,1,4,6,5,0,2.2,5.0,15.94,257.8,16.11,16.65,4.62,18.52,1,3,4,6,2,3.0,8.0,20.31
Chris Godwin,TB,WR,1.0,14,98,7.0,127,9.07,1103,78.79,11.26,44,23.93,19,1.36,5,0.36,4,0.29,21,1.5,5.25,1,0.07,102,7.29,131,9.36,2,0.14,0.02,1.0,144.4,10.31,11.35,5.67,10.63,5,1,3,4,1,1.33,1.0,11.74,193.4,13.81,14.85,6.6,14.11,2,4,1,4,3,1.33,3.5,15.51,242.4,17.31,17.7,7.71,17.51,1,3,3,3,4,2.5,7.0,19.78
Mike Evans,TB,WR,3.0,16,74,4.62,114,7.12,1035,64.69,13.99,46,27.44,30,1.88,14,0.88,1,0.06,10,0.62,10.0,0,0.0,75,4.69,115,7.19,0,0.0,0.0,1.0,188.5,11.78,10.75,7.71,11.24,4,1,5,2,4,2.2,1.5,12.09,225.5,14.09,13.3,8.34,13.57,4,0,6,2,4,3.0,1.5,14.69,262.5,16.41,15.8,9.07,15.93,4,0,4,4,4,3.0,2.0,17.0
Hunter Renfrow,LV,WR,3.0,17,103,6.06,128,7.53,1038,61.06,10.08,54,21.0,14,0.82,9,0.53,3,0.18,3,0.18,1.0,0,0.0,106,6.24,131,7.71,1,0.06,0.01,1.0,156.1,9.18,10.2,4.07,10.28,6,1,6,4,0,1.43,0.67,10.87,207.6,12.21,13.5,4.92,13.42,3,4,6,3,1,1.43,1.33,13.93,259.1,15.24,16.5,5.92,16.46,3,2,4,7,1,2.4,2.67,17.47
