Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Michael Thomas ,NO,WR,1.0,16,149,9.31,185,11.56,1725,107.81,11.58,49,26.31,25,1.56,9,0.56,1,0.06,-9,-0.56,-9.0,0,0.0,150,9.38,186,11.62,0,0.0,0.0,1.0,225.6,14.1,14.15,6.54,14.02,2,2,4,4,4,3.0,4.0,16.34,300.1,18.76,19.35,7.47,18.57,1,1,4,2,8,7.0,10.0,24.23,374.6,23.41,23.85,8.49,23.11,1,1,1,3,10,7.0,13.0,29.05
Davante Adams ,LV,WR,1.0,12,83,6.92,127,10.58,997,83.08,12.01,58,26.33,22,1.83,5,0.42,0,0.0,0,0.0,0.0,0,0.0,83,6.92,127,10.58,1,0.08,0.01,1.0,129.7,10.81,11.2,5.51,11.22,4,0,4,2,2,2.0,1.0,12.4,171.2,14.27,15.55,6.15,14.83,2,2,1,5,2,2.0,3.5,16.6,212.7,17.73,19.05,6.97,18.38,1,3,0,3,5,2.0,8.0,20.9
Chris Godwin ,TB,WR,2.0,14,86,6.14,121,8.64,1333,95.21,15.5,71,31.43,38,2.71,9,0.64,1,0.07,8,0.57,8.0,0,0.0,87,6.21,122,8.71,0,0.0,0.0,1.0,190.1,13.58,11.0,8.8,12.54,2,4,3,1,4,1.33,2.5,12.75,233.1,16.65,12.7,9.74,15.43,1,4,4,0,5,1.8,5.0,15.68,276.1,19.72,15.2,10.77,18.34,1,2,5,1,5,3.67,6.0,19.3
Julio Jones ,FA,WR,1.0,15,99,6.6,157,10.47,1394,92.93,14.08,54,32.27,34,2.27,6,0.4,2,0.13,-3,-0.2,-1.5,0,0.0,101,6.73,159,10.6,0,0.0,0.0,1.0,175.1,11.67,9.1,6.5,11.62,2,7,1,2,3,0.67,2.5,11.34,224.6,14.97,12.1,7.58,14.77,1,4,5,0,5,2.0,5.0,15.4,274.1,18.27,15.1,8.74,17.91,1,4,4,1,5,2.0,6.0,18.41
DeAndre Hopkins ,ARI,WR,1.0,15,104,6.93,150,10.0,1165,77.67,11.2,43,25.13,24,1.6,7,0.47,2,0.13,18,1.2,9.0,0,0.0,106,7.07,152,10.13,0,0.0,0.0,1.0,165.5,11.03,10.6,6.47,11.0,3,4,4,1,3,1.14,1.33,11.64,217.5,14.5,13.1,6.84,14.68,3,1,5,2,4,2.75,2.0,15.39,269.5,17.97,16.5,7.3,18.42,1,2,5,3,4,4.0,7.0,20.48
Julian Edelman ,FA,WR,2.0,16,100,6.25,153,9.56,1117,69.81,11.17,44,23.06,19,1.19,6,0.38,8,0.5,27,1.69,3.38,0,0.0,108,6.75,161,10.06,1,0.06,0.01,1.0,156.3,9.77,9.6,5.48,10.15,4,4,4,3,1,1.0,1.0,10.64,206.3,12.89,12.85,6.26,13.34,3,2,5,3,3,2.2,2.0,14.39,256.3,16.02,16.65,7.14,16.51,3,1,4,5,3,3.0,2.67,18.1
Kenny Golladay ,FA,WR,10.0,16,65,4.06,116,7.25,1190,74.38,18.31,75,36.56,43,2.69,11,0.69,0,0.0,0,0.0,0.0,0,0.0,65,4.06,116,7.25,1,0.06,0.02,1.0,183.0,11.44,11.75,6.95,11.2,4,2,5,1,4,1.67,1.25,12.2,215.5,13.47,13.9,7.65,13.26,4,2,4,1,5,1.67,1.5,14.15,248.0,15.5,15.9,8.4,15.34,4,2,2,3,5,1.67,2.0,16.12
DJ Moore ,CHI,WR,1.0,15,87,5.8,135,9.0,1175,78.33,13.51,52,28.13,29,1.93,4,0.27,6,0.4,40,2.67,6.67,0,0.0,93,6.2,141,9.4,1,0.07,0.01,1.0,143.5,9.57,9.1,5.7,9.84,4,4,6,0,1,0.88,0.25,9.97,187.0,12.47,12.9,6.22,12.92,3,2,6,3,1,2.0,1.33,13.89,230.5,15.37,15.6,6.94,15.95,2,1,5,6,1,4.0,3.5,18.01
Cooper Kupp ,LAR,WR,2.0,16,94,5.88,134,8.38,1161,72.56,12.35,66,25.31,33,2.06,10,0.62,2,0.12,4,0.25,2.0,0,0.0,96,6.0,136,8.5,0,0.0,0.0,1.0,176.5,11.03,10.3,7.79,10.5,6,1,4,3,2,1.29,0.83,11.06,223.5,13.97,12.8,8.77,13.29,4,2,3,3,4,1.67,1.75,13.86,270.5,16.91,15.3,9.83,16.09,2,4,3,2,5,1.67,3.5,16.68
Calvin Ridley ,JAC,WR,2.0,13,63,4.85,93,7.15,866,66.62,13.75,36,21.92,16,1.23,7,0.54,2,0.15,34,2.62,17.0,0,0.0,65,5.0,95,7.31,0,0.0,0.0,1.0,134.0,10.31,10.8,6.05,10.45,4,2,2,4,1,1.17,1.25,11.19,165.5,12.73,13.1,6.92,12.85,4,0,4,3,2,2.25,1.25,13.85,197.0,15.15,16.4,7.83,15.26,4,0,3,3,3,2.25,1.5,16.48
