Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Cooper Kupp ,LAR,WR,1.0,9,75,8.33,98,10.89,812,90.22,10.83,75,30.11,18,2.0,6,0.67,9,1.0,52,5.78,5.78,1,0.11,84,9.33,107,11.89,1,0.11,0.01,1.0,126.4,14.04,14.9,6.52,13.97,1,0,3,1,4,8.0,5.0,19.43,163.9,18.21,19.2,7.73,17.88,1,0,2,2,4,8.0,6.0,23.37,201.4,22.38,25.9,9.16,21.67,1,0,1,1,6,8.0,7.0,28.35
Justin Jefferson ,MIN,WR,1.0,17,128,7.53,184,10.82,1809,106.41,14.13,64,30.24,49,2.88,8,0.47,4,0.24,24,1.41,6.0,1,0.06,132,7.76,188,11.06,0,0.0,0.0,1.0,240.6,14.15,18.3,8.98,13.0,5,0,3,0,9,2.4,1.8,16.84,304.6,17.92,22.0,10.48,16.3,4,1,2,1,9,2.4,2.5,20.17,368.6,21.68,25.5,12.04,19.61,4,1,1,2,9,2.4,2.75,23.29
Stefon Diggs ,BUF,WR,1.0,17,110,6.47,156,9.18,1455,85.59,13.23,53,32.41,35,2.06,11,0.65,1,0.06,-3,-0.18,-3.0,0,0.0,111,6.53,157,9.24,0,0.0,0.0,1.0,211.2,12.42,12.8,7.78,11.83,4,3,2,5,3,1.43,2.0,13.22,266.2,15.66,17.7,9.07,14.77,3,2,3,5,4,2.4,3.0,17.48,321.2,18.89,21.7,10.43,17.71,3,2,3,1,8,2.4,3.0,20.61
Tyreek Hill ,MIA,WR,1.0,17,119,7.0,170,10.0,1710,100.59,14.37,64,33.82,45,2.65,7,0.41,7,0.41,32,1.88,4.57,1,0.06,126,7.41,177,10.41,0,0.0,0.0,1.0,222.2,13.07,11.7,7.25,12.67,2,3,5,3,4,2.4,3.5,14.08,281.7,16.57,14.0,8.48,15.9,2,2,5,2,6,3.25,4.0,17.12,341.2,20.07,18.0,9.82,19.1,2,0,6,3,6,7.5,4.5,22.61
CeeDee Lamb ,DAL,WR,1.0,17,107,6.29,156,9.18,1359,79.94,12.7,39,25.18,30,1.76,9,0.53,10,0.59,47,2.76,4.7,0,0.0,117,6.88,166,9.76,0,0.0,0.0,1.0,194.6,11.45,11.2,6.74,11.3,4,3,4,4,2,1.43,1.5,12.19,248.1,14.59,14.7,7.66,14.36,2,4,3,6,2,1.83,4.0,15.97,301.6,17.74,17.7,8.66,17.42,1,4,3,6,3,2.4,9.0,20.23
Ja'Marr Chase ,CIN,WR,1.0,13,87,6.69,134,10.31,1046,80.46,12.02,60,24.62,22,1.69,9,0.69,5,0.38,8,0.62,1.6,0,0.0,92,7.08,139,10.69,2,0.15,0.02,1.0,155.4,11.95,9.7,7.94,11.32,4,2,2,1,4,1.17,1.25,11.42,198.9,15.3,13.2,8.85,14.52,1,5,1,2,4,1.17,6.0,15.63,242.4,18.65,16.7,9.86,17.73,1,1,4,2,5,5.5,7.0,21.06
Davante Adams ,LV,WR,1.0,17,100,5.88,180,10.59,1516,89.18,15.16,60,29.47,47,2.76,14,0.82,3,0.18,-1,-0.06,-0.33,0,0.0,103,6.06,183,10.76,0,0.0,0.0,1.0,235.5,13.85,9.5,10.01,12.38,3,5,2,0,7,1.12,2.33,12.07,285.5,16.79,13.5,10.98,15.1,3,3,4,0,7,1.83,2.33,15.45,335.5,19.74,17.5,12.05,17.85,3,2,3,2,7,2.4,3.0,18.93
A.J. Brown ,PHI,WR,1.0,17,88,5.18,145,8.53,1496,88.0,17.0,78,36.47,45,2.65,11,0.65,0,0.0,0,0.0,0.0,0,0.0,88,5.18,145,8.53,2,0.12,0.02,1.0,211.6,12.45,11.9,7.9,11.81,3,2,6,3,3,2.4,2.0,13.22,255.6,15.04,13.9,8.58,14.38,3,2,5,3,4,2.4,2.33,15.36,299.6,17.62,16.3,9.34,16.99,2,2,5,4,4,3.25,4.0,18.46
DeAndre Hopkins ,ARI,WR,1.0,9,64,7.11,96,10.67,717,79.67,11.2,33,21.44,10,1.11,3,0.33,0,0.0,0,0.0,0.0,0,0.0,64,7.11,96,10.67,1,0.11,0.02,1.0,87.7,9.74,9.6,6.01,9.89,2,2,3,1,1,1.25,1.0,10.71,119.7,13.3,13.6,7.22,13.28,1,2,3,2,1,2.0,3.0,14.91,151.7,16.86,18.1,8.63,16.57,1,0,3,4,1,8.0,5.0,21.92
Keenan Allen ,LAC,WR,1.0,10,66,6.6,89,8.9,752,75.2,11.39,46,28.1,14,1.4,4,0.4,1,0.1,8,0.8,8.0,0,0.0,67,6.7,90,9.0,1,0.1,0.01,1.0,98.0,9.8,8.9,5.61,10.13,1,5,2,1,1,0.67,2.0,10.3,131.0,13.1,13.0,6.43,13.47,1,3,2,3,1,1.5,4.0,14.56,164.0,16.4,16.25,7.5,16.7,1,2,3,3,1,2.33,4.0,17.89
Tyler Lockett ,SEA,WR,2.0,16,84,5.25,117,7.31,1033,64.56,12.3,40,25.19,23,1.44,9,0.56,0,0.0,0,0.0,0.0,0,0.0,84,5.25,117,7.31,2,0.12,0.02,1.0,153.3,9.58,10.25,5.76,9.83,4,3,7,0,2,1.29,0.5,10.54,195.3,12.21,12.45,6.25,12.64,3,3,6,2,2,1.67,1.33,13.19,237.3,14.83,15.35,6.92,15.41,3,1,7,3,2,3.0,1.67,16.49
Tee Higgins ,CIN,WR,2.0,15,75,5.0,110,7.33,1042,69.47,13.89,59,25.6,24,1.6,7,0.47,0,0.0,0,0.0,0.0,0,0.0,75,5.0,110,7.33,0,0.0,0.0,1.0,148.2,9.88,9.5,5.97,10.05,4,3,4,2,2,1.14,1.0,10.35,185.7,12.38,11.8,6.97,12.47,3,2,5,2,3,2.0,1.67,13.07,223.2,14.88,14.3,8.05,14.89,3,1,6,1,4,2.75,1.67,15.66
Amon-Ra St. Brown ,DET,WR,1.0,16,106,6.62,146,9.12,1161,72.56,10.95,49,22.75,15,0.94,6,0.38,9,0.56,95,5.94,10.56,0,0.0,115,7.19,155,9.69,0,0.0,0.0,1.0,161.6,10.1,7.5,7.95,9.56,4,7,2,0,3,0.45,0.75,9.06,214.6,13.41,10.75,8.99,12.68,2,6,3,2,3,1.0,2.5,12.64,267.6,16.73,14.25,10.08,15.82,2,3,6,1,4,2.2,2.5,16.22
DeVonta Smith ,PHI,WR,2.0,17,95,5.59,136,8.0,1196,70.35,12.59,45,22.65,30,1.76,7,0.41,0,0.0,0,0.0,0.0,0,0.0,95,5.59,136,8.0,1,0.06,0.01,1.0,159.6,9.39,8.0,6.76,9.26,5,5,4,1,2,0.7,0.6,9.07,207.1,12.18,11.5,7.58,12.02,4,2,6,3,2,1.83,1.25,12.61,254.6,14.98,15.0,8.52,14.77,4,1,5,5,2,2.4,1.75,15.83
Christian Kirk ,JAC,WR,1.0,17,84,4.94,133,7.82,1108,65.18,13.19,49,26.06,27,1.59,8,0.47,5,0.29,11,0.65,2.2,0,0.0,89,5.24,138,8.12,1,0.06,0.01,1.0,157.9,9.29,9.2,6.26,9.34,6,3,4,2,2,0.89,0.67,9.76,199.9,11.76,12.2,7.22,11.74,5,3,4,3,2,1.12,1.0,12.4,241.9,14.23,15.2,8.21,14.16,4,4,2,5,2,1.12,1.75,15.03
Jaylen Waddle ,MIA,WR,2.0,17,75,4.41,117,6.88,1356,79.76,18.08,84,34.47,41,2.41,8,0.47,3,0.18,26,1.53,8.67,0,0.0,78,4.59,120,7.06,1,0.06,0.01,1.0,184.2,10.84,8.8,7.89,10.28,6,3,2,3,3,0.89,1.0,9.99,221.7,13.04,11.0,8.89,12.36,5,2,4,3,3,1.43,1.2,12.23,259.2,15.25,13.5,9.94,14.47,4,3,3,4,3,1.43,1.75,14.44
