Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Henry Ruggs III ,FA,WR,29.5,13,26,2.0,43,3.31,452,34.77,17.38,72,22.0,18,1.38,2,0.15,9,0.69,49,3.77,5.44,0,0.0,35,2.69,52,4.0,2,0.15,0.06,1.0,58.1,4.47,1.8,5.21,4.7,10,1,1,1,0,0.18,0.1,3.44,71.1,5.47,3.3,5.44,5.86,10,1,1,1,0,0.18,0.1,4.64,84.1,6.47,4.8,5.72,7.05,9,2,1,1,0,0.18,0.11,5.85
Braxton Berrios ,MIA,WR,2.0,16,37,2.31,55,3.44,394,24.62,10.65,43,15.19,10,0.62,3,0.19,3,0.19,29,1.81,9.67,0,0.0,40,2.5,58,3.62,0,0.0,0.0,1.0,60.3,3.77,2.55,4.41,4.14,13,0,3,0,0,0.23,0.0,3.49,78.8,4.92,3.3,5.21,5.34,12,1,3,0,0,0.23,0.0,4.36,97.3,6.08,4.1,6.14,6.51,12,1,2,1,0,0.23,0.08,5.27
Quintez Cephus ,DET,WR,2.0,13,20,1.54,35,2.69,349,26.85,17.45,49,18.77,12,0.92,2,0.15,0,0.0,0,0.0,0.0,0,0.0,20,1.54,35,2.69,0,0.0,0.0,1.0,46.9,3.61,2.7,3.96,4.07,11,0,2,0,0,0.18,0.0,3.41,56.9,4.38,3.7,4.24,4.99,11,0,2,0,0,0.18,0.0,4.27,66.9,5.15,4.6,4.56,5.94,10,1,2,0,0,0.18,0.0,5.1
Isaiah McKenzie ,IND,WR,2.0,16,30,1.88,34,2.12,282,17.62,9.4,46,12.69,5,0.31,5,0.31,10,0.62,9,0.56,0.9,0,0.0,40,2.5,44,2.75,0,0.0,0.0,1.0,69.6,4.35,2.3,6.15,4.39,12,3,0,0,1,0.07,0.08,3.34,84.6,5.29,3.3,6.76,5.37,12,3,0,0,1,0.07,0.08,4.23,99.6,6.22,4.3,7.41,6.36,12,3,0,0,1,0.07,0.08,5.12
N'Keal Harry ,FA,WR,28.0,14,33,2.36,57,4.07,309,22.07,9.36,30,10.71,3,0.21,2,0.14,2,0.14,0,0.0,0.0,0,0.0,35,2.5,59,4.21,1,0.07,0.03,1.0,40.9,2.92,1.8,2.99,3.53,11,3,0,0,0,0.0,0.0,2.82,57.4,4.1,3.55,3.84,4.79,11,2,1,0,0,0.08,0.0,4.22,73.9,5.28,4.65,4.82,6.0,10,3,1,0,0,0.08,0.0,5.25
Isaiah Ford ,FA,WR,26.0,10,28,2.8,44,4.4,276,27.6,9.86,18,11.4,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,28,2.8,44,4.4,0,0.0,0.0,0.96,27.6,2.76,2.05,2.24,3.59,9,1,0,0,0,0.0,0.0,2.87,41.6,4.16,3.3,3.18,5.1,9,0,1,0,0,0.11,0.0,4.13,55.6,5.56,4.55,4.13,6.57,8,1,1,0,0,0.11,0.0,5.31
Cam Sims ,LV,WR,5.0,16,32,2.0,48,3.0,477,29.81,14.91,50,15.25,18,1.12,1,0.06,1,0.06,5,0.31,5.0,0,0.0,33,2.06,49,3.06,0,0.0,0.0,1.0,54.2,3.39,2.1,3.62,3.9,12,3,1,0,0,0.07,0.0,3.04,70.2,4.39,2.85,4.29,4.99,11,3,2,0,0,0.14,0.0,3.91,86.2,5.39,3.85,5.05,6.06,10,4,2,0,0,0.14,0.0,4.84
Scotty Miller ,FA,WR,34.5,16,33,2.06,53,3.31,501,31.31,15.18,48,18.06,16,1.0,3,0.19,3,0.19,14,0.88,4.67,0,0.0,36,2.25,56,3.5,0,0.0,0.0,1.0,69.5,4.34,1.2,5.55,4.5,11,2,1,2,0,0.23,0.18,3.08,86.0,5.38,1.95,6.36,5.54,11,2,1,2,0,0.23,0.18,3.88,102.5,6.41,2.7,7.2,6.59,11,2,1,1,1,0.23,0.18,4.69
Steven Sims Jr. ,HOU,WR,2.0,12,27,2.25,37,3.08,265,22.08,9.81,30,12.08,4,0.33,1,0.08,1,0.08,18,1.5,18.0,0,0.0,28,2.33,38,3.17,2,0.17,0.07,1.0,30.3,2.52,2.05,2.24,3.28,11,1,0,0,0,0.0,0.0,2.72,43.8,3.65,3.3,2.84,4.6,10,2,0,0,0,0.0,0.0,3.87,57.3,4.77,4.55,3.52,5.88,9,3,0,0,0,0.0,0.0,5.01
Deonte Harty ,BUF,WR,4.0,9,20,2.22,25,2.78,186,20.67,9.3,40,13.11,3,0.33,1,0.11,6,0.67,51,5.67,8.5,0,0.0,26,2.89,31,3.44,1,0.11,0.04,0.93,27.7,3.08,2.5,3.06,3.7,8,0,1,0,0,0.12,0.0,2.96,37.7,4.19,3.1,3.32,5.08,8,0,1,0,0,0.12,0.0,3.79,47.7,5.3,4.4,3.68,6.45,8,0,1,0,0,0.12,0.0,4.9
Marvin Hall ,FA,WR,40.5,12,18,1.5,32,2.67,302,25.17,16.78,73,18.75,10,0.83,2,0.17,1,0.08,1,0.08,1.0,0,0.0,19,1.58,33,2.75,0,0.0,0.0,1.0,42.3,3.52,1.6,4.44,3.86,9,1,2,0,0,0.2,0.0,2.83,51.3,4.27,2.85,4.84,4.72,9,1,2,0,0,0.2,0.0,3.78,60.3,5.02,3.6,5.28,5.59,9,1,2,0,0,0.2,0.0,4.51
Richie James Jr. ,FA,WR,37.0,11,23,2.09,35,3.18,394,35.82,17.13,47,15.82,15,1.36,1,0.09,0,0.0,0,0.0,0.0,0,0.0,23,2.09,35,3.18,2,0.18,0.09,1.0,41.4,3.76,0.6,7.18,3.66,9,1,0,0,1,0.1,0.11,2.31,52.9,4.81,2.1,8.47,4.62,9,1,0,0,1,0.1,0.11,3.42,64.4,5.85,3.6,9.78,5.58,9,1,0,0,1,0.1,0.11,4.53
Mohamed Sanu Sr. ,FA,WR,44.0,10,17,1.7,24,2.4,187,18.7,11.0,21,10.6,3,0.3,1,0.1,1,0.1,3,0.3,3.0,0,0.0,18,1.8,25,2.5,0,0.0,0.0,0.96,27.0,2.7,1.9,3.36,3.17,9,0,1,0,0,0.11,0.0,2.5,35.5,3.55,2.9,4.0,4.11,9,0,1,0,0,0.11,0.0,3.34,44.0,4.4,3.9,4.67,5.04,9,0,1,0,0,0.11,0.0,4.18
Dontrelle Inman ,FA,WR,39.0,10,18,1.8,28,2.8,163,16.3,9.06,17,8.5,0,0.0,2,0.2,0,0.0,0,0.0,0.0,0,0.0,18,1.8,28,2.8,0,0.0,0.0,0.96,28.3,2.83,1.6,4.81,3.04,9,0,0,1,0,0.11,0.11,2.37,37.3,3.73,2.35,5.31,4.02,8,1,0,1,0,0.11,0.12,3.12,46.3,4.63,3.1,5.91,5.0,8,1,0,1,0,0.11,0.12,3.87
KeeSean Johnson ,BUF,WR,5.0,8,15,1.88,23,2.88,173,21.62,11.53,45,16.38,5,0.62,0,0.0,0,0.0,0,0.0,0.0,0,0.0,15,1.88,23,2.88,0,0.0,0.0,0.88,17.3,2.16,1.85,1.62,3.05,8,0,0,0,0,0.0,0.0,2.2,24.8,3.1,2.85,1.91,4.32,8,0,0,0,0,0.0,0.0,3.11,32.3,4.04,3.85,2.27,5.54,8,0,0,0,0,0.0,0.0,3.99
Lynn Bowden Jr. ,NE,WR,4.0,10,28,2.8,37,3.7,211,21.1,7.54,22,6.7,1,0.1,0,0.0,9,0.9,32,3.2,3.56,0,0.0,37,3.7,46,4.6,0,0.0,0.0,0.96,25.6,2.56,1.05,3.0,3.09,9,1,0,0,0,0.0,0.0,2.24,39.6,3.96,1.55,4.51,4.45,6,3,1,0,0,0.11,0.0,3.1,53.6,5.36,2.25,6.06,5.76,6,2,2,0,0,0.25,0.0,4.04
Miles Boykin ,FA,WR,49.0,16,19,1.19,33,2.06,266,16.62,14.0,43,13.19,6,0.38,4,0.25,0,0.0,0,0.0,0.0,0,0.0,19,1.19,33,2.06,0,0.0,0.0,1.0,50.6,3.16,1.4,3.56,3.66,12,2,2,0,0,0.14,0.0,2.56,60.1,3.76,1.9,3.78,4.41,13,2,1,0,0,0.07,0.0,3.08,69.6,4.35,2.4,4.07,5.16,13,3,0,0,0,0.0,0.0,3.61
Olamide Zaccheaus ,FA,WR,38.0,11,20,1.82,32,2.91,274,24.91,13.7,51,11.27,7,0.64,1,0.09,1,0.09,0,0.0,0.0,0,0.0,21,1.91,33,3.0,0,0.0,0.0,1.0,33.4,3.04,1.0,5.1,3.21,9,1,0,1,0,0.1,0.11,2.27,43.4,3.95,1.5,6.08,4.11,9,0,1,1,0,0.22,0.11,2.96,53.4,4.85,2.0,7.15,5.0,8,1,1,1,0,0.22,0.12,3.59
Chris Hogan ,FA,WR,17.0,5,14,2.8,26,5.2,118,23.6,8.43,27,9.4,1,0.2,0,0.0,0,0.0,0,0.0,0.0,0,0.0,14,2.8,26,5.2,0,0.0,0.0,0.72,11.8,2.36,2.0,3.07,2.83,4,1,0,0,0,0.0,0.0,1.94,18.8,3.76,3.5,4.2,4.3,4,1,0,0,0,0.0,0.0,2.91,25.8,5.16,5.0,5.36,5.71,4,0,1,0,0,0.25,0.0,3.94
Andy Isabella ,BAL,WR,2.0,13,21,1.62,35,2.69,224,17.23,10.67,54,12.54,6,0.46,2,0.15,1,0.08,-6,-0.46,-6.0,0,0.0,22,1.69,36,2.77,0,0.0,0.0,1.0,33.8,2.6,0.7,4.48,2.84,11,1,0,1,0,0.08,0.09,1.94,44.3,3.41,1.7,4.96,3.74,11,1,0,1,0,0.08,0.09,2.79,54.8,4.22,2.4,5.48,4.64,11,1,0,1,0,0.08,0.09,3.51
Parris Campbell ,NYG,WR,4.0,2,6,3.0,9,4.5,71,35.5,11.83,21,10.5,1,0.5,0,0.0,2,1.0,16,8.0,8.0,0,0.0,8,4.0,11,5.5,0,0.0,0.0,0.44,8.7,4.35,4.35,5.16,4.59,1,1,0,0,0,0.0,0.0,2.02,11.7,5.85,5.85,7.28,5.83,1,0,1,0,0,1.0,0.0,2.79,14.7,7.35,7.35,9.4,7.07,1,0,1,0,0,1.0,0.0,3.33
Marquez Callaway ,DEN,WR,5.0,11,21,1.91,27,2.45,213,19.36,10.14,27,8.09,1,0.09,0,0.0,0,0.0,0,0.0,0.0,0,0.0,21,1.91,27,2.45,0,0.0,0.0,1.0,21.3,1.94,1.1,2.51,2.45,10,1,0,0,0,0.0,0.0,1.84,31.8,2.89,2.1,3.72,3.41,10,0,1,0,0,0.1,0.0,2.77,42.3,3.85,2.6,4.96,4.34,9,1,1,0,0,0.1,0.0,3.42
Donovan Peoples-Jones ,CLE,WR,3.0,12,14,1.17,20,1.67,304,25.33,21.71,75,14.67,9,0.75,2,0.17,0,0.0,0,0.0,0.0,0,0.0,14,1.17,20,1.67,0,0.0,0.0,1.0,44.4,3.7,0.55,5.42,3.85,9,1,1,1,0,0.2,0.11,2.28,51.4,4.28,0.8,5.96,4.49,8,1,2,1,0,0.33,0.12,2.74,58.4,4.87,1.05,6.52,5.13,8,1,2,1,0,0.33,0.12,3.15
Marcus Johnson ,FA,WR,43.0,11,14,1.27,28,2.55,255,23.18,18.21,55,14.82,10,0.91,0,0.0,0,0.0,0,0.0,0.0,0,0.0,14,1.27,28,2.55,0,0.0,0.0,1.0,25.5,2.32,1.4,3.35,2.73,10,0,1,0,0,0.1,0.0,2.16,32.5,2.95,1.9,4.13,3.39,10,0,1,0,0,0.1,0.0,2.69,39.5,3.59,2.4,4.92,4.06,9,1,1,0,0,0.1,0.0,3.21
DaeSean Hamilton ,FA,WR,40.5,16,23,1.44,44,2.75,293,18.31,12.74,40,9.75,4,0.25,2,0.12,0,0.0,0,0.0,0.0,0,0.0,23,1.44,44,2.75,1,0.06,0.04,1.0,39.3,2.46,1.05,3.96,2.77,13,2,0,1,0,0.07,0.08,2.05,50.8,3.18,1.6,4.68,3.53,13,2,0,1,0,0.07,0.08,2.64,62.3,3.89,2.1,5.43,4.3,13,1,1,1,0,0.14,0.08,3.24
Devin Duvernay ,BAL,WR,3.0,16,20,1.25,26,1.62,201,12.56,10.05,39,8.81,2,0.12,0,0.0,4,0.25,70,4.38,17.5,0,0.0,24,1.5,30,1.88,0,0.0,0.0,1.0,33.1,2.07,1.55,2.18,2.71,15,1,0,0,0,0.0,0.0,2.1,43.1,2.69,1.95,2.54,3.49,15,1,0,0,0,0.0,0.0,2.64,53.1,3.32,2.2,2.96,4.27,15,1,0,0,0,0.0,0.0,3.1
Collin Johnson ,NYG,WR,6.0,14,18,1.29,31,2.21,272,19.43,15.11,46,12.36,8,0.57,2,0.14,0,0.0,0,0.0,0.0,0,0.0,18,1.29,31,2.21,0,0.0,0.0,1.0,41.2,2.94,0.85,4.75,3.17,11,2,0,1,0,0.08,0.09,2.09,50.2,3.59,1.35,5.42,3.85,11,2,0,1,0,0.08,0.09,2.62,59.2,4.23,1.85,6.1,4.53,11,0,2,1,0,0.27,0.09,3.25
Chad Beebe ,FA,WR,48.0,14,20,1.43,30,2.14,201,14.36,10.05,40,9.14,3,0.21,2,0.14,0,0.0,0,0.0,0.0,0,0.0,20,1.43,30,2.14,1,0.07,0.05,1.0,30.1,2.15,1.05,3.55,2.49,12,0,2,0,0,0.17,0.0,1.89,40.1,2.86,1.8,4.29,3.26,12,0,2,0,0,0.17,0.0,2.57,50.1,3.58,2.35,5.1,4.01,12,0,1,1,0,0.17,0.08,3.18
Laquon Treadwell ,SEA,WR,3.0,5,6,1.2,7,1.4,49,9.8,8.17,14,8.0,0,0.0,2,0.4,0,0.0,0,0.0,0.0,0,0.0,6,1.2,7,1.4,0,0.0,0.0,0.72,16.9,3.38,1.5,3.36,3.97,3,2,0,0,0,0.0,0.0,1.88,19.9,3.98,2.5,3.57,4.74,3,2,0,0,0,0.0,0.0,2.45,22.9,4.58,3.5,3.82,5.52,4,1,0,0,0,0.0,0.0,3.03
Alshon Jeffery ,FA,WR,54.0,7,6,0.86,13,1.86,115,16.43,19.17,39,12.14,4,0.57,1,0.14,0,0.0,0,0.0,0.0,0,0.0,6,0.86,13,1.86,0,0.0,0.0,0.84,17.5,2.5,1.5,3.14,2.99,5,2,0,0,0,0.0,0.0,1.84,20.5,2.93,2.5,3.43,3.52,5,2,0,0,0,0.0,0.0,2.42,23.5,3.36,3.2,3.76,4.06,5,2,0,0,0,0.0,0.0,2.89
Dez Bryant ,FA,WR,55.0,6,6,1.0,11,1.83,47,7.83,7.83,16,5.83,0,0.0,2,0.33,0,0.0,0,0.0,0.0,0,0.0,6,1.0,11,1.83,0,0.0,0.0,0.78,16.7,2.78,1.4,3.41,3.26,4,2,0,0,0,0.0,0.0,1.78,19.7,3.28,2.4,3.73,3.87,4,2,0,0,0,0.0,0.0,2.35,22.7,3.78,3.4,4.17,4.46,5,1,0,0,0,0.0,0.0,2.91
DeMichael Harris ,FA,WR,47.0,7,10,1.43,10,1.43,79,11.29,7.9,21,7.0,1,0.14,0,0.0,6,0.86,46,6.57,7.67,0,0.0,16,2.29,16,2.29,0,0.0,0.0,0.84,12.5,1.79,2.0,2.04,2.38,7,0,0,0,0,0.0,0.0,1.84,17.5,2.5,2.5,2.76,3.18,6,1,0,0,0,0.0,0.0,2.33,22.5,3.21,3.0,3.49,3.96,6,1,0,0,0,0.0,0.0,2.81
Byron Pringle ,FA,WR,59.5,12,13,1.08,17,1.42,160,13.33,12.31,37,9.5,5,0.42,1,0.08,0,0.0,0,0.0,0.0,0,0.0,13,1.08,17,1.42,0,0.0,0.0,1.0,28.0,2.33,0.85,3.44,2.72,10,1,1,0,0,0.09,0.0,1.8,34.5,2.88,1.4,3.98,3.33,11,0,1,0,0,0.09,0.0,2.32,41.0,3.42,1.65,4.58,3.94,11,0,1,0,0,0.09,0.0,2.7
