Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Travis Kelce,KC,TE,1.0,17,110,6.47,152,8.94,1338,78.71,12.16,52,27.06,29,1.71,12,0.71,2,0.12,5,0.29,2.5,0,0.0,112,6.59,154,9.06,1,0.06,0.01,1.0,206.3,12.14,11.2,7.29,10.56,0,4,2,7,4,3.25,11.0,15.07,261.3,15.37,15.2,7.55,13.72,0,3,2,7,5,4.67,12.0,19.25,316.3,18.61,17.9,7.92,16.95,0,1,4,4,8,16.0,12.0,27.59
Zach Ertz,ARI,TE,1.0,10,47,4.7,69,6.9,406,40.6,8.64,32,15.6,3,0.3,4,0.4,0,0.0,0,0.0,0.0,0,0.0,47,4.7,69,6.9,0,0.0,0.0,0.96,68.6,6.86,7.25,3.12,7.38,1,3,5,1,0,1.5,1.0,7.99,92.1,9.21,10.45,3.69,9.83,1,2,5,2,0,2.33,2.0,11.08,115.6,11.56,12.4,4.5,12.13,1,1,4,4,0,4.0,4.0,14.21
George Kittle,SF,TE,1.0,15,60,4.0,86,5.73,765,51.0,12.75,54,23.13,20,1.33,11,0.73,0,0.0,0,0.0,0.0,0,0.0,60,4.0,86,5.73,1,0.07,0.02,1.0,140.5,9.37,8.3,7.94,7.98,7,0,3,1,4,1.14,0.71,8.65,170.5,11.37,10.3,8.37,9.88,3,4,2,2,4,1.14,2.0,10.73,200.5,13.37,12.3,8.87,11.84,3,4,2,2,4,1.14,2.0,12.51
Dallas Goedert,PHI,TE,1.0,12,55,4.58,69,5.75,702,58.5,12.76,31,21.25,12,1.0,3,0.25,0,0.0,0,0.0,0.0,0,0.0,55,4.58,69,5.75,1,0.08,0.02,1.0,86.2,7.18,6.55,3.41,7.56,1,5,5,0,1,1.0,1.0,7.67,113.7,9.48,8.8,4.18,9.8,1,3,6,1,1,2.0,2.0,10.45,141.2,11.77,11.1,5.05,12.0,1,1,8,1,1,5.0,2.0,13.97
Mark Andrews,BAL,TE,1.0,15,73,4.87,113,7.53,847,56.47,11.6,36,18.87,8,0.53,5,0.33,3,0.2,8,0.53,2.67,0,0.0,76,5.07,116,7.73,0,0.0,0.0,1.0,117.5,7.83,5.4,6.46,7.03,3,6,2,1,3,0.67,1.33,7.03,154.0,10.27,7.7,7.72,9.11,3,5,2,1,4,0.88,1.67,9.19,190.5,12.7,10.2,9.03,11.19,3,3,4,0,5,1.5,1.67,11.57
T.J. Hockenson,MIN,TE,1.0,17,86,5.06,129,7.59,914,53.76,10.63,81,20.88,12,0.71,6,0.35,0,0.0,0,0.0,0.0,0,0.0,86,5.06,129,7.59,1,0.06,0.01,1.0,129.4,7.61,5.3,7.99,6.47,3,8,4,0,2,0.55,0.67,6.5,172.4,10.14,8.0,9.07,8.64,2,6,6,1,2,1.12,1.5,9.19,215.4,12.67,10.8,10.27,10.82,2,6,5,2,2,1.12,2.0,11.55
Pat Freiermuth,PIT,TE,1.0,15,63,4.2,98,6.53,732,48.8,11.62,57,20.2,13,0.87,2,0.13,0,0.0,0,0.0,0.0,0,0.0,63,4.2,98,6.53,0,0.0,0.0,1.0,85.2,5.68,6.6,2.8,6.28,2,5,8,0,0,1.14,0.0,7.02,116.7,7.78,9.1,3.7,8.29,2,5,8,0,0,1.14,0.0,9.05,148.2,9.88,10.6,4.73,10.24,2,4,6,3,0,1.5,1.5,11.15
Taysom Hill,NO,TE,1.0,16,9,0.56,13,0.81,77,4.81,8.56,30,4.5,2,0.12,2,0.12,96,6.0,575,35.94,5.99,7,0.44,105,6.56,109,6.81,0,0.0,0.0,1.0,136.8,8.55,7.7,8.17,7.23,5,1,5,4,1,1.67,1.0,8.48,141.3,8.83,7.95,8.18,7.72,5,2,5,3,1,1.29,0.8,8.58,145.8,9.11,8.2,8.2,8.23,6,3,5,1,1,0.78,0.33,8.55
David Njoku,CLE,TE,1.0,14,58,4.14,80,5.71,628,44.86,10.83,38,19.0,10,0.71,4,0.29,2,0.14,-8,-0.57,-4.0,0,0.0,60,4.29,82,5.86,1,0.07,0.02,1.0,84.0,6.0,5.25,4.38,5.93,5,3,4,2,0,0.75,0.4,6.09,113.0,8.07,7.25,5.5,7.8,4,4,3,2,1,0.75,0.75,7.92,142.0,10.14,9.25,6.65,9.65,4,3,1,5,1,1.0,1.5,9.97
Dawson Knox,BUF,TE,1.0,15,48,3.2,65,4.33,517,34.47,10.77,45,17.07,10,0.67,6,0.4,0,0.0,0,0.0,0.0,0,0.0,48,3.2,65,4.33,0,0.0,0.0,1.0,87.7,5.85,5.7,4.32,5.8,5,3,6,0,1,0.88,0.2,6.1,111.7,7.45,7.7,4.9,7.4,3,5,5,1,1,0.88,0.67,7.83,135.7,9.05,9.0,5.56,9.0,3,4,5,2,1,1.14,1.0,9.36
Darren Waller,NYG,TE,1.0,9,28,3.11,43,4.78,388,43.11,13.86,34,20.78,11,1.22,3,0.33,0,0.0,0,0.0,0.0,0,0.0,28,3.11,43,4.78,0,0.0,0.0,0.93,56.8,6.31,5.8,4.64,6.15,3,2,1,3,0,0.8,1.0,6.03,70.8,7.87,7.8,5.18,7.71,3,1,2,3,0,1.25,1.0,7.72,84.8,9.42,9.8,5.78,9.29,1,3,2,3,0,1.25,3.0,9.68
Gerald Everett,LAC,TE,1.0,15,58,3.87,87,5.8,555,37.0,9.57,26,15.0,4,0.27,4,0.27,1,0.07,0,0.0,0.0,0,0.0,59,3.93,88,5.87,0,0.0,0.0,1.0,81.5,5.43,4.2,3.41,5.72,5,4,4,2,0,0.67,0.4,5.48,110.5,7.37,6.2,3.74,7.84,3,5,5,2,0,0.88,0.67,7.51,139.5,9.3,8.6,4.16,9.95,3,5,5,2,0,0.88,0.67,9.54
Evan Engram,JAC,TE,1.0,17,73,4.29,98,5.76,766,45.06,10.49,36,15.76,11,0.65,4,0.24,2,0.12,13,0.76,6.5,0,0.0,75,4.41,100,5.88,0,0.0,0.0,1.0,103.9,6.11,4.0,6.65,5.44,8,3,3,2,1,0.55,0.38,5.2,140.4,8.26,6.5,7.82,7.3,6,3,5,2,1,0.89,0.5,7.37,176.9,10.41,9.0,9.08,9.16,6,2,4,4,1,1.12,0.83,9.53
Greg Dulcich,DEN,TE,1.0,10,33,3.3,55,5.5,411,41.1,12.45,39,20.3,9,0.9,2,0.2,0,0.0,0,0.0,0.0,0,0.0,33,3.3,55,5.5,0,0.0,0.0,0.96,53.1,5.31,4.65,3.78,5.45,3,3,4,0,0,0.67,0.0,5.24,69.6,6.96,6.9,4.3,7.15,3,2,5,0,0,1.0,0.0,7.11,86.1,8.61,9.15,4.94,8.82,3,2,3,2,0,1.0,0.67,8.98
Tyler Higbee,LAR,TE,1.0,16,72,4.5,108,6.75,620,38.75,8.61,26,12.94,4,0.25,3,0.19,0,0.0,0,0.0,0.0,0,0.0,72,4.5,108,6.75,0,0.0,0.0,1.0,80.0,5.0,4.2,5.18,4.74,6,5,4,0,1,0.45,0.17,4.97,116.0,7.25,6.45,6.34,6.76,6,3,5,1,1,0.78,0.33,7.09,152.0,9.5,8.7,7.61,8.74,6,3,3,3,1,0.78,0.67,9.08
