Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
James O'Shaughnessy ,FA,TE,16.0,15,28,1.87,38,2.53,262,17.47,9.36,26,10.93,3,0.2,0,0.0,0,0.0,0,0.0,0.0,0,0.0,28,1.87,38,2.53,0,0.0,0.0,1.0,26.2,1.75,1.7,1.38,2.3,15,0,0,0,0,0.0,0.0,2.06,40.2,2.68,2.7,1.99,3.34,15,0,0,0,0,0.0,0.0,2.97,54.2,3.61,3.6,2.62,4.34,13,2,0,0,0,0.0,0.0,3.83
Jacob Hollister ,FA,TE,17.0,16,25,1.56,40,2.5,209,13.06,8.36,20,8.38,1,0.06,3,0.19,0,0.0,0,0.0,0.0,0,0.0,25,1.56,40,2.5,0,0.0,0.0,1.0,40.9,2.56,1.25,2.98,2.78,12,4,0,0,0,0.0,0.0,2.06,53.4,3.34,2.25,3.34,3.65,12,4,0,0,0,0.0,0.0,2.91,65.9,4.12,3.05,3.78,4.51,12,4,0,0,0,0.0,0.0,3.65
David Njoku ,CLE,TE,3.0,13,19,1.46,29,2.23,213,16.38,11.21,28,11.38,4,0.31,2,0.15,0,0.0,0,0.0,0.0,0,0.0,19,1.46,29,2.23,0,0.0,0.0,1.0,33.3,2.56,1.3,3.39,2.7,11,1,1,0,0,0.08,0.0,2.06,42.8,3.29,2.3,3.82,3.48,11,1,1,0,0,0.08,0.0,2.87,52.3,4.02,2.9,4.31,4.27,11,1,1,0,0,0.08,0.0,3.49
Will Dissly ,SEA,TE,2.0,16,24,1.5,29,1.81,251,15.69,10.46,28,12.5,3,0.19,2,0.12,0,0.0,0,0.0,0.0,0,0.0,24,1.5,29,1.81,0,0.0,0.0,1.0,37.1,2.32,1.65,2.47,2.64,14,2,0,0,0,0.0,0.0,2.11,49.1,3.07,2.35,2.63,3.56,14,2,0,0,0,0.0,0.0,2.84,61.1,3.82,2.9,2.87,4.48,14,2,0,0,0,0.0,0.0,3.5
Chris Herndon IV ,FA,TE,14.0,16,31,1.94,46,2.88,287,17.94,9.26,26,9.38,3,0.19,3,0.19,0,0.0,0,0.0,0.0,0,0.0,31,1.94,46,2.88,2,0.12,0.06,1.0,42.7,2.67,1.0,4.1,2.68,13,2,1,0,0,0.07,0.0,1.98,58.2,3.64,1.5,4.93,3.61,13,1,1,1,0,0.14,0.08,2.68,73.7,4.61,2.0,5.86,4.52,13,1,1,1,0,0.14,0.08,3.31
Harrison Bryant ,CLE,TE,2.0,15,24,1.6,38,2.53,238,15.87,9.92,35,9.33,2,0.13,3,0.2,0,0.0,0,0.0,0.0,0,0.0,24,1.6,38,2.53,2,0.13,0.08,1.0,37.8,2.52,1.1,4.57,2.46,13,1,0,1,0,0.07,0.08,1.91,49.8,3.32,1.9,5.04,3.28,14,0,0,1,0,0.07,0.07,2.64,61.8,4.12,2.4,5.56,4.1,14,0,0,1,0,0.07,0.07,3.23
Nick Boyle ,FA,TE,22.0,9,14,1.56,17,1.89,113,12.56,8.07,21,8.11,1,0.11,2,0.22,0,0.0,0,0.0,0.0,0,0.0,14,1.56,17,1.89,0,0.0,0.0,1.0,23.3,2.59,0.9,3.39,2.73,7,2,0,0,0,0.0,0.0,1.82,30.3,3.37,1.4,3.79,3.57,7,1,1,0,0,0.12,0.0,2.49,37.3,4.14,2.1,4.24,4.41,7,1,1,0,0,0.12,0.0,3.18
Tyler Kroft ,FA,TE,26.0,10,12,1.2,16,1.6,119,11.9,9.92,38,8.2,2,0.2,3,0.3,0,0.0,0,0.0,0.0,0,0.0,12,1.2,16,1.6,0,0.0,0.0,1.0,29.9,2.99,0.9,4.71,2.9,7,2,0,1,0,0.11,0.14,1.96,35.9,3.59,1.4,5.39,3.49,8,1,0,1,0,0.11,0.12,2.45,41.9,4.19,1.9,6.09,4.08,8,1,0,1,0,0.11,0.12,2.94
Cole Kmet ,CHI,TE,2.0,16,28,1.75,44,2.75,243,15.19,8.68,38,8.44,2,0.12,2,0.12,1,0.06,-3,-0.19,-3.0,0,0.0,29,1.81,45,2.81,1,0.06,0.03,1.0,34.0,2.12,1.0,2.98,2.31,14,1,1,0,0,0.07,0.0,1.8,48.0,3.0,1.5,3.67,3.21,14,1,1,0,0,0.07,0.0,2.43,62.0,3.88,2.0,4.48,4.07,12,3,1,0,0,0.07,0.0,3.05
Ross Dwelley ,SF,TE,2.0,16,19,1.19,24,1.5,245,15.31,12.89,36,10.31,4,0.25,1,0.06,0,0.0,0,0.0,0.0,0,0.0,19,1.19,24,1.5,0,0.0,0.0,1.0,30.5,1.91,1.25,2.32,2.21,15,1,0,0,0,0.0,0.0,1.71,40.0,2.5,1.85,2.77,2.87,15,1,0,0,0,0.0,0.0,2.27,49.5,3.09,2.35,3.28,3.51,13,3,0,0,0,0.0,0.0,2.79
