Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE
Donald Parham Jr. ,LAC,TE,2.0,8.77,12.56,1.52,16.67,1.93,148.36,18.62,12.4,23.69,11.46,1.95,0.26,1.72,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.56,1.52,16.67,1.93,0.0,0.0,0.0,0.9,25.66,3.02,2.41,2.93,3.33,4.77,2.92,0.82,0.26,0.0,0.1,0.03,2.5,31.94,3.77,3.46,3.32,4.17,4.77,2.92,1.08,0.0,0.0,0.1,0.0,3.24,38.22,4.52,4.44,3.75,5.01,4.77,3.03,0.97,0.0,0.0,0.09,0.0,3.96,3
Teagan Quitoriano ,HOU,TE,3.0,7.0,7.0,1.0,14.0,2.0,113.0,16.14,16.14,52.0,10.71,5.0,0.71,2.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,14.0,2.0,0.0,0.0,0.0,0.9,23.3,3.33,2.0,3.65,3.44,4.0,1.0,2.0,0.0,0.0,0.4,0.0,2.57,26.8,3.83,3.0,4.1,3.98,4.0,2.0,1.0,0.0,0.0,0.17,0.0,3.09,30.3,4.33,4.0,4.57,4.52,4.0,2.0,1.0,0.0,0.0,0.17,0.0,3.72,1
Brevin Jordan ,HOU,TE,2.0,8.71,15.71,1.83,28.0,3.22,142.29,16.51,9.07,22.0,11.03,2.0,0.23,0.86,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.71,1.83,28.0,3.22,0.0,0.0,0.0,0.99,19.37,2.29,1.57,2.2,2.61,6.86,1.0,0.86,0.0,0.0,0.17,0.0,2.24,27.23,3.21,2.36,2.69,3.62,6.86,1.0,0.86,0.0,0.0,0.17,0.0,3.03,35.09,4.12,3.43,3.22,4.62,6.86,0.71,1.14,0.0,0.0,0.29,0.0,4.0,2
Jake Ferguson ,DAL,TE,1.0,11.0,19.0,1.73,22.0,2.0,174.0,15.82,9.16,30.0,11.36,4.0,0.36,2.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.73,22.0,2.0,0.0,0.0,0.0,1.0,29.4,2.67,1.3,3.2,2.86,8.0,2.0,1.0,0.0,0.0,0.1,0.0,2.12,38.9,3.54,2.3,3.57,3.8,8.0,2.0,1.0,0.0,0.0,0.1,0.0,3.0,48.4,4.4,3.3,3.98,4.76,8.0,2.0,0.0,1.0,0.0,0.1,0.12,3.91,1
Brock Wright ,DET,TE,2.0,12.29,16.29,1.35,22.0,1.83,187.71,15.2,11.36,46.71,11.44,5.14,0.42,3.43,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.29,1.35,22.0,1.83,0.0,0.0,0.0,0.99,39.34,3.17,1.34,4.34,3.14,8.86,1.43,0.29,1.71,0.0,0.22,0.19,2.33,47.49,3.85,2.16,4.65,3.88,8.86,1.43,1.0,1.0,0.0,0.22,0.12,2.99,55.63,4.52,2.98,5.02,4.61,8.57,1.0,2.0,0.71,0.0,0.29,0.07,3.72,2
Adam Trautman ,NO,TE,3.0,12.69,20.0,1.62,26.77,2.2,217.67,17.51,11.04,26.51,11.93,2.46,0.19,1.26,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.62,26.77,2.2,0.26,0.02,0.01,1.0,28.79,2.32,1.57,2.75,2.56,9.92,1.51,1.0,0.26,0.0,0.11,0.04,2.15,38.79,3.13,2.39,3.09,3.47,9.92,1.51,1.0,0.26,0.0,0.11,0.04,2.93,48.79,3.94,3.15,3.5,4.38,9.92,1.77,0.74,0.26,0.0,0.08,0.04,3.65,3
Albert Okwuegbunam ,DEN,TE,2.0,7.85,16.0,1.96,23.33,3.04,157.92,19.29,9.78,35.21,11.06,2.28,0.24,1.26,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.96,23.33,3.04,0.26,0.02,0.01,0.87,22.82,2.91,1.66,3.69,3.03,4.97,1.62,0.62,0.64,0.0,0.21,0.16,2.2,30.82,3.89,2.55,4.34,4.01,4.46,2.13,1.0,0.26,0.0,0.21,0.04,2.92,38.82,4.86,3.4,5.11,4.97,4.21,2.38,1.0,0.26,0.0,0.21,0.04,3.65,3
Kylen Granson ,IND,TE,2.0,12.14,25.29,2.01,32.86,2.63,246.0,19.62,9.71,30.57,12.44,3.14,0.25,0.0,0.0,0.71,0.06,0.0,0.0,0.0,0.0,0.0,26.0,2.07,33.57,2.68,0.0,0.0,0.0,1.0,24.6,1.96,1.34,1.64,2.45,9.29,2.86,0.0,0.0,0.0,0.0,0.0,1.97,37.24,2.97,2.2,2.09,3.62,9.29,2.14,0.71,0.0,0.0,0.06,0.0,2.91,49.89,3.98,3.41,2.59,4.75,7.86,2.86,1.43,0.0,0.0,0.13,0.0,4.01,2
Dan Arnold ,FA,TE,5.0,11.3,17.53,1.53,25.8,2.26,231.78,20.22,14.13,30.18,13.54,3.78,0.32,0.47,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.53,1.53,25.8,2.26,0.34,0.03,0.01,0.99,25.82,2.24,1.59,1.91,2.66,9.2,1.33,0.63,0.04,0.1,0.09,0.02,2.17,34.58,3.0,2.32,2.29,3.53,9.2,1.12,0.84,0.04,0.1,0.12,0.02,2.9,43.35,3.77,3.05,2.71,4.39,9.2,0.88,0.59,0.53,0.1,0.16,0.1,3.65,4
Noah Gray ,KC,TE,2.0,14.14,22.0,1.46,27.14,1.84,223.86,14.03,9.1,21.57,10.47,2.14,0.13,1.0,0.08,0.71,0.04,0.71,0.04,0.71,0.71,0.04,22.71,1.51,27.86,1.88,0.0,0.0,0.0,0.97,32.74,2.16,1.24,2.11,2.56,10.29,3.14,0.71,0.0,0.0,0.04,0.0,1.89,43.74,2.88,2.1,2.22,3.49,10.29,3.14,0.71,0.0,0.0,0.04,0.0,2.68,54.74,3.62,2.96,2.41,4.44,10.29,3.14,0.71,0.0,0.0,0.04,0.0,3.47,2
O.J. Howard ,LV,TE,2.0,10.43,12.03,1.24,23.3,2.37,155.01,16.03,13.14,25.73,11.72,3.44,0.35,1.71,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.03,1.24,23.3,2.37,0.04,0.0,0.0,0.97,25.71,2.72,1.65,4.16,2.72,8.96,0.3,0.18,0.38,0.62,0.2,0.19,2.12,31.72,3.33,2.3,4.62,3.36,8.96,0.26,0.22,1.0,0.0,0.2,0.19,2.67,37.74,3.96,2.95,5.08,4.01,8.92,0.3,0.22,1.0,0.0,0.2,0.19,3.22,4
James Mitchell ,DET,TE,3.0,8.0,11.0,1.38,11.0,1.38,113.0,14.12,10.27,22.0,12.0,2.0,0.25,1.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.38,11.0,1.38,0.0,0.0,0.0,0.95,17.3,2.16,1.45,2.06,2.58,6.0,1.0,1.0,0.0,0.0,0.14,0.0,1.93,22.8,2.85,2.1,2.23,3.45,6.0,1.0,1.0,0.0,0.0,0.14,0.0,2.58,28.3,3.54,2.85,2.41,4.34,6.0,2.0,0.0,0.0,0.0,0.0,0.0,3.22,1
Mo Alie-Cox ,IND,TE,3.0,14.92,20.98,1.41,32.6,2.17,236.69,15.71,11.08,35.31,10.23,3.64,0.23,3.03,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.98,1.41,32.6,2.17,0.71,0.05,0.03,1.0,40.42,2.69,1.19,4.84,2.6,11.96,1.31,0.59,0.2,0.86,0.13,0.09,2.01,50.91,3.39,1.75,5.41,3.31,11.71,1.55,0.59,0.2,0.86,0.13,0.09,2.58,61.4,4.09,2.4,6.0,4.02,11.62,1.75,0.49,0.2,0.86,0.12,0.09,3.19,4
Colby Parkinson ,SEA,TE,3.0,11.13,17.51,1.39,24.05,1.93,216.51,16.43,10.77,29.1,12.39,5.13,0.37,1.28,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.51,1.39,24.05,1.93,0.0,0.0,0.0,0.95,29.34,2.19,1.37,2.34,2.42,7.92,1.92,1.28,0.0,0.0,0.11,0.0,1.92,38.1,2.89,1.95,2.75,3.2,7.92,1.92,0.64,0.64,0.0,0.11,0.07,2.53,46.86,3.58,2.56,3.2,3.97,7.92,1.92,0.64,0.64,0.0,0.11,0.07,3.13,3
Durham Smythe ,MIA,TE,1.0,14.05,20.45,1.42,25.82,1.8,190.42,13.13,9.04,24.99,9.14,1.89,0.13,0.81,0.06,1.72,0.12,1.35,0.1,0.68,0.62,0.05,22.17,1.55,27.55,1.93,0.0,0.0,0.0,1.0,27.75,1.97,1.36,2.15,2.33,10.09,3.25,0.71,0.0,0.0,0.06,0.0,1.88,37.97,2.68,1.98,2.52,3.13,10.09,3.62,0.34,0.0,0.0,0.02,0.0,2.51,48.2,3.39,2.63,2.95,3.94,9.37,4.33,0.34,0.0,0.0,0.02,0.0,3.16,4
Marcedes Lewis ,FA,TE,15.0,9.0,10.94,1.15,13.63,1.41,110.04,11.91,10.53,29.29,10.1,2.25,0.28,1.57,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.94,1.15,13.63,1.41,0.0,0.0,0.0,0.91,21.63,2.76,1.54,2.95,2.98,6.32,1.88,0.81,0.0,0.0,0.14,0.0,1.99,27.1,3.34,2.01,3.23,3.67,6.32,1.88,0.81,0.0,0.0,0.14,0.0,2.47,32.57,3.91,2.58,3.54,4.35,6.41,1.63,0.96,0.0,0.0,0.15,0.0,2.99,4
Anthony Firkser ,FA,TE,7.0,10.79,18.31,1.53,24.76,2.09,179.42,15.39,10.5,25.43,10.9,1.69,0.14,0.63,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.31,1.53,24.76,2.09,0.25,0.02,0.01,0.97,21.23,1.76,1.2,1.81,2.2,9.19,0.97,0.29,0.25,0.1,0.05,0.03,1.73,30.39,2.52,1.85,2.16,3.11,8.95,1.21,0.29,0.25,0.1,0.05,0.03,2.41,39.54,3.29,2.41,2.58,4.0,8.7,1.36,0.38,0.25,0.1,0.05,0.04,3.05,4
Tommy Tremble ,CAR,TE,2.0,15.0,19.29,1.29,32.86,2.19,175.71,11.71,9.11,29.29,8.53,1.29,0.09,2.43,0.16,0.86,0.06,3.14,0.21,1.05,0.29,0.02,20.14,1.34,33.71,2.24,0.71,0.05,0.04,1.0,33.31,2.22,0.84,3.05,2.41,11.29,1.71,2.0,0.0,0.0,0.15,0.0,1.76,42.96,2.86,1.46,3.32,3.14,11.29,1.71,2.0,0.0,0.0,0.15,0.0,2.37,52.6,3.5,2.1,3.64,3.89,11.29,1.71,2.0,0.0,0.0,0.15,0.0,3.0,2
Kyle Rudolph ,FA,TE,10.0,8.59,12.55,1.12,18.22,1.68,127.91,11.31,9.72,25.89,8.67,2.13,0.15,1.2,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.55,1.12,18.22,1.68,0.1,0.01,0.0,0.86,20.35,2.13,1.27,2.72,2.37,6.71,0.37,1.34,0.12,0.04,0.23,0.02,1.73,26.62,2.69,2.12,2.99,3.03,6.36,1.58,0.48,0.12,0.04,0.05,0.02,2.28,32.89,3.25,2.74,3.29,3.68,6.12,1.83,0.38,0.22,0.04,0.05,0.03,2.8,4
Peyton Hendershot ,DAL,TE,2.0,12.0,11.0,0.92,16.0,1.33,103.0,8.58,9.36,29.0,6.17,2.0,0.17,2.0,0.17,1.0,0.08,2.0,0.17,2.0,1.0,0.08,12.0,1.0,17.0,1.42,0.0,0.0,0.0,1.0,28.5,2.38,0.75,3.05,2.57,8.0,2.0,2.0,0.0,0.0,0.2,0.0,1.74,34.0,2.83,1.4,3.31,3.11,8.0,3.0,1.0,0.0,0.0,0.09,0.0,2.21,39.5,3.29,2.15,3.64,3.64,8.0,3.0,1.0,0.0,0.0,0.09,0.0,2.79,1
John Bates ,WAS,TE,2.0,10.86,15.71,1.44,22.86,2.12,148.29,13.19,9.06,23.43,8.59,2.14,0.18,1.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.71,1.44,22.86,2.12,0.0,0.0,0.0,1.0,20.83,1.88,0.94,2.7,2.09,8.57,1.29,0.71,0.29,0.0,0.1,0.03,1.64,28.69,2.6,1.44,3.2,2.87,8.29,1.57,1.0,0.0,0.0,0.1,0.0,2.2,36.54,3.32,1.94,3.76,3.65,7.29,2.57,1.0,0.0,0.0,0.1,0.0,2.77,2
Tanner Hudson ,CIN,TE,1.0,6.81,8.67,1.41,13.43,2.16,114.56,18.61,13.25,25.41,12.35,0.95,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.67,1.41,13.43,2.16,0.0,0.0,0.0,0.88,11.46,1.86,1.63,1.73,2.27,5.99,0.82,0.0,0.0,0.0,0.0,0.0,1.67,15.79,2.56,2.25,2.2,3.05,5.99,0.82,0.0,0.0,0.0,0.0,0.0,2.2,20.12,3.27,2.86,2.69,3.82,5.18,1.63,0.0,0.0,0.0,0.0,0.0,2.73,4
Pharaoh Brown ,FA,TE,6.0,10.38,14.51,1.37,22.38,2.15,131.29,12.6,9.51,29.18,9.34,1.92,0.19,0.2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.51,1.37,22.38,2.15,0.25,0.02,0.01,1.0,13.82,1.31,1.04,1.5,1.71,9.32,0.62,0.34,0.1,0.0,0.04,0.01,1.47,21.07,2.0,1.89,2.06,2.48,9.32,0.62,0.34,0.1,0.0,0.04,0.01,2.2,28.33,2.68,2.49,2.64,3.22,8.7,1.23,0.34,0.1,0.0,0.04,0.01,2.8,4
Ian Thomas ,CAR,TE,3.0,14.28,19.97,1.4,30.1,2.11,187.26,13.2,9.4,43.7,10.61,3.79,0.27,0.14,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.97,1.4,30.1,2.11,0.0,0.0,0.0,1.0,19.55,1.37,0.99,1.46,1.79,12.78,1.35,0.1,0.04,0.0,0.01,0.0,1.47,29.54,2.08,1.56,1.8,2.67,12.55,1.69,0.0,0.04,0.0,0.0,0.0,2.11,39.52,2.78,2.2,2.19,3.52,11.83,2.4,0.0,0.04,0.0,0.0,0.0,2.79,4
Josiah Deguara ,GB,TE,1.0,9.56,14.85,1.43,18.28,1.78,137.13,13.22,9.37,33.15,9.47,2.18,0.18,0.51,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.85,1.43,18.28,1.78,0.0,0.0,0.0,0.95,16.79,1.54,0.95,1.97,1.84,8.15,0.9,0.26,0.26,0.0,0.04,0.02,1.42,24.21,2.26,1.55,2.54,2.61,8.15,0.9,0.26,0.26,0.0,0.04,0.02,2.02,31.64,2.98,2.15,3.13,3.38,8.15,0.26,0.9,0.26,0.0,0.12,0.02,2.67,3
Tyler Kroft ,FA,TE,16.0,7.37,7.82,0.99,11.36,1.4,92.23,11.99,12.88,28.18,10.03,1.59,0.21,0.58,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.82,0.99,11.36,1.4,0.0,0.0,0.0,0.91,12.71,1.56,1.19,1.8,1.89,6.26,0.73,0.29,0.1,0.0,0.04,0.01,1.46,16.62,2.05,1.92,2.07,2.5,5.76,1.12,0.38,0.1,0.0,0.06,0.01,2.02,20.53,2.55,2.62,2.36,3.11,5.76,1.16,0.34,0.1,0.0,0.05,0.01,2.57,4
Ross Dwelley ,SF,TE,2.0,6.27,5.3,0.77,7.54,1.13,104.94,17.8,26.2,44.19,16.48,4.37,0.83,1.04,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.77,7.54,1.13,0.0,0.0,0.0,0.79,16.73,2.96,1.17,3.93,3.0,4.46,0.81,0.96,0.04,0.0,0.24,0.0,1.64,19.38,3.34,1.72,4.15,3.46,4.42,0.85,0.96,0.04,0.0,0.24,0.0,2.0,22.03,3.73,2.26,4.39,3.94,4.38,0.99,0.86,0.04,0.0,0.24,0.0,2.36,4
Shane Zylstra ,DET,TE,1.0,7.29,8.71,1.16,12.71,1.86,52.57,8.0,7.13,14.57,6.03,0.0,0.0,2.86,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.71,1.16,12.71,1.86,0.0,0.0,0.0,0.89,22.4,2.7,0.74,5.11,2.58,5.86,0.71,0.0,0.0,0.71,0.09,0.1,1.56,26.76,3.28,1.24,5.76,3.15,5.86,0.71,0.0,0.0,0.71,0.09,0.1,1.99,31.11,3.87,1.74,6.43,3.72,5.86,0.71,0.0,0.0,0.71,0.09,0.1,2.41,2
Mitchell Wilcox ,FA,TE,8.0,7.57,13.0,1.56,14.29,1.79,103.86,12.17,7.37,15.86,7.95,0.0,0.0,0.71,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.56,14.29,1.79,0.0,0.0,0.0,0.91,14.67,1.69,0.93,2.27,1.91,6.14,0.71,0.71,0.0,0.0,0.09,0.0,1.47,21.17,2.48,1.29,2.86,2.75,6.14,0.71,0.71,0.0,0.0,0.09,0.0,1.99,27.67,3.26,1.64,3.52,3.57,6.14,0.0,1.43,0.0,0.0,0.21,0.0,2.56,2
Blake Bell ,KC,TE,5.0,6.35,4.85,0.89,6.5,1.01,47.22,8.8,9.85,19.93,8.42,0.67,0.05,0.62,0.31,1.08,0.09,2.66,0.22,0.81,0.0,0.0,5.93,0.98,7.59,1.1,0.0,0.0,0.0,0.68,8.68,2.75,2.58,3.63,2.73,5.35,0.38,0.62,0.0,0.0,0.62,0.0,1.49,11.11,3.19,3.04,3.77,3.28,5.35,0.38,0.62,0.0,0.0,0.62,0.0,1.78,13.53,3.64,3.52,3.92,3.84,5.35,1.0,0.0,0.0,0.0,0.0,0.0,1.94,4
Maxx Williams ,FA,TE,12.0,4.6,7.17,1.53,7.77,1.61,76.63,14.82,8.45,17.93,7.99,1.58,0.25,0.38,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.17,1.53,7.77,1.61,0.0,0.0,0.0,0.7,9.97,1.86,1.04,2.03,2.05,3.83,0.24,0.29,0.25,0.0,0.17,0.08,1.24,13.55,2.62,1.83,2.69,2.85,3.83,0.24,0.04,0.49,0.0,0.17,0.17,1.78,17.14,3.39,2.63,3.37,3.62,3.83,0.24,0.04,0.49,0.0,0.17,0.17,2.29,4
Josh Oliver ,MIN,TE,2.0,11.38,12.15,1.06,21.44,1.86,120.46,10.29,9.49,32.78,6.99,2.05,0.17,1.37,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.15,1.06,21.44,1.86,0.0,0.0,0.0,0.99,20.24,1.71,0.42,3.03,1.82,10.01,0.0,0.68,0.68,0.0,0.14,0.07,1.27,26.32,2.23,0.92,3.49,2.39,10.01,0.0,0.68,0.68,0.0,0.14,0.07,1.75,32.4,2.77,1.42,3.96,2.97,10.01,0.68,0.0,0.68,0.0,0.06,0.07,2.19,4
Geoff Swaim ,FA,TE,11.0,12.55,16.42,1.27,21.56,1.66,98.18,7.45,5.75,16.34,4.93,0.49,0.03,1.45,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.42,1.27,21.56,1.66,0.0,0.0,0.0,0.99,18.54,1.39,0.48,2.45,1.58,10.75,0.34,1.45,0.0,0.0,0.12,0.0,1.15,26.75,2.02,1.01,2.93,2.28,10.26,0.84,1.45,0.0,0.0,0.12,0.0,1.69,34.96,2.66,1.54,3.45,2.96,10.22,0.88,1.45,0.0,0.0,0.12,0.0,2.23,4
Connor Heyward ,PIT,TE,3.0,15.0,12.0,0.8,17.0,1.13,151.0,10.07,12.58,45.0,8.2,4.0,0.27,1.0,0.07,2.0,0.13,27.0,1.8,13.5,0.0,0.0,14.0,0.93,19.0,1.27,0.0,0.0,0.0,1.0,23.8,1.59,0.6,2.39,1.82,12.0,2.0,1.0,0.0,0.0,0.07,0.0,1.25,29.8,1.99,1.1,2.72,2.29,12.0,2.0,1.0,0.0,0.0,0.07,0.0,1.69,35.8,2.39,1.6,3.1,2.75,12.0,3.0,0.0,0.0,0.0,0.0,0.0,2.08,1
Nick Vannett ,NYG,TE,4.0,8.14,7.96,0.98,12.17,1.51,82.53,10.55,10.34,19.21,8.27,0.74,0.11,0.34,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.96,0.98,12.17,1.51,0.0,0.0,0.0,0.91,10.32,1.31,1.01,1.35,1.69,7.27,0.53,0.34,0.0,0.0,0.05,0.0,1.27,14.3,1.79,1.47,1.73,2.28,7.27,0.78,0.1,0.0,0.0,0.01,0.0,1.68,18.28,2.28,1.96,2.14,2.86,7.27,0.74,0.14,0.0,0.0,0.01,0.0,2.12,4
Jody Fortson ,KC,TE,3.0,8.29,7.86,1.0,10.71,1.29,90.57,11.07,11.26,36.29,9.79,3.14,0.36,2.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.86,1.0,10.71,1.29,0.71,0.07,0.08,0.91,14.86,1.49,0.5,2.11,1.62,6.14,1.43,0.71,0.0,0.0,0.08,0.0,1.11,18.79,1.98,1.0,2.33,2.38,6.14,2.14,0.0,0.0,0.0,0.0,0.0,1.57,22.71,2.49,1.5,2.56,3.05,6.14,2.14,0.0,0.0,0.0,0.0,0.0,2.04,2
Eric Tomlinson ,FA,TE,18.0,8.27,5.83,0.65,8.64,0.98,50.41,5.66,7.17,12.85,4.15,0.0,0.0,1.23,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.83,0.65,8.64,0.98,0.0,0.0,0.0,0.96,12.43,1.39,0.68,2.03,1.51,7.04,0.62,0.62,0.0,0.0,0.07,0.0,1.12,15.34,1.71,1.29,2.35,1.87,7.04,0.62,0.62,0.0,0.0,0.07,0.0,1.56,18.26,2.04,1.6,2.69,2.24,7.04,0.62,0.62,0.0,0.0,0.07,0.0,1.86,4
Zach Gentry ,PIT,TE,2.0,11.44,16.42,1.32,20.36,1.64,122.57,9.96,6.6,26.02,7.34,2.34,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.42,1.32,20.36,1.64,0.0,0.0,0.0,0.94,12.26,0.99,0.5,1.3,1.29,9.47,1.97,0.0,0.0,0.0,0.0,0.0,0.97,20.47,1.65,1.02,1.75,2.06,9.47,1.97,0.0,0.0,0.0,0.0,0.0,1.55,28.68,2.31,1.48,2.24,2.79,9.47,1.35,0.62,0.0,0.0,0.05,0.0,2.11,4
Quintin Morris ,BUF,TE,2.0,9.0,8.0,0.89,11.0,1.22,84.0,9.33,10.5,26.0,7.11,1.0,0.11,1.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.89,11.0,1.22,1.0,0.11,0.12,1.0,12.4,1.38,0.3,2.41,1.58,8.0,0.0,1.0,0.0,0.0,0.12,0.0,1.03,16.4,1.82,0.8,2.65,2.11,8.0,0.0,1.0,0.0,0.0,0.12,0.0,1.5,20.4,2.27,1.3,2.96,2.64,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.9,1
Jack Stoll ,PHI,TE,3.0,8.86,9.0,0.98,11.43,1.24,94.14,9.83,9.56,21.14,8.24,1.43,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.98,11.43,1.24,0.0,0.0,0.0,0.96,9.41,0.98,0.73,1.01,1.37,8.14,0.71,0.0,0.0,0.0,0.0,0.0,1.04,13.91,1.47,1.17,1.41,1.97,8.14,0.71,0.0,0.0,0.0,0.0,0.0,1.5,18.41,1.96,1.6,1.82,2.56,8.14,0.71,0.0,0.0,0.0,0.0,0.0,1.94,2
Grant Calcaterra ,PHI,TE,2.0,6.0,5.0,0.83,9.0,1.5,81.0,13.5,16.2,40.0,12.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.83,9.0,1.5,0.0,0.0,0.0,0.85,8.1,1.35,0.95,1.7,1.69,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.13,10.6,1.77,1.35,1.95,2.21,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.48,13.1,2.18,1.85,2.23,2.73,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.87,1
Johnny Mundt ,MIN,TE,3.0,10.87,12.5,1.02,13.85,1.12,94.67,7.77,8.32,16.39,5.96,0.2,0.01,0.62,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,1.02,13.85,1.12,0.0,0.0,0.0,0.9,13.16,1.06,0.74,1.27,1.38,10.16,0.71,0.0,0.0,0.0,0.0,0.0,1.04,19.41,1.57,1.05,1.45,2.06,10.16,0.71,0.0,0.0,0.0,0.0,0.0,1.47,25.66,2.08,1.6,1.67,2.74,10.16,0.71,0.0,0.0,0.0,0.0,0.0,2.02,4
Eric Saubert ,MIA,TE,3.0,11.95,11.58,0.93,18.25,1.46,105.11,8.28,8.46,19.42,6.27,1.85,0.13,0.86,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.58,0.93,18.25,1.46,0.0,0.0,0.0,0.97,15.68,1.24,0.37,1.92,1.53,9.86,1.48,0.62,0.0,0.0,0.05,0.0,0.98,21.47,1.71,0.82,2.26,2.12,9.86,1.48,0.62,0.0,0.0,0.05,0.0,1.43,27.27,2.17,1.27,2.68,2.69,9.61,1.72,0.62,0.0,0.0,0.05,0.0,1.87,4
Luke Farrell ,JAC,TE,2.0,5.43,4.86,0.94,6.0,1.06,44.57,8.92,9.43,16.71,8.95,0.29,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.86,0.94,6.0,1.06,0.0,0.0,0.0,0.79,4.46,0.89,0.96,0.56,1.49,5.43,0.0,0.0,0.0,0.0,0.0,0.0,0.92,6.89,1.36,1.46,0.6,2.32,5.43,0.0,0.0,0.0,0.0,0.0,0.0,1.38,9.31,1.83,1.96,0.65,3.2,5.43,0.0,0.0,0.0,0.0,0.0,0.0,1.85,2
Ryan Griffin ,FA,TE,14.0,11.6,11.34,0.88,18.07,1.43,101.38,7.73,7.7,22.27,5.63,1.32,0.1,0.69,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.34,0.88,18.07,1.43,0.0,0.0,0.0,1.0,14.35,1.08,0.54,1.36,1.27,10.28,0.67,0.57,0.0,0.08,0.06,0.01,0.99,20.02,1.52,0.85,1.63,1.81,10.28,0.63,0.61,0.0,0.08,0.07,0.01,1.38,25.69,1.96,1.13,1.94,2.34,9.78,1.12,0.61,0.0,0.08,0.07,0.01,1.74,4
