Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE
Evan Engram ,JAC,TE,1.0,16.05,64.22,4.0,91.74,5.75,655.0,40.77,10.08,37.73,15.83,9.05,0.57,3.42,0.22,2.19,0.14,10.1,0.61,3.78,0.1,0.01,66.41,4.14,93.93,5.89,0.34,0.02,0.01,1.0,88.16,5.49,3.88,5.4,5.16,7.18,3.73,3.02,1.43,0.69,0.48,0.35,4.97,120.27,7.5,6.24,6.33,7.01,5.7,3.55,4.67,1.43,0.69,0.78,0.43,7.03,152.38,9.5,8.66,7.35,8.85,5.36,2.61,4.59,2.8,0.69,1.23,0.7,9.24,4
Gerald Everett ,LAC,TE,1.0,15.02,53.03,3.54,77.56,5.17,516.65,34.44,9.78,31.35,15.21,5.28,0.35,3.63,0.24,1.49,0.1,5.12,0.34,1.84,0.1,0.01,54.53,3.63,79.05,5.27,0.59,0.04,0.01,1.0,74.57,4.97,3.92,3.56,5.19,5.65,4.33,3.48,1.56,0.0,0.53,0.3,4.96,101.09,6.74,5.59,3.96,7.09,4.22,4.41,4.55,1.8,0.04,0.79,0.52,6.76,127.61,8.5,7.59,4.46,8.98,3.94,4.6,4.36,2.09,0.04,0.8,0.62,8.53,4
David Njoku ,CLE,TE,1.0,13.75,46.65,3.33,65.57,4.7,526.3,37.44,11.35,44.35,17.54,10.25,0.71,3.68,0.27,1.48,0.1,-4.68,-0.33,-2.22,0.0,0.0,48.13,3.44,67.04,4.81,0.62,0.04,0.01,0.99,73.04,5.22,3.89,4.57,5.11,6.4,2.19,3.59,1.33,0.25,0.62,0.28,4.89,96.36,6.89,5.47,5.52,6.64,5.44,3.15,2.97,1.33,0.86,0.62,0.5,6.34,119.69,8.55,7.02,6.49,8.17,5.44,2.78,1.45,3.22,0.86,0.74,0.98,7.9,4
Noah Fant ,SEA,TE,1.0,16.52,55.22,3.36,72.72,4.44,552.74,33.72,10.03,46.63,16.87,8.94,0.54,3.86,0.24,0.12,0.01,-0.47,-0.03,-0.16,0.0,0.0,55.34,3.37,72.84,4.45,0.04,0.0,0.0,1.0,78.52,4.78,3.75,3.79,4.9,6.23,6.33,2.85,0.54,0.57,0.32,0.25,4.56,106.13,6.46,5.51,4.37,6.61,4.96,6.76,2.45,1.77,0.57,0.44,0.5,6.24,133.74,8.14,7.27,5.04,8.29,4.71,5.81,3.03,2.19,0.77,0.63,0.66,7.93,4
Kyle Pitts ,ATL,TE,1.0,12.0,39.43,3.14,73.57,6.06,547.43,42.67,13.39,41.0,20.56,11.43,0.85,1.71,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.43,3.14,73.57,6.06,0.0,0.0,0.0,1.0,65.03,5.23,3.68,4.32,5.18,5.43,2.71,2.57,0.71,0.57,0.46,0.26,4.89,84.74,6.8,4.88,4.97,6.72,5.14,2.43,2.86,1.0,0.57,0.56,0.41,6.21,104.46,8.37,5.96,5.65,8.28,5.14,2.14,2.43,1.0,1.29,0.63,0.52,7.46,2
Hunter Henry ,NE,TE,1.0,15.65,45.64,2.95,66.96,4.33,548.03,35.33,12.09,37.07,18.5,13.14,0.84,4.04,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.64,2.95,66.96,4.33,0.04,0.0,0.0,1.0,79.04,5.09,3.7,4.23,5.05,6.56,4.31,2.58,1.67,0.53,0.54,0.5,4.77,101.86,6.57,4.89,4.78,6.55,6.8,4.02,2.54,1.75,0.53,0.57,0.48,5.98,124.68,8.04,6.12,5.41,8.04,6.7,1.42,4.96,1.78,0.78,1.02,0.81,7.52,4
Hayden Hurst ,CAR,TE,1.0,13.78,46.35,3.33,60.95,4.35,394.76,28.22,8.56,32.53,14.52,4.64,0.33,2.64,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.35,3.33,60.95,4.35,0.25,0.02,0.01,1.0,54.83,3.93,3.28,3.06,4.24,6.82,4.61,1.4,0.95,0.0,0.22,0.16,3.97,78.0,5.59,5.26,3.55,6.02,5.96,4.04,2.83,0.95,0.0,0.4,0.18,5.75,101.18,7.26,7.24,4.13,7.76,4.69,4.6,3.55,0.95,0.0,0.52,0.23,7.5,4
Logan Thomas ,WAS,TE,1.0,11.44,36.17,3.22,55.66,4.87,320.0,29.51,9.12,28.87,13.99,2.56,0.28,1.99,0.24,0.3,0.02,0.49,0.03,0.16,0.0,0.0,36.47,3.24,55.96,4.88,0.25,0.05,0.01,0.95,43.58,4.27,3.88,3.11,4.56,6.01,2.64,2.35,0.34,0.1,0.58,0.29,4.18,61.66,5.88,5.65,3.58,6.33,5.16,2.77,2.97,0.44,0.1,0.68,0.34,5.73,79.75,7.49,7.28,4.17,8.09,4.54,2.43,3.83,0.44,0.2,1.42,0.38,7.46,4
Cole Kmet ,CHI,TE,1.0,16.9,50.31,2.97,72.59,4.29,530.56,31.3,10.48,42.36,15.46,7.77,0.46,4.69,0.28,1.64,0.1,5.46,0.32,2.58,0.0,0.0,51.95,3.07,74.23,4.39,0.1,0.01,0.0,1.0,81.55,4.81,3.4,4.54,4.7,7.77,4.31,2.9,0.64,1.28,0.42,0.28,4.36,106.71,6.29,4.79,5.16,6.17,5.49,6.59,2.79,0.74,1.28,0.42,0.49,5.7,131.86,7.78,6.19,5.85,7.63,5.23,6.23,2.9,1.26,1.28,0.48,0.57,7.04,3
Taysom Hill ,NO,TE,1.0,15.01,8.06,0.52,11.63,0.76,79.1,5.21,10.17,26.01,4.61,1.74,0.11,1.57,0.09,85.99,5.73,497.35,33.01,5.75,6.37,0.43,94.05,6.26,97.62,6.49,0.49,0.03,0.0,1.0,84.24,5.26,4.74,5.03,4.45,8.24,0.62,3.08,2.46,0.62,1.03,0.62,5.45,88.27,5.53,4.92,5.17,4.93,8.24,1.23,3.08,1.85,0.62,0.79,0.49,5.6,92.3,5.79,5.09,5.3,5.37,8.86,1.85,3.08,0.62,0.62,0.48,0.2,5.65,4
