Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Travis Kelce ,KC,TE,1.0,16,97,6.06,136,8.5,1229,76.81,12.67,47,23.5,21,1.31,5,0.31,1,0.06,4,0.25,4.0,1,0.06,98,6.12,137,8.56,1,0.06,0.01,1.0,157.3,9.83,8.95,4.13,9.86,1,3,5,5,2,3.0,7.0,12.57,205.8,12.86,12.2,4.81,12.84,1,1,6,3,5,7.0,8.0,17.63,254.3,15.89,15.7,5.61,15.78,0,1,5,5,5,15.0,10.0,25.02
George Kittle ,SF,TE,1.0,14,85,6.07,107,7.64,1053,75.21,12.39,61,28.93,25,1.79,5,0.36,5,0.36,22,1.57,4.4,0,0.0,90,6.43,112,8.0,0,0.0,0.0,1.0,137.5,9.82,9.8,5.01,9.39,1,4,3,5,1,1.8,6.0,11.83,180.0,12.86,13.55,5.74,12.29,1,2,3,5,3,3.67,8.0,16.26,222.5,15.89,17.3,6.65,15.12,1,2,2,5,4,3.67,9.0,19.47
Austin Hooper ,LV,TE,1.0,13,75,5.77,97,7.46,787,60.54,10.49,35,19.92,11,0.85,6,0.46,0,0.0,0,0.0,0.0,0,0.0,75,5.77,97,7.46,0,0.0,0.0,1.0,116.7,8.98,7.7,5.31,8.45,1,3,4,3,2,2.25,5.0,10.39,154.2,11.86,11.7,5.98,11.22,1,2,4,3,3,3.33,6.0,14.23,191.7,14.75,14.6,6.76,13.97,0,3,3,4,3,3.33,7.0,17.02
Zach Ertz ,ARI,TE,1.0,15,88,5.87,135,9.0,916,61.07,10.41,30,20.2,13,0.87,6,0.4,0,0.0,0,0.0,0.0,0,0.0,88,5.87,135,9.0,1,0.07,0.01,1.0,127.6,8.51,6.5,5.77,7.85,3,4,3,2,3,1.14,1.67,8.35,171.6,11.44,10.0,6.99,10.4,2,3,3,4,3,2.0,3.5,11.96,215.6,14.37,13.5,8.31,12.94,1,4,3,4,3,2.0,7.0,15.55
Darren Waller ,NYG,TE,1.0,16,90,5.62,117,7.31,1145,71.56,12.72,75,27.88,23,1.44,3,0.19,2,0.12,5,0.31,2.5,0,0.0,92,5.75,119,7.44,1,0.06,0.01,1.0,131.0,8.19,6.65,5.39,7.68,0,8,4,3,1,1.0,4.0,8.69,176.0,11.0,9.05,6.25,10.29,0,5,6,3,2,2.2,5.0,11.8,221.0,13.81,12.3,7.28,12.85,0,5,5,3,3,2.2,6.0,14.66
Mark Andrews ,BAL,TE,1.0,15,64,4.27,98,6.53,852,56.8,13.31,51,27.6,25,1.67,10,0.67,0,0.0,0,0.0,0.0,0,0.0,64,4.27,98,6.53,1,0.07,0.02,1.0,143.2,9.55,9.1,6.56,8.53,3,3,2,3,4,1.5,2.33,9.92,175.2,11.68,11.1,7.45,10.46,3,3,2,3,4,1.5,2.33,11.69,207.2,13.81,13.9,8.39,12.4,3,2,2,4,4,2.0,2.67,14.16
Hunter Henry ,NE,TE,1.0,12,55,4.58,76,6.33,652,54.33,11.85,30,19.08,9,0.75,5,0.42,0,0.0,0,0.0,0.0,0,0.0,55,4.58,76,6.33,1,0.08,0.02,1.0,95.2,7.93,8.65,5.53,7.4,2,3,6,0,1,1.4,0.5,8.68,122.7,10.22,10.95,6.27,9.56,2,2,5,2,1,2.0,1.5,11.24,150.2,12.52,12.45,7.08,11.73,2,1,4,4,1,3.0,2.5,13.64
Jared Cook ,FA,TE,9.0,14,43,3.07,65,4.64,705,50.36,16.4,61,25.43,23,1.64,9,0.64,0,0.0,0,0.0,0.0,0,0.0,43,3.07,65,4.64,0,0.0,0.0,1.0,124.5,8.89,8.9,6.03,8.12,3,2,6,0,3,1.8,1.0,9.27,146.0,10.43,10.35,6.26,9.75,3,2,5,1,3,1.8,1.33,10.74,167.5,11.96,11.95,6.58,11.41,2,2,6,1,3,2.5,2.0,12.73
Will Dissly ,SEA,TE,1.0,6,23,3.83,27,4.5,262,43.67,11.39,38,17.67,4,0.67,4,0.67,1,0.17,7,1.17,7.0,0,0.0,24,4.0,28,4.67,0,0.0,0.0,0.85,50.9,8.48,10.25,6.66,7.55,2,0,1,2,1,2.0,1.5,8.33,62.4,10.4,13.0,7.91,9.17,2,0,1,2,1,2.0,1.5,9.99,73.9,12.32,15.5,9.2,10.81,2,0,1,2,1,2.0,1.5,11.56
Evan Engram ,JAC,TE,1.0,8,44,5.5,68,8.5,467,58.38,10.61,75,26.75,9,1.12,3,0.38,3,0.38,7,0.88,2.33,0,0.0,47,5.88,71,8.88,0,0.0,0.0,0.95,65.4,8.18,5.2,6.26,7.39,1,4,1,0,2,0.6,2.0,7.02,87.4,10.92,7.9,7.32,9.82,1,2,3,0,2,1.67,2.0,9.73,109.4,13.68,10.9,8.48,12.24,1,0,4,1,2,7.0,3.0,14.84
Dallas Goedert ,PHI,TE,1.0,15,58,3.87,87,5.8,607,40.47,10.47,28,17.13,8,0.53,5,0.33,0,0.0,0,0.0,0.0,0,0.0,58,3.87,87,5.8,2,0.13,0.03,1.0,86.7,5.78,5.5,4.13,5.8,4,4,5,1,1,0.88,0.5,6.23,115.7,7.71,8.0,4.85,7.69,3,4,6,1,1,1.14,0.67,8.38,144.7,9.65,9.8,5.71,9.54,3,3,7,1,1,1.5,0.67,10.2
Tyler Higbee ,LAR,TE,1.0,15,69,4.6,89,5.93,734,48.93,10.64,33,15.2,13,0.87,3,0.2,0,0.0,0,0.0,0.0,0,0.0,69,4.6,89,5.93,0,0.0,0.0,1.0,91.4,6.09,4.1,5.47,5.7,7,2,2,3,1,0.67,0.57,5.48,125.9,8.39,6.1,6.92,7.65,5,4,1,2,3,0.67,1.0,7.37,160.4,10.69,7.7,8.46,9.58,4,5,1,1,4,0.67,1.25,9.02
Jason Witten ,FA,TE,4.0,16,63,3.94,83,5.19,529,33.06,8.4,33,13.25,3,0.19,4,0.25,0,0.0,0,0.0,0.0,0,0.0,63,3.94,83,5.19,1,0.06,0.02,1.0,76.9,4.81,3.5,3.26,5.12,5,7,3,1,0,0.33,0.2,4.61,108.4,6.78,6.0,3.75,7.2,3,7,5,1,0,0.6,0.33,6.84,139.9,8.74,8.35,4.36,9.25,3,7,4,2,0,0.6,0.67,8.9
Eric Ebron ,FA,TE,7.0,11,31,2.82,52,4.73,375,34.09,12.1,48,19.27,8,0.73,3,0.27,0,0.0,0,0.0,0.0,0,0.0,31,2.82,52,4.73,0,0.0,0.0,1.0,55.5,5.05,4.4,4.11,5.07,5,3,1,2,0,0.38,0.4,5.02,71.0,6.45,6.2,4.34,6.61,3,4,3,1,0,0.57,0.33,6.61,86.5,7.86,7.7,4.67,8.17,3,4,3,1,0,0.57,0.33,7.98
Greg Olsen ,FA,TE,1.0,14,52,3.71,82,5.86,597,42.64,11.48,41,16.57,9,0.64,2,0.14,0,0.0,0,0.0,0.0,0,0.0,52,3.71,82,5.86,0,0.0,0.0,1.0,71.7,5.12,3.8,5.24,4.84,5,6,1,1,1,0.27,0.4,4.71,97.7,6.98,5.55,6.1,6.57,5,5,1,2,1,0.4,0.6,6.39,123.7,8.84,7.3,7.02,8.3,4,4,3,2,1,0.75,0.75,8.17
James O'Shaughnessy ,FA,TE,13.0,5,14,2.8,20,4.0,153,30.6,10.93,35,16.6,2,0.4,2,0.4,0,0.0,0,0.0,0.0,0,0.0,14,2.8,20,4.0,0,0.0,0.0,0.78,27.3,5.46,5.7,2.41,6.27,1,2,2,0,0,0.67,0.0,4.76,34.3,6.86,7.2,1.8,8.76,0,3,2,0,0,0.67,0.0,6.16,41.3,8.26,8.7,1.24,11.97,0,4,1,0,0,0.25,0.0,7.65
Kaden Smith ,FA,TE,8.0,9,31,3.44,42,4.67,268,29.78,8.65,32,12.56,4,0.44,3,0.33,0,0.0,0,0.0,0.0,0,0.0,31,3.44,42,4.67,0,0.0,0.0,1.0,44.8,4.98,3.8,5.44,4.66,4,1,3,0,1,0.8,0.25,4.74,60.3,6.7,5.3,6.75,6.15,4,1,2,1,1,0.8,0.5,6.14,75.8,8.42,6.8,8.12,7.62,4,1,2,1,1,0.8,0.5,7.48
Mike Gesicki ,NE,TE,2.0,16,51,3.19,89,5.56,570,35.62,11.18,34,16.06,10,0.62,5,0.31,0,0.0,0,0.0,0.0,0,0.0,51,3.19,89,5.56,1,0.06,0.02,1.0,85.0,5.31,3.6,5.7,4.92,7,4,3,1,1,0.45,0.29,4.69,110.5,6.91,5.1,6.39,6.42,7,4,2,2,1,0.45,0.43,6.08,136.0,8.5,6.95,7.11,7.95,6,5,2,2,1,0.45,0.5,7.61
Jacob Hollister ,FA,TE,3.0,11,41,3.73,59,5.36,349,31.73,8.51,22,13.55,3,0.27,3,0.27,0,0.0,0,0.0,0.0,0,0.0,41,3.73,59,5.36,0,0.0,0.0,1.0,52.9,4.81,2.5,4.86,4.63,6,3,0,1,1,0.22,0.33,3.94,73.4,6.67,4.5,5.6,6.41,5,3,1,1,1,0.38,0.4,5.74,93.9,8.54,6.5,6.44,8.19,3,4,2,0,2,0.57,0.67,7.6
Delanie Walker ,FA,TE,11.0,7,21,3.0,31,4.43,215,30.71,10.24,29,13.14,1,0.14,2,0.29,0,0.0,0,0.0,0.0,0,0.0,21,3.0,31,4.43,0,0.0,0.0,0.9,33.5,4.79,3.9,6.08,4.36,3,3,0,0,1,0.17,0.33,3.91,44.0,6.29,5.8,6.99,5.72,3,2,1,0,1,0.4,0.33,5.34,54.5,7.79,7.3,7.99,7.08,3,2,1,0,1,0.4,0.33,6.5
O.J. Howard ,LV,TE,2.0,14,34,2.43,53,3.79,459,32.79,13.5,33,16.86,11,0.79,1,0.07,0,0.0,0,0.0,0.0,0,0.0,34,2.43,53,3.79,1,0.07,0.03,1.0,49.9,3.56,3.4,3.28,3.79,6,5,2,1,0,0.27,0.17,3.79,66.9,4.78,4.65,3.99,5.0,6,4,3,1,0,0.4,0.17,4.96,83.9,5.99,5.9,4.75,6.2,5,5,3,1,0,0.4,0.2,6.08
