Player,Season,Week,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,FPTS
Josh Lambo (FA),2020,1,2,2,100.0,50,0,0,0,1,1,3,3,12.0
Mason Crosby (FA),2020,1,2,2,100.0,43,0,0,1,1,0,5,5,12.0
Joey Slye (WAS),2020,1,3,3,100.0,47,0,0,1,2,0,1,2,12.0
Daniel Carlson (LV),2020,1,2,2,100.0,54,0,1,0,0,1,4,4,12.0
Matt Prater (ARI),2020,1,3,4,75.0,44,0,1,1,1,0,2,2,12.0
Michael Badgley (DET),2020,1,3,4,75.0,43,0,2,0,1,0,1,1,11.0
Harrison Butker (KC),2020,1,2,2,100.0,29,1,1,0,0,0,4,4,10.0
Robbie Gould (FA),2020,1,2,2,100.0,52,0,1,0,0,1,2,2,10.0
Dustin Hopkins (LAC),2020,1,2,3,66.7,40,0,0,1,1,0,3,3,10.0
Randy Bullock (FA),2020,1,2,3,66.7,50,0,0,0,1,1,1,1,10.0
Wil Lutz (NO),2020,1,2,2,100.0,29,0,2,0,0,0,4,4,10.0
Cairo Santos (CHI),2020,1,2,2,100.0,35,0,1,1,0,0,3,3,9.0
Chris Boswell (PIT),2020,1,2,2,100.0,41,0,0,1,1,0,2,3,9.0
Justin Tucker (BAL),2020,1,1,1,100.0,41,0,0,0,1,0,5,5,9.0
Younghoe Koo (ATL),2020,1,2,2,100.0,49,0,0,0,2,0,1,2,9.0
Tyler Bass (BUF),2020,1,2,4,50.0,22,1,1,0,0,0,3,3,9.0
Jason Myers (SEA),2020,1,1,1,100.0,42,0,0,0,1,0,5,5,9.0
Zane Gonzalez (CAR),2020,1,1,3,33.3,56,0,0,0,0,1,3,3,8.0
Rodrigo Blankenship (FA),2020,1,2,3,66.7,38,0,1,1,0,0,2,2,8.0
Sam Sloman (FA),2020,1,2,3,66.7,35,0,0,2,0,0,2,2,8.0
Greg Zuerlein (NYJ),2020,1,1,2,50.0,33,0,0,1,0,0,2,2,5.0
Ryan Succop (TB),2020,1,1,2,50.0,38,0,0,1,0,0,2,2,5.0
Jake Elliott (PHI),2020,1,1,2,50.0,38,0,0,1,0,0,2,2,5.0
Sam Ficken (FA),2020,1,1,1,100.0,31,0,0,1,0,0,2,2,5.0
Jason Sanders (MIA),2020,1,1,1,100.0,46,0,0,0,1,0,0,0,4.0
Dan Bailey (FA),2020,1,1,1,100.0,35,0,0,1,0,0,1,1,4.0
Graham Gano (NYG),2020,1,1,1,100.0,21,0,1,0,0,0,1,1,4.0
Stephen Gostkowski (FA),2020,1,1,4,25.0,25,0,1,0,0,0,1,2,4.0
Nick Folk (NE),2020,1,0,1,0.0,0,0,0,0,0,0,3,3,3.0
Brandon McManus (DEN),2020,1,0,0,0.0,0,0,0,0,0,0,2,2,2.0
Ka'imi Fairbairn (HOU),2020,1,0,1,0.0,0,0,0,0,0,0,2,2,2.0
Austin Seibert (FA),2020,1,0,1,0.0,0,0,0,0,0,0,0,1,0.0
Ty Long (FA),2020,1,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Younghoe Koo (ATL),2020,2,4,4,100.0,42,0,1,1,2,0,3,3,17.0
Justin Tucker (BAL),2020,2,4,4,100.0,47,0,1,2,1,0,3,3,16.0
Rodrigo Blankenship (FA),2020,2,4,4,100.0,44,0,1,2,1,0,2,2,15.0
Randy Bullock (FA),2020,2,3,3,100.0,43,0,1,1,1,0,3,3,13.0
Harrison Butker (KC),2020,2,3,3,100.0,58,0,0,1,0,2,0,1,13.0
Zane Gonzalez (CAR),2020,2,3,3,100.0,49,0,1,1,1,0,3,3,13.0
Stephen Gostkowski (FA),2020,2,2,2,100.0,51,0,0,0,1,1,3,4,12.0
Ka'imi Fairbairn (HOU),2020,2,3,3,100.0,45,0,0,1,2,0,1,1,12.0
Daniel Carlson (LV),2020,2,2,2,100.0,54,0,1,0,0,1,4,4,12.0
Greg Zuerlein (NYJ),2020,2,2,2,100.0,46,0,0,1,1,0,4,4,11.0
Jason Sanders (MIA),2020,2,2,2,100.0,52,0,0,0,1,1,2,2,11.0
Mason Crosby (FA),2020,2,2,2,100.0,43,0,0,1,1,0,4,4,11.0
Michael Badgley (DET),2020,2,2,2,100.0,41,0,1,0,1,0,2,2,9.0
Robbie Gould (FA),2020,2,1,1,100.0,46,0,0,0,1,0,4,4,8.0
