Player,Season,Week,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,FPTS
Sam Ficken (FA),2020,2,2,2,100.0,41,0,1,0,1,0,1,1,8.0
Brandon McManus (DEN),2020,2,2,3,66.7,49,0,1,0,1,0,1,1,8.0
Ryan Succop (TB),2020,2,1,1,100.0,33,0,0,1,0,0,4,4,7.0
Graham Gano (NYG),2020,2,2,3,66.7,39,0,0,2,0,0,1,1,7.0
Tyler Bass (BUF),2020,2,1,1,100.0,39,0,0,1,0,0,4,4,7.0
Sam Sloman (FA),2020,2,1,1,100.0,30,0,0,1,0,0,4,5,7.0
Jake Elliott (PHI),2020,2,2,2,100.0,38,0,0,2,0,0,1,1,7.0
Wil Lutz (NO),2020,2,1,1,100.0,31,0,0,1,0,0,3,3,6.0
Nick Folk (NE),2020,2,1,2,50.0,25,0,1,0,0,0,3,3,6.0
Josh Lambo (FA),2020,2,1,1,100.0,35,0,0,1,0,0,3,4,6.0
Chris Boswell (PIT),2020,2,1,1,100.0,21,0,1,0,0,0,3,3,6.0
Joey Slye (WAS),2020,2,1,1,100.0,23,0,1,0,0,0,2,2,5.0
Cairo Santos (CHI),2020,2,1,2,50.0,34,0,0,1,0,0,2,2,5.0
Cody Parkey (FA),2020,2,0,0,0.0,0,0,0,0,0,0,5,5,5.0
Jason Myers (SEA),2020,2,0,0,0.0,0,0,0,0,0,0,5,5,5.0
Matt Prater (ARI),2020,2,0,1,0.0,0,0,0,0,0,0,3,3,3.0
Dan Bailey (FA),2020,2,1,1,100.0,21,0,1,0,0,0,0,0,3.0
Dustin Hopkins (LAC),2020,2,1,1,100.0,24,0,1,0,0,0,0,0,3.0
Ty Long (FA),2020,2,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Stephen Gostkowski (FA),2020,3,6,6,100.0,55,0,0,3,0,3,1,1,25.0
Mason Crosby (FA),2020,3,3,3,100.0,52,0,0,1,1,1,4,4,16.0
Joey Slye (WAS),2020,3,5,5,100.0,31,0,3,2,0,0,0,1,15.0
Matt Prater (ARI),2020,3,4,4,100.0,39,0,1,3,0,0,2,2,14.0
Robbie Gould (FA),2020,3,3,4,75.0,52,0,1,1,0,1,3,3,14.0
Jake Elliott (PHI),2020,3,3,3,100.0,54,0,1,0,1,1,2,2,14.0
Wil Lutz (NO),2020,3,3,3,100.0,45,0,0,2,1,0,3,3,13.0
Graham Gano (NYG),2020,3,3,3,100.0,52,0,0,0,2,1,0,0,13.0
Rodrigo Blankenship (FA),2020,3,2,3,66.7,42,0,0,0,2,0,4,4,12.0
Randy Bullock (FA),2020,3,3,3,100.0,48,0,1,1,1,0,2,2,12.0
Nick Folk (NE),2020,3,3,3,100.0,33,0,1,2,0,0,3,4,12.0
Cody Parkey (FA),2020,3,2,2,100.0,42,0,0,1,1,0,4,4,11.0
Justin Tucker (BAL),2020,3,2,2,100.0,42,0,1,0,1,0,2,2,9.0
Ryan Succop (TB),2020,3,2,2,100.0,43,0,0,1,1,0,2,3,9.0
Greg Zuerlein (NYJ),2020,3,2,2,100.0,43,0,0,0,2,0,1,3,9.0
Daniel Carlson (LV),2020,3,2,3,66.7,29,0,2,0,0,0,2,2,8.0
Chris Boswell (PIT),2020,3,2,2,100.0,33,0,1,1,0,0,2,2,8.0
Younghoe Koo (ATL),2020,3,2,3,66.7,36,0,1,1,0,0,2,3,8.0
Jason Sanders (MIA),2020,3,1,1,100.0,30,0,0,1,0,0,4,4,7.0
Zane Gonzalez (CAR),2020,3,1,1,100.0,54,0,0,0,0,1,2,3,7.0
Dan Bailey (FA),2020,3,1,2,50.0,41,0,0,0,1,0,3,3,7.0
Brandon McManus (DEN),2020,3,1,1,100.0,56,0,0,0,0,1,1,1,6.0
Cairo Santos (CHI),2020,3,1,2,50.0,35,0,0,1,0,0,3,3,6.0
Sam Sloman (FA),2020,3,1,2,50.0,30,0,0,1,0,0,3,3,6.0
Michael Badgley (DET),2020,3,1,1,100.0,41,0,0,0,1,0,1,1,5.0
Tyler Bass (BUF),2020,3,0,0,0.0,0,0,0,0,0,0,5,5,5.0
Harrison Butker (KC),2020,3,0,1,0.0,0,0,0,0,0,0,4,5,4.0
Jason Myers (SEA),2020,3,0,0,0.0,0,0,0,0,0,0,4,4,4.0
Ka'imi Fairbairn (HOU),2020,3,0,0,0.0,0,0,0,0,0,0,3,3,3.0
Dustin Hopkins (LAC),2020,3,0,0,0.0,0,0,0,0,0,0,2,3,2.0
Sam Ficken (FA),2020,3,0,0,0.0,0,0,0,0,0,0,1,1,1.0
Brandon Wright (FA),2020,3,0,0,0.0,0,0,0,0,0,0,1,2,1.0
Ty Long (FA),2020,3,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Jason Sanders (MIA),2020,4,5,5,100.0,45,0,2,0,3,0,0,0,18.0
Sam Ficken (FA),2020,4,5,5,100.0,54,0,1,3,0,1,1,1,18.0
Brandon McManus (DEN),2020,4,3,3,100.0,54,0,0,0,1,2,4,4,18.0
Randy Bullock (FA),2020,4,4,4,100.0,46,0,0,2,2,0,3,3,17.0
Aldrick Rosas (FA),2020,4,4,5,80.0,50,0,1,2,0,1,1,1,15.0
Rodrigo Blankenship (FA),2020,4,4,4,100.0,44,0,1,2,1,0,1,1,14.0
Ka'imi Fairbairn (HOU),2020,4,3,3,100.0,50,0,2,0,0,1,2,2,13.0
Daniel Carlson (LV),2020,4,3,3,100.0,54,0,1,1,0,1,2,2,13.0
Cody Parkey (FA),2020,4,2,2,100.0,44,0,0,1,1,0,5,5,12.0
Graham Gano (NYG),2020,4,3,3,100.0,37,0,1,2,0,0,0,0,9.0
Michael Badgley (DET),2020,4,1,2,50.0,53,0,0,0,0,1,4,4,9.0
Jason Myers (SEA),2020,4,1,1,100.0,55,0,0,0,0,1,4,4,9.0
Justin Tucker (BAL),2020,4,1,1,100.0,46,0,0,0,1,0,4,4,8.0
Ryan Succop (TB),2020,4,1,2,50.0,26,0,1,0,0,0,5,5,8.0
Harrison Butker (KC),2020,4,2,2,100.0,39,0,1,1,0,0,2,3,8.0
Mason Crosby (FA),2020,4,1,1,100.0,48,0,0,0,1,0,3,4,7.0
Joey Slye (WAS),2020,4,1,2,50.0,27,0,1,0,0,0,4,4,7.0
Dan Bailey (FA),2020,4,1,2,50.0,31,0,0,1,0,0,4,4,7.0
Dustin Hopkins (LAC),2020,4,1,2,50.0,43,0,0,0,1,0,2,2,6.0
Tyler Bass (BUF),2020,4,1,1,100.0,34,0,0,1,0,0,3,4,6.0
Nick Folk (NE),2020,4,1,1,100.0,43,0,0,0,1,0,1,1,5.0
Wil Lutz (NO),2020,4,0,0,0.0,0,0,0,0,0,0,5,5,5.0
Jake Elliott (PHI),2020,4,1,1,100.0,35,0,0,1,0,0,2,2,5.0
Sam Sloman (FA),2020,4,1,1,100.0,32,0,0,1,0,0,2,2,5.0
Elliott Fry (ARI),2020,4,1,1,100.0,23,0,1,0,0,0,1,2,4.0
Cairo Santos (CHI),2020,4,1,1,100.0,27,0,1,0,0,0,0,0,3.0
Zane Gonzalez (CAR),2020,4,0,0,0.0,0,0,0,0,0,0,3,3,3.0
Matt Prater (ARI),2020,4,0,0,0.0,0,0,0,0,0,0,3,3,3.0
Greg Zuerlein (NYJ),2020,4,0,0,0.0,0,0,0,0,0,0,2,2,2.0
Robbie Gould (FA),2020,4,0,0,0.0,0,0,0,0,0,0,2,2,2.0
Ty Long (FA),2020,4,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Jason Sanders (MIA),2020,5,5,5,100.0,50,0,2,1,1,1,4,4,22.0
Graham Gano (NYG),2020,5,4,4,100.0,55,0,1,0,0,3,2,2,20.0
Wil Lutz (NO),2020,5,3,3,100.0,53,0,0,1,1,1,3,3,15.0
Greg Zuerlein (NYJ),2020,5,3,3,100.0,40,0,1,1,1,0,4,4,14.0
Ryan Succop (TB),2020,5,4,4,100.0,46,0,1,2,1,0,1,1,14.0
Ka'imi Fairbairn (HOU),2020,5,3,3,100.0,46,0,0,2,1,0,3,3,13.0
Younghoe Koo (ATL),2020,5,3,3,100.0,54,0,0,1,1,1,1,1,13.0
Cody Parkey (FA),2020,5,3,3,100.0,46,0,1,1,1,0,3,3,13.0
Dan Bailey (FA),2020,5,2,2,100.0,52,0,0,0,1,1,2,2,11.0
Joey Slye (WAS),2020,5,3,3,100.0,39,0,1,2,0,0,2,2,11.0
Daniel Carlson (LV),2020,5,2,2,100.0,43,0,0,1,1,0,4,5,11.0
Rodrigo Blankenship (FA),2020,5,3,3,100.0,37,0,1,2,0,0,2,2,11.0
Justin Tucker (BAL),2020,5,2,3,66.7,46,0,0,1,1,0,3,3,10.0
Chris Boswell (PIT),2020,5,1,1,100.0,41,0,0,0,1,0,5,5,9.0
Cairo Santos (CHI),2020,5,2,2,100.0,47,0,0,1,1,0,2,2,9.0
Zane Gonzalez (CAR),2020,5,1,1,100.0,47,0,0,0,1,0,3,3,7.0
Harrison Butker (KC),2020,5,1,1,100.0,32,0,0,1,0,0,3,3,6.0
Stephen Gostkowski (FA),2020,5,0,0,0.0,0,0,0,0,0,0,6,6,6.0
Sam Sloman (FA),2020,5,1,1,100.0,28,0,1,0,0,0,3,4,6.0
Robbie Gould (FA),2020,5,1,1,100.0,37,0,0,1,0,0,2,2,5.0
Dustin Hopkins (LAC),2020,5,1,1,100.0,48,0,0,0,1,0,1,1,5.0
Tyler Bass (BUF),2020,5,1,1,100.0,43,0,0,0,1,0,1,1,5.0
Sam Ficken (FA),2020,5,1,1,100.0,26,0,1,0,0,0,1,1,4.0
Jason Myers (SEA),2020,5,0,0,0.0,0,0,0,0,0,0,3,3,3.0
Michael Badgley (DET),2020,5,0,1,0.0,0,0,0,0,0,0,3,4,3.0
Jake Elliott (PHI),2020,5,0,1,0.0,0,0,0,0,0,0,3,3,3.0
Randy Bullock (FA),2020,5,1,1,100.0,38,0,0,1,0,0,0,0,3.0
Stephen Hauschka (FA),2020,5,0,2,0.0,0,0,0,0,0,0,2,2,2.0
Ty Long (FA),2020,5,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Brandon McManus (DEN),2020,6,6,6,100.0,54,0,2,0,2,2,0,0,24.0
Younghoe Koo (ATL),2020,6,4,4,100.0,50,0,1,0,2,1,4,4,20.0
Justin Tucker (BAL),2020,6,3,3,100.0,55,0,0,0,2,1,3,3,16.0
Cairo Santos (CHI),2020,6,3,3,100.0,55,0,0,2,0,1,2,2,13.0
Randy Bullock (FA),2020,6,2,3,66.7,55,0,0,0,1,1,3,3,12.0
Matt Prater (ARI),2020,6,2,3,66.7,41,0,0,1,1,0,4,4,11.0
Joey Slye (WAS),2020,6,3,4,75.0,48,0,2,0,1,0,1,1,11.0
Ryan Succop (TB),2020,6,1,1,100.0,50,0,0,0,0,1,5,5,10.0
Rodrigo Blankenship (FA),2020,6,1,1,100.0,40,0,0,0,1,0,4,4,8.0
Harrison Butker (KC),2020,6,2,2,100.0,37,0,0,2,0,0,2,3,8.0
Zane Gonzalez (CAR),2020,6,1,1,100.0,26,0,1,0,0,0,5,5,8.0
Graham Gano (NYG),2020,6,2,2,100.0,33,0,1,1,0,0,2,2,8.0
Chris Boswell (PIT),2020,6,1,1,100.0,35,0,0,1,0,0,5,5,8.0
Nick Folk (NE),2020,6,2,2,100.0,41,0,0,1,1,0,0,0,7.0
Dustin Hopkins (LAC),2020,6,2,3,66.7,35,0,1,1,0,0,1,1,7.0
Robbie Gould (FA),2020,6,1,1,100.0,49,0,0,0,1,0,3,3,7.0
Tyler Bass (BUF),2020,6,1,2,50.0,48,0,0,0,1,0,2,2,6.0
Jason Sanders (MIA),2020,6,1,1,100.0,24,0,1,0,0,0,3,3,6.0
Ka'imi Fairbairn (HOU),2020,6,1,1,100.0,38,0,0,1,0,0,3,4,6.0
Sam Sloman (FA),2020,6,1,1,100.0,42,0,0,0,1,0,1,2,5.0
Stephen Gostkowski (FA),2020,6,0,2,0.0,0,0,0,0,0,0,4,4,4.0
Mason Crosby (FA),2020,6,1,1,100.0,39,0,0,1,0,0,1,1,4.0
Greg Zuerlein (NYJ),2020,6,1,2,50.0,34,0,0,1,0,0,1,1,4.0
Jonathan Brown (FA),2020,6,1,2,50.0,31,0,0,1,0,0,1,1,4.0
Cody Parkey (FA),2020,6,0,0,0.0,0,0,0,0,0,0,1,1,1.0
Dan Bailey (FA),2020,6,0,0,0.0,0,0,0,0,0,0,1,1,1.0
Jake Elliott (PHI),2020,6,0,1,0.0,0,0,0,0,0,0,0,0,0.0
Sam Ficken (FA),2020,6,0,1,0.0,0,0,0,0,0,0,0,0,0.0
Tyler Bass (BUF),2020,7,6,8,75.0,53,0,1,1,3,1,0,0,23.0
Zane Gonzalez (CAR),2020,7,3,4,75.0,49,0,0,0,3,0,4,4,16.0
Matt Prater (ARI),2020,7,3,4,75.0,51,0,0,0,1,2,2,2,16.0
Harrison Butker (KC),2020,7,3,3,100.0,40,0,1,1,1,0,4,5,14.0
Jason Myers (SEA),2020,7,2,2,100.0,44,0,0,0,2,0,4,4,12.0
Wil Lutz (NO),2020,7,2,2,100.0,43,0,0,0,2,0,3,3,11.0
Randy Bullock (FA),2020,7,2,2,100.0,37,0,1,1,0,0,4,4,10.0
Robbie Gould (FA),2020,7,2,2,100.0,41,0,0,1,1,0,3,4,10.0
Michael Badgley (DET),2020,7,2,3,66.7,35,0,0,2,0,0,3,4,9.0
Daniel Carlson (LV),2020,7,2,2,100.0,42,0,0,1,1,0,2,2,9.0
Chris Boswell (PIT),2020,7,2,2,100.0,38,0,0,2,0,0,3,3,9.0
Ryan Succop (TB),2020,7,1,1,100.0,29,0,1,0,0,0,6,6,9.0
Stephen Gostkowski (FA),2020,7,1,2,50.0,51,0,0,0,0,1,3,3,8.0
Cody Parkey (FA),2020,7,1,1,100.0,43,0,0,0,1,0,4,5,8.0
Ka'imi Fairbairn (HOU),2020,7,2,3,66.7,38,0,1,1,0,0,2,2,8.0
Nick Folk (NE),2020,7,2,2,100.0,41,0,0,0,2,0,0,0,8.0
Joey Slye (WAS),2020,7,1,2,50.0,43,0,0,0,1,0,3,3,7.0
Sam Sloman (FA),2020,7,1,2,50.0,22,0,1,0,0,0,3,3,6.0
Brandon McManus (DEN),2020,7,1,1,100.0,43,0,0,0,1,0,1,2,5.0
Dustin Hopkins (LAC),2020,7,1,2,50.0,30,0,0,1,0,0,2,2,5.0
Cairo Santos (CHI),2020,7,1,1,100.0,42,0,0,0,1,0,1,1,5.0
Mason Crosby (FA),2020,7,0,0,0.0,0,0,0,0,0,0,5,5,5.0
Sergio Castillo (NYJ),2020,7,1,1,100.0,29,0,1,0,0,0,1,1,4.0
Jake Elliott (PHI),2020,7,1,2,50.0,31,0,0,1,0,0,1,1,4.0
Greg Zuerlein (NYJ),2020,7,1,1,100.0,45,0,0,0,1,0,0,0,4.0
Graham Gano (NYG),2020,7,0,0,0.0,0,0,0,0,0,0,3,3,3.0
Younghoe Koo (ATL),2020,7,0,0,0.0,0,0,0,0,0,0,2,2,2.0
Josh Lambo (FA),2020,7,0,0,0.0,0,0,0,0,0,0,1,1,1.0
Ty Long (FA),2020,7,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Michael Badgley (DET),2020,8,3,3,100.0,52,0,0,1,1,1,3,3,15.0
Ryan Succop (TB),2020,8,4,4,100.0,43,0,0,2,2,0,1,1,15.0
Wil Lutz (NO),2020,8,4,5,80.0,39,0,1,3,0,0,2,2,14.0
Cairo Santos (CHI),2020,8,3,3,100.0,51,0,1,0,1,1,2,2,14.0
Greg Zuerlein (NYJ),2020,8,3,4,75.0,59,0,0,0,2,1,0,0,13.0
Younghoe Koo (ATL),2020,8,4,4,100.0,37,0,2,2,0,0,1,2,13.0
Sergio Castillo (NYJ),2020,8,3,4,75.0,55,0,0,1,1,1,0,0,12.0
Daniel Carlson (LV),2020,8,3,4,75.0,33,0,2,1,0,0,1,1,10.0
Jason Myers (SEA),2020,8,1,1,100.0,48,0,0,0,1,0,4,5,8.0
Nick Folk (NE),2020,8,2,2,100.0,43,0,0,1,1,0,1,1,8.0
Justin Tucker (BAL),2020,8,1,1,100.0,51,0,0,0,0,1,3,3,8.0
Cody Parkey (FA),2020,8,2,3,66.7,41,0,0,1,1,0,0,0,7.0
Randy Bullock (FA),2020,8,1,1,100.0,33,0,0,1,0,0,4,4,7.0
Brandon McManus (DEN),2020,8,1,1,100.0,35,0,0,1,0,0,4,4,7.0
Tyler Bass (BUF),2020,8,1,1,100.0,28,0,1,0,0,0,3,3,6.0
Harrison Butker (KC),2020,8,0,0,0.0,0,0,0,0,0,0,5,5,5.0
Graham Gano (NYG),2020,8,1,1,100.0,33,0,0,1,0,0,2,2,5.0
Kai Forbath (LAR),2020,8,1,2,50.0,23,0,1,0,0,0,2,2,5.0
Joey Slye (WAS),2020,8,1,1,100.0,39,0,0,1,0,0,2,2,5.0
Jason Sanders (MIA),2020,8,0,0,0.0,0,0,0,0,0,0,4,4,4.0
Dan Bailey (FA),2020,8,0,0,0.0,0,0,0,0,0,0,4,4,4.0
Chris Boswell (PIT),2020,8,0,0,0.0,0,0,0,0,0,0,4,4,4.0
Matt Prater (ARI),2020,8,0,1,0.0,0,0,0,0,0,0,3,3,3.0
Robbie Gould (FA),2020,8,0,0,0.0,0,0,0,0,0,0,3,3,3.0
Rodrigo Blankenship (FA),2020,8,0,0,0.0,0,0,0,0,0,0,3,5,3.0
Mason Crosby (FA),2020,8,0,0,0.0,0,0,0,0,0,0,2,2,2.0
Stephen Gostkowski (FA),2020,8,0,1,0.0,0,0,0,0,0,0,2,2,2.0
Jake Elliott (PHI),2020,8,0,0,0.0,0,0,0,0,0,0,1,1,1.0
Ty Long (FA),2020,8,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Tyler Bass (BUF),2020,9,3,4,75.0,44,0,1,1,1,0,5,5,15.0
Greg Zuerlein (NYJ),2020,9,4,4,100.0,45,0,0,2,2,0,1,1,15.0
Nick Folk (NE),2020,9,3,3,100.0,51,0,1,0,1,1,3,3,15.0
Jason Sanders (MIA),2020,9,2,2,100.0,56,0,0,0,0,2,4,4,14.0
Graham Gano (NYG),2020,9,3,3,100.0,48,0,0,1,2,0,2,2,13.0
Jason Myers (SEA),2020,9,2,2,100.0,45,0,0,0,2,0,4,4,12.0
Younghoe Koo (ATL),2020,9,2,2,100.0,52,0,0,1,0,1,4,4,12.0
Mason Crosby (FA),2020,9,2,2,100.0,53,1,0,0,0,1,4,4,12.0
Sergio Castillo (NYJ),2020,9,2,2,100.0,50,0,0,1,0,1,3,3,11.0
Harrison Butker (KC),2020,9,2,3,66.7,55,0,0,1,0,1,3,4,11.0
Brandon McManus (DEN),2020,9,2,2,100.0,43,0,0,0,2,0,3,3,11.0
Ka'imi Fairbairn (HOU),2020,9,2,2,100.0,54,0,0,1,0,1,3,3,11.0
Dustin Hopkins (LAC),2020,9,2,2,100.0,48,0,0,0,2,0,2,2,10.0
Matt Prater (ARI),2020,9,2,3,66.7,45,0,1,0,1,0,2,2,9.0
Michael Badgley (DET),2020,9,2,3,66.7,45,0,1,0,1,0,2,2,9.0
Josh Lambo (FA),2020,9,2,2,100.0,59,0,0,1,0,1,1,2,9.0
Chris Boswell (PIT),2020,9,2,2,100.0,59,0,0,0,1,1,0,2,9.0
Wil Lutz (NO),2020,9,1,1,100.0,36,0,0,1,0,0,5,5,8.0
Joey Slye (WAS),2020,9,1,3,33.3,47,0,0,0,1,0,4,4,8.0
Stephen Gostkowski (FA),2020,9,1,1,100.0,40,0,0,0,1,0,3,3,7.0
Daniel Carlson (LV),2020,9,1,1,100.0,31,0,0,1,0,0,4,4,7.0
Justin Tucker (BAL),2020,9,1,1,100.0,48,0,0,0,1,0,3,3,7.0
Zane Gonzalez (CAR),2020,9,1,2,50.0,37,0,0,1,0,0,4,4,7.0
Robbie Gould (FA),2020,9,1,1,100.0,22,0,1,0,0,0,2,2,5.0
Cairo Santos (CHI),2020,9,1,1,100.0,22,0,1,0,0,0,2,2,5.0
Rodrigo Blankenship (FA),2020,9,1,1,100.0,43,0,0,0,1,0,1,1,5.0
Ryan Succop (TB),2020,9,1,1,100.0,48,0,0,0,1,0,0,0,4.0
Dan Bailey (FA),2020,9,0,0,0.0,0,0,0,0,0,0,4,5,4.0
Ty Long (FA),2020,9,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Tyler Bass (BUF),2020,10,3,3,100.0,58,0,0,0,0,3,3,3,18.0
Ryan Succop (TB),2020,10,4,4,100.0,40,0,3,0,1,0,4,5,17.0
Matt Prater (ARI),2020,10,3,3,100.0,59,0,0,1,0,2,3,3,16.0
Zane Gonzalez (CAR),2020,10,4,4,100.0,45,0,2,0,2,0,2,2,16.0
Daniel Carlson (LV),2020,10,3,3,100.0,52,0,2,0,0,1,4,4,15.0
Jason Sanders (MIA),2020,10,3,4,75.0,50,0,0,1,1,1,2,2,14.0
Chris Boswell (PIT),2020,10,3,3,100.0,45,0,0,1,2,0,3,3,14.0
Jason Myers (SEA),2020,10,3,3,100.0,61,0,0,2,0,1,1,1,12.0
Rodrigo Blankenship (FA),2020,10,2,2,100.0,43,0,1,0,1,0,4,4,11.0
Graham Gano (NYG),2020,10,2,2,100.0,44,0,0,1,1,0,3,3,10.0
Dustin Hopkins (LAC),2020,10,2,3,66.7,41,0,0,1,1,0,3,3,10.0
Chase McLaughlin (FA),2020,10,2,2,100.0,52,0,0,1,0,1,2,2,10.0
Wil Lutz (NO),2020,10,2,2,100.0,49,0,1,0,1,0,3,3,10.0
Dan Bailey (FA),2020,10,2,2,100.0,43,0,0,1,1,0,1,1,8.0
Cairo Santos (CHI),2020,10,2,2,100.0,42,0,1,0,1,0,1,1,8.0
Brandon McManus (DEN),2020,10,2,2,100.0,50,0,0,1,0,1,0,0,8.0
Robbie Gould (FA),2020,10,2,2,100.0,40,0,0,1,1,0,1,1,8.0
Stephen Gostkowski (FA),2020,10,1,2,50.0,50,0,0,0,0,1,2,2,7.0
Mason Crosby (FA),2020,10,1,1,100.0,39,0,0,1,0,0,3,3,6.0
Joey Slye (WAS),2020,10,1,1,100.0,46,0,0,0,1,0,2,2,6.0
Justin Tucker (BAL),2020,10,1,1,100.0,24,0,1,0,0,0,2,2,5.0
Cody Parkey (FA),2020,10,1,1,100.0,41,0,0,0,1,0,1,1,5.0
Nick Folk (NE),2020,10,1,1,100.0,20,0,1,0,0,0,2,3,5.0
Kai Forbath (LAR),2020,10,1,1,100.0,23,0,1,0,0,0,2,3,5.0
Randy Bullock (FA),2020,10,1,1,100.0,37,0,0,1,0,0,1,1,4.0
Jake Elliott (PHI),2020,10,1,1,100.0,40,0,0,0,1,0,0,0,4.0
Michael Badgley (DET),2020,10,0,0,0.0,0,0,0,0,0,0,3,3,3.0
Ka'imi Fairbairn (HOU),2020,10,0,1,0.0,0,0,0,0,0,0,1,1,1.0
Ty Long (FA),2020,10,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Rodrigo Blankenship (FA),2020,11,4,5,80.0,43,0,0,3,1,0,2,2,15.0
Younghoe Koo (ATL),2020,11,3,3,100.0,52,0,1,0,0,2,0,0,13.0
Stephen Gostkowski (FA),2020,11,3,3,100.0,40,0,1,0,2,0,1,1,12.0
Chris Boswell (PIT),2020,11,2,3,66.7,47,0,0,0,2,0,3,3,11.0
Michael Badgley (DET),2020,11,2,2,100.0,44,0,1,0,1,0,4,4,11.0
