Player,Season,Week,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,FPTS
Joey Slye (WAS),2021,1,3,3,100.0,40,0,2,0,1,0,4,4,14.0
Robbie Gould (FA),2021,1,2,3,66.7,52,0,0,0,1,1,5,5,14.0
Dustin Hopkins (LAC),2021,1,3,4,75.0,48,0,0,1,2,0,1,1,12.0
Chris Boswell (PIT),2021,1,3,3,100.0,45,0,2,0,1,0,2,2,12.0
Greg Zuerlein (NYJ),2021,1,3,5,60.0,48,0,1,1,1,0,2,3,12.0
Matt Gay (IND),2021,1,2,2,100.0,53,0,1,0,0,1,4,4,12.0
Evan McPherson (CIN),2021,1,2,2,100.0,53,0,0,1,0,1,3,3,11.0
Tyler Bass (BUF),2021,1,3,3,100.0,42,0,1,1,1,0,1,1,11.0
Daniel Carlson (LV),2021,1,2,2,100.0,55,0,0,1,0,1,3,3,11.0
Justin Tucker (BAL),2021,1,2,2,100.0,47,0,0,0,2,0,3,3,11.0
Nick Folk (NE),2021,1,3,3,100.0,42,0,1,1,1,0,1,1,11.0
Harrison Butker (KC),2021,1,2,2,100.0,43,0,1,0,1,0,3,3,10.0
Brandon McManus (DEN),2021,1,2,2,100.0,36,0,1,1,0,0,3,3,9.0
Aldrick Rosas (FA),2021,1,1,1,100.0,44,0,0,0,1,0,5,5,9.0
Tristan Vizcaino (DAL),2021,1,2,2,100.0,33,0,1,1,0,0,2,2,8.0
Greg Joseph (MIN),2021,1,1,1,100.0,53,0,0,0,0,1,3,3,8.0
Matt Prater (ARI),2021,1,1,2,50.0,34,0,0,1,0,0,5,5,8.0
Ryan Santoso (FA),2021,1,2,2,100.0,29,0,2,0,0,0,1,2,7.0
Jake Elliott (PHI),2021,1,1,1,100.0,43,0,0,0,1,0,3,3,7.0
Ryan Succop (TB),2021,1,1,1,100.0,36,0,0,1,0,0,4,4,7.0
Jason Sanders (MIA),2021,1,1,1,100.0,48,0,0,0,1,0,2,2,6.0
Younghoe Koo (ATL),2021,1,2,2,100.0,27,0,2,0,0,0,0,0,6.0
Austin Seibert (FA),2021,1,1,2,50.0,49,0,0,0,1,0,2,2,6.0
Jason Myers (SEA),2021,1,0,0,0.0,0,0,0,0,0,0,4,4,4.0
