Player,Season,Week,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,FPTS
Rodrigo Blankenship (FA),2021,1,1,1,100.0,21,0,1,0,0,0,1,1,4.0
Chase McLaughlin (FA),2021,1,0,0,0.0,0,0,0,0,0,0,3,3,3.0
Josh Lambo (FA),2021,1,0,1,0.0,0,0,0,0,0,0,3,3,3.0
Mason Crosby (FA),2021,1,1,1,100.0,39,0,0,1,0,0,0,0,3.0
Cairo Santos (CHI),2021,1,0,0,0.0,0,0,0,0,0,0,2,2,2.0
Graham Gano (NYG),2021,1,0,0,0.0,0,0,0,0,0,0,1,1,1.0
Michael Badgley (DET),2021,1,0,1,0.0,0,0,0,0,0,0,1,2,1.0
Elliott Fry (ARI),2021,1,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Cameron Nizialek (FA),2021,1,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Matt Ammendola (FA),2021,1,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Ty Long (FA),2021,1,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Michael Palardy (NE),2021,1,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Graham Gano (NYG),2021,2,5,5,100.0,55,0,1,1,1,2,2,2,22.0
Daniel Carlson (LV),2021,2,4,4,100.0,46,0,0,1,3,0,2,2,17.0
Nick Folk (NE),2021,2,4,4,100.0,49,0,1,1,2,0,1,2,15.0
Randy Bullock (FA),2021,2,4,5,80.0,36,0,1,3,0,0,3,3,15.0
Dustin Hopkins (LAC),2021,2,3,3,100.0,49,0,0,1,2,0,3,3,14.0
Brandon McManus (DEN),2021,2,3,3,100.0,46,0,0,1,2,0,2,2,13.0
Greg Joseph (MIN),2021,2,2,3,66.7,52,0,0,0,0,2,3,4,13.0
Rodrigo Blankenship (FA),2021,2,3,3,100.0,48,0,0,1,2,0,1,1,12.0
Matt Prater (ARI),2021,2,2,2,100.0,62,0,1,0,0,1,4,4,12.0
Tristan Vizcaino (DAL),2021,2,3,4,75.0,46,0,1,1,1,0,0,0,10.0
Greg Zuerlein (NYJ),2021,2,2,2,100.0,56,0,0,1,0,1,2,2,10.0
Zane Gonzalez (CAR),2021,2,2,3,66.7,42,0,1,0,1,0,2,3,9.0
Matt Gay (IND),2021,2,2,2,100.0,38,0,0,2,0,0,3,3,9.0
Cairo Santos (CHI),2021,2,2,2,100.0,28,0,2,0,0,0,2,2,8.0
Evan McPherson (CIN),2021,2,1,1,100.0,53,0,0,0,0,1,2,2,7.0
Chase McLaughlin (FA),2021,2,1,1,100.0,30,0,0,1,0,0,4,4,7.0
Chris Boswell (PIT),2021,2,1,1,100.0,56,0,0,0,0,1,2,2,7.0
Justin Tucker (BAL),2021,2,1,1,100.0,43,0,0,0,1,0,3,3,7.0
Ryan Succop (TB),2021,2,0,0,0.0,0,0,0,0,0,0,6,7,6.0
Austin Seibert (FA),2021,2,1,1,100.0,43,0,0,0,1,0,2,2,6.0
Jason Myers (SEA),2021,2,1,1,100.0,31,0,0,1,0,0,3,4,6.0
Robbie Gould (FA),2021,2,1,1,100.0,46,0,0,0,1,0,2,2,6.0
Matt Ammendola (FA),2021,2,2,3,66.7,35,0,1,1,0,0,0,0,6.0
Mason Crosby (FA),2021,2,0,0,0.0,0,0,0,0,0,0,5,5,5.0
Younghoe Koo (ATL),2021,2,1,1,100.0,36,0,0,1,0,0,2,2,5.0
Harrison Butker (KC),2021,2,0,0,0.0,0,0,0,0,0,0,5,5,5.0
Tyler Bass (BUF),2021,2,0,1,0.0,0,0,0,0,0,0,5,5,5.0
Jake Elliott (PHI),2021,2,1,2,50.0,45,0,0,0,1,0,0,0,4.0
Joey Slye (WAS),2021,2,0,1,0.0,0,0,0,0,0,0,3,3,3.0
Josh Lambo (FA),2021,2,0,2,0.0,0,0,0,0,0,0,1,1,1.0
Aldrick Rosas (FA),2021,2,0,0,0.0,0,0,0,0,0,0,1,1,1.0
Cameron Nizialek (FA),2021,2,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Jason Sanders (MIA),2021,2,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Ty Long (FA),2021,2,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Michael Palardy (NE),2021,2,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Chase McLaughlin (FA),2021,3,4,4,100.0,57,0,1,0,1,2,2,2,19.0
Justin Tucker (BAL),2021,3,4,5,80.0,66,0,0,2,0,2,1,1,17.0
Brandon McManus (DEN),2021,3,4,4,100.0,47,0,1,1,2,0,2,2,16.0
Mason Crosby (FA),2021,3,3,3,100.0,54,0,0,1,0,2,3,3,16.0
Tyler Bass (BUF),2021,3,3,3,100.0,48,0,2,0,1,0,4,4,14.0
Daniel Carlson (LV),2021,3,3,3,100.0,50,0,1,1,0,1,2,3,13.0
Greg Joseph (MIN),2021,3,3,3,100.0,43,0,1,1,1,0,3,3,13.0
Matt Gay (IND),2021,3,2,2,100.0,48,0,1,0,1,0,4,4,11.0
Rodrigo Blankenship (FA),2021,3,3,4,75.0,43,0,2,0,1,0,1,1,11.0
Jason Sanders (MIA),2021,3,2,3,66.7,50,0,0,0,1,1,2,2,11.0
Nick Folk (NE),2021,3,2,2,100.0,45,0,1,0,1,0,1,1,8.0
Jason Myers (SEA),2021,3,1,2,50.0,53,0,0,0,0,1,2,2,7.0
Cairo Santos (CHI),2021,3,2,2,100.0,47,0,1,0,1,0,0,0,7.0
Matt Prater (ARI),2021,3,1,2,50.0,34,0,0,1,0,0,4,4,7.0
Evan McPherson (CIN),2021,3,1,1,100.0,43,0,0,0,1,0,3,3,7.0
Younghoe Koo (ATL),2021,3,1,1,100.0,40,0,0,0,1,0,2,2,6.0
Zane Gonzalez (CAR),2021,3,1,1,100.0,21,0,1,0,0,0,3,3,6.0
Ryan Succop (TB),2021,3,1,2,50.0,26,0,1,0,0,0,3,3,6.0
Harrison Butker (KC),2021,3,1,1,100.0,34,0,0,1,0,0,3,3,6.0
Graham Gano (NYG),2021,3,2,2,100.0,31,0,1,1,0,0,0,0,6.0
Ryan Santoso (FA),2021,3,1,1,100.0,35,0,0,1,0,0,2,2,5.0
Greg Zuerlein (NYJ),2021,3,0,0,0.0,0,0,0,0,0,0,5,6,5.0
Joey Slye (WAS),2021,3,1,1,100.0,53,0,0,0,0,1,0,1,5.0
Randy Bullock (FA),2021,3,1,1,100.0,32,0,0,1,0,0,2,2,5.0
Tristan Vizcaino (DAL),2021,3,1,1,100.0,24,0,1,0,0,0,1,3,4.0
Chris Boswell (PIT),2021,3,1,2,50.0,26,0,1,0,0,0,1,1,4.0
Aldrick Rosas (FA),2021,3,0,2,0.0,0,0,0,0,0,0,4,4,4.0
Robbie Gould (FA),2021,3,0,0,0.0,0,0,0,0,0,0,4,4,4.0
Jake Elliott (PHI),2021,3,0,0,0.0,0,0,0,0,0,0,3,3,3.0
Dustin Hopkins (LAC),2021,3,0,0,0.0,0,0,0,0,0,0,3,3,3.0
Josh Lambo (FA),2021,3,0,0,0.0,0,0,0,0,0,0,1,3,1.0
Matt Ammendola (FA),2021,3,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Cameron Nizialek (FA),2021,3,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Ty Long (FA),2021,3,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Michael Palardy (NE),2021,3,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Tyler Bass (BUF),2021,4,4,4,100.0,33,0,3,1,0,0,4,4,16.0
Ryan Succop (TB),2021,4,4,5,80.0,48,0,2,0,2,0,1,1,15.0
Matt Prater (ARI),2021,4,3,3,100.0,55,0,2,0,0,1,4,4,15.0
Justin Tucker (BAL),2021,4,3,3,100.0,46,0,1,0,2,0,2,2,13.0
Randy Bullock (FA),2021,4,3,4,75.0,46,0,0,1,2,0,1,1,12.0
Jake Elliott (PHI),2021,4,3,3,100.0,31,0,2,1,0,0,3,3,12.0
Rodrigo Blankenship (FA),2021,4,2,2,100.0,43,0,0,1,1,0,3,3,10.0
Matt Ammendola (FA),2021,4,2,2,100.0,27,0,2,0,0,0,3,3,9.0
Mason Crosby (FA),2021,4,2,2,100.0,29,0,2,0,0,0,3,3,9.0
Matt Gay (IND),2021,4,2,3,66.7,42,0,1,0,1,0,2,2,9.0
Chase McLaughlin (FA),2021,4,2,2,100.0,53,0,0,0,1,1,0,0,9.0
Graham Gano (NYG),2021,4,2,3,66.7,48,0,1,0,1,0,1,1,8.0
Chris Boswell (PIT),2021,4,1,1,100.0,52,0,0,0,0,1,2,2,7.0
Younghoe Koo (ATL),2021,4,1,1,100.0,25,0,1,0,0,0,3,3,6.0
Harrison Butker (KC),2021,4,0,0,0.0,0,0,0,0,0,0,6,6,6.0
Cairo Santos (CHI),2021,4,1,1,100.0,33,0,0,1,0,0,3,3,6.0
Greg Zuerlein (NYJ),2021,4,1,1,100.0,37,0,0,1,0,0,3,3,6.0
Evan McPherson (CIN),2021,4,1,2,50.0,35,0,0,1,0,0,3,3,6.0
Jason Sanders (MIA),2021,4,1,1,100.0,38,0,0,1,0,0,2,2,5.0
Nick Folk (NE),2021,4,1,2,50.0,27,0,1,0,0,0,2,2,5.0
Dustin Hopkins (LAC),2021,4,1,1,100.0,21,0,1,0,0,0,1,3,4.0
Jason Myers (SEA),2021,4,0,0,0.0,0,0,0,0,0,0,4,4,4.0
Zane Gonzalez (CAR),2021,4,0,1,0.0,0,0,0,0,0,0,4,4,4.0
Tristan Vizcaino (DAL),2021,4,0,0,0.0,0,0,0,0,0,0,4,4,4.0
Matthew Wright (FA),2021,4,0,0,0.0,0,0,0,0,0,0,3,3,3.0
Aldrick Rosas (FA),2021,4,0,1,0.0,0,0,0,0,0,0,3,3,3.0
Ryan Santoso (FA),2021,4,0,0,0.0,0,0,0,0,0,0,2,2,2.0
Daniel Carlson (LV),2021,4,0,1,0.0,0,0,0,0,0,0,2,2,2.0
Brandon McManus (DEN),2021,4,0,0,0.0,0,0,0,0,0,0,1,1,1.0
Greg Joseph (MIN),2021,4,0,0,0.0,0,0,0,0,0,0,1,1,1.0
Cameron Nizialek (FA),2021,4,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Ka'imi Fairbairn (HOU),2021,4,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Ty Long (FA),2021,4,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Michael Palardy (NE),2021,4,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Greg Joseph (MIN),2021,5,4,5,80.0,55,0,0,2,0,2,1,1,17.0
Nick Folk (NE),2021,5,4,4,100.0,52,0,1,1,0,2,1,2,17.0
Mason Crosby (FA),2021,5,4,7,57.1,49,0,1,0,3,0,1,2,16.0
Zane Gonzalez (CAR),2021,5,3,3,100.0,50,0,0,0,2,1,1,1,14.0
Greg Zuerlein (NYJ),2021,5,3,3,100.0,38,0,0,3,0,0,5,5,14.0
Austin Seibert (FA),2021,5,3,3,100.0,52,0,0,1,1,1,0,0,12.0
Graham Gano (NYG),2021,5,2,3,66.7,51,0,0,0,0,2,2,2,12.0
Dustin Hopkins (LAC),2021,5,3,3,100.0,45,0,2,0,1,0,1,1,11.0
Younghoe Koo (ATL),2021,5,2,2,100.0,52,0,0,1,0,1,3,3,11.0
Chris Boswell (PIT),2021,5,2,2,100.0,48,0,0,0,2,0,3,3,11.0
Chase McLaughlin (FA),2021,5,2,2,100.0,35,0,0,2,0,0,4,4,10.0
Harrison Butker (KC),2021,5,2,2,100.0,54,0,0,1,0,1,2,2,10.0
Ryan Succop (TB),2021,5,1,1,100.0,42,0,0,0,1,0,6,6,10.0
Cairo Santos (CHI),2021,5,2,2,100.0,46,0,0,0,2,0,2,2,10.0
Matt Gay (IND),2021,5,2,2,100.0,47,0,0,1,1,0,2,3,9.0
Jake Elliott (PHI),2021,5,2,2,100.0,58,0,0,1,0,1,1,1,9.0
Tyler Bass (BUF),2021,5,1,1,100.0,30,0,0,1,0,0,5,5,8.0
Rodrigo Blankenship (FA),2021,5,2,4,50.0,43,0,0,1,1,0,1,2,8.0
Randy Bullock (FA),2021,5,1,1,100.0,34,0,0,1,0,0,4,5,7.0
Brandon McManus (DEN),2021,5,2,2,100.0,39,0,1,1,0,0,1,1,7.0
Matt Ammendola (FA),2021,5,2,2,100.0,49,0,0,1,1,0,0,1,7.0
Joey Slye (WAS),2021,5,1,1,100.0,47,0,0,0,1,0,1,1,5.0
Jason Sanders (MIA),2021,5,1,1,100.0,23,0,1,0,0,0,2,2,5.0
Matt Prater (ARI),2021,5,1,2,50.0,21,0,1,0,0,0,2,2,5.0
Jason Myers (SEA),2021,5,1,2,50.0,32,0,0,1,0,0,2,2,5.0
Ka'imi Fairbairn (HOU),2021,5,1,2,50.0,33,0,0,1,0,0,1,3,4.0
Cody Parkey (FA),2021,5,0,0,0.0,0,0,0,0,0,0,3,5,3.0
Tristan Vizcaino (DAL),2021,5,0,0,0.0,0,0,0,0,0,0,3,5,3.0
Justin Tucker (BAL),2021,5,1,1,100.0,23,0,1,0,0,0,0,0,3.0
Daniel Carlson (LV),2021,5,1,1,100.0,31,0,0,1,0,0,0,0,3.0
Evan McPherson (CIN),2021,5,0,2,0.0,0,0,0,0,0,0,2,2,2.0
Matthew Wright (FA),2021,5,0,1,0.0,0,0,0,0,0,0,1,2,1.0
Brian Johnson (FA),2021,5,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Ty Long (FA),2021,5,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Michael Palardy (NE),2021,5,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Matthew Wright (FA),2021,6,3,3,100.0,54,0,0,0,1,2,2,2,16.0
Matt Prater (ARI),2021,6,3,3,100.0,51,0,0,2,0,1,4,4,15.0
Chris Boswell (PIT),2021,6,3,3,100.0,52,0,1,1,0,1,2,2,13.0
Greg Zuerlein (NYJ),2021,6,3,4,75.0,49,0,0,1,2,0,2,2,13.0
Tyler Bass (BUF),2021,6,3,3,100.0,52,0,2,0,0,1,2,2,13.0
Justin Tucker (BAL),2021,6,2,2,100.0,52,0,0,1,0,1,4,4,12.0
Daniel Carlson (LV),2021,6,2,3,66.7,50,0,0,1,0,1,4,4,12.0
Evan McPherson (CIN),2021,6,2,2,100.0,40,0,0,1,1,0,4,4,11.0
Randy Bullock (FA),2021,6,2,2,100.0,43,0,0,1,1,0,4,4,11.0
Dustin Hopkins (LAC),2021,6,2,3,66.7,50,0,0,0,1,1,1,1,10.0
Greg Joseph (MIN),2021,6,3,5,60.0,38,0,2,1,0,0,1,1,10.0
Jason Myers (SEA),2021,6,2,2,100.0,43,0,0,0,2,0,2,2,10.0
Harrison Butker (KC),2021,6,1,1,100.0,52,0,0,0,0,1,4,4,9.0
Zane Gonzalez (CAR),2021,6,2,2,100.0,47,0,1,0,1,0,2,2,9.0
Michael Badgley (DET),2021,6,1,1,100.0,41,0,0,0,1,0,4,4,8.0
Matt Gay (IND),2021,6,1,1,100.0,32,0,0,1,0,0,5,5,8.0
Jason Sanders (MIA),2021,6,2,3,66.7,33,0,1,1,0,0,2,2,8.0
Brandon McManus (DEN),2021,6,1,1,100.0,32,0,0,1,0,0,3,3,6.0
Mason Crosby (FA),2021,6,1,1,100.0,39,0,0,1,0,0,3,3,6.0
Ryan Succop (TB),2021,6,0,0,0.0,0,0,0,0,0,0,4,4,4.0
Graham Gano (NYG),2021,6,1,1,100.0,27,0,1,0,0,0,0,0,3.0
Ka'imi Fairbairn (HOU),2021,6,1,1,100.0,31,0,0,1,0,0,0,0,3.0
Nick Folk (NE),2021,6,0,0,0.0,0,0,0,0,0,0,3,3,3.0
Austin Seibert (FA),2021,6,1,1,100.0,35,0,0,1,0,0,0,0,3.0
Chase McLaughlin (FA),2021,6,0,0,0.0,0,0,0,0,0,0,2,2,2.0
Cairo Santos (CHI),2021,6,0,0,0.0,0,0,0,0,0,0,2,2,2.0
Jake Elliott (PHI),2021,6,0,1,0.0,0,0,0,0,0,0,2,2,2.0
Tristan Vizcaino (DAL),2021,6,0,0,0.0,0,0,0,0,0,0,0,1,0.0
JJ Molson (FA),2021,6,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Ty Long (FA),2021,6,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Michael Palardy (NE),2021,6,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Graham Gano (NYG),2021,7,3,3,100.0,53,0,0,0,2,1,2,2,15.0
Austin Seibert (FA),2021,7,4,4,100.0,47,0,0,2,2,0,1,1,15.0
Nick Folk (NE),2021,7,2,2,100.0,50,0,0,1,0,1,6,7,14.0
Evan McPherson (CIN),2021,7,2,2,100.0,52,0,0,1,0,1,5,5,13.0
Younghoe Koo (ATL),2021,7,3,3,100.0,36,0,0,3,0,0,3,3,12.0
Randy Bullock (FA),2021,7,2,2,100.0,51,0,0,1,0,1,3,3,11.0
Matt Gay (IND),2021,7,2,2,100.0,47,0,0,1,1,0,2,2,9.0
Daniel Carlson (LV),2021,7,2,2,100.0,39,0,1,1,0,0,3,4,9.0
Ryan Succop (TB),2021,7,1,2,50.0,22,0,1,0,0,0,5,5,8.0
Joey Slye (WAS),2021,7,2,2,100.0,56,0,0,1,0,1,0,1,8.0
Chase McLaughlin (FA),2021,7,1,2,50.0,52,0,0,0,0,1,2,2,7.0
Brian Johnson (FA),2021,7,2,2,100.0,33,0,1,1,0,0,1,1,7.0
Matt Prater (ARI),2021,7,1,1,100.0,31,0,0,1,0,0,4,4,7.0
Michael Badgley (DET),2021,7,1,1,100.0,42,0,0,0,1,0,3,3,7.0
Mason Crosby (FA),2021,7,1,2,50.0,39,0,0,1,0,0,3,3,6.0
Justin Tucker (BAL),2021,7,1,1,100.0,45,0,0,0,1,0,2,2,6.0
Jason Myers (SEA),2021,7,1,3,33.3,50,0,0,0,0,1,1,1,6.0
Chris Blewitt (FA),2021,7,1,2,50.0,45,0,0,0,1,0,1,1,5.0
Ka'imi Fairbairn (HOU),2021,7,1,1,100.0,53,0,0,0,0,1,0,0,5.0
Jason Sanders (MIA),2021,7,0,1,0.0,0,0,0,0,0,0,4,4,4.0
Harrison Butker (KC),2021,7,1,2,50.0,42,0,0,0,1,0,0,0,4.0
Zane Gonzalez (CAR),2021,7,1,1,100.0,45,0,0,0,1,0,0,0,4.0
Cairo Santos (CHI),2021,7,1,1,100.0,28,0,1,0,0,0,0,0,3.0
Jake Elliott (PHI),2021,7,0,0,0.0,0,0,0,0,0,0,2,2,2.0
Brandon McManus (DEN),2021,7,0,0,0.0,0,0,0,0,0,0,2,2,2.0
Matt Ammendola (FA),2021,7,0,1,0.0,0,0,0,0,0,0,1,1,1.0
Michael Palardy (NE),2021,7,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Zane Gonzalez (CAR),2021,8,4,4,100.0,57,0,2,0,0,2,1,1,17.0
Joey Slye (WAS),2021,8,4,5,80.0,52,0,1,1,1,1,1,2,16.0
Jake Elliott (PHI),2021,8,3,3,100.0,43,0,1,0,2,0,5,5,16.0
Nick Folk (NE),2021,8,4,4,100.0,48,0,1,1,2,0,1,1,15.0
Randy Bullock (FA),2021,8,2,2,100.0,46,0,0,0,2,0,4,4,12.0
Brian Johnson (FA),2021,8,3,3,100.0,35,0,2,1,0,0,3,4,12.0
Greg Joseph (MIN),2021,8,3,3,100.0,45,0,1,0,2,0,1,1,12.0
Cairo Santos (CHI),2021,8,3,3,100.0,40,0,1,1,1,0,1,2,11.0
Tyler Bass (BUF),2021,8,2,2,100.0,57,0,0,1,0,1,2,2,10.0
Younghoe Koo (ATL),2021,8,2,3,66.7,53,0,0,0,1,1,1,1,10.0
Matt Ammendola (FA),2021,8,2,3,66.7,24,0,2,0,0,0,2,2,8.0
Greg Zuerlein (NYJ),2021,8,2,3,66.7,39,0,0,2,0,0,2,2,8.0
Matt Gay (IND),2021,8,1,1,100.0,27,0,1,0,0,0,5,5,8.0
Harrison Butker (KC),2021,8,2,2,100.0,36,0,0,2,0,0,2,2,8.0
Dustin Hopkins (LAC),2021,8,1,1,100.0,48,0,0,0,1,0,3,3,7.0
Evan McPherson (CIN),2021,8,1,1,100.0,21,0,1,0,0,0,4,4,7.0
Michael Badgley (DET),2021,8,1,1,100.0,34,0,0,1,0,0,4,4,7.0
Jason Myers (SEA),2021,8,1,1,100.0,31,0,0,1,0,0,4,4,7.0
Mason Crosby (FA),2021,8,1,1,100.0,21,0,1,0,0,0,3,3,6.0
Brandon McManus (DEN),2021,8,1,2,50.0,45,0,0,0,1,0,2,2,6.0
Chris Blewitt (FA),2021,8,1,3,33.3,52,0,0,0,0,1,1,1,6.0
Graham Gano (NYG),2021,8,1,1,100.0,23,0,1,0,0,0,2,2,5.0
Jason Sanders (MIA),2021,8,1,2,50.0,51,0,0,0,0,1,0,0,5.0
Chase McLaughlin (FA),2021,8,1,1,100.0,30,0,0,1,0,0,1,1,4.0
Ryan Succop (TB),2021,8,0,0,0.0,0,0,0,0,0,0,3,3,3.0
Chris Boswell (PIT),2021,8,1,1,100.0,31,0,0,1,0,0,0,0,3.0
Matt Prater (ARI),2021,8,0,0,0.0,0,0,0,0,0,0,3,3,3.0
Ka'imi Fairbairn (HOU),2021,8,0,1,0.0,0,0,0,0,0,0,2,2,2.0
Matthew Wright (FA),2021,8,0,0,0.0,0,0,0,0,0,0,1,1,1.0
Austin Seibert (FA),2021,8,0,1,0.0,0,0,0,0,0,0,0,0,0.0
Ty Long (FA),2021,8,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Michael Palardy (NE),2021,8,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Chris Boswell (PIT),2021,9,3,3,100.0,54,0,0,0,1,2,2,3,16.0
Brandon McManus (DEN),2021,9,3,4,75.0,53,0,1,0,1,1,1,2,13.0
Matt Gay (IND),2021,9,3,3,100.0,54,0,1,1,0,1,1,1,12.0
Matthew Wright (FA),2021,9,3,4,75.0,55,0,1,1,0,1,0,0,11.0
Chase McLaughlin (FA),2021,9,2,3,66.7,28,0,2,0,0,0,5,5,11.0
Graham Gano (NYG),2021,9,3,3,100.0,38,0,0,3,0,0,2,2,11.0
Justin Tucker (BAL),2021,9,2,2,100.0,37,0,0,2,0,0,4,4,10.0
Daniel Carlson (LV),2021,9,3,4,75.0,32,0,2,1,0,0,1,1,10.0
Ka'imi Fairbairn (HOU),2021,9,3,3,100.0,40,0,1,1,1,0,0,0,10.0
Cairo Santos (CHI),2021,9,2,3,66.7,30,0,1,1,0,0,3,3,9.0
Michael Badgley (DET),2021,9,1,1,100.0,39,0,0,1,0,0,6,6,9.0
Brian Johnson (FA),2021,9,2,2,100.0,52,0,0,1,0,1,1,1,9.0
Younghoe Koo (ATL),2021,9,2,2,100.0,32,0,1,1,0,0,3,3,9.0
Harrison Butker (KC),2021,9,2,2,100.0,55,0,1,0,0,1,1,1,9.0
Greg Joseph (MIN),2021,9,1,1,100.0,36,0,0,1,0,0,4,4,7.0
Tyler Bass (BUF),2021,9,2,2,100.0,41,0,1,0,1,0,0,0,7.0
Matt Prater (ARI),2021,9,1,1,100.0,26,0,1,0,0,0,4,4,7.0
Dustin Hopkins (LAC),2021,9,2,2,100.0,30,0,1,1,0,0,1,2,7.0
Zane Gonzalez (CAR),2021,9,2,2,100.0,49,0,0,1,1,0,0,0,7.0
Matt Ammendola (FA),2021,9,1,1,100.0,33,0,0,1,0,0,3,3,6.0
Jake Elliott (PHI),2021,9,1,1,100.0,24,0,1,0,0,0,3,3,6.0
Jason Sanders (MIA),2021,9,1,1,100.0,42,0,0,0,1,0,2,2,6.0
Nick Folk (NE),2021,9,1,2,50.0,37,0,0,1,0,0,3,3,6.0
Robbie Gould (FA),2021,9,1,1,100.0,26,0,1,0,0,0,2,2,5.0
Randy Bullock (FA),2021,9,0,0,0.0,0,0,0,0,0,0,4,4,4.0
Evan McPherson (CIN),2021,9,1,1,100.0,27,0,1,0,0,0,1,1,4.0
Mason Crosby (FA),2021,9,0,2,0.0,0,0,0,0,0,0,1,1,1.0
Michael Palardy (NE),2021,9,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Greg Zuerlein (NYJ),2021,9,0,0,0.0,0,0,0,0,0,0,0,0,0.0
Zane Gonzalez (CAR),2021,10,4,4,100.0,49,0,1,0,3,0,2,2,17.0
Jake Elliott (PHI),2021,10,3,3,100.0,52,0,1,1,0,1,3,3,14.0
Harrison Butker (KC),2021,10,2,3,66.7,40,0,0,1,1,0,5,5,12.0
Joey Slye (WAS),2021,10,3,3,100.0,46,0,2,0,1,0,2,2,12.0
Chris Boswell (PIT),2021,10,3,3,100.0,51,0,2,0,0,1,1,1,12.0
Randy Bullock (FA),2021,10,3,3,100.0,36,0,1,2,0,0,2,2,11.0
Michael Badgley (DET),2021,10,3,3,100.0,37,0,2,1,0,0,2,2,11.0
Jason Sanders (MIA),2021,10,3,3,100.0,31,0,2,1,0,0,1,1,10.0
Greg Joseph (MIN),2021,10,2,2,100.0,46,0,0,1,1,0,3,3,10.0
Dustin Hopkins (LAC),2021,10,2,2,100.0,46,0,1,0,1,0,2,2,9.0
Nick Folk (NE),2021,10,1,1,100.0,38,0,0,1,0,0,6,6,9.0
Tyler Bass (BUF),2021,10,1,1,100.0,29,0,1,0,0,0,6,6,9.0
Robbie Gould (FA),2021,10,1,1,100.0,50,0,0,0,0,1,4,4,9.0
Brandon McManus (DEN),2021,10,2,3,66.7,28,0,2,0,0,0,1,1,7.0
Ryan Succop (TB),2021,10,2,2,100.0,31,0,1,1,0,0,1,2,7.0
