Player,Season,Week,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,FPTS
Younghoe Koo (ATL),2022,1,4,5,80.0,54,0,1,0,1,2,2,2,19.0
Cade York (CLE),2022,1,4,4,100.0,58,0,1,2,0,1,2,2,16.0
Ryan Succop (TB),2022,1,4,5,80.0,47,0,1,1,2,0,1,1,15.0
Chris Boswell (PIT),2022,1,3,4,75.0,53,0,1,0,1,1,2,2,14.0
Greg Joseph (MIN),2022,1,3,3,100.0,56,0,2,0,0,1,2,2,13.0
Riley Patterson (JAC),2022,1,3,4,75.0,45,0,0,1,2,0,1,1,12.0
Brandon McManus (DEN),2022,1,3,4,75.0,40,0,1,1,1,0,1,1,11.0
Ka'imi Fairbairn (HOU),2022,1,2,2,100.0,45,0,0,0,2,0,2,2,10.0
Jason Sanders (MIA),2022,1,2,2,100.0,49,0,0,0,2,0,2,2,10.0
Wil Lutz (NO),2022,1,2,3,66.7,51,0,0,0,1,1,1,1,10.0
Randy Bullock (FA),2022,1,2,3,66.7,46,0,1,0,1,0,2,2,9.0
Daniel Carlson (LV),2022,1,2,2,100.0,55,0,1,0,0,1,1,1,9.0
Rodrigo Blankenship (FA),2022,1,2,3,66.7,45,0,1,0,1,0,2,2,9.0
Harrison Butker (KC),2022,1,1,1,100.0,54,0,0,0,0,1,4,4,9.0
Jake Elliott (PHI),2022,1,1,1,100.0,23,0,1,0,0,0,5,5,8.0
Tyler Bass (BUF),2022,1,1,1,100.0,41,0,0,0,1,0,4,4,8.0
Evan McPherson (CIN),2022,1,2,3,66.7,59,0,1,0,0,1,0,1,8.0
Dustin Hopkins (LAC),2022,1,1,2,50.0,43,0,0,0,1,0,3,3,7.0
Eddy Pineiro (FA),2022,1,1,1,100.0,34,0,0,1,0,0,3,3,6.0
Justin Tucker (BAL),2022,1,1,1,100.0,24,0,1,0,0,0,3,3,6.0
Matt Gay (IND),2022,1,1,1,100.0,57,0,0,0,0,1,1,1,6.0
Jason Myers (SEA),2022,1,1,1,100.0,49,0,0,0,1,0,2,2,6.0
Austin Seibert (FA),2022,1,0,0,0.0,0,0,0,0,0,0,5,5,5.0
Brett Maher (FA),2022,1,1,1,100.0,51,0,0,0,0,1,0,0,5.0
Robbie Gould (FA),2022,1,1,1,100.0,25,0,1,0,0,0,1,1,4.0
Greg Zuerlein (NYJ),2022,1,1,2,50.0,45,0,0,0,1,0,0,1,4.0
Joey Slye (WAS),2022,1,0,0,0.0,0,0,0,0,0,0,2,2,2.0
Nick Folk (NE),2022,1,0,0,0.0,0,0,0,0,0,0,1,1,1.0
Graham Gano (NYG),2022,1,0,0,0.0,0,0,0,0,0,0,1,1,1.0
Mason Crosby (FA),2022,1,0,0,0.0,0,0,0,0,0,0,1,1,1.0
Matt Prater (ARI),2022,1,0,0,0.0,0,0,0,0,0,0,1,1,1.0
Cairo Santos (CHI),2022,1,0,0,0.0,0,0,0,0,0,0,1,3,1.0
Graham Gano (NYG),2022,2,4,4,100.0,56,0,0,2,0,2,1,1,17.0
Daniel Carlson (LV),2022,2,3,3,100.0,55,0,1,1,0,1,2,2,13.0
Evan McPherson (CIN),2022,2,3,3,100.0,50,0,0,0,2,1,0,0,13.0
Tyler Bass (BUF),2022,2,2,2,100.0,49,0,0,1,1,0,5,5,12.0
Brett Maher (FA),2022,2,2,2,100.0,54,0,0,0,0,2,2,2,12.0
Brandon McManus (DEN),2022,2,3,3,100.0,50,0,2,0,0,1,1,1,12.0
Austin Seibert (FA),2022,2,2,2,100.0,48,0,0,1,1,0,4,4,11.0
Ka'imi Fairbairn (HOU),2022,2,3,3,100.0,44,0,1,0,2,0,0,0,11.0
Ryan Succop (TB),2022,2,2,2,100.0,47,0,0,0,2,0,2,2,10.0
Justin Tucker (BAL),2022,2,1,1,100.0,51,0,0,0,0,1,5,5,10.0
Eddy Pineiro (FA),2022,2,3,3,100.0,38,0,0,3,0,0,1,1,10.0
Mason Crosby (FA),2022,2,2,2,100.0,40,0,1,0,1,0,3,3,10.0
Matt Ammendola (FA),2022,2,2,2,100.0,31,1,0,1,0,0,3,3,9.0
Greg Zuerlein (NYJ),2022,2,1,1,100.0,57,0,0,0,0,1,4,4,9.0
Robbie Gould (FA),2022,2,2,3,66.7,33,0,1,1,0,0,3,3,9.0
Riley Patterson (JAC),2022,2,1,1,100.0,52,0,0,0,0,1,3,3,8.0
Chris Boswell (PIT),2022,2,2,2,100.0,52,0,0,1,0,1,0,0,8.0
Matt Gay (IND),2022,2,1,1,100.0,20,0,1,0,0,0,4,4,7.0
Dustin Hopkins (LAC),2022,2,1,1,100.0,31,0,0,1,0,0,3,3,6.0
Jason Sanders (MIA),2022,2,0,0,0.0,0,0,0,0,0,0,6,6,6.0
Cade York (CLE),2022,2,1,1,100.0,22,0,1,0,0,0,3,4,6.0
Jake Elliott (PHI),2022,2,1,2,50.0,38,0,0,1,0,0,3,3,6.0
Nick Folk (NE),2022,2,1,2,50.0,28,0,1,0,0,0,2,2,5.0
Younghoe Koo (ATL),2022,2,1,2,50.0,26,0,1,0,0,0,2,2,5.0
