Player,TEAM,POS,G,SACK,SACK_mean,INT,INT_mean,FR,FR_mean,FF,FF_mean,SFTY,SFTY_mean,D_TD,D_TD_mean,ST_TD,ST_TD_mean,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE
Washington Commanders,WAS,DST,16.86,42.28,2.51,10.34,0.62,8.31,0.49,8.4,0.5,0.71,0.04,2.64,0.16,0.29,0.02,110.92,6.58,4.95,5.81,6.58,2.9,6.96,3.33,0.89,2.77,0.71,1.32,5.87,110.92,6.58,4.95,5.81,6.58,2.9,6.96,3.33,0.89,2.77,0.71,1.32,5.87,110.92,6.58,4.95,5.81,6.58,2.9,6.96,3.33,0.89,2.77,0.71,1.32,5.87,4
Jacksonville Jaguars,JAC,DST,16.86,33.06,1.96,11.92,0.7,9.34,0.55,12.63,0.75,0.0,0.0,2.89,0.17,0.44,0.03,110.73,6.55,4.6,5.91,6.48,3.79,5.32,3.21,1.33,3.21,1.02,1.41,5.85,110.73,6.55,4.6,5.91,6.48,3.79,5.32,3.21,1.33,3.21,1.02,1.41,5.85,110.73,6.55,4.6,5.91,6.48,3.79,5.32,3.21,1.33,3.21,1.02,1.41,5.85,4
Denver Broncos,DEN,DST,16.86,36.75,2.18,13.82,0.81,7.23,0.43,12.11,0.72,0.62,0.04,0.29,0.02,0.1,0.01,103.68,6.14,4.66,5.21,6.32,2.42,6.81,3.67,1.81,2.15,0.84,1.72,5.78,103.68,6.14,4.66,5.21,6.32,2.42,6.81,3.67,1.81,2.15,0.84,1.72,5.78,103.68,6.14,4.66,5.21,6.32,2.42,6.81,3.67,1.81,2.15,0.84,1.72,5.78,4
Los Angeles Chargers,LAC,DST,16.86,37.09,2.2,12.95,0.77,9.43,0.56,13.13,0.77,0.71,0.04,1.06,0.06,0.29,0.02,95.16,5.64,5.21,5.3,5.79,3.35,5.66,5.08,1.86,0.9,0.91,0.85,5.61,95.16,5.64,5.21,5.3,5.79,3.35,5.66,5.08,1.86,0.9,0.91,0.85,5.61,95.16,5.64,5.21,5.3,5.79,3.35,5.66,5.08,1.86,0.9,0.91,0.85,5.61,4
New York Giants,NYG,DST,16.86,38.98,2.31,8.87,0.52,11.05,0.65,15.14,0.9,0.29,0.02,1.75,0.11,0.0,0.0,100.61,5.97,4.73,5.21,6.14,2.12,8.24,3.41,0.62,2.48,0.64,1.51,5.6,100.61,5.97,4.73,5.21,6.14,2.12,8.24,3.41,0.62,2.48,0.64,1.51,5.6,100.61,5.97,4.73,5.21,6.14,2.12,8.24,3.41,0.62,2.48,0.64,1.51,5.6,4
Cleveland Browns,CLE,DST,16.86,36.77,2.18,11.61,0.69,8.24,0.49,11.16,0.67,0.2,0.01,2.58,0.15,0.62,0.04,104.65,6.2,4.36,6.8,5.98,4.11,6.16,2.07,2.31,2.21,0.66,1.12,5.26,104.65,6.2,4.36,6.8,5.98,4.11,6.16,2.07,2.31,2.21,0.66,1.12,5.26,104.65,6.2,4.36,6.8,5.98,4.11,6.16,2.07,2.31,2.21,0.66,1.12,5.26,4
Detroit Lions,DET,DST,16.86,34.87,2.06,11.06,0.66,9.05,0.54,12.09,0.72,0.71,0.04,0.66,0.04,0.79,0.05,81.15,4.79,4.53,4.86,4.99,4.23,5.37,4.1,2.54,0.62,0.78,1.05,4.93,81.15,4.79,4.53,4.86,4.99,4.23,5.37,4.1,2.54,0.62,0.78,1.05,4.93,81.15,4.79,4.53,4.86,4.99,4.23,5.37,4.1,2.54,0.62,0.78,1.05,4.93,4
Chicago Bears,CHI,DST,16.86,29.09,1.73,11.97,0.71,8.66,0.51,10.87,0.65,0.38,0.02,0.63,0.04,0.38,0.02,77.12,4.59,4.32,4.72,4.8,4.44,6.12,3.76,1.87,0.67,0.61,0.63,4.56,77.12,4.59,4.32,4.72,4.8,4.44,6.12,3.76,1.87,0.67,0.61,0.63,4.56,77.12,4.59,4.32,4.72,4.8,4.44,6.12,3.76,1.87,0.67,0.61,0.63,4.56,4
Atlanta Falcons,ATL,DST,16.86,21.33,1.27,10.77,0.64,7.48,0.44,9.58,0.57,0.86,0.05,1.9,0.11,1.27,0.08,81.77,4.85,3.68,4.77,5.11,4.61,6.51,3.32,1.6,0.83,0.53,0.56,4.36,81.77,4.85,3.68,4.77,5.11,4.61,6.51,3.32,1.6,0.83,0.53,0.56,4.36,81.77,4.85,3.68,4.77,5.11,4.61,6.51,3.32,1.6,0.83,0.53,0.56,4.36,4
Las Vegas Raiders,LV,DST,16.86,28.58,1.69,6.51,0.38,7.26,0.43,9.48,0.56,0.25,0.01,1.93,0.12,0.0,0.0,70.42,4.17,3.2,4.06,4.58,4.54,5.42,4.59,2.17,0.14,0.72,0.55,4.0,70.42,4.17,3.2,4.06,4.58,4.54,5.42,4.59,2.17,0.14,0.72,0.55,4.0,70.42,4.17,3.2,4.06,4.58,4.54,5.42,4.59,2.17,0.14,0.72,0.55,4.0,4
