Player,POS,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Miles Sanders (CAR),RB,16,179,11.19,818,51.12,4.57,65,20.06,13,0.81,3,0.19,50,3.12,63,3.94,509,31.81,10.18,3,0.19,229,14.31,242,15.12,1,0.06,0.0,1.0,168.7,10.54,7.25,7.73,10.21,5,5,1,2,3,0.6,1.0,9.05,193.7,12.11,8.85,8.24,11.67,5,5,1,2,3,0.6,1.0,10.27,218.7,13.67,10.65,8.78,13.13,5,5,1,2,3,0.6,1.0,11.57
Phillip Lindsay (FA),RB,16,224,14.0,1011,63.19,4.51,40,17.19,12,0.75,7,0.44,35,2.19,48,3.0,196,12.25,5.6,0,0.0,259,16.19,272,17.0,0,0.0,0.0,1.0,162.7,10.17,7.15,6.49,10.29,3,7,1,3,2,0.6,1.67,9.39,180.2,11.26,8.6,6.81,11.39,4,6,2,2,2,0.6,1.0,10.24,197.7,12.36,10.6,7.2,12.47,5,4,4,1,2,0.78,0.6,11.47
Damien Williams (FA),RB,11,111,10.09,498,45.27,4.49,91,21.91,8,0.73,5,0.45,30,2.73,37,3.36,213,19.36,7.1,2,0.18,141,12.82,148,13.45,1,0.09,0.01,1.0,111.1,10.1,8.9,8.01,9.7,4,3,1,1,2,0.57,0.75,9.26,126.1,11.46,9.0,8.35,11.01,3,3,1,3,1,0.83,1.33,10.1,141.1,12.83,9.0,8.77,12.32,3,3,1,3,1,0.83,1.33,10.62
James White (FA),RB,15,67,4.47,263,17.53,3.93,32,8.27,2,0.13,1,0.07,72,4.8,95,6.33,645,43.0,8.96,5,0.33,139,9.27,162,10.8,1,0.07,0.01,1.0,128.2,8.55,7.4,6.79,8.55,6,6,1,1,1,0.25,0.33,7.67,164.2,10.95,9.9,7.16,10.93,2,10,1,1,1,0.25,1.0,9.79,200.2,13.35,12.9,7.69,13.25,2,4,8,0,1,1.5,0.5,12.41
Kareem Hunt (FA),RB,9,43,4.78,179,19.89,4.16,16,7.22,0,0.0,2,0.22,37,4.11,44,4.89,285,31.67,7.7,1,0.11,80,8.89,87,9.67,0,0.0,0.0,0.98,64.4,7.16,7.4,4.29,8.03,4,2,3,0,0,0.5,0.0,7.2,82.9,9.21,10.9,4.75,10.19,3,1,5,0,0,1.25,0.0,9.78,101.4,11.27,12.6,5.49,12.17,2,2,4,1,0,1.25,0.5,11.33
Carlos Hyde (FA),RB,16,245,15.31,1070,66.88,4.37,58,19.5,16,1.0,6,0.38,10,0.62,16,1.0,42,2.62,4.2,0,0.0,255,15.94,261,16.31,2,0.12,0.01,1.0,143.2,8.95,8.4,4.59,9.87,3,7,3,3,0,0.6,1.0,9.49,148.2,9.26,8.9,4.55,10.36,4,7,3,2,0,0.45,0.5,9.69,153.2,9.57,9.65,4.57,10.83,5,6,4,1,0,0.45,0.2,10.1
Ronald Jones II (DAL),RB,16,172,10.75,724,45.25,4.21,49,16.44,9,0.56,6,0.38,31,1.94,40,2.5,309,19.31,9.97,0,0.0,203,12.69,212,13.25,2,0.12,0.01,1.0,135.3,8.46,8.15,5.25,9.02,7,2,3,4,0,0.78,0.57,8.73,150.8,9.43,8.85,5.79,9.92,6,4,3,3,0,0.6,0.5,9.26,166.3,10.39,10.1,6.44,10.79,7,3,4,1,1,0.6,0.29,10.05
David Montgomery (DET),RB,16,242,15.12,889,55.56,3.67,55,14.44,6,0.38,6,0.38,25,1.56,35,2.19,185,11.56,7.4,1,0.06,267,16.69,277,17.31,2,0.12,0.01,1.0,145.4,9.09,6.65,6.15,9.32,6,4,2,2,2,0.6,0.67,8.59,157.9,9.87,7.4,6.37,10.14,8,3,1,2,2,0.45,0.5,9.1,170.4,10.65,8.3,6.64,10.96,8,3,1,2,2,0.45,0.5,9.79
Sony Michel (FA),RB,16,247,15.44,912,57.0,3.69,26,13.75,3,0.19,7,0.44,12,0.75,20,1.25,94,5.88,7.83,0,0.0,259,16.19,267,16.69,1,0.06,0.0,1.0,140.6,8.79,7.95,5.73,9.17,5,4,5,0,2,0.78,0.4,9.01,146.6,9.16,7.95,5.9,9.6,6,4,4,1,1,0.6,0.33,9.07,152.6,9.54,7.95,6.1,10.03,8,3,3,1,1,0.45,0.25,9.15
Jordan Howard (FA),RB,10,119,11.9,525,52.5,4.41,20,13.2,1,0.1,6,0.6,10,1.0,14,1.4,69,6.9,6.9,1,0.1,129,12.9,133,13.3,0,0.0,0.0,1.0,101.4,10.14,7.65,8.66,9.55,5,0,2,2,1,1.0,0.6,8.86,106.4,10.64,8.15,8.94,10.05,5,1,2,1,1,0.67,0.4,9.04,111.4,11.14,8.65,9.25,10.56,5,1,2,1,1,0.67,0.4,9.45
