Player,POS,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Dalvin Cook (MIN),RB,14,312,22.29,1557,111.21,4.99,70,21.71,12,0.86,16,1.14,44,3.14,54,3.86,361,25.79,8.2,1,0.07,356,25.43,366,26.14,3,0.21,0.01,1.0,293.8,20.99,18.95,10.43,18.86,0,1,1,5,7,13.0,12.0,27.24,315.8,22.56,21.1,10.16,20.63,0,1,1,4,8,13.0,12.0,28.81,337.8,24.13,22.85,9.96,22.45,0,1,2,4,7,13.0,11.0,29.99
Alvin Kamara (NO),RB,15,187,12.47,932,62.13,4.98,49,20.4,13,0.87,16,1.07,83,5.53,107,7.13,756,50.4,9.11,5,0.33,270,18.0,294,19.6,0,0.0,0.0,1.0,294.8,19.65,15.7,11.81,17.12,1,0,3,6,5,14.0,11.0,24.84,336.3,22.42,18.9,12.39,19.51,1,1,1,6,6,6.5,12.0,23.58,377.8,25.19,22.4,13.19,21.85,1,1,1,4,8,6.5,12.0,25.91
Christian McCaffrey (SF),RB,3,59,19.67,225,75.0,3.81,15,12.33,0,0.0,5,1.67,17,5.67,19,6.33,149,49.67,8.76,1,0.33,76,25.33,78,26.0,0,0.0,0.0,0.82,73.4,24.47,25.5,3.27,29.37,0,0,0,0,3,3.0,3.0,22.11,81.9,27.3,27.0,4.66,30.35,0,0,0,0,3,3.0,3.0,22.93,90.4,30.13,28.5,6.31,31.43,0,0,0,0,3,3.0,3.0,23.78
Derrick Henry (TEN),RB,16,378,23.62,2027,126.69,5.36,94,27.81,30,1.88,17,1.06,19,1.19,31,1.94,114,7.12,6.0,0,0.0,397,24.81,409,25.56,2,0.12,0.01,1.0,314.1,19.63,17.75,11.25,17.31,1,2,4,1,8,4.33,9.0,21.0,323.6,20.23,18.0,11.44,17.96,2,2,3,3,6,3.0,4.5,19.56,333.1,20.82,18.25,11.65,18.63,2,3,2,3,6,2.2,4.5,19.53
Nick Chubb (CLE),RB,12,190,15.83,1067,88.92,5.62,59,30.33,20,1.67,12,1.0,16,1.33,18,1.5,150,12.5,9.38,0,0.0,206,17.17,208,17.33,1,0.08,0.0,1.0,191.7,15.98,16.7,7.08,15.81,2,0,3,2,5,5.0,3.5,18.11,199.7,16.64,16.95,7.23,16.57,2,0,2,4,4,5.0,4.0,18.64,207.7,17.31,17.6,7.46,17.31,2,1,1,4,4,3.0,4.0,18.2
Aaron Jones (GB),RB,14,201,14.36,1104,78.86,5.49,77,28.86,17,1.21,9,0.64,47,3.36,63,4.5,355,25.36,7.55,2,0.14,248,17.71,264,18.86,0,0.0,0.0,1.0,211.9,15.14,13.35,8.82,14.18,0,3,4,4,3,3.67,7.0,16.48,235.4,16.81,15.35,8.96,15.87,0,3,3,5,3,3.67,8.0,18.21,258.9,18.49,16.85,9.13,17.59,0,2,5,3,4,6.0,7.0,20.41
James Robinson (NE),RB,14,240,17.14,1070,76.43,4.46,47,19.29,8,0.57,7,0.5,49,3.5,60,4.29,344,24.57,7.02,3,0.21,289,20.64,300,21.43,1,0.07,0.0,1.0,201.4,14.39,11.3,6.72,14.43,1,3,4,2,4,2.5,6.0,15.18,225.9,16.14,13.05,7.06,16.17,0,4,4,3,3,2.5,6.0,16.58,250.4,17.89,15.0,7.49,17.87,0,3,6,1,4,3.67,5.0,18.38
David Montgomery (DET),RB,15,247,16.47,1070,71.33,4.33,80,21.73,12,0.8,8,0.53,54,3.6,68,4.53,438,29.2,8.11,2,0.13,301,20.07,315,21.0,1,0.07,0.0,1.0,210.8,14.05,11.9,7.69,13.63,2,3,3,0,7,2.0,3.5,14.19,237.8,15.85,15.4,7.85,15.46,2,3,2,2,6,2.0,4.0,16.45,264.8,17.65,18.9,8.16,17.26,2,3,2,3,5,2.0,4.0,18.57
Chris Carson (FA),RB,12,141,11.75,681,56.75,4.83,29,16.33,3,0.25,5,0.42,37,3.08,46,3.83,287,23.92,7.76,4,0.33,178,14.83,187,15.58,0,0.0,0.0,1.0,150.8,12.57,12.9,5.59,13.2,1,4,1,4,2,1.4,6.0,14.2,169.3,14.11,14.9,6.03,14.7,1,4,1,4,2,1.4,6.0,15.6,187.8,15.65,16.35,6.52,16.19,1,4,1,4,2,1.4,6.0,16.77
Myles Gaskin (MIA),RB,10,142,14.2,584,58.4,4.11,26,14.9,3,0.3,3,0.3,41,4.1,47,4.7,388,38.8,9.46,2,0.2,183,18.3,189,18.9,2,0.2,0.01,1.0,123.2,12.32,11.2,6.53,12.45,0,3,4,2,1,2.33,3.0,13.27,143.7,14.37,12.55,6.7,14.59,0,2,5,2,1,4.0,3.0,15.49,164.2,16.42,14.35,6.92,16.74,0,2,5,2,1,4.0,3.0,17.07
