Player,POS,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Jonathan Taylor (IND),RB,15,232,15.47,1169,77.93,5.04,62,19.87,15,1.0,11,0.73,36,2.4,40,2.67,299,19.93,8.31,1,0.07,268,17.87,272,18.13,1,0.07,0.0,1.0,216.8,14.45,12.2,9.16,13.42,2,3,4,2,4,2.0,3.0,13.81,234.8,15.65,13.5,8.99,14.76,2,2,5,3,3,2.75,3.0,15.24,252.8,16.85,15.4,8.88,16.14,2,2,5,3,3,2.75,3.0,16.55
Austin Ekeler (LAC),RB,10,116,11.6,530,53.0,4.57,27,14.1,2,0.2,1,0.1,54,5.4,65,6.5,403,40.3,7.46,2,0.2,170,17.0,181,18.1,0,0.0,0.0,1.0,111.3,11.13,11.95,5.22,11.89,1,3,3,2,1,1.5,3.0,12.85,138.3,13.83,14.2,6.71,14.03,1,3,2,3,1,1.5,4.0,14.85,165.3,16.53,16.45,8.36,16.07,1,3,1,2,3,1.5,5.0,16.82
Ezekiel Elliott (FA),RB,15,244,16.27,979,65.27,4.01,31,14.93,4,0.27,6,0.4,52,3.47,71,4.73,338,22.53,6.5,2,0.13,296,19.73,315,21.0,5,0.33,0.02,1.0,171.7,11.45,11.8,6.67,11.5,4,2,4,3,2,1.5,1.25,12.48,197.7,13.18,13.6,6.82,13.32,3,3,3,4,2,1.5,2.0,14.12,223.7,14.91,15.1,7.17,15.06,3,2,3,4,3,2.0,2.33,15.75
Josh Jacobs (LV),RB,15,273,18.2,1065,71.0,3.9,28,15.53,3,0.2,12,0.8,33,2.2,45,3.0,238,15.87,7.21,0,0.0,306,20.4,318,21.2,2,0.13,0.01,1.0,198.3,13.22,12.4,8.52,12.5,2,4,4,1,4,1.5,2.5,13.45,214.8,14.32,12.9,8.65,13.64,3,3,4,1,4,1.5,1.67,13.9,231.3,15.42,13.4,8.83,14.79,3,3,4,2,3,1.5,1.67,14.56
David Johnson (FA),RB,12,147,12.25,691,57.58,4.7,48,18.33,7,0.58,6,0.5,33,2.75,46,3.83,314,26.17,9.52,2,0.17,180,15.0,193,16.08,1,0.08,0.01,1.0,146.5,12.21,11.5,6.24,12.48,2,1,6,1,2,3.0,1.5,13.07,163.0,13.58,12.5,6.8,13.74,2,2,4,3,1,2.0,2.0,13.6,179.5,14.96,13.25,7.6,14.89,2,2,4,2,2,2.0,2.0,14.37
Miles Sanders (CAR),RB,12,164,13.67,867,72.25,5.29,82,27.58,13,1.08,6,0.5,28,2.33,52,4.33,197,16.42,7.04,0,0.0,192,16.0,216,18.0,2,0.17,0.01,1.0,142.4,11.87,10.95,6.88,11.83,2,3,3,2,2,1.4,2.0,12.11,156.4,13.03,12.1,7.23,12.98,2,3,3,2,2,1.4,2.0,13.03,170.4,14.2,12.85,7.63,14.12,2,3,3,2,2,1.4,2.0,13.79
D'Andre Swift (DET),RB,13,114,8.77,521,40.08,4.57,54,12.85,4,0.31,8,0.62,46,3.54,57,4.38,357,27.46,7.76,2,0.15,160,12.31,171,13.15,2,0.15,0.01,1.0,143.8,11.06,10.8,6.76,11.08,3,2,5,0,3,1.6,1.0,11.12,166.8,12.83,12.8,6.97,12.89,2,3,5,0,3,1.6,1.5,12.77,189.8,14.6,14.8,7.21,14.73,2,2,6,0,3,2.25,1.5,14.63
Clyde Edwards-Helaire (KC),RB,13,181,13.92,803,61.77,4.44,31,15.62,4,0.31,4,0.31,36,2.77,54,4.15,297,22.85,8.25,1,0.08,217,16.69,235,18.08,0,0.0,0.0,1.0,140.0,10.77,9.1,5.4,11.41,2,6,2,1,2,0.62,1.5,10.7,158.0,12.15,10.9,5.22,13.13,2,4,3,3,1,1.17,2.0,12.5,176.0,13.54,13.0,5.22,14.81,2,2,5,4,0,2.25,2.0,14.56
Antonio Gibson (WAS),RB,14,170,12.14,795,56.79,4.68,40,16.79,8,0.57,11,0.79,36,2.57,44,3.14,247,17.64,6.86,0,0.0,206,14.71,214,15.29,2,0.14,0.01,1.0,166.2,11.87,9.75,8.09,11.37,4,2,3,1,4,1.33,1.25,10.96,184.2,13.16,11.25,8.37,12.63,2,4,3,2,3,1.33,2.5,12.37,202.2,14.44,12.35,8.73,13.89,2,4,3,2,3,1.33,2.5,13.32
James Conner (ARI),RB,13,169,13.0,721,55.46,4.27,59,18.54,8,0.62,6,0.46,35,2.69,43,3.31,215,16.54,6.14,0,0.0,204,15.69,212,16.31,0,0.0,0.0,1.0,129.6,9.97,11.1,6.34,10.15,4,1,5,1,2,1.6,0.75,11.12,147.1,11.32,12.6,6.59,11.53,4,1,4,3,1,1.6,1.0,12.33,164.6,12.66,14.1,6.92,12.9,4,1,4,3,1,1.6,1.0,13.48
Ronald Jones II (DAL),RB,14,192,13.71,978,69.86,5.09,98,22.93,11,0.79,7,0.5,28,2.0,42,3.0,165,11.79,5.89,1,0.07,220,15.71,234,16.71,2,0.14,0.01,1.0,158.3,11.31,11.05,7.04,11.21,3,3,3,3,2,1.33,1.67,11.66,172.3,12.31,11.95,6.95,12.38,3,4,3,2,2,1.0,1.33,12.24,186.3,13.31,12.25,6.95,13.55,3,4,3,2,2,1.0,1.33,12.82
Kenyan Drake (FA),RB,15,239,15.93,955,63.67,4.0,69,18.53,10,0.67,10,0.67,25,1.67,31,2.07,137,9.13,5.48,0,0.0,264,17.6,270,18.0,1,0.07,0.0,1.0,167.2,11.15,11.0,6.73,11.18,4,2,6,1,2,1.5,0.75,11.61,179.7,11.98,12.0,6.72,12.15,4,3,5,1,2,1.14,0.75,12.22,192.2,12.81,13.0,6.76,13.14,3,4,6,0,2,1.14,0.67,12.99
Kareem Hunt (FA),RB,16,198,12.38,841,52.56,4.25,33,14.69,4,0.25,6,0.38,38,2.38,51,3.19,304,19.0,8.0,5,0.31,236,14.75,249,15.56,0,0.0,0.0,1.0,180.5,11.28,9.65,6.37,11.47,4,4,3,2,3,1.0,1.25,10.82,199.5,12.47,11.4,6.63,12.69,4,4,3,3,2,1.0,1.25,12.0,218.5,13.66,13.15,6.96,13.9,4,3,4,3,2,1.29,1.25,13.33
Melvin Gordon III (FA),RB,15,215,14.33,986,65.73,4.59,65,19.8,10,0.67,9,0.6,32,2.13,44,2.93,158,10.53,4.94,1,0.07,247,16.47,259,17.27,4,0.27,0.02,1.0,166.4,11.09,10.0,6.76,11.11,5,2,2,3,3,1.14,1.2,11.04,182.4,12.16,11.0,6.9,12.25,4,3,3,3,2,1.14,1.25,11.91,198.4,13.23,12.1,7.16,13.37,5,1,5,2,2,1.5,0.8,12.86
Joe Mixon (CIN),RB,6,119,19.83,428,71.33,3.6,34,14.0,4,0.67,3,0.5,21,3.5,26,4.33,138,23.0,6.57,1,0.17,140,23.33,145,24.17,1,0.17,0.01,0.9,78.6,13.1,9.0,11.58,11.47,1,3,1,0,1,0.5,1.0,9.99,89.1,14.85,11.5,12.27,12.96,1,2,2,0,1,1.0,1.0,11.65,99.6,16.6,13.75,13.01,14.45,1,1,3,0,1,2.0,1.0,13.45
J.K. Dobbins (BAL),RB,15,134,8.93,805,53.67,6.01,72,21.87,15,1.0,9,0.6,18,1.2,24,1.6,120,8.0,6.67,0,0.0,152,10.13,158,10.53,0,0.0,0.0,1.0,150.5,10.03,12.1,7.28,9.87,6,1,3,4,1,1.14,0.83,10.62,159.5,10.63,12.6,6.98,10.68,6,1,6,1,1,1.14,0.33,11.02,168.5,11.23,13.1,6.72,11.53,5,2,6,1,1,1.14,0.4,11.58
Mike Davis (FA),RB,15,165,11.0,642,42.8,3.89,25,10.4,2,0.13,6,0.4,59,3.93,70,4.67,373,24.87,6.32,2,0.13,224,14.93,235,15.67,1,0.07,0.0,1.0,147.5,9.83,7.9,6.45,9.96,4,5,1,3,2,0.67,1.25,9.36,177.0,11.8,9.4,7.25,11.74,4,5,2,2,2,0.67,1.0,10.61,206.5,13.77,10.9,8.23,13.44,1,8,2,0,4,0.67,4.0,12.63
Raheem Mostert (MIA),RB,8,104,13.0,521,65.12,5.01,80,25.38,6,0.75,2,0.25,16,2.0,19,2.38,156,19.5,9.75,1,0.12,120,15.0,123,15.38,1,0.12,0.01,0.95,83.7,10.46,7.95,5.74,10.92,1,4,1,1,1,0.6,2.0,9.39,91.7,11.46,8.95,6.2,11.86,2,3,1,1,1,0.6,1.0,9.89,99.7,12.46,9.95,6.68,12.81,2,3,1,1,1,0.6,1.0,10.63
Salvon Ahmed (MIA),RB,6,75,12.5,319,53.17,4.25,31,17.17,2,0.33,3,0.5,11,1.83,14,2.33,61,10.17,5.55,0,0.0,86,14.33,89,14.83,0,0.0,0.0,0.9,58.0,9.67,9.1,7.47,9.44,2,1,1,1,1,1.0,1.0,8.69,63.5,10.58,11.1,7.51,10.44,2,1,1,1,1,1.0,1.0,9.76,69.0,11.5,13.1,7.66,11.42,2,0,3,1,0,2.0,0.5,11.18
Damien Harris (BUF),RB,10,137,13.7,691,69.1,5.04,41,17.8,6,0.6,2,0.2,5,0.5,7,0.7,52,5.2,10.4,0,0.0,142,14.2,144,14.4,0,0.0,0.0,1.0,86.3,8.63,8.3,3.97,9.88,3,2,4,1,0,1.0,0.33,9.29,88.8,8.88,8.75,3.88,10.33,3,4,2,1,0,0.43,0.33,9.37,91.3,9.13,9.0,3.8,10.81,4,3,3,0,0,0.43,0.0,9.58
Todd Gurley II (FA),RB,15,195,13.0,678,45.2,3.48,35,11.47,3,0.2,9,0.6,25,1.67,35,2.33,164,10.93,6.56,0,0.0,220,14.67,230,15.33,0,0.0,0.0,1.0,138.2,9.21,6.7,6.75,9.23,6,2,3,1,3,0.88,0.67,8.51,150.7,10.05,8.2,6.9,10.12,7,2,3,1,2,0.67,0.43,9.3,163.2,10.88,9.7,7.1,11.02,6,3,3,1,2,0.67,0.5,10.28
Jeff Wilson Jr. (MIA),RB,12,126,10.5,600,50.0,4.76,34,11.5,4,0.33,7,0.58,13,1.08,28,2.33,133,11.08,10.23,3,0.25,139,11.58,154,12.83,2,0.17,0.01,1.0,129.3,10.78,7.15,10.69,9.62,6,1,1,0,4,0.71,0.67,8.52,135.8,11.32,7.9,11.08,10.13,6,1,1,0,4,0.71,0.67,9.02,142.3,11.86,8.65,11.47,10.65,6,1,1,1,3,0.71,0.67,9.53
J.D. McKissic (FA),RB,16,85,5.31,365,22.81,4.29,17,8.62,0,0.0,1,0.06,80,5.0,110,6.88,589,36.81,7.36,2,0.12,165,10.31,195,12.19,1,0.06,0.01,1.0,111.4,6.96,6.1,4.48,7.73,8,5,1,2,0,0.23,0.25,6.93,151.4,9.46,8.15,5.56,10.06,7,3,4,1,1,0.6,0.29,8.87,191.4,11.96,10.25,6.85,12.22,4,6,1,3,2,0.6,1.25,10.82
Nyheim Hines (BUF),RB,16,89,5.56,380,23.75,4.27,31,11.12,4,0.25,3,0.19,63,3.94,76,4.75,482,30.12,7.65,4,0.25,152,9.5,165,10.31,0,0.0,0.0,1.0,130.2,8.14,6.25,6.58,8.21,7,5,1,0,3,0.33,0.43,7.09,161.7,10.11,8.25,7.15,10.09,7,5,1,1,2,0.33,0.43,8.64,193.2,12.08,10.25,7.81,11.94,6,4,2,2,2,0.6,0.67,10.37
Chase Edmonds (TB),RB,16,97,6.06,448,28.0,4.62,32,12.69,5,0.31,1,0.06,53,3.31,67,4.19,402,25.12,7.58,4,0.25,150,9.38,164,10.25,0,0.0,0.0,1.0,115.0,7.19,6.5,4.71,7.88,8,2,4,2,0,0.6,0.25,7.14,141.5,8.84,8.25,5.28,9.53,7,3,4,2,0,0.6,0.29,8.51,168.0,10.5,10.0,5.88,11.15,6,4,4,2,0,0.6,0.33,9.87
Devin Singletary (HOU),RB,16,156,9.75,687,42.94,4.4,51,14.94,6,0.38,2,0.12,38,2.38,50,3.12,269,16.81,7.08,0,0.0,194,12.12,206,12.88,1,0.06,0.01,1.0,105.6,6.6,5.25,4.14,7.47,9,4,1,2,0,0.23,0.22,6.55,124.6,7.79,7.0,4.6,8.68,8,5,1,2,0,0.23,0.25,7.74,143.6,8.98,8.4,5.12,9.86,8,5,1,2,0,0.23,0.25,8.77
Leonard Fournette (FA),RB,13,97,7.46,367,28.23,3.78,46,11.69,5,0.38,6,0.46,36,2.77,47,3.62,233,17.92,6.47,0,0.0,133,10.23,144,11.08,0,0.0,0.0,1.0,96.0,7.38,4.1,7.15,7.29,7,2,2,0,2,0.44,0.29,5.96,114.0,8.77,7.1,7.53,8.64,6,3,2,0,2,0.44,0.33,7.71,132.0,10.15,9.6,8.0,9.98,6,3,2,1,1,0.44,0.33,9.25
Wayne Gallman Jr. (FA),RB,15,147,9.8,682,45.47,4.64,60,15.27,6,0.4,6,0.4,21,1.4,27,1.8,114,7.6,5.43,0,0.0,168,11.2,174,11.6,0,0.0,0.0,1.0,115.6,7.71,6.5,5.81,8.02,7,2,2,3,1,0.67,0.57,7.44,126.1,8.41,6.5,6.01,8.77,8,1,4,2,0,0.67,0.25,7.66,136.6,9.11,7.3,6.29,9.51,8,1,4,2,0,0.67,0.25,8.28
Gus Edwards (BAL),RB,16,144,9.0,723,45.19,5.02,36,15.0,10,0.62,6,0.38,9,0.56,13,0.81,129,8.06,14.33,0,0.0,153,9.56,157,9.81,1,0.06,0.01,1.0,119.2,7.45,7.3,4.56,8.23,5,7,2,2,0,0.33,0.4,7.46,123.7,7.73,7.65,4.71,8.57,5,8,2,1,0,0.23,0.2,7.63,128.2,8.01,8.15,4.9,8.9,7,6,2,1,0,0.23,0.14,7.95
Cam Akers (LAR),RB,12,145,12.08,625,52.08,4.31,61,18.67,10,0.83,2,0.17,11,0.92,14,1.17,123,10.25,11.18,1,0.08,156,13.0,159,13.25,1,0.08,0.01,1.0,90.8,7.57,6.15,5.87,7.85,5,4,0,2,1,0.33,0.6,7.24,96.3,8.02,6.4,6.06,8.35,7,2,1,1,1,0.33,0.29,7.46,101.8,8.48,6.8,6.3,8.85,7,2,2,1,0,0.33,0.14,7.79
Zack Moss (IND),RB,13,112,8.62,481,37.0,4.29,31,14.31,5,0.38,4,0.31,14,1.08,18,1.38,95,7.31,6.79,1,0.08,126,9.69,130,10.0,0,0.0,0.0,1.0,87.6,6.74,6.8,5.39,7.14,6,4,2,0,1,0.3,0.17,6.77,94.6,7.28,7.8,5.46,7.77,6,4,2,0,1,0.3,0.17,7.42,101.6,7.82,8.1,5.59,8.4,6,4,2,1,0,0.3,0.17,7.79
Jamaal Williams (NO),RB,14,119,8.5,505,36.07,4.24,25,11.21,1,0.07,2,0.14,31,2.21,35,2.5,236,16.86,7.61,1,0.07,150,10.71,154,11.0,0,0.0,0.0,1.0,96.1,6.86,4.85,4.85,7.47,8,2,3,1,0,0.4,0.12,6.26,111.6,7.97,6.6,5.51,8.5,7,3,2,2,0,0.4,0.29,7.41,127.1,9.08,8.25,6.35,9.45,6,4,1,3,0,0.4,0.5,8.51
Kalen Ballage (FA),RB,11,91,8.27,303,27.55,3.33,17,7.91,0,0.0,3,0.27,29,2.64,37,3.36,166,15.09,5.72,0,0.0,120,10.91,128,11.64,0,0.0,0.0,1.0,64.9,5.9,5.2,4.23,6.65,6,2,2,1,0,0.38,0.17,6.13,79.4,7.22,7.1,4.47,8.11,5,4,1,1,0,0.22,0.2,7.41,93.9,8.54,7.1,4.95,9.46,6,2,3,0,0,0.38,0.0,7.98
Giovani Bernard (FA),RB,16,124,7.75,416,26.0,3.35,15,7.69,0,0.0,3,0.19,47,2.94,59,3.69,355,22.19,7.55,3,0.19,171,10.69,183,11.44,1,0.06,0.01,1.0,111.1,6.94,4.8,6.92,6.92,11,1,1,1,2,0.33,0.27,6.06,134.6,8.41,6.3,7.21,8.38,9,3,0,2,2,0.33,0.44,7.29,158.1,9.88,8.0,7.61,9.83,8,4,0,2,2,0.33,0.5,8.57
Latavius Murray (FA),RB,15,146,9.73,656,43.73,4.49,36,12.87,4,0.27,4,0.27,23,1.53,26,1.73,176,11.73,7.65,1,0.07,169,11.27,172,11.47,0,0.0,0.0,1.0,113.2,7.55,5.7,6.6,7.6,9,3,1,0,2,0.25,0.22,6.65,124.7,8.31,6.1,6.54,8.49,9,3,1,0,2,0.25,0.22,7.16,136.2,9.08,6.6,6.52,9.39,10,2,1,1,1,0.25,0.2,7.72
Darrell Henderson Jr. (FA),RB,15,138,9.2,624,41.6,4.52,40,13.6,6,0.4,5,0.33,16,1.07,24,1.6,159,10.6,9.94,1,0.07,154,10.27,162,10.8,0,0.0,0.0,1.0,114.3,7.62,6.2,6.73,7.64,7,4,1,0,3,0.36,0.43,6.91,122.3,8.15,6.3,7.01,8.18,8,3,1,2,1,0.36,0.38,7.15,130.3,8.69,6.8,7.32,8.73,8,3,1,3,0,0.36,0.38,7.57
Rex Burkhead (FA),RB,10,67,6.7,274,27.4,4.09,18,9.8,0,0.0,3,0.3,25,2.5,33,3.3,192,19.2,7.68,3,0.3,92,9.2,100,10.0,0,0.0,0.0,1.0,82.6,8.26,4.8,8.77,7.75,7,0,1,0,2,0.43,0.29,6.31,95.1,9.51,5.85,9.7,8.8,7,0,1,0,2,0.43,0.29,7.15,107.6,10.76,6.85,10.67,9.84,6,1,1,0,2,0.43,0.33,7.97
Sony Michel (FA),RB,9,79,8.78,449,49.89,5.68,48,15.22,7,0.78,1,0.11,7,0.78,9,1.0,114,12.67,16.29,1,0.11,86,9.56,88,9.78,0,0.0,0.0,0.98,68.3,7.59,6.9,6.25,7.75,4,2,1,1,1,0.5,0.5,7.03,71.8,7.98,6.9,6.74,8.09,5,2,1,0,1,0.29,0.2,6.99,75.3,8.37,6.9,7.23,8.44,5,2,1,0,1,0.29,0.2,7.12
Carlos Hyde (FA),RB,10,81,8.1,356,35.6,4.4,50,14.6,5,0.5,4,0.4,16,1.6,20,2.0,93,9.3,5.81,0,0.0,97,9.7,101,10.1,0,0.0,0.0,1.0,68.9,6.89,5.15,5.27,7.35,5,2,1,2,0,0.43,0.4,6.32,76.9,7.69,5.65,5.37,8.25,6,1,1,2,0,0.43,0.33,6.87,84.9,8.49,6.15,5.53,9.15,6,1,2,1,0,0.43,0.17,7.39
Frank Gore (FA),RB,15,187,12.47,653,43.53,3.49,17,10.4,0,0.0,2,0.13,16,1.07,19,1.27,89,5.93,5.56,0,0.0,203,13.53,206,13.73,1,0.07,0.0,1.0,84.2,5.61,5.9,3.71,6.53,8,5,2,0,0,0.15,0.0,6.42,92.2,6.15,6.0,4.05,7.08,11,2,2,0,0,0.15,0.0,6.68,100.2,6.68,6.3,4.44,7.61,11,2,2,0,0,0.15,0.0,7.01
Adrian Peterson (FA),RB,16,156,9.75,604,37.75,3.87,38,13.88,5,0.31,7,0.44,12,0.75,18,1.12,101,6.31,8.42,0,0.0,168,10.5,174,10.88,0,0.0,0.0,1.0,112.5,7.03,4.2,5.7,7.35,9,1,4,2,0,0.6,0.22,6.06,118.5,7.41,4.95,5.68,7.83,9,2,3,2,0,0.45,0.22,6.48,124.5,7.78,5.7,5.7,8.32,9,2,3,2,0,0.45,0.22,6.98
Duke Johnson Jr. (FA),RB,11,77,7.0,235,21.36,3.05,23,7.64,1,0.09,1,0.09,28,2.55,35,3.18,249,22.64,8.89,1,0.09,105,9.55,112,10.18,2,0.18,0.02,1.0,56.4,5.13,4.2,4.07,5.83,9,0,1,1,0,0.22,0.11,5.17,70.4,6.4,6.0,4.45,7.2,9,0,1,1,0,0.22,0.11,6.44,84.4,7.67,7.5,5.0,8.48,7,2,1,1,0,0.22,0.14,7.56
James White (FA),RB,14,35,2.5,121,8.64,3.46,10,4.43,0,0.0,2,0.14,49,3.5,62,4.43,375,26.79,7.65,1,0.07,84,6.0,97,6.93,0,0.0,0.0,1.0,67.6,4.83,4.45,3.86,5.56,10,3,0,1,0,0.08,0.1,4.76,92.1,6.58,5.95,4.32,7.45,8,2,4,0,0,0.4,0.0,6.25,116.6,8.33,7.45,4.98,9.22,7,2,5,0,0,0.56,0.0,7.64
Alex Collins (FA),RB,3,18,6.0,77,25.67,4.28,13,9.67,0,0.0,2,0.67,1,0.33,2,0.67,4,1.33,4.0,0,0.0,19,6.33,20,6.67,0,0.0,0.0,0.82,20.1,6.7,8.9,5.44,7.08,1,1,1,0,0,0.5,0.0,6.03,20.6,6.87,8.9,5.63,7.28,1,1,1,0,0,0.5,0.0,6.1,21.1,7.03,8.9,5.83,7.48,1,2,0,0,0,0.0,0.0,5.96
Le'Veon Bell (FA),RB,11,82,7.45,328,29.82,4.0,16,10.64,0,0.0,2,0.18,16,1.45,20,1.82,138,12.55,8.62,0,0.0,98,8.91,102,9.27,0,0.0,0.0,1.0,58.6,5.33,3.9,3.59,6.25,8,1,1,1,0,0.22,0.12,5.13,66.6,6.05,5.3,3.52,7.22,8,2,1,0,0,0.1,0.0,5.98,74.6,6.78,6.6,3.51,8.19,9,1,1,0,0,0.1,0.0,6.89
Devonta Freeman (FA),RB,5,54,10.8,172,34.4,3.19,14,9.2,0,0.0,1,0.2,7,1.4,10,2.0,58,11.6,8.29,0,0.0,61,12.2,64,12.8,0,0.0,0.0,0.88,29.0,5.8,5.7,5.66,6.07,3,1,0,1,0,0.25,0.33,5.42,32.5,6.5,6.2,6.18,6.73,3,1,0,1,0,0.25,0.33,5.83,36.0,7.2,6.7,6.76,7.38,3,1,0,1,0,0.25,0.33,6.23
