Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Christian McCaffrey ,SF,RB,1.0,17,244,14.35,1139,67.0,4.67,49,20.94,14,0.82,8,0.47,85,5.0,108,6.35,741,43.59,8.72,5,0.29,329,19.35,352,20.71,0,0.0,0.0,1.0,271.4,15.96,13.9,7.25,15.71,1,1,5,5,5,7.5,10.0,21.65,313.9,18.46,15.7,7.82,18.07,1,1,5,4,6,7.5,10.0,23.52,356.4,20.96,17.7,8.53,20.67,0,2,3,4,8,7.5,12.0,26.09
Derrick Henry ,TEN,RB,1.0,16,349,21.81,1538,96.12,4.41,56,22.75,20,1.25,13,0.81,33,2.06,41,2.56,398,24.88,12.06,0,0.0,382,23.88,390,24.38,3,0.19,0.01,1.0,269.8,16.86,17.05,8.19,16.1,1,3,2,3,7,3.0,10.0,21.35,286.3,17.89,18.3,8.32,17.25,1,3,2,3,7,3.0,10.0,22.43,302.8,18.92,19.55,8.51,18.67,1,3,2,3,7,3.0,10.0,23.64
Austin Ekeler ,LAC,RB,1.0,17,204,12.0,915,53.82,4.49,72,17.94,10,0.59,13,0.76,107,6.29,127,7.47,722,42.47,6.75,5,0.29,311,18.29,331,19.47,3,0.18,0.01,1.0,265.7,15.63,14.3,8.6,14.74,2,4,1,5,5,1.83,5.0,17.18,319.2,18.78,19.3,8.67,17.91,0,5,2,3,7,2.4,10.0,22.39,372.7,21.92,23.9,9.01,21.32,0,2,4,2,9,7.5,11.0,28.8
Saquon Barkley ,NYG,RB,1.0,16,295,18.44,1312,82.0,4.45,68,22.75,16,1.0,10,0.62,57,3.56,76,4.75,338,21.12,5.93,0,0.0,352,22.0,371,23.19,0,0.0,0.0,1.0,227.0,14.19,14.8,6.49,14.36,3,1,2,5,5,3.0,3.33,17.77,255.5,15.97,16.8,6.97,16.09,3,1,2,5,5,3.0,3.33,19.45,284.0,17.75,18.35,7.52,18.06,3,1,2,5,5,3.0,3.33,21.04
Josh Jacobs ,LV,RB,1.0,17,340,20.0,1653,97.24,4.86,86,22.24,14,0.82,12,0.71,53,3.12,64,3.76,400,23.53,7.55,0,0.0,393,23.12,404,23.76,1,0.06,0.0,1.0,275.3,16.19,15.5,10.86,14.41,3,3,2,4,5,1.83,3.0,17.5,301.8,17.75,17.5,11.43,15.81,3,3,2,4,5,1.83,3.0,19.03,328.3,19.31,19.0,12.03,17.47,3,3,2,4,5,1.83,3.0,20.46
Nick Chubb ,CLE,RB,1.0,17,302,17.76,1525,89.71,5.05,41,23.94,18,1.06,12,0.71,27,1.59,37,2.18,239,14.06,8.85,1,0.06,329,19.35,339,19.94,1,0.06,0.0,1.0,254.4,14.96,14.3,7.05,14.83,1,3,4,3,6,3.25,9.0,18.98,267.9,15.76,14.8,7.1,15.8,1,5,3,4,4,1.83,8.0,18.68,281.4,16.55,15.3,7.23,17.01,0,6,3,4,4,1.83,8.0,19.45
James Conner ,ARI,RB,1.0,13,183,14.08,782,60.15,4.27,23,13.92,3,0.23,7,0.54,46,3.54,58,4.46,300,23.08,6.52,1,0.08,229,17.62,241,18.54,1,0.08,0.0,1.0,154.2,11.86,11.4,5.44,12.54,2,3,3,2,3,1.6,2.5,14.05,177.2,13.63,12.5,5.86,14.34,2,3,3,2,3,1.6,2.5,15.36,200.2,15.4,14.0,6.37,16.33,2,3,3,2,3,1.6,2.5,16.93
Breece Hall ,NYJ,RB,1.0,7,80,11.43,463,66.14,5.79,62,26.0,7,1.0,4,0.57,19,2.71,31,4.43,218,31.14,11.47,1,0.14,99,14.14,111,15.86,1,0.14,0.01,0.84,96.1,13.73,13.2,6.82,13.72,1,1,2,1,2,2.5,3.0,13.14,105.6,15.09,13.2,6.24,15.63,0,1,4,1,1,6.0,2.0,15.11,115.1,16.44,15.2,5.84,17.82,0,1,4,1,1,6.0,2.0,16.69
Ezekiel Elliott ,FA,RB,2.0,15,231,15.4,876,58.4,3.79,27,14.33,5,0.33,12,0.8,17,1.13,23,1.53,92,6.13,5.41,0,0.0,248,16.53,254,16.93,0,0.0,0.0,1.0,168.8,11.25,13.1,4.95,12.19,3,2,3,7,0,2.0,2.33,14.66,177.3,11.82,14.0,5.12,12.86,3,3,3,6,0,1.5,2.0,15.03,185.8,12.39,14.5,5.33,13.73,4,2,5,4,0,1.5,1.0,15.4
Tony Pollard ,DAL,RB,1.0,16,193,12.06,1007,62.94,5.22,57,22.75,18,1.12,9,0.56,39,2.44,55,3.44,371,23.19,9.51,3,0.19,232,14.5,248,15.5,0,0.0,0.0,1.0,209.8,13.11,10.75,9.7,12.0,4,2,3,2,5,1.67,1.75,13.06,229.3,14.33,12.25,10.03,13.18,4,2,4,1,5,1.67,1.5,14.2,248.8,15.55,14.3,10.44,14.58,4,2,4,2,4,1.67,1.5,15.75
