Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Dalvin Cook ,MIN,RB,1.0,17,264,15.53,1173,69.0,4.44,81,21.65,14,0.82,8,0.47,39,2.29,56,3.29,295,17.35,7.56,2,0.12,303,17.82,320,18.82,4,0.24,0.01,1.0,198.8,11.69,10.8,6.93,11.64,4,4,2,3,4,1.12,1.75,12.98,218.3,12.84,12.3,7.14,12.86,3,5,4,1,4,1.12,1.67,14.18,237.8,13.99,13.6,7.42,14.28,4,4,5,0,4,1.12,1.0,15.24
Dameon Pierce ,HOU,RB,1.0,13,220,16.92,939,72.23,4.27,75,23.0,13,1.0,4,0.31,30,2.31,39,3.0,165,12.69,5.5,1,0.08,250,19.23,259,19.92,2,0.15,0.01,1.0,136.4,10.49,11.1,5.7,10.97,3,1,5,3,1,2.25,1.33,13.38,151.4,11.65,11.8,6.03,12.17,3,1,6,2,1,2.25,1.0,14.15,166.4,12.8,12.5,6.44,13.54,3,2,5,2,1,1.6,1.0,14.76
Najee Harris ,PIT,RB,1.0,17,272,16.0,1034,60.82,3.8,36,13.76,2,0.12,7,0.41,41,2.41,53,3.12,229,13.47,5.59,3,0.18,313,18.41,325,19.12,2,0.12,0.01,1.0,182.5,10.74,9.9,4.67,11.8,1,6,7,1,2,1.43,3.0,13.14,203.0,11.94,11.4,4.68,13.29,1,7,7,1,1,1.12,2.0,14.09,223.5,13.15,12.9,4.88,14.9,2,5,8,1,1,1.43,1.0,15.39
Joe Mixon ,CIN,RB,1.0,15,212,14.13,826,55.07,3.9,40,14.07,7,0.47,7,0.47,60,4.0,75,5.0,441,29.4,7.35,2,0.13,272,18.13,287,19.13,0,0.0,0.0,1.0,180.7,12.05,10.6,11.57,10.55,4,3,5,2,1,1.14,0.75,12.19,210.7,14.05,11.6,11.74,12.42,2,5,3,4,1,1.14,2.5,13.92,240.7,16.05,12.9,12.0,14.53,2,4,2,6,1,1.5,3.5,15.88
Rhamondre Stevenson ,NE,RB,1.0,17,210,12.35,1040,61.18,4.95,49,18.18,12,0.71,5,0.29,69,4.06,88,5.18,421,24.76,6.1,1,0.06,279,16.41,298,17.53,1,0.06,0.0,1.0,180.1,10.59,8.9,6.65,10.65,5,4,2,4,2,0.89,1.2,11.3,214.6,12.62,11.2,7.04,12.69,5,1,4,5,2,1.83,1.4,13.77,249.1,14.65,14.2,7.61,14.87,5,0,5,4,3,2.4,1.4,16.38
Kenneth Walker III ,SEA,RB,1.0,15,228,15.2,1050,70.0,4.61,74,27.6,21,1.4,9,0.6,27,1.8,35,2.33,165,11.0,6.11,0,0.0,255,17.0,263,17.53,0,0.0,0.0,1.0,175.5,11.7,11.2,7.97,11.25,4,2,3,4,2,1.5,1.5,12.98,189.0,12.6,11.7,7.82,12.34,4,2,5,2,2,1.5,1.0,13.57,202.5,13.5,13.2,7.76,13.63,4,1,6,2,2,2.0,1.0,15.08
Aaron Jones ,GB,RB,1.0,17,213,12.53,1121,65.94,5.26,36,18.06,10,0.59,2,0.12,59,3.47,72,4.24,395,23.24,6.69,5,0.29,272,16.0,285,16.76,3,0.18,0.01,1.0,189.6,11.15,8.0,7.52,10.88,6,3,2,3,3,0.89,1.0,10.87,219.1,12.89,11.0,7.76,12.64,5,3,3,3,3,1.12,1.2,13.18,248.6,14.62,13.3,8.09,14.61,5,3,3,3,3,1.12,1.2,15.1
Alvin Kamara ,NO,RB,1.0,15,223,14.87,897,59.8,4.02,27,14.33,3,0.2,2,0.13,57,3.8,77,5.13,490,32.67,8.6,2,0.13,280,18.67,300,20.0,4,0.27,0.01,1.0,154.7,10.31,8.9,8.01,9.9,5,3,4,2,1,0.88,0.6,11.05,183.2,12.21,10.9,8.73,11.63,5,2,4,2,2,1.14,0.8,12.91,211.7,14.11,12.0,9.55,13.53,5,2,3,3,2,1.14,1.0,14.31
Jamaal Williams ,NO,RB,2.0,17,262,15.41,1066,62.71,4.07,58,18.06,10,0.59,17,1.0,12,0.71,16,0.94,73,4.29,6.08,0,0.0,274,16.12,278,16.35,2,0.12,0.01,1.0,213.9,12.58,10.6,7.8,12.16,4,2,4,1,6,1.83,1.75,13.23,219.9,12.94,10.6,7.92,12.62,6,3,1,2,5,0.89,1.17,12.82,225.9,13.29,10.6,8.07,13.29,6,4,1,1,5,0.7,1.0,12.98
Leonard Fournette ,FA,RB,1.0,16,189,11.81,668,41.75,3.53,23,9.75,1,0.06,3,0.19,73,4.56,83,5.19,523,32.69,7.16,3,0.19,262,16.38,272,17.0,0,0.0,0.0,1.0,154.1,9.63,7.75,6.28,9.82,4,5,3,3,1,0.78,1.0,10.25,190.6,11.91,10.3,7.22,11.9,3,5,5,1,2,1.0,1.0,12.44,227.1,14.19,11.9,8.27,14.1,2,6,4,1,3,1.0,2.0,14.4
Jonathan Taylor ,IND,RB,1.0,12,192,16.0,861,71.75,4.48,66,19.08,8,0.67,4,0.33,28,2.33,40,3.33,143,11.92,5.11,0,0.0,220,18.33,232,19.33,3,0.25,0.01,1.0,118.4,9.87,8.8,7.69,9.57,4,3,2,1,2,0.71,0.75,10.74,132.4,11.03,11.2,8.19,10.68,5,1,3,1,2,1.0,0.6,12.43,146.4,12.2,12.7,8.78,11.94,5,0,4,1,2,1.4,0.6,13.87
Miles Sanders ,CAR,RB,1.0,17,259,15.24,1269,74.65,4.9,40,17.47,12,0.71,11,0.65,20,1.18,26,1.53,78,4.59,3.9,0,0.0,279,16.41,285,16.76,2,0.12,0.01,1.0,196.7,11.57,8.6,8.85,10.83,6,3,2,3,3,0.89,1.0,11.12,206.7,12.16,10.1,9.06,11.47,7,2,3,2,3,0.89,0.71,12.01,216.7,12.75,11.6,9.29,12.3,7,3,3,1,3,0.7,0.57,12.93
D'Andre Swift ,DET,RB,2.0,14,99,7.07,542,38.71,5.47,50,17.14,10,0.71,5,0.36,48,3.43,70,5.0,389,27.79,8.1,3,0.21,147,10.5,169,12.07,0,0.0,0.0,1.0,143.1,10.22,8.05,6.91,10.18,4,6,0,2,2,0.4,1.0,9.86,167.1,11.94,10.35,7.06,11.99,4,4,2,2,2,0.75,1.0,11.88,191.1,13.65,12.35,7.3,13.99,3,3,4,2,2,1.33,1.33,14.06
Cordarrelle Patterson ,ATL,RB,2.0,13,144,11.08,695,53.46,4.83,40,15.62,6,0.46,8,0.62,21,1.62,31,2.38,122,9.38,5.81,0,0.0,165,12.69,175,13.46,1,0.08,0.01,1.0,133.7,10.28,9.8,6.25,10.51,3,3,3,2,2,1.17,1.33,11.4,144.2,11.09,9.8,6.57,11.34,4,3,2,2,2,0.86,1.0,11.54,154.7,11.9,10.1,6.97,12.34,4,4,1,2,2,0.62,1.0,12.01
Travis Etienne Jr. ,JAC,RB,1.0,17,220,12.94,1125,66.18,5.11,62,22.59,18,1.06,5,0.29,35,2.06,45,2.65,316,18.59,9.03,0,0.0,255,15.0,265,15.59,3,0.18,0.01,1.0,170.1,10.01,7.5,7.23,9.86,6,3,4,1,3,0.89,0.67,9.98,187.6,11.04,9.0,7.46,10.93,6,3,4,1,3,0.89,0.67,11.14,205.1,12.06,10.5,7.72,12.2,5,4,4,1,3,0.89,0.8,12.42
Latavius Murray ,FA,RB,3.0,14,171,12.21,760,54.29,4.44,52,15.43,9,0.64,6,0.43,27,1.93,35,2.5,132,9.43,4.89,0,0.0,198,14.14,206,14.71,0,0.0,0.0,1.0,127.2,9.09,7.75,5.57,9.55,3,5,4,1,1,0.75,0.67,9.8,140.7,10.05,9.25,5.52,10.74,5,4,2,2,1,0.56,0.6,10.89,154.2,11.01,10.55,5.54,12.1,5,4,2,3,0,0.56,0.6,12.09
Brian Robinson Jr. ,WAS,RB,1.0,12,205,17.08,797,66.42,3.89,24,13.67,2,0.17,2,0.17,9,0.75,12,1.0,60,5.0,6.67,1,0.08,214,17.83,217,18.08,0,0.0,0.0,1.0,103.7,8.64,8.65,5.05,9.31,5,2,3,1,1,0.71,0.4,10.35,108.2,9.02,9.15,5.22,9.77,5,2,4,1,0,0.71,0.2,10.73,112.7,9.39,9.65,5.43,10.37,5,3,3,1,0,0.5,0.2,11.12
Tyler Allgeier ,ATL,RB,1.0,16,210,13.12,1035,64.69,4.93,44,20.0,12,0.75,3,0.19,16,1.0,17,1.06,139,8.69,8.69,1,0.06,226,14.12,227,14.19,0,0.0,0.0,1.0,143.4,8.96,8.4,5.73,9.35,7,1,4,3,1,1.0,0.57,10.05,151.4,9.46,8.9,5.86,9.95,8,0,5,2,1,1.0,0.38,10.5,159.4,9.96,9.2,6.06,10.7,8,2,4,1,1,0.6,0.25,10.74
David Montgomery ,DET,RB,1.0,16,201,12.56,801,50.06,3.99,28,12.0,2,0.12,5,0.31,34,2.12,40,2.5,316,19.75,9.29,1,0.06,235,14.69,241,15.06,2,0.12,0.01,1.0,143.7,8.98,7.2,5.91,9.3,7,2,3,2,2,0.78,0.57,9.46,160.7,10.04,8.45,6.29,10.38,6,3,4,2,1,0.78,0.5,10.49,177.7,11.11,9.7,6.73,11.62,5,4,3,3,1,0.78,0.8,11.69
Jeff Wilson Jr. ,MIA,RB,2.0,16,176,11.0,860,53.75,4.89,41,17.88,11,0.69,5,0.31,22,1.38,37,2.31,185,11.56,8.41,1,0.06,198,12.38,213,13.31,2,0.12,0.01,1.0,136.5,8.53,8.1,6.03,8.79,6,3,5,0,2,0.78,0.33,9.4,147.5,9.22,9.6,6.22,9.56,6,4,4,1,1,0.6,0.33,10.33,158.5,9.91,10.8,6.46,10.47,6,4,4,1,1,0.6,0.33,11.29
Antonio Gibson ,WAS,RB,2.0,15,149,9.93,546,36.4,3.66,20,10.33,1,0.07,3,0.2,46,3.07,58,3.87,353,23.53,7.67,2,0.13,195,13.0,207,13.8,0,0.0,0.0,1.0,119.9,7.99,6.3,3.96,9.15,7,1,5,2,0,0.88,0.29,8.84,142.9,9.53,7.8,4.49,10.72,7,2,3,3,0,0.67,0.43,10.15,165.9,11.06,9.3,5.1,12.4,5,4,3,3,0,0.67,0.6,11.63
Devin Singletary ,HOU,RB,2.0,17,178,10.47,822,48.35,4.62,33,16.0,7,0.41,5,0.29,38,2.24,52,3.06,280,16.47,7.37,1,0.06,216,12.71,230,13.53,3,0.18,0.01,1.0,140.2,8.25,7.6,5.37,8.75,6,5,2,3,1,0.55,0.67,9.15,159.2,9.36,8.5,5.82,9.87,6,5,2,4,0,0.55,0.67,10.06,178.2,10.48,9.3,6.42,11.09,5,7,2,2,1,0.42,0.6,10.89
Raheem Mostert ,MIA,RB,1.0,16,181,11.31,891,55.69,4.92,67,18.19,9,0.56,3,0.19,31,1.94,42,2.62,202,12.62,6.52,2,0.12,212,13.25,223,13.94,1,0.06,0.0,1.0,137.3,8.58,7.3,5.67,8.98,6,5,0,4,1,0.45,0.83,9.16,152.8,9.55,7.9,6.27,9.88,6,5,0,5,0,0.45,0.83,9.83,168.3,10.52,8.35,6.97,10.91,7,4,1,3,1,0.45,0.57,10.43
AJ Dillon ,GB,RB,2.0,17,186,10.94,770,45.29,4.14,27,12.88,3,0.18,7,0.41,28,1.65,43,2.53,206,12.12,7.36,0,0.0,214,12.59,229,13.47,0,0.0,0.0,1.0,139.6,8.21,6.5,5.55,8.64,7,4,2,3,1,0.55,0.57,8.58,153.6,9.04,7.2,6.05,9.43,8,4,1,3,1,0.42,0.5,9.16,167.6,9.86,7.7,6.6,10.36,9,3,1,3,1,0.42,0.44,9.79
Jerick McKinnon ,FA,RB,10.0,17,72,4.24,291,17.12,4.04,30,8.47,3,0.18,1,0.06,56,3.29,71,4.18,512,30.12,9.14,9,0.53,128,7.53,143,8.41,1,0.06,0.01,1.0,140.3,8.25,5.8,7.89,7.95,9,3,2,1,2,0.42,0.33,7.32,168.3,9.9,7.6,8.77,9.42,7,5,2,0,3,0.42,0.43,8.81,196.3,11.55,9.2,9.7,11.03,7,5,2,0,3,0.42,0.43,10.26
Isiah Pacheco ,KC,RB,1.0,17,170,10.0,830,48.82,4.88,31,12.06,4,0.24,5,0.29,13,0.76,14,0.82,130,7.65,10.0,0,0.0,183,10.76,184,10.82,2,0.12,0.01,1.0,122.0,7.18,7.7,5.02,7.74,6,5,4,2,0,0.55,0.33,8.39,128.5,7.56,8.2,5.17,8.2,8,3,4,2,0,0.55,0.25,8.8,135.0,7.94,8.7,5.36,8.79,8,3,6,0,0,0.55,0.0,9.23
Cam Akers ,LAR,RB,1.0,15,188,12.53,786,52.4,4.18,42,14.47,6,0.4,7,0.47,13,0.87,18,1.2,117,7.8,9.0,0,0.0,201,13.4,206,13.73,2,0.13,0.01,1.0,128.3,8.55,6.2,8.51,8.09,6,3,4,0,2,0.67,0.33,8.22,134.8,8.99,7.2,8.84,8.53,7,3,3,1,1,0.5,0.29,8.77,141.3,9.42,8.2,9.19,9.12,7,3,3,1,1,0.5,0.29,9.49
J.K. Dobbins ,BAL,RB,1.0,8,92,11.5,520,65.0,5.65,44,20.12,7,0.88,2,0.25,7,0.88,8,1.0,42,5.25,6.0,1,0.12,99,12.38,100,12.5,0,0.0,0.0,0.88,74.2,9.28,7.6,6.47,9.39,4,1,1,0,2,0.6,0.5,8.24,77.7,9.71,7.6,6.83,9.84,4,1,1,1,1,0.6,0.5,8.42,81.2,10.15,7.65,7.24,10.43,4,1,1,1,1,0.6,0.5,8.67
Melvin Gordon III ,FA,RB,4.0,10,90,9.0,318,31.8,3.53,17,9.3,0,0.0,2,0.2,25,2.5,32,3.2,223,22.3,8.92,0,0.0,115,11.5,122,12.2,2,0.2,0.02,0.96,62.1,6.21,6.15,4.19,7.01,5,2,3,0,0,0.43,0.0,7.1,74.6,7.46,7.6,4.96,8.18,5,2,3,0,0,0.43,0.0,8.24,87.1,8.71,9.1,5.77,9.47,5,1,4,0,0,0.67,0.0,9.56
Clyde Edwards-Helaire ,KC,RB,2.0,10,71,7.1,302,30.2,4.25,52,13.8,5,0.5,3,0.3,17,1.7,23,2.3,151,15.1,8.88,3,0.3,88,8.8,94,9.4,0,0.0,0.0,0.96,81.3,8.13,6.35,7.62,7.9,5,1,2,0,2,0.67,0.4,7.51,89.8,8.98,7.1,8.04,8.73,5,1,2,0,2,0.67,0.4,8.2,98.3,9.83,7.85,8.54,9.69,5,1,2,0,2,0.67,0.4,8.94
Damien Harris ,BUF,RB,1.0,11,106,9.64,462,42.0,4.36,30,13.0,3,0.27,3,0.27,17,1.55,23,2.09,97,8.82,5.71,0,0.0,123,11.18,129,11.73,0,0.0,0.0,1.0,73.9,6.72,5.2,4.93,7.28,7,1,1,2,0,0.38,0.29,7.05,82.4,7.49,6.4,5.08,8.17,7,1,2,1,0,0.38,0.14,7.95,90.9,8.26,7.8,5.26,9.2,7,1,2,1,0,0.38,0.14,9.04
Khalil Herbert ,CHI,RB,2.0,13,129,9.92,731,56.23,5.67,63,21.15,11,0.85,4,0.31,9,0.69,12,0.92,57,4.38,6.33,1,0.08,138,10.62,141,10.85,0,0.0,0.0,1.0,108.8,8.37,5.7,7.88,8.07,7,1,2,2,1,0.62,0.43,7.7,113.3,8.72,5.7,8.04,8.47,7,2,1,2,1,0.44,0.43,7.79,117.8,9.06,5.9,8.2,9.02,8,2,2,0,1,0.3,0.12,7.98
Kenyan Drake ,FA,RB,5.0,12,109,9.08,482,40.17,4.42,40,15.5,9,0.75,4,0.33,17,1.42,26,2.17,89,7.42,5.24,1,0.08,126,10.5,135,11.25,0,0.0,0.0,1.0,87.1,7.26,4.6,7.83,7.01,8,0,1,1,2,0.5,0.38,6.69,95.6,7.97,5.35,8.12,7.72,8,0,2,1,1,0.5,0.25,7.32,104.1,8.67,6.1,8.44,8.57,8,0,1,2,1,0.5,0.38,8.07
Rachaad White ,TB,RB,1.0,17,129,7.59,481,28.29,3.73,35,9.94,3,0.18,1,0.06,50,2.94,58,3.41,290,17.06,5.8,2,0.12,179,10.53,187,11.0,3,0.18,0.02,1.0,89.1,5.24,4.3,3.91,6.02,12,0,5,0,0,0.42,0.0,5.95,114.1,6.71,5.7,4.82,7.41,10,3,3,1,0,0.31,0.1,7.18,139.1,8.18,7.2,5.87,8.86,10,3,2,2,0,0.31,0.2,8.53
Kareem Hunt ,FA,RB,6.0,17,123,7.24,468,27.53,3.8,24,10.76,2,0.12,3,0.18,35,2.06,44,2.59,210,12.35,6.0,1,0.06,158,9.29,167,9.82,0,0.0,0.0,1.0,91.8,5.4,5.4,4.7,5.92,9,6,1,0,1,0.13,0.11,6.17,109.3,6.43,6.4,5.08,7.01,9,6,1,0,1,0.13,0.11,7.11,126.8,7.46,7.4,5.49,8.21,10,5,1,0,1,0.13,0.1,8.1
James Robinson ,NE,RB,2.0,11,110,10.0,425,38.64,3.86,50,15.73,8,0.73,3,0.27,11,1.0,14,1.27,51,4.64,4.64,2,0.18,121,11.0,124,11.27,0,0.0,0.0,1.0,77.6,7.05,3.9,7.05,6.99,7,0,1,2,1,0.57,0.43,6.42,83.1,7.55,4.9,7.46,7.48,7,0,2,2,0,0.57,0.29,7.06,88.6,8.05,5.9,7.9,8.1,7,0,2,2,0,0.57,0.29,7.78
Michael Carter ,NYJ,RB,3.0,16,114,7.12,402,25.12,3.53,25,9.38,3,0.19,3,0.19,41,2.56,54,3.38,288,18.0,7.02,0,0.0,155,9.69,168,10.5,1,0.06,0.01,1.0,85.0,5.31,4.65,4.58,5.86,11,2,1,2,0,0.23,0.18,5.94,105.5,6.59,5.15,4.78,7.3,9,4,1,2,0,0.23,0.22,6.82,126.0,7.88,5.65,5.13,8.82,9,4,1,2,0,0.23,0.22,7.73
Gus Edwards ,BAL,RB,2.0,9,87,9.67,433,48.11,4.98,37,16.11,4,0.44,3,0.33,0,0.0,2,0.22,0,0.0,0.0,0,0.0,87,9.67,89,9.89,1,0.11,0.01,0.93,59.3,6.59,6.5,5.68,6.89,4,3,1,0,1,0.29,0.25,6.69,59.3,6.59,6.5,5.68,6.99,6,2,0,1,0,0.12,0.17,6.64,59.3,6.59,6.5,5.68,7.19,6,2,0,1,0,0.12,0.17,6.72
Darrell Henderson Jr. ,FA,RB,8.0,10,70,7.0,283,28.3,4.04,23,10.1,1,0.1,3,0.3,17,1.7,22,2.2,102,10.2,6.0,0,0.0,87,8.7,92,9.2,0,0.0,0.0,0.96,56.5,5.65,4.75,3.76,6.55,6,2,2,0,0,0.25,0.0,5.92,65.0,6.5,5.5,3.89,7.58,6,3,1,0,0,0.11,0.0,6.62,73.5,7.35,6.95,4.22,8.64,6,2,2,0,0,0.25,0.0,7.78
Samaje Perine ,DEN,RB,2.0,16,95,5.94,394,24.62,4.15,29,7.62,1,0.06,2,0.12,38,2.38,51,3.19,287,17.94,7.55,4,0.25,133,8.31,146,9.12,0,0.0,0.0,1.0,104.1,6.51,3.05,7.29,6.39,11,1,1,2,1,0.33,0.27,5.4,123.1,7.69,4.45,7.8,7.54,10,2,1,2,1,0.33,0.3,6.55,142.1,8.88,5.8,8.35,8.8,10,2,1,2,1,0.33,0.3,7.73
D'Onta Foreman ,CHI,RB,1.0,16,203,12.69,914,57.12,4.5,60,15.06,12,0.75,5,0.31,5,0.31,9,0.56,26,1.62,5.2,0,0.0,208,13.0,212,13.25,0,0.0,0.0,1.0,126.0,7.88,2.95,9.5,7.24,9,2,1,1,3,0.45,0.44,6.25,128.5,8.03,3.3,9.51,7.49,10,1,1,2,2,0.45,0.4,6.51,131.0,8.19,3.8,9.54,7.85,10,2,1,1,2,0.33,0.3,6.81
Zonovan Knight ,NYJ,RB,2.0,7,85,12.14,300,42.86,3.53,48,16.14,3,0.43,1,0.14,13,1.86,14,2.0,100,14.29,7.69,0,0.0,98,14.0,99,14.14,0,0.0,0.0,0.84,46.0,6.57,4.4,5.19,7.03,4,0,2,1,0,0.75,0.25,5.85,52.5,7.5,5.4,5.9,7.88,4,0,3,0,0,0.75,0.0,6.5,59.0,8.43,6.4,6.64,8.85,4,0,2,1,0,0.75,0.25,7.29
Rashaad Penny ,PHI,RB,1.0,5,57,11.4,346,69.2,6.07,41,23.8,9,1.8,2,0.4,4,0.8,5,1.0,16,3.2,4.0,0,0.0,61,12.2,62,12.4,0,0.0,0.0,0.72,48.2,9.64,6.7,10.33,8.68,2,2,0,0,1,0.25,0.5,6.07,50.2,10.04,7.4,10.45,9.14,2,2,0,0,1,0.25,0.5,6.44,52.2,10.44,7.9,10.59,9.75,3,1,0,0,1,0.25,0.33,6.77
Javonte Williams ,DEN,RB,1.0,4,47,11.75,204,51.0,4.34,17,14.75,0,0.0,0,0.0,16,4.0,22,5.5,76,19.0,4.75,0,0.0,63,15.75,69,17.25,1,0.25,0.02,0.65,26.0,6.5,7.25,2.83,8.1,1,3,0,0,0,0.0,0.0,5.59,34.0,8.5,8.25,4.58,9.51,1,2,1,0,0,0.33,0.0,6.4,42.0,10.5,9.25,6.73,10.98,1,2,0,1,0,0.33,1.0,7.28
