Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Jaylen Samuels ,FA,RB,44.5,3,5,1.67,9,3.0,1.8,3,1.67,0,0.0,0,0.0,3,1.0,4,1.33,14,4.67,4.67,0,0.0,8,2.67,9,3.0,0,0.0,0.0,0.6,2.3,0.77,0.2,1.16,1.19,3,0,0,0,0,0.0,0.0,0.52,3.8,1.27,0.2,2.02,1.73,3,0,0,0,0,0.0,0.0,0.65,5.3,1.77,0.2,2.89,2.24,3,0,0,0,0,0.0,0.0,0.77
Scottie Phillips ,FA,RB,44.5,3,6,2.0,13,4.33,2.17,4,2.0,0,0.0,0,0.0,2,0.67,3,1.0,9,3.0,4.5,0,0.0,8,2.67,9,3.0,0,0.0,0.0,0.6,2.2,0.73,0.2,1.1,1.16,3,0,0,0,0,0.0,0.0,0.51,3.2,1.07,0.2,1.68,1.53,3,0,0,0,0,0.0,0.0,0.6,4.2,1.4,0.2,2.25,1.89,3,0,0,0,0,0.0,0.0,0.68
Kalen Ballage ,FA,RB,50.0,9,12,1.33,36,4.0,3.0,13,3.33,0,0.0,0,0.0,2,0.22,7,0.78,8,0.89,4.0,0,0.0,14,1.56,19,2.11,0,0.0,0.0,1.0,4.4,0.49,0.0,0.98,0.79,9,0,0,0,0,0.0,0.0,0.53,5.4,0.6,0.0,1.11,0.95,9,0,0,0,0,0.0,0.0,0.59,6.4,0.71,0.0,1.28,1.11,9,0,0,0,0,0.0,0.0,0.65
Alex Armah Jr. ,WAS,RB,3.0,10,5,0.5,21,2.1,4.2,9,1.8,0,0.0,0,0.0,1,0.1,1,0.1,1,0.1,1.0,1,0.1,6,0.6,6,0.6,0,0.0,0.0,1.0,8.2,0.82,0.1,1.89,1.13,9,1,0,0,0,0.0,0.0,0.55,8.7,0.87,0.1,2.05,1.19,10,0,0,0,0,0.0,0.0,0.58,9.2,0.92,0.1,2.2,1.25,10,0,0,0,0,0.0,0.0,0.6
Jakob Johnson ,LV,RB,5.0,7,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,4,0.57,5,0.71,43,6.14,10.75,0,0.0,4,0.57,5,0.71,0,0.0,0.0,0.9,4.3,0.61,0.0,1.19,0.95,7,0,0,0,0,0.0,0.0,0.41,6.3,0.9,0.0,1.55,1.32,7,0,0,0,0,0.0,0.0,0.54,8.3,1.19,0.0,1.93,1.66,7,0,0,0,0,0.0,0.0,0.67
Gabe Nabers ,FA,RB,60.0,7,3,0.43,8,1.14,2.67,4,1.14,0,0.0,0,0.0,3,0.43,3,0.43,17,2.43,5.67,0,0.0,6,0.86,6,0.86,0,0.0,0.0,0.9,2.5,0.36,0.2,0.39,0.73,7,0,0,0,0,0.0,0.0,0.41,4.0,0.57,0.2,0.77,1.0,7,0,0,0,0,0.0,0.0,0.51,5.5,0.79,0.2,1.16,1.25,7,0,0,0,0,0.0,0.0,0.6
Reggie Gilliam ,BUF,RB,3.0,8,3,0.38,3,0.38,1.0,2,0.38,0,0.0,0,0.0,3,0.38,5,0.62,23,2.88,7.67,0,0.0,6,0.75,8,1.0,0,0.0,0.0,0.95,2.6,0.32,0.1,0.4,0.66,8,0,0,0,0,0.0,0.0,0.39,4.1,0.51,0.1,0.66,0.93,8,0,0,0,0,0.0,0.0,0.49,5.6,0.7,0.1,0.91,1.18,8,0,0,0,0,0.0,0.0,0.59
Kylin Hill ,FA,RB,54.0,8,10,1.25,24,3.0,2.4,8,2.0,0,0.0,0,0.0,1,0.12,2,0.25,5,0.62,5.0,0,0.0,11,1.38,12,1.5,0,0.0,0.0,0.95,2.9,0.36,0.1,0.51,0.69,8,0,0,0,0,0.0,0.0,0.45,3.4,0.42,0.1,0.56,0.8,8,0,0,0,0,0.0,0.0,0.49,3.9,0.49,0.1,0.65,0.9,8,0,0,0,0,0.0,0.0,0.52
Dwayne Washington ,NO,RB,6.0,8,4,0.5,16,2.0,4.0,5,1.5,0,0.0,0,0.0,2,0.25,2,0.25,12,1.5,6.0,0,0.0,6,0.75,6,0.75,0,0.0,0.0,0.95,2.8,0.35,0.0,0.49,0.68,8,0,0,0,0,0.0,0.0,0.33,3.8,0.48,0.0,0.69,0.85,8,0,0,0,0,0.0,0.0,0.4,4.8,0.6,0.0,0.91,1.02,8,0,0,0,0,0.0,0.0,0.46
Anthony McFarland Jr. ,PIT,RB,4.0,3,3,1.0,3,1.0,1.0,3,1.33,0,0.0,0,0.0,1,0.33,1,0.33,11,3.67,11.0,0,0.0,4,1.33,4,1.33,0,0.0,0.0,0.6,1.4,0.47,0.1,0.72,0.82,3,0,0,0,0,0.0,0.0,0.3,1.9,0.63,0.1,1.01,1.03,3,0,0,0,0,0.0,0.0,0.35,2.4,0.8,0.1,1.3,1.24,3,0,0,0,0,0.0,0.0,0.4
