Player,TEAM,POS,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
D'Andre Swift ,DET,RB,13.63,114.26,8.45,559.53,41.16,5.01,52.26,16.57,8.58,0.62,5.32,0.39,51.47,3.79,70.74,5.2,402.21,29.59,7.85,2.63,0.19,165.74,12.24,185.0,13.64,0.47,0.04,0.0,1.0,144.17,10.59,9.56,6.82,10.59,3.89,4.26,1.05,2.32,2.11,0.84,1.13,10.13,169.91,12.49,11.83,7.09,12.5,3.79,3.11,2.32,1.79,2.63,1.06,1.18,11.92,195.65,14.39,13.7,7.45,14.39,2.63,2.89,3.68,1.53,2.89,1.5,1.79,13.8
Rhamondre Stevenson ,NE,RB,15.53,187.35,11.98,912.35,58.04,4.84,40.76,16.56,8.76,0.52,5.0,0.33,52.82,3.21,67.41,4.1,333.35,20.49,6.89,0.71,0.04,240.18,15.19,254.76,16.07,1.0,0.07,0.0,1.0,156.81,9.95,8.06,6.97,9.91,5.29,3.41,2.0,2.82,2.0,0.78,0.94,9.42,183.22,11.55,9.73,7.34,11.49,5.29,1.29,3.41,3.53,2.0,1.44,1.09,11.09,209.63,13.16,11.91,7.85,13.02,5.59,0.29,4.12,2.82,2.71,1.84,1.07,12.77
Antonio Gibson ,WAS,RB,15.16,179.89,11.79,701.42,46.02,3.86,23.95,12.27,2.53,0.17,4.89,0.33,43.89,2.9,54.95,3.63,326.32,21.55,7.41,2.05,0.13,223.79,14.69,234.84,15.43,1.26,0.08,0.0,1.0,142.46,9.37,8.2,5.0,10.12,5.89,1.63,4.0,2.42,1.21,1.04,0.78,9.58,164.41,10.83,9.7,5.42,11.58,5.68,2.47,2.74,2.89,1.37,0.9,1.0,10.76,186.35,12.27,11.03,5.94,12.99,4.42,3.74,2.74,3.16,1.11,0.9,1.1,11.88
David Montgomery ,DET,RB,15.4,213.65,13.96,844.3,55.11,3.95,37.8,14.17,4.45,0.3,5.85,0.38,37.55,2.46,45.3,2.97,317.9,20.72,8.55,0.85,0.05,251.2,16.42,258.95,16.93,1.65,0.1,0.01,1.0,153.07,10.0,7.83,6.32,10.16,5.2,3.45,2.2,1.8,2.75,0.84,1.35,9.64,171.84,11.23,9.28,6.67,11.39,4.7,3.75,2.9,1.75,2.3,0.88,1.35,10.73,190.62,12.46,10.9,7.12,12.58,4.35,4.1,2.3,2.7,1.95,0.88,1.32,11.85
Tony Pollard ,DAL,RB,15.7,162.7,10.32,850.2,53.98,5.21,55.1,19.76,13.95,0.88,6.4,0.4,36.7,2.34,49.5,3.15,331.5,21.09,8.91,1.95,0.12,199.4,12.66,212.2,13.47,0.05,0.0,0.0,1.0,169.77,10.75,8.58,7.91,10.32,5.3,2.7,3.0,1.25,3.45,1.16,1.12,9.77,188.12,11.92,9.9,8.26,11.47,5.3,2.7,3.6,0.65,3.45,1.16,0.97,10.72,206.47,13.09,11.53,8.69,12.6,5.35,2.65,3.35,1.55,2.8,1.16,1.02,11.83
Miles Sanders ,CAR,RB,15.2,215.0,13.93,1077.5,70.28,5.07,44.95,19.47,11.4,0.76,7.35,0.45,23.8,1.64,32.45,2.26,131.45,9.28,5.07,0.15,0.01,238.8,15.56,247.45,16.17,1.7,0.11,0.01,1.0,163.5,10.56,8.15,7.4,10.35,5.55,3.1,1.8,2.6,2.15,0.79,0.93,9.64,175.4,11.37,9.51,7.65,11.21,5.9,2.75,2.15,2.25,2.15,0.79,0.83,10.51,187.3,12.2,10.8,7.94,12.06,6.15,3.1,2.4,1.4,2.15,0.67,0.67,11.27
Jamaal Williams ,NO,RB,15.55,212.7,13.42,863.15,54.42,4.06,44.55,15.38,6.5,0.39,11.2,0.68,18.75,1.29,22.35,1.51,119.3,8.18,6.24,0.35,0.02,231.45,14.71,235.05,14.93,1.2,0.07,0.01,1.0,166.74,10.42,8.86,6.54,10.46,4.7,2.9,3.3,1.0,3.65,1.23,1.13,10.12,176.12,11.07,9.34,6.92,11.09,6.1,2.95,1.75,1.45,3.3,0.72,0.79,10.22,185.5,11.71,9.63,7.38,11.71,6.25,3.4,1.6,1.0,3.3,0.61,0.71,10.51
Travis Etienne Jr. ,JAC,RB,17.0,220.0,12.94,1125.0,66.18,5.11,62.0,22.59,18.0,1.06,5.0,0.29,35.0,2.06,45.0,2.65,316.0,18.59,9.03,0.0,0.0,255.0,15.0,265.0,15.59,3.0,0.18,0.01,1.0,170.1,10.01,7.5,7.23,9.86,6.0,3.0,4.0,1.0,3.0,0.89,0.67,9.11,187.6,11.04,9.0,7.46,10.91,6.0,3.0,4.0,1.0,3.0,0.89,0.67,10.13,205.1,12.06,10.5,7.72,11.96,5.0,4.0,4.0,1.0,3.0,0.89,0.8,11.19
Brian Robinson Jr. ,WAS,RB,12.0,205.0,17.08,797.0,66.42,3.89,24.0,13.67,2.0,0.17,2.0,0.17,9.0,0.75,12.0,1.0,60.0,5.0,6.67,1.0,0.08,214.0,17.83,217.0,18.08,0.0,0.0,0.0,1.0,103.7,8.64,8.65,5.05,9.31,5.0,2.0,3.0,1.0,1.0,0.71,0.4,9.45,108.2,9.02,9.15,5.22,9.74,5.0,2.0,4.0,1.0,0.0,0.71,0.2,9.77,112.7,9.39,9.65,5.43,10.17,5.0,3.0,3.0,1.0,0.0,0.5,0.2,10.04
Cordarrelle Patterson ,ATL,RB,14.2,131.9,9.49,599.85,43.5,4.57,37.35,13.53,4.5,0.33,6.4,0.47,28.25,1.95,39.2,2.71,227.55,15.28,7.13,1.25,0.08,160.15,11.43,171.1,12.21,0.6,0.05,0.01,1.0,125.87,9.02,8.58,5.71,9.06,5.2,2.3,3.3,1.45,1.95,1.12,1.05,9.1,140.0,10.0,9.2,6.11,10.08,5.8,2.3,2.45,1.7,1.95,0.93,0.91,9.63,154.12,10.97,9.71,6.57,11.04,5.8,2.9,1.6,1.95,1.95,0.79,0.98,10.16
