Player,TEAM,POS,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Rashaad Penny ,PHI,RB,6.3,68.3,10.51,416.75,63.23,5.81,43.7,21.42,10.8,1.62,2.85,0.4,4.3,0.67,5.55,0.86,25.75,3.54,4.92,0.05,0.01,72.6,11.18,73.85,11.36,0.05,0.01,0.0,0.91,61.55,9.13,5.6,9.72,8.23,3.1,1.45,0.05,0.0,1.7,0.34,0.51,6.37,63.7,9.46,6.23,9.85,8.6,3.35,1.2,0.05,0.3,1.4,0.34,0.48,6.73,65.85,9.8,6.73,10.0,8.98,3.95,0.6,0.05,0.3,1.4,0.34,0.38,7.02
Zonovan Knight ,NYJ,RB,7.0,85.0,12.14,300.0,42.86,3.53,48.0,16.14,3.0,0.43,1.0,0.14,13.0,1.86,14.0,2.0,100.0,14.29,7.69,0.0,0.0,98.0,14.0,99.0,14.14,0.0,0.0,0.0,0.92,46.0,6.57,4.4,5.19,7.03,4.0,0.0,2.0,1.0,0.0,0.75,0.25,5.94,52.5,7.5,5.4,5.9,7.86,4.0,0.0,3.0,0.0,0.0,0.75,0.0,6.56,59.0,8.43,6.4,6.64,8.68,4.0,0.0,2.0,1.0,0.0,0.75,0.25,7.29
Chase Edmonds ,TB,RB,13.05,82.5,6.39,354.95,27.61,4.15,35.35,12.57,4.55,0.36,2.0,0.15,26.25,2.01,35.4,2.72,217.4,16.64,8.89,1.05,0.08,108.75,8.4,117.9,9.1,0.25,0.02,0.0,1.0,75.04,5.77,5.14,4.68,6.33,7.7,3.0,0.95,1.1,0.3,0.25,0.23,5.68,88.16,6.77,6.23,5.17,7.32,7.6,2.85,1.2,1.1,0.3,0.3,0.23,6.54,101.28,7.78,7.44,5.72,8.27,7.25,2.7,2.3,0.5,0.3,0.47,0.21,7.48
D'Onta Foreman ,CHI,RB,13.11,165.53,12.29,736.21,54.29,4.42,48.68,14.38,9.16,0.65,3.95,0.28,5.63,0.48,8.68,0.69,49.32,4.71,7.41,0.11,0.02,171.16,12.77,174.21,12.98,0.26,0.03,0.0,0.98,103.61,7.74,4.28,7.64,7.6,6.74,2.42,0.89,0.89,2.16,0.42,0.54,6.31,106.42,7.97,4.63,7.68,7.92,7.37,1.79,1.16,1.53,1.26,0.42,0.38,6.53,109.24,8.22,5.18,7.75,8.24,7.63,2.16,1.16,0.89,1.26,0.34,0.28,6.81
Rachaad White ,TB,RB,17.0,129.0,7.59,481.0,28.29,3.73,35.0,9.94,3.0,0.18,1.0,0.06,50.0,2.94,58.0,3.41,290.0,17.06,5.8,2.0,0.12,179.0,10.53,187.0,11.0,3.0,0.18,0.02,1.0,89.1,5.24,4.3,3.91,6.02,12.0,0.0,5.0,0.0,0.0,0.42,0.0,5.44,114.1,6.71,5.7,4.82,7.4,10.0,3.0,3.0,1.0,0.0,0.31,0.1,6.52,139.1,8.18,7.2,5.87,8.69,10.0,3.0,2.0,2.0,0.0,0.31,0.2,7.66
Gus Edwards ,BAL,RB,10.4,97.67,9.49,490.2,47.48,5.01,38.6,16.02,5.13,0.47,3.33,0.32,1.67,0.1,3.8,0.31,20.2,1.26,2.34,0.0,0.0,99.33,9.59,101.47,9.8,1.0,0.1,0.01,0.98,69.04,6.62,6.41,5.43,7.01,4.6,3.53,1.13,0.33,0.8,0.29,0.26,6.43,69.87,6.67,6.47,5.46,7.14,6.2,2.87,0.33,1.0,0.0,0.14,0.17,6.41,70.71,6.73,6.56,5.48,7.28,6.47,2.6,0.33,1.0,0.0,0.14,0.16,6.49
Jerick McKinnon ,FA,RB,14.79,57.16,3.56,233.68,14.72,4.33,29.47,7.25,2.32,0.14,1.16,0.07,42.26,2.67,54.95,3.53,378.16,23.82,8.75,6.05,0.37,99.42,6.24,112.11,7.08,0.63,0.04,0.01,0.99,104.45,6.49,4.39,6.47,6.46,8.84,1.89,1.84,0.95,1.26,0.36,0.24,5.27,125.58,7.84,5.93,7.2,7.69,7.58,3.16,1.95,0.21,1.89,0.36,0.29,6.38,146.71,9.18,7.3,7.97,8.89,7.58,3.16,1.95,0.11,2.0,0.36,0.29,7.41
J.D. McKissic ,FA,RB,10.55,35.6,3.2,156.75,14.08,4.4,27.45,7.99,1.4,0.14,0.6,0.05,36.65,3.38,50.35,4.69,273.6,24.96,7.23,0.75,0.06,72.25,6.59,85.95,7.9,0.1,0.01,0.0,0.99,52.14,4.7,4.34,3.38,5.51,7.8,1.4,0.65,0.7,0.0,0.17,0.11,4.78,70.46,6.39,6.62,4.44,7.1,6.2,2.45,1.2,0.35,0.35,0.27,0.13,6.36,88.78,8.09,8.32,5.62,8.59,5.25,2.8,0.75,1.3,0.45,0.34,0.38,7.72
Chuba Hubbard ,CAR,RB,14.59,117.65,7.95,508.94,34.75,4.51,32.35,9.82,5.12,0.36,2.88,0.19,17.24,1.16,22.88,1.53,171.88,11.82,10.67,0.29,0.02,134.88,9.12,140.53,9.49,1.0,0.07,0.01,1.0,85.14,5.78,5.38,5.31,6.17,7.0,4.0,2.88,0.71,0.0,0.32,0.1,5.76,93.76,6.37,6.0,5.66,6.76,8.12,2.88,2.59,1.0,0.0,0.32,0.13,6.24,102.38,6.95,6.59,6.08,7.33,8.12,2.88,2.59,1.0,0.0,0.32,0.13,6.71
Khalil Herbert ,CHI,RB,13.88,121.35,8.9,643.35,47.65,5.24,53.0,17.59,8.94,0.67,3.41,0.25,10.47,0.75,13.18,0.94,68.47,4.86,6.49,0.71,0.06,131.82,9.65,134.53,9.85,0.0,0.0,0.0,1.0,95.89,7.1,4.38,7.11,6.97,8.18,1.59,1.71,1.71,0.71,0.48,0.33,5.85,101.12,7.48,4.38,7.38,7.36,8.18,2.29,0.71,2.0,0.71,0.35,0.36,5.95,106.36,7.85,4.52,7.66,7.76,9.18,2.0,1.41,0.59,0.71,0.25,0.13,6.06
Mark Ingram II ,FA,RB,11.35,94.5,7.91,359.1,29.98,3.79,21.05,9.05,1.35,0.1,1.8,0.15,18.25,1.58,21.8,1.87,98.65,8.25,5.36,0.25,0.02,112.75,9.49,116.3,9.78,1.55,0.14,0.02,1.0,56.38,4.65,4.23,3.5,5.4,8.6,1.6,0.25,0.65,0.25,0.14,0.37,5.0,65.5,5.44,4.74,3.76,6.31,8.0,2.05,0.75,0.3,0.25,0.15,0.33,5.56,74.62,6.24,5.84,4.2,7.13,8.6,1.45,0.75,0.3,0.25,0.15,0.33,6.32
James Cook ,BUF,RB,17.0,91.0,5.35,525.0,30.88,5.77,33.0,13.35,7.0,0.41,2.0,0.12,21.0,1.24,32.0,1.88,180.0,10.59,8.57,1.0,0.06,112.0,6.59,123.0,7.24,1.0,0.06,0.01,1.0,86.5,5.09,4.0,4.77,5.56,11.0,3.0,2.0,1.0,0.0,0.21,0.09,4.68,97.0,5.71,5.3,5.08,6.21,11.0,3.0,2.0,1.0,0.0,0.21,0.09,5.46,107.5,6.32,5.3,5.51,6.82,10.0,5.0,1.0,1.0,0.0,0.13,0.1,5.66
Derrick Gore ,NO,RB,8.0,51.0,6.38,256.0,32.0,5.02,51.0,14.0,5.0,0.62,2.0,0.25,8.0,1.0,9.0,1.12,105.0,13.12,13.12,0.0,0.0,59.0,7.38,60.0,7.5,0.0,0.0,0.0,0.95,48.1,6.01,3.75,5.27,6.41,5.0,0.0,2.0,1.0,0.0,0.6,0.2,4.91,52.1,6.51,4.0,5.56,6.93,5.0,0.0,2.0,1.0,0.0,0.6,0.2,5.2,56.1,7.01,4.25,5.89,7.44,5.0,1.0,1.0,1.0,0.0,0.33,0.2,5.36
Samaje Perine ,DEN,RB,15.74,81.11,5.13,345.26,21.85,4.3,35.26,8.07,2.0,0.13,1.84,0.11,32.26,2.05,41.63,2.64,239.79,15.2,7.31,2.79,0.18,113.37,7.17,122.74,7.76,0.0,0.0,0.0,1.0,86.29,5.46,2.57,6.43,5.51,11.84,0.74,0.63,1.79,0.74,0.26,0.22,4.2,102.43,6.48,3.8,6.86,6.51,11.21,1.37,0.89,1.53,0.74,0.26,0.22,5.08,118.56,7.5,4.83,7.34,7.51,11.21,1.37,0.89,1.53,0.74,0.26,0.22,5.9
Malik Davis ,DAL,RB,6.0,38.0,6.33,161.0,26.83,4.24,23.0,14.5,2.0,0.33,1.0,0.17,6.0,1.0,7.0,1.17,63.0,10.5,10.5,0.0,0.0,44.0,7.33,45.0,7.5,0.0,0.0,0.0,0.9,28.4,4.73,3.95,2.46,6.1,4.0,2.0,0.0,0.0,0.0,0.0,0.0,4.29,31.4,5.23,4.8,2.49,6.8,4.0,2.0,0.0,0.0,0.0,0.0,0.0,4.85,34.4,5.73,5.8,2.64,7.44,4.0,2.0,0.0,0.0,0.0,0.0,0.0,5.44
Zack Moss ,IND,RB,13.0,95.79,7.37,429.42,33.03,4.49,34.89,12.06,3.68,0.28,2.11,0.16,14.47,1.12,18.53,1.42,86.47,6.65,5.21,0.37,0.03,110.26,8.48,114.32,8.79,0.89,0.07,0.01,1.0,64.64,4.97,2.82,5.08,5.35,8.42,2.84,0.74,0.26,0.74,0.16,0.12,4.26,71.88,5.53,3.25,5.33,5.95,8.16,3.11,0.74,0.89,0.11,0.16,0.12,4.67,79.12,6.08,3.54,5.71,6.53,8.79,2.21,1.0,1.0,0.0,0.2,0.12,5.04
Eno Benjamin ,NO,RB,11.53,64.35,5.43,255.65,21.34,3.89,37.94,9.39,2.41,0.2,1.71,0.14,19.41,1.58,26.06,2.11,148.59,12.03,7.51,0.0,0.0,83.76,7.01,90.41,7.53,0.0,0.0,0.0,0.99,52.07,4.32,3.66,4.76,4.69,8.41,1.41,1.0,0.0,0.71,0.17,0.08,4.16,61.78,5.1,4.12,5.24,5.47,8.12,2.0,0.71,0.0,0.71,0.13,0.08,4.63,71.48,5.89,4.54,5.79,6.24,6.71,3.41,0.71,0.0,0.71,0.13,0.1,5.11
Jaylen Warren ,PIT,RB,16.0,77.0,4.81,379.0,23.69,4.92,31.0,11.12,4.0,0.25,1.0,0.06,28.0,1.75,33.0,2.06,214.0,13.38,7.64,0.0,0.0,105.0,6.56,110.0,6.88,0.0,0.0,0.0,1.0,65.3,4.08,2.85,3.34,4.88,11.0,3.0,2.0,0.0,0.0,0.14,0.0,3.85,79.3,4.96,3.6,3.71,5.83,11.0,3.0,2.0,0.0,0.0,0.14,0.0,4.53,93.3,5.83,4.35,4.14,6.76,11.0,4.0,1.0,0.0,0.0,0.07,0.0,5.16
Dontrell Hilliard ,FA,RB,10.6,28.75,3.02,181.75,19.05,6.24,37.45,9.39,3.3,0.34,0.6,0.07,18.05,1.7,22.95,2.18,132.75,11.93,6.79,2.4,0.2,46.8,4.73,51.7,5.21,0.25,0.03,0.0,0.98,48.95,4.65,2.57,5.2,4.89,7.35,1.5,0.65,0.5,0.6,0.21,0.17,3.57,57.98,5.5,3.94,5.52,5.76,7.1,2.1,0.3,0.5,0.6,0.21,0.2,4.46,67.0,6.35,5.18,5.94,6.61,7.1,1.5,0.9,1.1,0.0,0.27,0.2,5.31
Boston Scott ,PHI,RB,13.9,65.2,4.92,273.1,20.61,4.15,25.2,8.47,1.65,0.12,3.9,0.31,9.95,0.76,12.5,0.95,61.15,4.74,4.67,0.1,0.01,75.15,5.67,77.7,5.86,0.3,0.03,0.0,1.0,56.82,4.37,3.64,4.93,4.64,10.05,1.1,2.05,0.1,0.6,0.32,0.12,4.08,61.8,4.74,4.22,5.11,5.04,9.95,2.05,1.2,0.35,0.35,0.21,0.12,4.43,66.78,5.13,4.47,5.32,5.45,10.45,2.1,0.65,0.35,0.35,0.18,0.12,4.68
Sony Michel ,FA,RB,11.95,93.85,6.87,365.35,26.63,3.53,23.05,8.71,1.6,0.13,1.45,0.09,11.95,0.97,17.95,1.43,79.9,6.62,7.08,0.35,0.03,105.8,7.83,111.8,8.3,0.3,0.02,0.0,1.0,54.72,4.0,3.24,3.3,4.53,8.9,1.15,0.85,0.35,0.7,0.19,0.15,4.06,60.7,4.48,3.64,3.77,5.02,9.05,1.15,0.8,0.3,0.65,0.16,0.12,4.39,66.68,4.96,4.04,4.26,5.5,9.4,1.1,0.5,0.8,0.15,0.13,0.11,4.72
Rex Burkhead ,FA,RB,14.4,56.05,3.99,197.25,14.22,3.36,17.85,4.81,0.85,0.06,1.2,0.09,32.3,2.25,43.8,3.05,202.05,14.25,6.45,0.9,0.07,88.35,6.24,99.85,7.04,0.05,0.0,0.0,1.0,52.43,3.81,2.74,4.47,4.13,11.4,1.45,1.05,0.05,0.45,0.14,0.06,3.54,68.58,4.94,3.62,5.09,5.31,11.4,1.15,1.3,0.1,0.45,0.17,0.07,4.38,84.73,6.06,4.6,5.76,6.44,11.05,0.9,1.9,0.1,0.45,0.22,0.07,5.25
Darrel Williams ,FA,RB,9.45,54.55,5.05,224.65,22.09,4.49,26.6,10.78,1.6,0.27,2.35,0.23,16.7,1.34,22.65,2.04,138.35,9.15,4.96,0.55,0.03,71.25,6.4,77.2,7.1,0.05,0.0,0.0,0.93,53.8,4.69,2.92,5.22,4.93,6.2,0.9,1.55,0.05,0.75,0.31,0.1,3.82,62.15,5.36,3.7,5.68,5.57,6.2,1.0,1.45,0.05,0.75,0.3,0.1,4.36,70.5,6.04,4.19,6.19,6.22,5.95,1.25,1.2,0.3,0.75,0.3,0.15,4.81
Alexander Mattison ,MIN,RB,16.15,92.5,5.83,359.05,22.78,3.89,25.25,8.88,1.65,0.11,4.0,0.24,18.8,1.17,22.65,1.41,128.2,8.05,6.79,0.95,0.06,111.3,7.0,115.15,7.23,0.3,0.02,0.0,1.0,77.82,4.85,2.26,5.65,5.08,11.2,1.9,1.5,0.35,1.2,0.23,0.14,3.81,87.22,5.44,3.0,5.98,5.67,11.3,2.4,0.9,0.95,0.6,0.18,0.14,4.32,96.62,6.02,3.54,6.36,6.26,11.4,2.85,0.45,0.85,0.6,0.15,0.13,4.75
David Johnson ,FA,RB,7.5,43.35,4.67,157.75,15.07,2.7,12.45,5.42,0.7,0.06,0.7,0.06,15.5,1.63,19.85,1.97,134.35,15.42,10.27,0.65,0.05,58.85,6.3,63.2,6.65,1.0,0.18,0.04,0.91,35.31,3.34,3.45,2.62,3.96,5.9,0.4,0.7,0.2,0.3,0.34,0.18,3.68,43.06,4.16,4.25,3.1,4.85,5.4,1.0,0.45,0.45,0.2,0.24,0.24,4.28,50.81,4.97,4.95,3.62,5.68,5.4,1.0,0.45,0.35,0.3,0.24,0.24,4.86
Kenneth Gainwell ,PHI,RB,16.71,57.41,3.45,255.0,15.32,4.46,14.47,6.46,0.0,0.0,4.29,0.26,25.94,1.56,35.18,2.12,193.71,11.67,7.44,0.29,0.02,83.35,5.01,92.59,5.57,0.29,0.02,0.0,1.0,72.4,4.36,2.38,4.15,4.92,12.12,1.71,2.0,0.88,0.0,0.22,0.09,3.61,85.37,5.13,3.18,4.61,5.71,11.71,2.12,2.0,0.88,0.0,0.22,0.08,4.25,98.34,5.92,4.24,5.12,6.49,11.0,3.53,1.29,0.88,0.0,0.17,0.08,4.96
Craig Reynolds ,DET,RB,6.41,32.41,5.56,139.65,23.81,4.36,25.12,11.43,1.59,0.28,0.0,0.0,8.41,1.32,9.41,1.48,97.18,14.76,11.28,0.0,0.0,40.82,6.87,41.82,7.03,0.0,0.0,0.0,0.91,23.68,3.85,3.55,3.64,4.47,5.12,0.71,0.59,0.0,0.0,0.2,0.0,3.62,27.89,4.52,4.34,4.07,5.16,5.12,0.71,0.59,0.0,0.0,0.2,0.0,4.16,32.09,5.18,5.14,4.53,5.84,4.82,0.59,1.0,0.0,0.0,0.19,0.0,4.69
Nyheim Hines ,BUF,RB,16.25,39.9,2.44,136.75,8.29,2.68,17.9,4.73,1.15,0.07,1.5,0.09,36.5,2.25,46.95,2.88,286.3,17.61,7.88,1.25,0.08,76.4,4.69,86.85,5.32,0.55,0.03,0.01,1.0,65.7,4.04,2.27,4.34,4.48,12.35,1.65,1.45,0.5,0.3,0.16,0.08,3.33,83.96,5.16,3.08,4.71,5.68,11.4,2.35,1.7,0.6,0.2,0.18,0.09,4.15,102.2,6.29,3.92,5.24,6.83,10.25,3.3,1.8,0.7,0.2,0.21,0.1,4.96
Phillip Lindsay ,FA,RB,7.2,54.0,6.35,192.4,21.97,3.32,25.25,8.27,2.0,0.15,0.7,0.05,7.05,1.45,9.85,1.97,35.25,5.47,5.39,0.25,0.02,61.05,7.79,63.85,8.31,0.0,0.0,0.0,0.89,29.66,3.54,3.22,3.05,4.27,5.65,1.05,0.15,0.25,0.1,0.05,0.1,3.5,33.19,4.26,4.25,3.58,5.0,5.7,1.1,0.1,0.2,0.1,0.04,0.06,4.09,36.72,4.99,5.35,4.14,5.72,5.25,1.5,0.3,0.05,0.1,0.05,0.03,4.71
Jeremy McNichols ,PIT,RB,13.86,42.71,3.09,169.71,12.21,3.95,15.71,6.83,0.29,0.02,0.29,0.02,23.43,1.75,32.0,2.39,187.14,14.17,7.43,0.71,0.06,66.14,4.85,74.71,5.49,0.0,0.0,0.0,1.0,41.69,3.08,2.59,2.36,4.0,11.86,2.0,0.0,0.0,0.0,0.0,0.0,3.19,53.4,3.95,3.51,3.04,4.87,11.86,1.29,0.71,0.0,0.0,0.06,0.0,3.93,65.11,4.83,4.66,3.81,5.67,11.14,2.0,0.71,0.0,0.0,0.06,0.0,4.71
Ronald Jones II ,DAL,RB,8.95,63.25,5.63,283.0,24.78,4.25,27.55,9.4,2.05,0.14,2.6,0.26,7.45,0.58,10.05,0.76,61.15,5.85,15.89,0.1,0.01,70.7,6.22,73.3,6.39,0.8,0.05,0.01,0.93,49.02,4.53,2.77,4.64,4.91,5.55,1.15,1.3,0.75,0.2,0.36,0.22,3.79,52.74,4.82,3.02,4.69,5.26,5.5,2.2,0.45,0.6,0.2,0.15,0.18,3.92,56.46,5.11,3.16,4.78,5.62,5.55,2.15,0.75,0.25,0.25,0.15,0.15,4.11
Joshua Kelley ,LAC,RB,11.16,63.95,5.55,245.37,21.12,3.78,21.05,8.66,1.05,0.08,1.47,0.12,12.58,1.07,19.79,1.68,89.37,7.68,7.23,0.0,0.0,76.53,6.63,83.74,7.24,0.47,0.05,0.01,0.99,41.37,3.5,2.71,3.15,4.2,9.58,0.63,0.32,0.63,0.0,0.09,0.06,3.52,47.66,4.04,3.01,3.28,4.84,9.37,0.95,0.21,0.63,0.0,0.07,0.06,3.89,53.95,4.58,3.65,3.47,5.48,9.37,0.95,0.84,0.0,0.0,0.07,0.0,4.38
Trey Sermon ,PHI,RB,6.0,41.0,6.83,167.0,27.83,4.07,16.0,9.67,0.0,0.0,1.0,0.17,3.0,0.5,4.0,0.67,26.0,4.33,8.67,0.0,0.0,44.0,7.33,45.0,7.5,0.0,0.0,0.0,0.9,25.3,4.22,3.15,4.3,4.73,4.0,2.0,0.0,0.0,0.0,0.0,0.0,3.51,26.8,4.47,3.4,4.58,4.99,4.0,2.0,0.0,0.0,0.0,0.0,0.0,3.69,28.3,4.72,3.65,4.88,5.25,4.0,2.0,0.0,0.0,0.0,0.0,0.0,3.88
Austin Walter ,LV,RB,4.0,26.0,6.5,101.0,25.25,3.88,14.0,10.0,0.0,0.0,1.0,0.25,2.0,0.5,3.0,0.75,9.0,2.25,4.5,0.0,0.0,28.0,7.0,29.0,7.25,0.0,0.0,0.0,0.85,17.0,4.25,3.05,4.1,4.82,3.0,0.0,1.0,0.0,0.0,0.33,0.0,3.43,18.0,4.5,3.5,3.87,5.24,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.59,19.0,4.75,4.0,3.69,5.67,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.9
Royce Freeman ,FA,RB,8.4,48.7,6.72,154.25,20.17,3.14,13.45,6.08,0.25,0.02,0.15,0.01,9.45,1.14,12.6,1.53,59.95,6.87,6.2,0.05,0.0,58.15,7.86,61.3,8.25,0.6,0.12,0.01,0.93,21.42,2.54,3.24,2.34,3.29,7.7,0.5,0.2,0.0,0.0,0.02,0.0,3.16,26.15,3.11,3.77,2.73,3.91,7.7,0.55,0.15,0.0,0.0,0.01,0.0,3.58,30.87,3.68,4.19,3.2,4.52,7.7,0.3,0.35,0.05,0.0,0.03,0.01,3.97
Ty'Son Williams ,ARI,RB,8.0,35.0,4.38,185.0,23.12,5.29,35.0,10.38,3.0,0.38,1.0,0.12,9.0,1.12,12.0,1.5,84.0,10.5,9.33,0.0,0.0,44.0,5.5,47.0,5.88,0.0,0.0,0.0,0.95,32.9,4.11,2.15,5.47,4.34,6.0,1.0,0.0,1.0,0.0,0.14,0.17,3.13,37.4,4.68,2.65,5.99,4.88,6.0,1.0,0.0,1.0,0.0,0.14,0.17,3.53,41.9,5.24,3.15,6.52,5.42,6.0,1.0,0.0,1.0,0.0,0.14,0.17,3.92
Caleb Huntley ,ATL,RB,12.0,76.0,6.33,366.0,30.5,4.82,30.0,11.92,3.0,0.25,1.0,0.08,2.0,0.17,2.0,0.17,3.0,0.25,1.5,0.0,0.0,78.0,6.5,78.0,6.5,0.0,0.0,0.0,1.0,42.9,3.58,2.7,3.59,4.19,10.0,1.0,1.0,0.0,0.0,0.09,0.0,3.45,43.9,3.66,2.7,3.53,4.36,10.0,1.0,1.0,0.0,0.0,0.09,0.0,3.52,44.9,3.74,2.75,3.48,4.53,10.0,2.0,0.0,0.0,0.0,0.0,0.0,3.56
Mike Davis ,FA,RB,9.35,56.45,4.14,202.1,13.95,2.75,13.4,5.41,0.2,0.01,1.35,0.08,18.45,1.31,23.1,1.59,105.55,6.87,3.46,0.45,0.03,74.9,5.45,79.55,5.74,0.85,0.05,0.0,0.93,39.86,2.65,2.61,2.02,3.11,6.0,2.0,0.85,0.3,0.2,0.12,0.12,2.9,49.09,3.31,3.35,2.23,3.89,6.0,1.75,1.2,0.2,0.2,0.14,0.1,3.51,58.32,3.96,4.06,2.58,4.6,5.65,1.85,1.2,0.25,0.4,0.17,0.43,4.15
Chris Evans ,CIN,RB,9.0,17.0,1.89,77.0,8.56,4.53,13.0,3.56,0.0,0.0,0.0,0.0,15.0,1.67,17.0,1.89,151.0,16.78,10.07,2.0,0.22,32.0,3.56,34.0,3.78,0.0,0.0,0.0,0.98,34.8,3.87,1.5,4.86,4.21,7.0,0.0,2.0,0.0,0.0,0.29,0.0,2.73,42.3,4.7,2.5,5.41,5.03,7.0,0.0,2.0,0.0,0.0,0.29,0.0,3.45,49.8,5.53,3.5,5.97,5.85,7.0,0.0,2.0,0.0,0.0,0.29,0.0,4.16
Deon Jackson ,IND,RB,9.94,51.82,4.77,175.71,15.71,3.15,14.94,5.71,0.0,0.0,1.0,0.12,21.18,1.76,24.0,2.0,147.53,12.3,4.92,0.71,0.06,73.0,6.53,75.82,6.76,0.71,0.06,0.01,0.96,41.15,3.74,0.71,5.23,3.95,6.82,1.0,1.41,0.0,0.71,0.23,0.08,2.63,51.74,4.62,1.91,6.18,4.7,6.82,1.0,1.41,0.0,0.71,0.23,0.08,3.42,62.32,5.5,3.14,7.18,5.43,7.12,0.71,0.71,0.71,0.71,0.23,0.18,4.23
Justin Jackson ,FA,RB,13.75,49.55,3.76,230.0,17.73,4.57,40.55,9.08,2.6,0.22,1.1,0.08,15.05,1.15,20.6,1.56,123.5,9.29,8.11,0.6,0.04,64.6,4.91,70.15,5.31,0.25,0.02,0.0,0.99,45.25,3.39,1.99,4.17,3.82,10.55,2.5,0.35,0.1,0.25,0.07,0.04,2.88,52.78,3.96,2.72,4.6,4.41,10.55,2.65,0.2,0.1,0.25,0.07,0.05,3.4,60.3,4.54,3.3,5.09,4.98,10.8,2.4,0.2,0.1,0.25,0.07,0.04,3.85
Tevin Coleman ,FA,RB,6.05,37.85,5.15,137.1,15.9,2.75,17.0,7.99,0.6,0.05,0.9,0.22,6.0,0.98,7.8,1.13,51.05,10.98,11.19,0.65,0.2,43.85,6.12,45.65,6.28,0.0,0.0,0.0,0.89,28.12,5.24,1.32,7.64,5.12,4.35,0.9,0.1,0.05,0.65,0.32,0.31,3.1,31.12,5.72,1.64,8.3,5.55,4.6,0.65,0.1,0.05,0.65,0.32,0.31,3.38,34.11,6.21,1.94,8.97,5.98,4.6,0.65,0.15,0.6,0.05,0.32,0.31,3.65
Kyle Juszczyk ,SF,RB,13.75,8.05,0.57,27.85,2.0,3.41,8.2,1.76,0.0,0.0,1.05,0.08,21.8,1.58,27.4,1.98,226.15,16.42,10.45,1.3,0.09,29.85,2.15,35.45,2.55,0.0,0.0,0.0,1.0,39.5,2.84,2.4,2.63,3.61,11.45,1.85,0.45,0.0,0.0,0.03,0.0,2.67,50.4,3.63,3.18,2.94,4.54,12.05,1.35,0.35,0.0,0.0,0.02,0.0,3.36,61.3,4.42,3.85,3.34,5.41,11.85,1.5,0.4,0.0,0.0,0.03,0.0,3.97
Ty Johnson ,FA,RB,13.05,41.8,3.13,194.55,14.77,4.86,30.6,8.39,2.65,0.21,1.2,0.09,18.5,1.37,31.8,2.38,161.15,11.7,7.98,0.6,0.04,60.3,4.49,73.6,5.5,0.3,0.02,0.0,1.0,45.77,3.4,1.79,4.17,3.82,10.85,0.65,0.35,1.2,0.0,0.13,0.11,2.89,55.02,4.08,2.21,4.57,4.54,10.0,1.5,0.95,0.6,0.0,0.13,0.06,3.34,64.27,4.77,2.51,5.08,5.22,9.75,1.5,1.1,0.7,0.0,0.16,0.08,3.75
Kyren Williams ,LAR,RB,8.0,35.0,4.38,139.0,17.38,3.97,17.0,7.88,0.0,0.0,0.0,0.0,9.0,1.12,12.0,1.5,76.0,9.5,8.44,0.0,0.0,44.0,5.5,47.0,5.88,0.0,0.0,0.0,0.95,21.5,2.69,2.5,1.97,3.66,7.0,1.0,0.0,0.0,0.0,0.0,0.0,2.9,26.0,3.25,3.0,2.53,4.21,7.0,1.0,0.0,0.0,0.0,0.0,0.0,3.3,30.5,3.81,3.5,3.12,4.74,7.0,1.0,0.0,0.0,0.0,0.0,0.0,3.69
JaMycal Hasty ,JAC,RB,12.58,37.37,2.97,156.0,12.33,4.18,46.16,8.61,2.89,0.22,1.63,0.12,20.05,1.59,25.53,2.02,121.21,9.65,5.93,0.63,0.04,57.42,4.56,62.89,4.99,0.26,0.02,0.01,0.99,40.77,3.19,1.34,4.26,3.58,10.21,0.47,1.26,0.63,0.0,0.17,0.06,2.56,50.8,3.98,2.19,4.8,4.42,9.95,0.74,1.26,0.63,0.0,0.17,0.06,3.23,60.83,4.78,2.96,5.41,5.24,9.95,0.74,0.63,1.26,0.0,0.17,0.11,3.87
