,,,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,STANDARD
Player,Season,Week,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,FPTS
Mark Andrews (BAL),2020,1,5,6,58,11.6,21,1,2,0,0,0,0,17.8
Dallas Goedert (PHI),2020,1,8,9,101,12.6,34,3,1,0,0,0,0,16.1
Noah Fant (SEA),2020,1,5,6,81,16.2,31,2,1,0,0,0,0,14.1
T.J. Hockenson (MIN),2020,1,5,5,56,11.2,24,1,1,0,0,0,0,11.6
David Njoku (CLE),2020,1,3,3,50,16.7,28,2,1,0,0,0,0,11.0
Travis Kelce (KC),2020,1,6,6,50,8.3,15,0,1,0,0,0,0,11.0
Jordan Akins (CLE),2020,1,2,2,39,19.5,20,1,1,0,0,0,0,9.9
Logan Thomas (WAS),2020,1,4,8,37,9.3,19,0,1,0,0,0,0,9.7
O.J. Howard (LV),2020,1,4,6,36,9.0,15,0,1,0,0,0,0,9.6
Jonnu Smith (ATL),2020,1,4,7,36,9.0,22,1,1,0,0,0,0,9.6
Jimmy Graham (FA),2020,1,3,7,25,8.3,16,0,1,0,0,0,0,8.5
Greg Olsen (FA),2020,1,4,4,24,6.0,9,0,1,0,0,0,0,8.4
Jared Cook (FA),2020,1,5,7,80,16.0,46,3,0,0,0,0,0,8.0
Zach Ertz (ARI),2020,1,3,7,18,6.0,7,0,1,0,0,0,0,7.8
Hunter Henry (NE),2020,1,5,8,73,14.6,33,3,0,0,0,0,0,7.3
MyCole Pruitt (FA),2020,1,1,1,1,1.0,1,0,1,0,0,0,0,6.1
George Kittle (SF),2020,1,4,5,44,11.0,14,0,0,1,9,0,0,5.3
Jack Doyle (FA),2020,1,3,4,49,16.3,28,1,0,0,0,0,0,4.9
Darren Waller (NYG),2020,1,6,8,45,7.5,8,0,0,0,0,0,0,4.5
C.J. Uzomah (NYJ),2020,1,4,5,45,11.3,19,0,0,0,0,0,0,4.5
Tyler Higbee (LAR),2020,1,3,4,40,13.3,21,1,0,0,0,0,0,4.0
Hayden Hurst (CAR),2020,1,3,5,38,12.7,27,1,0,0,0,0,0,3.8
