,,,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,STANDARD
Mike Gesicki (NE),2020,1,3,5,30,10.0,18,0,0,0,0,0,0,3.0
Kyle Rudolph (FA),2020,1,2,2,28,14.0,22,1,0,0,0,0,0,2.8
Dawson Knox (BUF),2020,1,2,3,26,13.0,15,0,0,0,0,0,0,2.6
Ryan Izzo (FA),2020,1,1,2,25,25.0,25,1,0,0,0,0,0,2.5
Dan Arnold (FA),2020,1,2,2,21,10.5,13,0,0,0,0,0,0,2.1
Mo Alie-Cox (IND),2020,1,2,2,20,10.0,13,0,0,0,0,0,0,2.0
Darren Fells (FA),2020,1,2,2,19,9.5,12,0,0,0,0,0,0,1.9
Eric Ebron (FA),2020,1,1,2,18,18.0,18,0,0,0,0,0,0,1.8
Kaden Smith (FA),2020,1,2,2,17,8.5,12,0,0,0,0,0,0,1.7
Chris Herndon IV (FA),2020,1,6,7,37,6.2,18,0,0,0,0,0,1,1.7
Ian Thomas (CAR),2020,1,2,2,16,8.0,11,0,0,0,0,0,0,1.6
Austin Hooper (LV),2020,1,2,2,15,7.5,9,0,0,0,0,0,0,1.5
Levine Toilolo (FA),2020,1,1,1,13,13.0,13,0,0,0,0,0,0,1.3
Jordan Reed (FA),2020,1,2,2,12,6.0,10,0,0,0,0,0,0,1.2
Blake Jarwin (FA),2020,1,1,1,12,12.0,12,0,0,0,0,0,0,1.2
Josiah Deguara (GB),2020,1,1,2,12,12.0,12,0,0,0,0,0,0,1.2
Dalton Schultz (HOU),2020,1,1,4,11,11.0,11,0,0,0,0,0,0,1.1
Irv Smith Jr. (FA),2020,1,1,1,11,11.0,11,0,0,0,0,0,0,1.1
Rob Gronkowski (FA),2020,1,2,3,11,5.5,9,0,0,0,0,0,0,1.1
Virgil Green (FA),2020,1,1,2,10,10.0,10,0,0,0,0,0,0,1.0
Jacob Hollister (FA),2020,1,1,1,9,9.0,9,0,0,0,0,0,0,0.9
Evan Engram (JAC),2020,1,2,7,9,4.5,5,0,0,0,0,0,0,0.9
Will Dissly (SEA),2020,1,2,2,8,4.0,5,0,0,0,0,0,0,0.8
Tyler Eifert (FA),2020,1,1,1,8,8.0,8,0,0,0,0,0,0,0.8
Drew Sample (FA),2020,1,1,1,7,7.0,7,0,0,0,0,0,0,0.7
Gerald Everett (LAC),2020,1,1,2,7,7.0,7,0,0,0,0,0,0,0.7
Anthony Firkser (FA),2020,1,2,2,5,2.5,6,0,0,0,0,0,0,0.5
Harrison Bryant (CLE),2020,1,1,2,5,5.0,5,0,0,0,0,0,0,0.5
Chris Manhertz (DEN),2020,1,1,1,4,4.0,4,0,0,0,0,0,0,0.4
Vance McDonald (FA),2020,1,1,2,3,3.0,3,0,0,0,0,0,0,0.3
Nick Boyle (FA),2020,1,2,3,3,1.5,4,0,0,0,0,0,0,0.3
Jason Witten (FA),2020,1,1,1,2,2.0,2,0,0,0,0,0,0,0.2
Bruce Miller (FA),2020,1,1,1,2,2.0,2,0,0,0,0,0,0,0.2
Reggie Gilliam (BUF),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Jaeden Graham (FA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
J.J. Arcega-Whiteside (FA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Foster Moreau (FA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Trevon Wesco (FA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Jace Sternberger (FA),2020,1,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Kahale Warring (FA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Andrew Beck (HOU),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Tyler Conklin (NYJ),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Nick Keizer (FA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Ross Dwelley (SF),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Stephen Carlson (FA),2020,1,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Ben Ellefson (MIN),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Cole Kmet (CHI),2020,1,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Adam Trautman (NO),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Devin Asiasi (CIN),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Charlie Woerner (SF),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
John Lovett (MIA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Durham Smythe (MIA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Marcus Baugh (FA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Luke Stocker (FA),2020,1,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Demetrius Harris (FA),2020,1,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Richard Rodgers (FA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Derek Carrier (FA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Ryan Griffin (FA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Luke Willson (FA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Clark Harris (FA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Marcedes Lewis (FA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
J.P. Holtz (FA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Zach Wood (NO),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Stephen Anderson (FA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
James Winchester (KC),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Tyler Ott (FA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Patrick Scales (CHI),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Jake Butt (FA),2020,1,1,2,0,0.0,0,0,0,0,0,0,0,0.0
Taysom Hill (NO),2020,1,1,1,14,14.0,14,0,0,3,13,0,0,0.0
Adam Shaheen (FA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Jeremy Sprinkle (FA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Antony Auclair (FA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Robert Tonyan (CHI),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Cethan Carter (FA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Darrell Daniels (FA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Johnny Mundt (MIN),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Beau Brinkley (FA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Cameron Brate (FA),2020,1,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Josh Hill (FA),2020,1,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Kyle Nelson (FA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Eric Tomlinson (FA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Daniel Brown (FA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Maxx Williams (FA),2020,1,0,2,0,0.0,0,0,0,0,0,0,0,0.0
Jesse James (FA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Tyler Kroft (FA),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Blake Bell (KC),2020,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
James O'Shaughnessy (FA),2020,1,1,1,0,0.0,0,0,0,0,0,0,0,0.0
Nick Vannett (NYG),2020,1,1,2,-6,-6.0,0,0,0,0,0,0,0,-0.6
Tyler Higbee (LAR),2020,2,5,5,54,10.8,28,1,3,0,0,0,0,23.4
Jonnu Smith (ATL),2020,2,4,5,84,21.0,63,4,2,0,0,0,0,20.4
Mike Gesicki (NE),2020,2,8,11,130,16.3,27,2,1,0,0,0,0,19.0
Jordan Reed (FA),2020,2,7,8,50,7.1,18,0,2,0,0,0,0,17.0
Darren Waller (NYG),2020,2,12,16,105,8.8,18,0,1,0,0,0,0,16.5
Travis Kelce (KC),2020,2,9,14,90,10.0,20,1,1,0,0,0,0,15.0
Noah Fant (SEA),2020,2,4,5,57,14.3,22,2,1,0,0,0,0,13.7
Hayden Hurst (CAR),2020,2,5,8,72,14.4,42,4,1,0,0,0,0,13.2
Dalton Schultz (HOU),2020,2,9,10,88,9.8,18,0,1,0,0,0,1,12.8
Mo Alie-Cox (IND),2020,2,5,6,111,22.2,33,4,0,0,0,0,0,11.1
C.J. Uzomah (NYJ),2020,2,4,6,42,10.5,23,1,1,0,0,0,0,10.2
Tyler Eifert (FA),2020,2,3,6,36,12.0,19,0,1,0,0,0,0,9.6
Robert Tonyan (CHI),2020,2,2,3,25,12.5,14,0,1,0,0,0,0,8.5
Darren Fells (FA),2020,2,2,4,23,11.5,13,0,1,0,0,0,0,8.3
Hunter Henry (NE),2020,2,6,8,83,13.8,22,1,0,0,0,0,0,8.3
Jared Cook (FA),2020,2,2,5,13,6.5,7,0,1,0,0,0,0,7.3
Evan Engram (JAC),2020,2,6,8,65,10.8,22,1,0,0,0,0,0,6.5
T.J. Hockenson (MIN),2020,2,4,4,62,15.5,29,1,0,0,0,0,0,6.2
Jordan Akins (CLE),2020,2,7,7,55,7.9,12,0,0,0,0,0,0,5.5
Anthony Firkser (FA),2020,2,4,4,45,11.3,16,0,0,0,0,0,0,4.5
Drew Sample (FA),2020,2,7,9,45,6.4,10,0,0,0,0,0,0,4.5
Eric Ebron (FA),2020,2,3,5,43,14.3,21,1,0,0,0,0,0,4.3
Zach Ertz (ARI),2020,2,5,7,42,8.4,12,0,0,0,0,0,0,4.2
James O'Shaughnessy (FA),2020,2,4,4,40,10.0,13,0,0,0,0,0,0,4.0
Blake Bell (KC),2020,2,2,3,34,17.0,24,1,0,0,0,0,0,3.4
Foster Moreau (FA),2020,2,1,1,31,31.0,31,2,0,0,0,0,0,3.1
Dallas Goedert (PHI),2020,2,4,8,30,7.5,11,0,0,0,0,0,0,3.0
Mark Andrews (BAL),2020,2,1,3,29,29.0,29,1,0,0,0,0,0,2.9
Dan Arnold (FA),2020,2,2,4,26,13.0,20,1,0,0,0,0,0,2.6
Logan Thomas (WAS),2020,2,4,9,26,6.5,10,0,0,0,0,0,0,2.6
Austin Hooper (LV),2020,2,2,4,22,11.0,11,0,0,0,0,0,0,2.2
Ryan Izzo (FA),2020,2,2,2,19,9.5,16,0,0,0,0,0,0,1.9
Jimmy Graham (FA),2020,2,1,1,18,18.0,18,0,0,0,0,0,0,1.8
Adam Trautman (NO),2020,2,1,1,17,17.0,17,0,0,0,0,0,0,1.7
Dawson Knox (BUF),2020,2,1,3,36,36.0,36,2,0,0,0,0,1,1.6
Josh Hill (FA),2020,2,1,2,16,16.0,16,0,0,0,0,0,0,1.6
Harrison Bryant (CLE),2020,2,1,2,14,14.0,14,0,0,0,0,0,0,1.4
Cole Kmet (CHI),2020,2,1,1,12,12.0,12,0,0,0,0,0,0,1.2
O.J. Howard (LV),2020,2,1,3,11,11.0,11,0,0,0,0,0,0,1.1
Nick Boyle (FA),2020,2,1,1,11,11.0,11,0,0,0,0,0,0,1.1
Will Dissly (SEA),2020,2,1,1,9,9.0,9,0,0,0,0,0,0,0.9
Chris Manhertz (DEN),2020,2,1,1,8,8.0,8,0,0,0,0,0,0,0.8
Ross Dwelley (SF),2020,2,1,1,5,5.0,5,0,0,0,0,0,0,0.5
Chris Herndon IV (FA),2020,2,1,4,5,5.0,5,0,0,0,0,0,0,0.5
Adam Shaheen (FA),2020,2,1,2,4,4.0,4,0,0,0,0,0,0,0.4
Marcedes Lewis (FA),2020,2,1,1,4,4.0,4,0,0,0,0,0,0,0.4
Vance McDonald (FA),2020,2,1,2,3,3.0,3,0,0,0,0,0,0,0.3
Jason Witten (FA),2020,2,1,1,3,3.0,3,0,0,0,0,0,0,0.3
Irv Smith Jr. (FA),2020,2,1,4,3,3.0,3,0,0,0,0,0,0,0.3
Marcus Baugh (FA),2020,2,1,1,2,2.0,2,0,0,0,0,0,0,0.2
Sean McKeon (DAL),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Reggie Gilliam (BUF),2020,2,1,1,1,1.0,1,0,1,0,0,0,0,0.0
Farrod Green (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Ben Ellefson (MIN),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Noah Togiai (ARI),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Nick Keizer (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Jaeden Graham (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
J.J. Arcega-Whiteside (FA),2020,2,0,2,0,0.0,0,0,0,0,0,0,0,0.0
Trevon Wesco (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Jace Sternberger (FA),2020,2,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Durham Smythe (MIA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Tyler Conklin (NYJ),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Tanner Hudson (CIN),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Andrew Beck (HOU),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Charlie Woerner (SF),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Antonio Gandy-Golden (FA),2020,2,1,1,3,3.0,3,0,0,0,0,0,0,0.0
Devin Asiasi (CIN),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Stephen Carlson (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
John Lovett (MIA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Kyle Rudolph (FA),2020,2,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Luke Stocker (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Virgil Green (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Bruce Miller (FA),2020,2,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Demetrius Harris (FA),2020,2,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Luke Willson (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Ryan Griffin (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Derek Carrier (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Levine Toilolo (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Greg Olsen (FA),2020,2,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Clark Harris (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Rob Gronkowski (FA),2020,2,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Richard Rodgers (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Jordan Thomas (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
J.P. Holtz (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Zach Wood (NO),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Beau Brinkley (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
James Winchester (KC),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Tyler Ott (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Patrick Scales (CHI),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Jeff Driskel (FA),2020,2,0,0,0,0.0,0,0,0,2,5,0,0,0.0
Nick Vannett (NYG),2020,2,0,2,0,0.0,0,0,0,0,0,0,0,0.0
Stephen Anderson (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Taysom Hill (NO),2020,2,0,0,0,0.0,0,0,0,2,8,0,0,0.0
Colin Thompson (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Ian Thomas (CAR),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Jake Butt (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Gerald Everett (LAC),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Jeremy Sprinkle (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Jacob Hollister (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Cethan Carter (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Darrell Daniels (FA),2020,2,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Johnny Mundt (MIN),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Cameron Brate (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Daniel Brown (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Kyle Nelson (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Jesse James (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Tyler Kroft (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
MyCole Pruitt (FA),2020,2,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Kaden Smith (FA),2020,2,2,3,-1,-0.5,2,0,0,0,0,0,0,-0.1
Jimmy Graham (FA),2020,3,6,10,60,10.0,29,1,2,0,0,0,0,18.0
Tyler Kroft (FA),2020,3,4,5,24,6.0,13,0,2,0,0,0,0,14.4
Eric Ebron (FA),2020,3,5,7,52,10.4,17,0,1,0,0,0,0,11.2
Mo Alie-Cox (IND),2020,3,3,3,50,16.7,45,3,1,0,0,0,0,11.0
Robert Tonyan (CHI),2020,3,5,5,50,10.0,16,0,1,0,0,0,0,11.0
Jesse James (FA),2020,3,3,4,28,9.3,15,0,1,0,0,0,0,8.8
Travis Kelce (KC),2020,3,6,7,87,14.5,29,1,0,0,0,0,0,8.7
Foster Moreau (FA),2020,3,2,2,25,12.5,24,1,1,0,0,0,0,8.5
Jacob Hollister (FA),2020,3,1,2,1,1.0,1,0,1,0,0,0,0,8.1
Marcedes Lewis (FA),2020,3,1,2,18,18.0,18,0,1,0,0,0,0,7.8
Mike Gesicki (NE),2020,3,1,3,15,15.0,15,0,1,0,0,0,0,7.5
Kyle Rudolph (FA),2020,3,2,3,11,5.5,8,0,1,0,0,0,0,7.1
Zach Ertz (ARI),2020,3,7,10,70,10.0,30,2,0,0,0,0,0,7.0
Nick Boyle (FA),2020,3,1,1,5,5.0,5,0,1,0,0,0,0,6.5
Harrison Bryant (CLE),2020,3,1,2,3,3.0,3,0,1,0,0,0,0,6.3
Greg Olsen (FA),2020,3,5,6,61,12.2,21,1,0,0,0,0,0,6.1
Hayden Hurst (CAR),2020,3,1,3,1,1.0,1,0,1,0,0,0,0,6.1
Lee Smith (FA),2020,3,1,1,1,1.0,1,0,1,0,0,0,0,6.1
Jonnu Smith (ATL),2020,3,5,8,61,12.2,21,1,0,0,0,0,0,6.1
Tyler Higbee (LAR),2020,3,2,2,40,20.0,31,2,0,0,0,0,0,6.0
T.J. Hockenson (MIN),2020,3,4,7,53,13.3,27,1,0,0,0,0,0,5.3
Hunter Henry (NE),2020,3,5,7,50,10.0,16,0,0,0,0,0,0,5.0
O.J. Howard (LV),2020,3,3,4,49,16.3,33,2,0,0,0,0,0,4.9
Ross Dwelley (SF),2020,3,4,4,49,12.3,20,1,0,0,0,0,0,4.9
Dalton Schultz (HOU),2020,3,4,6,48,12.0,28,1,0,0,0,0,0,4.8
Rob Gronkowski (FA),2020,3,6,7,48,8.0,10,0,0,0,0,0,0,4.8
Noah Fant (SEA),2020,3,5,10,46,9.2,18,0,0,0,0,0,0,4.6
Jace Sternberger (FA),2020,3,3,3,36,12.0,23,1,0,0,0,0,0,3.6
Vance McDonald (FA),2020,3,3,3,35,11.7,15,0,0,0,0,0,0,3.5
Gerald Everett (LAC),2020,3,2,2,34,17.0,18,0,0,0,0,0,0,3.4
Logan Thomas (WAS),2020,3,4,7,31,7.8,14,0,0,0,0,0,0,3.1
James O'Shaughnessy (FA),2020,3,3,4,29,9.7,12,0,0,0,0,0,0,2.9
Jordan Akins (CLE),2020,3,2,3,28,14.0,20,1,0,0,0,0,0,2.8
Austin Hooper (LV),2020,3,3,4,25,8.3,10,0,0,0,0,0,0,2.5
Darrell Daniels (FA),2020,3,2,2,24,12.0,15,0,0,0,0,0,0,2.4
Jordan Reed (FA),2020,3,2,6,23,11.5,12,0,0,0,0,0,0,2.3
Mark Andrews (BAL),2020,3,3,8,22,7.3,13,0,0,0,0,0,0,2.2
Evan Engram (JAC),2020,3,3,5,22,7.3,9,0,0,0,0,0,0,2.2
Jared Cook (FA),2020,3,2,3,21,10.5,13,0,0,0,0,0,0,2.1
Chris Herndon IV (FA),2020,3,3,5,21,7.0,9,0,0,0,0,0,0,2.1
Adam Trautman (NO),2020,3,2,2,17,8.5,10,0,0,0,0,0,0,1.7
MyCole Pruitt (FA),2020,3,2,2,16,8.0,10,0,0,0,0,0,0,1.6
Demetrius Harris (FA),2020,3,3,3,15,5.0,8,0,0,0,0,0,0,1.5
Richard Rodgers (FA),2020,3,2,2,15,7.5,12,0,0,0,0,0,0,1.5
Kaden Smith (FA),2020,3,1,2,13,13.0,13,0,0,0,0,0,0,1.3
Dan Arnold (FA),2020,3,1,2,11,11.0,11,0,0,0,0,0,0,1.1
Tyler Eifert (FA),2020,3,2,3,11,5.5,6,0,0,0,0,0,0,1.1
Darren Waller (NYG),2020,3,2,4,9,4.5,8,0,0,0,0,0,0,0.9
Ian Thomas (CAR),2020,3,1,2,9,9.0,9,0,0,0,0,0,0,0.9
Durham Smythe (MIA),2020,3,1,1,7,7.0,7,0,0,0,0,0,0,0.7
Dallas Goedert (PHI),2020,3,1,1,7,7.0,7,0,0,0,0,0,0,0.7
Luke Stocker (FA),2020,3,1,1,6,6.0,6,0,0,0,0,0,0,0.6
Jake Butt (FA),2020,3,1,1,5,5.0,5,0,0,0,0,0,0,0.5
Will Dissly (SEA),2020,3,2,2,5,2.5,6,0,0,0,0,0,0,0.5
Drew Sample (FA),2020,3,1,1,1,1.0,1,0,0,0,0,0,0,0.1
Cethan Carter (FA),2020,3,1,1,1,1.0,1,0,0,0,0,0,0,0.1
Sean McKeon (DAL),2020,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Tyler Davis (GB),2020,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Reggie Gilliam (BUF),2020,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Lawrence Cager (NYG),2020,3,2,4,35,17.5,19,0,0,0,0,0,0,0.0
Jaeden Graham (FA),2020,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
J.J. Arcega-Whiteside (FA),2020,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Trevon Wesco (FA),2020,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Irv Smith Jr. (FA),2020,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Stephen Carlson (FA),2020,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Ryan Izzo (FA),2020,3,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Tyler Conklin (NYJ),2020,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Nick Keizer (FA),2020,3,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Tanner Hudson (CIN),2020,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Deon Yelder (FA),2020,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Andrew Beck (HOU),2020,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Noah Togiai (ARI),2020,3,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Cole Kmet (CHI),2020,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Antonio Gandy-Golden (FA),2020,3,0,2,0,0.0,0,0,0,1,22,0,0,0.0
Devin Asiasi (CIN),2020,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Charlie Woerner (SF),2020,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
John Lovett (MIA),2020,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Marcus Baugh (FA),2020,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Virgil Green (FA),2020,3,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Bruce Miller (FA),2020,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Jack Doyle (FA),2020,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Ryan Griffin (FA),2020,3,0,2,0,0.0,0,0,0,0,0,0,0,0.0
Derek Carrier (FA),2020,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Levine Toilolo (FA),2020,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Jason Witten (FA),2020,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Clark Harris (FA),2020,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
J.P. Holtz (FA),2020,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Zach Wood (NO),2020,3,0,0,0,0.0,0,0,0,0,0,0,0,0.0
