,,,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,STANDARD
Player,Season,Week,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,FPTS
Ryan Griffin (FA),2021,14,2,3,28,14.0,22,1,0,0,0,0,0,2.8
Travis Kelce (KC),2021,14,3,4,27,9.0,19,0,0,0,0,0,0,2.7
Tommy Tremble (CAR),2021,14,2,2,23,11.5,14,0,0,0,0,0,0,2.3
James O'Shaughnessy (FA),2021,14,4,6,21,5.3,7,0,0,0,0,0,0,2.1
Tyler Conklin (NYJ),2021,14,2,2,20,10.0,19,0,0,0,0,0,0,2.0
Brock Wright (DET),2021,14,3,5,20,6.7,11,0,0,0,0,0,0,2.0
John Bates (WAS),2021,14,1,2,19,19.0,19,0,0,0,0,0,0,1.9
Shane Zylstra (DET),2021,14,2,6,18,9.0,14,0,0,0,0,0,0,1.8
Chris Herndon IV (FA),2021,14,1,1,17,17.0,17,0,0,0,0,0,0,1.7
Cole Kmet (CHI),2021,14,3,5,17,5.7,6,0,0,0,0,0,0,1.7
Juwan Johnson (NO),2021,14,1,1,15,15.0,15,0,0,0,0,0,0,1.5
Drew Sample (FA),2021,14,1,1,14,14.0,14,0,0,0,0,0,0,1.4
Donald Parham Jr. (LAC),2021,14,2,2,13,6.5,15,0,0,0,0,0,0,1.3
Foster Moreau (FA),2021,14,3,6,13,4.3,7,0,0,0,0,0,0,1.3
Lee Smith (FA),2021,14,1,1,12,12.0,12,0,0,0,0,0,0,1.2
Cameron Brate (FA),2021,14,2,4,11,5.5,6,0,0,0,0,0,0,1.1
Stephen Anderson (FA),2021,14,1,1,11,11.0,11,0,0,0,0,0,0,1.1
Jimmy Graham (FA),2021,14,2,3,9,4.5,6,0,0,0,0,0,0,0.9
Evan Engram (JAC),2021,14,1,4,8,8.0,8,0,0,0,0,0,0,0.8
Ricky Seals-Jones (FA),2021,14,1,4,8,8.0,8,0,0,0,0,0,0,0.8
Antony Auclair (FA),2021,14,1,1,6,6.0,6,0,0,0,0,0,0,0.6
Josh Oliver (MIN),2021,14,1,1,6,6.0,6,0,0,0,0,0,0,0.6
Jordan Akins (CLE),2021,14,1,1,6,6.0,6,0,0,0,0,0,0,0.6
MyCole Pruitt (FA),2021,14,1,3,5,5.0,5,0,0,0,0,0,0,0.5
Dalton Schultz (HOU),2021,14,1,3,4,4.0,4,0,0,0,0,0,0,0.4
Tyler Davis (GB),2021,14,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Charlie Woerner (SF),2021,14,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Ian Thomas (CAR),2021,14,0,2,0,0.0,0,0,0,0,0,0,0,0.0
Chris Myarick (NYG),2021,14,0,1,0,0.0,0,0,0,0,0,0,0,0.0
Mitchell Wilcox (FA),2021,14,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Jake Hausmann (FA),2021,14,0,0,0,0.0,0,0,0,0,0,0,0,0.0
J.P. Holtz (FA),2021,14,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Taysom Hill (NO),2021,14,0,0,0,0.0,0,0,0,11,73,2,0,0.0
Daniel Brown (FA),2021,14,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Travis Kelce (KC),2021,15,10,13,191,19.1,69,7,2,0,0,0,0,31.1
Mark Andrews (BAL),2021,15,10,13,136,13.6,43,4,2,0,0,0,0,25.6
Hunter Henry (NE),2021,15,6,8,77,12.8,25,1,2,0,0,0,0,19.7
Dallas Goedert (PHI),2021,15,7,9,135,19.3,45,5,0,0,0,0,0,13.5
Dalton Schultz (HOU),2021,15,8,8,67,8.4,15,0,1,0,0,0,0,12.7
George Kittle (SF),2021,15,6,6,93,15.5,28,2,0,0,0,0,0,9.3
Jesper Horsted (LV),2021,15,1,1,19,19.0,19,0,1,0,0,0,0,7.9
Kyle Pitts (ATL),2021,15,4,7,77,19.3,49,3,0,0,0,0,0,7.7
Zach Ertz (ARI),2021,15,6,11,74,12.3,20,1,0,0,0,0,0,7.4
Cole Kmet (CHI),2021,15,6,9,71,11.8,23,1,0,0,0,0,0,7.1
Harrison Bryant (CLE),2021,15,2,2,11,5.5,6,0,1,0,0,0,0,7.1
Foster Moreau (FA),2021,15,7,9,65,9.3,14,0,0,0,0,0,0,6.5
Gerald Everett (LAC),2021,15,4,4,60,15.0,34,2,0,0,0,0,0,6.0
James O'Shaughnessy (FA),2021,15,4,4,60,15.0,30,2,0,0,0,0,0,6.0
Albert Okwuegbunam (DEN),2021,15,3,4,58,19.3,24,2,0,0,0,0,0,5.8
Noah Fant (SEA),2021,15,5,6,57,11.4,28,1,0,0,0,0,0,5.7
Mike Gesicki (NE),2021,15,5,8,43,8.6,20,1,0,0,0,0,0,4.3
Marcedes Lewis (FA),2021,15,3,3,40,13.3,23,1,0,0,0,0,0,4.0
Ryan Griffin (FA),2021,15,2,2,39,19.5,23,1,0,0,0,0,0,3.9
Dawson Knox (BUF),2021,15,4,5,38,9.5,15,0,0,0,0,0,0,3.8
Pat Freiermuth (PIT),2021,15,4,4,37,9.3,14,0,0,0,0,0,0,3.7
Tyler Kroft (FA),2021,15,2,2,35,17.5,24,1,0,0,0,0,0,3.5
Evan Engram (JAC),2021,15,4,5,33,8.3,15,0,0,0,0,0,0,3.3
Jared Cook (FA),2021,15,3,7,32,10.7,15,0,0,0,0,0,0,3.2
David Njoku (CLE),2021,15,3,5,29,9.7,13,0,0,0,0,0,0,2.9
Rob Gronkowski (FA),2021,15,2,11,29,14.5,19,0,0,0,0,0,0,2.9
John Bates (WAS),2021,15,1,1,29,29.0,29,1,0,0,0,0,0,2.9
Ricky Seals-Jones (FA),2021,15,4,7,29,7.3,12,0,0,0,0,0,0,2.9
Jordan Akins (CLE),2021,15,2,3,24,12.0,18,0,0,0,0,0,0,2.4
Tyler Davis (GB),2021,15,1,1,22,22.0,22,1,0,0,0,0,0,2.2
Cameron Brate (FA),2021,15,2,4,22,11.0,16,0,0,0,0,0,0,2.2
Jeremy Sprinkle (FA),2021,15,2,2,21,10.5,11,0,0,0,0,0,0,2.1
Trevon Wesco (FA),2021,15,1,1,19,19.0,19,0,0,0,0,0,0,1.9
C.J. Uzomah (NYJ),2021,15,3,4,18,6.0,8,0,0,0,0,0,0,1.8
Zach Gentry (PIT),2021,15,1,1,17,17.0,17,0,0,0,0,0,0,1.7
Josiah Deguara (GB),2021,15,3,5,16,5.3,9,0,0,0,0,0,0,1.6
Shane Zylstra (DET),2021,15,1,1,16,16.0,16,0,0,0,0,0,0,1.6
Jimmy Graham (FA),2021,15,1,2,13,13.0,13,0,0,0,0,0,0,1.3
Stephen Anderson (FA),2021,15,1,1,12,12.0,12,0,0,0,0,0,0,1.2
Chris Manhertz (DEN),2021,15,1,1,11,11.0,11,0,0,0,0,0,0,1.1
