,,,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,STANDARD
Player,Season,Week,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,FPTS
Travis Kelce (KC),2022,1,8,9,121,15.1,35,3,1,0,0,0,0,18.1
O.J. Howard (LV),2022,1,2,2,38,19.0,22,1,2,0,0,0,0,15.8
Taysom Hill (NO),2022,1,1,1,2,2.0,2,0,0,4,81,1,0,14.3
Gerald Everett (LAC),2022,1,3,4,54,18.0,25,1,1,0,0,0,0,11.4
Will Dissly (SEA),2022,1,3,3,43,14.3,38,2,1,0,0,0,0,10.3
Colby Parkinson (SEA),2022,1,2,2,43,21.5,25,1,1,0,0,0,0,10.3
Zach Ertz (ARI),2022,1,2,4,14,7.0,8,0,1,0,0,0,0,9.4
Darren Waller (NYG),2022,1,4,6,79,19.8,31,3,0,0,0,0,0,7.9
Tyler Conklin (NYJ),2022,1,4,7,16,4.0,6,0,1,0,0,0,0,7.6
Pat Freiermuth (PIT),2022,1,5,10,75,15.0,31,3,0,0,0,0,0,7.5
Dalton Schultz (HOU),2022,1,7,9,62,8.9,14,0,0,0,0,0,0,6.2
Chris Myarick (NYG),2022,1,1,1,1,1.0,1,0,1,0,0,0,0,6.1
Jody Fortson (KC),2022,1,1,1,1,1.0,1,0,1,0,0,0,0,6.1
Dallas Goedert (PHI),2022,1,3,4,60,20.0,27,2,0,0,0,0,0,6.0
Ian Thomas (CAR),2022,1,2,3,53,26.5,50,4,0,0,0,0,0,5.3
Mark Andrews (BAL),2022,1,5,7,52,10.4,17,0,0,0,0,0,0,5.2
Andrew Beck (HOU),2022,1,2,3,52,26.0,27,2,0,0,0,0,0,5.2
Hayden Hurst (CAR),2022,1,5,8,46,9.2,20,1,0,0,0,0,0,4.6
Logan Thomas (WAS),2022,1,3,6,45,15.0,27,1,0,0,0,0,0,4.5
Juwan Johnson (NO),2022,1,2,5,43,21.5,26,1,0,0,0,0,0,4.3
Zach Gentry (FA),2022,1,2,2,40,20.0,32,2,0,0,0,0,0,4.0
Tyler Higbee (LAR),2022,1,5,11,39,7.8,11,0,0,0,0,0,0,3.9
T.J. Hockenson (MIN),2022,1,4,7,38,9.5,16,0,0,0,0,0,0,3.8
Robert Tonyan (CHI),2022,1,3,5,36,12.0,23,1,0,0,0,0,0,3.6
Albert Okwuegbunam (DEN),2022,1,5,6,33,6.6,12,0,0,0,0,0,0,3.3
Jonnu Smith (ATL),2022,1,3,4,33,11.0,15,0,0,0,0,0,0,3.3
Josiah Deguara (GB),2022,1,2,2,28,14.0,15,0,0,0,0,0,0,2.8
Evan Engram (JAC),2022,1,4,4,28,7.0,11,0,0,0,0,0,0,2.8
Mo Alie-Cox (IND),2022,1,2,2,26,13.0,13,0,0,0,0,0,0,2.6
Tre' McKitty (LAC),2022,1,3,4,24,8.0,12,0,0,0,0,0,0,2.4
Armani Rogers (WAS),2022,1,1,1,23,23.0,23,1,0,0,0,0,0,2.3
Kylen Granson (IND),2022,1,3,7,22,7.3,12,0,0,0,0,0,0,2.2
Hunter Henry (NE),2022,1,2,3,20,10.0,11,0,0,0,0,0,0,2.0
Kyle Pitts (ATL),2022,1,2,7,19,9.5,11,0,0,0,0,0,0,1.9
Geoff Swaim (FA),2022,1,3,4,19,6.3,9,0,0,0,0,0,0,1.9
Harrison Bryant (CLE),2022,1,2,4,18,9.0,10,0,0,0,0,0,0,1.8
