,,,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,STANDARD
Player,Season,Week,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,FPTS
T.J. Hockenson (MIN),2019,1,6,9,131,21.8,39,5,1,0,0,0,0,19.1
Evan Engram (JAC),2019,1,11,14,116,10.5,22,1,1,0,0,0,0,17.6
Delanie Walker (FA),2019,1,5,6,55,11.0,16,0,2,0,0,0,0,17.5
Mark Andrews (BAL),2019,1,8,8,108,13.5,39,4,1,0,0,0,0,16.8
Vernon Davis (FA),2019,1,4,7,59,14.8,48,3,1,0,0,0,0,11.9
Blake Jarwin (FA),2019,1,3,3,39,13.0,28,1,1,0,0,0,0,9.9
David Njoku (CLE),2019,1,4,6,37,9.3,18,0,1,0,0,0,0,9.7
Jimmy Graham (FA),2019,1,3,5,30,10.0,16,0,1,0,0,0,0,9.0
Travis Kelce (KC),2019,1,3,8,88,29.3,42,6,0,0,0,0,0,8.8
Tyler Higbee (LAR),2019,1,4,5,20,5.0,6,0,1,0,0,0,0,8.0
Austin Hooper (FA),2019,1,9,9,77,8.6,16,0,0,0,0,0,0,7.7
Jason Witten (FA),2019,1,3,4,15,5.0,6,0,1,0,0,0,0,7.5
Darren Waller (NYG),2019,1,7,8,70,10.0,25,1,0,0,0,0,0,7.0
C.J. Uzomah (NYJ),2019,1,4,5,66,16.5,36,2,0,0,0,0,0,6.6
Hunter Henry (NE),2019,1,4,5,60,15.0,22,1,0,0,0,0,0,6.0
George Kittle (SF),2019,1,8,10,54,6.8,19,0,0,0,0,0,0,5.4
Zach Ertz (ARI),2019,1,5,7,54,10.8,26,1,0,0,0,0,0,5.4
Hayden Hurst (CAR),2019,1,3,3,41,13.7,23,1,0,0,0,0,0,4.1
Vance McDonald (FA),2019,1,2,4,40,20.0,21,1,0,0,0,0,0,4.0
Jared Cook (FA),2019,1,2,3,37,18.5,31,2,0,0,0,0,0,3.7
Greg Olsen (FA),2019,1,4,9,36,9.0,14,0,0,0,0,0,0,3.6
Tommy Sweeney (FA),2019,1,2,2,35,17.5,29,1,0,0,0,0,0,3.5
James O'Shaughnessy (FA),2019,1,4,5,32,8.0,9,0,0,0,0,0,0,3.2
Mike Gesicki (NE),2019,1,2,6,31,15.5,26,1,0,0,0,0,0,3.1
Robert Tonyan (CHI),2019,1,1,1,28,28.0,28,1,0,0,0,0,0,2.8
Tyler Eifert (FA),2019,1,5,5,27,5.4,7,0,0,0,0,0,0,2.7
Nick Boyle (FA),2019,1,3,3,26,8.7,12,0,0,0,0,0,0,2.6
Noah Fant (SEA),2019,1,2,4,29,14.5,20,1,0,1,-5,0,0,2.4
Jack Doyle (FA),2019,1,1,2,20,20.0,20,1,0,0,0,0,0,2.0
Foster Moreau (FA),2019,1,2,2,20,10.0,11,0,0,0,0,0,0,2.0
Geoff Swaim (FA),2019,1,4,4,17,4.3,5,0,0,0,0,0,0,1.7
Jonnu Smith (ATL),2019,1,1,1,7,7.0,7,0,0,1,10,0,0,1.7
Jordan Akins (CLE),2019,1,1,2,17,17.0,17,0,0,0,0,0,0,1.7
Dallas Goedert (PHI),2019,1,2,3,16,8.0,9,0,0,0,0,0,0,1.6
Nick Vannett (NYG),2019,1,2,2,16,8.0,11,0,0,0,0,0,0,1.6
Jesse James (FA),2019,1,1,1,15,15.0,15,0,0,0,0,0,0,1.5
Maxx Williams (FA),2019,1,1,1,15,15.0,15,0,0,0,0,0,0,1.5
Marcedes Lewis (FA),2019,1,2,3,14,7.0,9,0,0,0,0,0,0,1.4
O.J. Howard (LV),2019,1,4,5,32,8.0,15,0,0,0,0,0,1,1.2
Will Dissly (SEA),2019,1,1,2,12,12.0,12,0,0,0,0,0,0,1.2
Ryan Griffin (FA),2019,1,3,4,10,3.3,11,0,0,0,0,0,0,1.0
Rhett Ellison (FA),2019,1,1,2,8,8.0,8,0,0,0,0,0,0,0.8
Jeremy Sprinkle (FA),2019,1,1,1,8,8.0,8,0,0,0,0,0,0,0.8
Cameron Brate (FA),2019,1,2,2,8,4.0,7,0,0,0,0,0,0,0.8
Eric Ebron (FA),2019,1,1,3,8,8.0,8,0,0,0,0,0,0,0.8
Gerald Everett (LAC),2019,1,1,1,7,7.0,7,0,0,0,0,0,0,0.7
Blake Bell (FA),2019,1,1,1,7,7.0,7,0,0,0,0,0,0,0.7
Adam Shaheen (FA),2019,1,1,2,6,6.0,6,0,0,0,0,0,0,0.6
Charles Clay (FA),2019,1,1,1,5,5.0,5,0,0,0,0,0,0,0.5
Virgil Green (FA),2019,1,1,1,4,4.0,4,0,0,0,0,0,0,0.4
Ryan Izzo (FA),2019,1,1,2,3,3.0,3,0,0,0,0,0,0,0.3
Mo Alie-Cox (IND),2019,1,1,1,3,3.0,3,0,0,0,0,0,0,0.3
Dawson Knox (BUF),2019,1,1,2,1,1.0,1,0,0,0,0,0,0,0.1
Jaeden Graham (FA),2019,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Garrett Dickerson (FA),2019,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
J.J. Arcega-Whiteside (FA),2019,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Brandon Dillon (FA),2019,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Drew Sample (FA),2019,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
Trevon Wesco (FA),2019,1,0,0,0,0.0,0,0,0,0,0,0,0,0.0
