,,,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,STANDARD
Player,Season,Week,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,FPTS
Josh Jacobs (LV),2020,1,25,93,3.7,14,0,3,4,6,46,11.5,0,0,31.9
Christian McCaffrey (SF),2020,1,23,97,4.2,15,0,2,3,4,38,12.7,0,0,25.5
Ezekiel Elliott (FA),2020,1,22,96,4.4,14,0,1,3,4,31,10.3,1,0,24.7
Malcolm Brown (FA),2020,1,18,79,4.4,12,0,2,3,4,31,10.3,0,0,23.0
Raheem Mostert (MIA),2020,1,15,56,3.7,14,0,0,4,5,95,23.8,1,0,21.1
Dalvin Cook (MIN),2020,1,12,50,4.2,12,0,2,1,2,-2,-2.0,0,0,20.8
Clyde Edwards-Helaire (KC),2020,1,25,138,5.5,27,1,1,0,2,0,0.0,0,0,19.8
Nyheim Hines (BUF),2020,1,7,28,4.0,12,0,1,8,8,45,5.6,1,0,19.3
Alvin Kamara (NO),2020,1,12,16,1.3,6,0,1,5,8,51,10.2,1,0,18.7
Chris Carson (FA),2020,1,6,21,3.5,11,0,0,6,6,45,7.5,2,0,18.6
David Johnson (FA),2020,1,11,77,7.0,19,0,1,3,4,32,10.7,0,0,16.9
Peyton Barber (FA),2020,1,17,29,1.7,8,0,2,0,0,0,0.0,0,0,14.9
J.K. Dobbins (BAL),2020,1,7,22,3.1,12,0,2,0,0,0,0.0,0,0,14.2
Aaron Jones (GB),2020,1,16,66,4.1,15,0,1,4,6,10,2.5,0,0,13.6
Derrick Henry (TEN),2020,1,31,116,3.7,13,0,0,3,3,15,5.0,0,0,13.1
Melvin Gordon III (FA),2020,1,15,78,5.2,25,1,1,3,3,8,2.7,0,1,12.6
Kenyan Drake (FA),2020,1,16,60,3.8,11,0,1,2,2,5,2.5,0,0,12.5
