,,,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,STANDARD
Joshua Kelley (LAC),2020,1,12,60,5.0,26,1,1,0,0,0,0.0,0,0,12.0
Todd Gurley II (FA),2020,1,14,56,4.0,15,0,1,2,5,1,0.5,0,0,11.7
Adrian Peterson (FA),2020,1,14,93,6.6,21,1,0,3,3,21,7.0,0,0,11.4
Benny Snell Jr. (FA),2020,1,19,113,5.9,30,3,0,0,1,0,0.0,0,0,11.3
Chase Edmonds (TB),2020,1,6,26,4.3,20,1,0,3,5,19,6.3,1,0,10.5
Jerick McKinnon (FA),2020,1,3,24,8.0,16,0,0,3,5,20,6.7,1,0,10.4
Sony Michel (FA),2020,1,10,37,3.7,7,0,1,0,0,0,0.0,0,0,9.7
James Robinson (NE),2020,1,16,62,3.9,12,0,0,1,1,28,28.0,0,0,9.0
Jonathan Taylor (IND),2020,1,9,22,2.4,9,0,0,6,6,67,11.2,0,0,8.9
Austin Ekeler (LAC),2020,1,19,84,4.4,13,0,0,1,1,3,3.0,0,0,8.7
Zack Moss (IND),2020,1,9,11,1.2,7,0,0,3,4,16,5.3,1,0,8.7
D'Andre Swift (DET),2020,1,3,8,2.7,6,0,1,3,5,15,5.0,0,0,8.3
Carlos Hyde (FA),2020,1,7,23,3.3,9,0,1,0,0,0,0.0,0,0,8.3
Josh Adams (FA),2020,1,2,8,4.0,6,0,1,2,2,14,7.0,0,0,8.2
Ronald Jones II (DAL),2020,1,17,66,3.9,21,1,0,2,3,16,8.0,0,0,8.2
Kareem Hunt (FA),2020,1,13,72,5.5,22,1,0,4,6,9,2.3,0,0,8.1
Alexander Mattison (MIN),2020,1,6,50,8.3,21,1,0,4,4,30,7.5,0,0,8.0
David Montgomery (DET),2020,1,13,64,4.9,10,0,0,1,3,10,10.0,0,0,7.4
Jordan Howard (FA),2020,1,8,7,0.9,4,0,1,0,0,0,0.0,0,0,6.7
Saquon Barkley (NYG),2020,1,15,6,0.4,7,0,0,6,9,60,10.0,0,0,6.6
Myles Gaskin (MIA),2020,1,9,40,4.4,10,0,0,4,4,26,6.5,0,0,6.6
Marlon Mack (FA),2020,1,4,26,6.5,18,0,0,3,3,30,10.0,0,0,5.6
Boston Scott (PHI),2020,1,9,35,3.9,13,0,0,2,2,19,9.5,0,0,5.4
Devin Singletary (HOU),2020,1,9,30,3.3,12,0,0,5,7,23,4.6,0,0,5.3
Devontae Booker (FA),2020,1,4,29,7.3,15,0,0,3,3,23,7.7,0,0,5.2
James White (FA),2020,1,5,22,4.4,7,0,0,3,3,30,10.0,0,0,5.2
Joe Mixon (CIN),2020,1,19,69,3.6,14,0,0,1,2,2,2.0,0,1,5.1
Latavius Murray (FA),2020,1,15,48,3.2,8,0,0,0,1,0,0.0,0,0,4.8
Kyle Juszczyk (SF),2020,1,1,7,7.0,7,0,0,1,2,41,41.0,0,0,4.8
Tarik Cohen (FA),2020,1,7,41,5.9,16,0,0,2,2,6,3.0,0,0,4.7
Nick Chubb (CLE),2020,1,10,60,6.0,29,1,0,1,1,6,6.0,0,1,4.6
Le'Veon Bell (FA),2020,1,6,14,2.3,7,0,0,2,2,32,16.0,0,0,4.6
Tyler Ervin (FA),2020,1,3,38,12.7,21,1,0,1,1,6,6.0,0,0,4.4
Antonio Gibson (WAS),2020,1,9,36,4.0,20,1,0,2,2,8,4.0,0,0,4.4
Cam Akers (LAR),2020,1,14,39,2.8,6,0,0,1,1,4,4.0,0,0,4.3
Jamaal Williams (NO),2020,1,7,21,3.0,5,0,0,4,4,21,5.3,0,0,4.2
Phillip Lindsay (FA),2020,1,7,24,3.4,10,0,0,1,1,11,11.0,0,0,3.5
Rex Burkhead (FA),2020,1,7,32,4.6,15,0,0,0,0,0,0.0,0,0,3.2
Tony Pollard (DAL),2020,1,2,10,5.0,6,0,0,2,3,22,11.0,0,0,3.2
J.J. Taylor (NE),2020,1,4,28,7.0,11,0,0,1,1,4,4.0,0,0,3.2
Darrel Williams (FA),2020,1,7,23,3.3,7,0,0,2,2,7,3.5,0,0,3.0
Mark Ingram II (FA),2020,1,10,29,2.9,8,0,0,0,0,0,0.0,0,0,2.9
Giovani Bernard (FA),2020,1,1,7,7.0,7,0,0,4,5,21,5.3,0,0,2.8
Frank Gore (FA),2020,1,6,24,4.0,8,0,0,0,0,0,0.0,0,0,2.4
Tevin Coleman (FA),2020,1,4,18,4.5,10,0,0,1,2,6,6.0,0,0,2.4
Matt Breida (NYG),2020,1,5,22,4.4,7,0,0,0,0,0,0.0,0,0,2.2
Corey Clement (ARI),2020,1,6,19,3.2,7,0,0,2,2,2,1.0,0,0,2.1
Brian Hill (FA),2020,1,3,12,4.0,10,0,0,2,2,8,4.0,0,0,2.0
Leonard Fournette (FA),2020,1,5,5,1.0,6,0,0,1,1,14,14.0,0,0,1.9
Gus Edwards (BAL),2020,1,4,17,4.3,13,0,0,0,0,0,0.0,0,0,1.7
James Conner (ARI),2020,1,6,9,1.5,3,0,0,2,4,8,4.0,0,0,1.7
Jalen Richard (FA),2020,1,0,0,0.0,0,0,0,1,1,15,15.0,0,0,1.5
Kerryon Johnson (FA),2020,1,7,14,2.0,5,0,0,0,0,0,0.0,0,0,1.4
Duke Johnson Jr. (FA),2020,1,5,14,2.8,7,0,0,0,1,0,0.0,0,0,1.4
AJ Dillon (GB),2020,1,2,14,7.0,8,0,0,0,0,0,0.0,0,0,1.4
Wayne Gallman Jr. (FA),2020,1,0,0,0.0,0,0,0,1,1,14,14.0,0,0,1.4
Royce Freeman (FA),2020,1,1,0,0.0,0,0,0,1,1,12,12.0,0,0,1.2
Patrick Laird (TB),2020,1,0,0,0.0,0,0,0,2,2,9,4.5,0,0,0.9
Chris Thompson (FA),2020,1,0,0,0.0,0,0,0,2,2,6,3.0,0,0,0.6
Ito Smith (FA),2020,1,1,4,4.0,4,0,0,3,3,2,0.7,0,0,0.6
Darrell Henderson Jr. (FA),2020,1,3,6,2.0,3,0,0,0,0,0,0.0,0,0,0.6
Khari Blasingame (CHI),2020,1,0,0,0.0,0,0,0,1,1,5,5.0,0,0,0.5
D'Ernest Johnson (JAC),2020,1,1,5,5.0,5,0,0,0,0,0,0.0,0,0,0.5
Justin Jackson (FA),2020,1,2,4,2.0,2,0,0,0,0,0,0.0,0,0,0.4
Jaylen Samuels (FA),2020,1,1,2,2.0,2,0,0,1,1,1,1.0,0,0,0.3
Travis Homer (CHI),2020,1,3,-1,-0.3,1,0,0,2,2,4,2.0,0,0,0.3
Anthony Sherman (FA),2020,1,1,2,2.0,2,0,0,0,0,0,0.0,0,0,0.2
LeSean McCoy (FA),2020,1,0,0,0.0,0,0,0,1,1,2,2.0,0,0,0.2
Alex Armah Jr. (WAS),2020,1,2,1,0.5,1,0,0,0,0,0,0.0,0,0,0.1
Jason Huntley (PIT),2020,1,1,1,1.0,1,0,0,0,0,0,0.0,0,0,0.1
Dion Lewis (FA),2020,1,1,1,1.0,1,0,0,0,1,0,0.0,0,0,0.1
Reggie Gilliam (BUF),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Chandler Cox (FA),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jakob Johnson (LV),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Darwin Thompson (SEA),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Andrew Beck (HOU),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Alec Ingold (MIA),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
John Lovett (MIA),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jeff Wilson Jr. (MIA),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Ty Johnson (NYJ),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Rico Dowdle (DAL),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Gabe Nabers (FA),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Nathan Cottrell (FA),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Scottie Phillips (FA),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Xavier Jones (FA),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Nick Bellore (SEA),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Bruce Miller (FA),2020,1,0,0,0.0,0,0,0,1,1,2,2.0,0,0,0.0
Taiwan Jones (FA),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Cordarrelle Patterson (ATL),2020,1,4,19,4.8,13,0,0,1,1,12,12.0,0,0,0.0
C.J. Ham (MIN),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
J.P. Holtz (FA),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Elijhaa Penny (FA),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jeremy McNichols (PIT),2020,1,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
Samaje Perine (DEN),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
D.J. Foster (FA),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Andy Janovich (FA),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Derek Watt (FA),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Buddy Howell (FA),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Trenton Cannon (FA),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jordan Wilkins (FA),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jason Cabinda (DET),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Mike Boone (HOU),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Ryan Nall (FA),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Senorise Perry (FA),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Keith Smith (ATL),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Michael Burton (DEN),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Mike Davis (FA),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Ameer Abdullah (LV),2020,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
J.D. McKissic (FA),2020,1,3,-2,-0.7,1,0,0,1,5,1,1.0,0,0,-0.1
Ty Montgomery (NE),2020,1,1,-4,-4.0,0,0,0,0,0,0,0.0,0,0,-0.4
Patrick Ricard (BAL),2020,1,1,-1,-1.0,0,0,0,1,1,9,9.0,0,1,-1.2
Aaron Jones (GB),2020,2,18,168,9.3,75,4,2,4,8,68,17.0,1,0,41.6
Alvin Kamara (NO),2020,2,13,79,6.1,21,1,2,9,9,95,10.6,0,0,29.4
Nick Chubb (CLE),2020,2,22,124,5.6,26,2,2,1,1,9,9.0,0,0,25.3
Leonard Fournette (FA),2020,2,12,103,8.6,46,4,2,4,5,13,3.3,0,0,23.6
Kareem Hunt (FA),2020,2,10,86,8.6,33,2,1,2,2,15,7.5,1,0,22.1
Christian McCaffrey (SF),2020,2,18,59,3.3,9,0,2,4,5,29,7.3,0,0,20.8
David Montgomery (DET),2020,2,16,82,5.1,23,1,0,3,3,45,15.0,1,0,18.7
James Conner (ARI),2020,2,16,106,6.6,59,4,1,2,2,15,7.5,0,0,18.1
Darrell Henderson Jr. (FA),2020,2,12,81,6.8,40,3,1,2,3,40,20.0,0,0,18.1
James Robinson (NE),2020,2,16,102,6.4,39,2,1,3,4,18,6.0,0,0,18.0
Miles Sanders (CAR),2020,2,20,95,4.8,15,0,1,3,7,36,12.0,0,1,17.1
Jonathan Taylor (IND),2020,2,26,101,3.9,13,0,1,2,2,9,4.5,0,0,17.0
Chris Carson (FA),2020,2,17,72,4.2,13,0,0,3,3,36,12.0,1,0,16.8
Raheem Mostert (MIA),2020,2,8,92,11.5,80,4,1,2,2,15,7.5,0,0,16.7
Ezekiel Elliott (FA),2020,2,22,89,4.0,11,0,1,6,7,33,5.5,0,1,16.2
Dalvin Cook (MIN),2020,2,14,63,4.5,16,0,1,2,2,8,4.0,0,0,15.1
Austin Ekeler (LAC),2020,2,16,93,5.8,13,0,0,4,4,55,13.8,0,0,14.8
Melvin Gordon III (FA),2020,2,19,70,3.7,17,0,0,2,3,14,7.0,1,0,14.4
Mark Ingram II (FA),2020,2,9,55,6.1,30,2,1,2,3,22,11.0,0,0,13.7
Jerick McKinnon (FA),2020,2,3,77,25.7,55,4,1,0,1,0,0.0,0,0,13.7
Dion Lewis (FA),2020,2,10,20,2.0,6,0,1,4,5,36,9.0,0,0,11.6
Joshua Kelley (LAC),2020,2,23,64,2.8,7,0,0,2,2,49,24.5,0,0,11.3
Antonio Gibson (WAS),2020,2,13,55,4.2,11,0,1,1,2,-3,-3.0,0,0,11.2
Josh Jacobs (LV),2020,2,27,88,3.3,14,0,0,3,3,17,5.7,0,0,10.5
Kenyan Drake (FA),2020,2,20,86,4.3,16,0,0,2,2,9,4.5,0,0,9.5
Kerryon Johnson (FA),2020,2,8,32,4.0,8,0,1,0,1,0,0.0,0,0,9.2
Chris Thompson (FA),2020,2,2,7,3.5,5,0,0,3,4,20,6.7,1,0,8.7
Ronald Jones II (DAL),2020,2,7,23,3.3,7,0,1,2,2,4,2.0,0,0,8.7
Jalen Richard (FA),2020,2,2,26,13.0,20,1,1,0,0,0,0.0,0,0,8.6
Joe Mixon (CIN),2020,2,16,46,2.9,9,0,0,4,4,40,10.0,0,0,8.6
Derrick Henry (TEN),2020,2,25,84,3.4,14,0,0,0,2,0,0.0,0,0,8.4
Jamaal Williams (NO),2020,2,8,63,7.9,18,0,0,0,0,0,0.0,0,0,8.3
Myles Gaskin (MIA),2020,2,7,46,6.6,14,0,0,6,7,36,6.0,0,0,8.2
Devin Singletary (HOU),2020,2,10,56,5.6,18,0,0,2,3,20,10.0,0,0,7.6
Mike Davis (FA),2020,2,1,1,1.0,1,0,0,8,8,74,9.3,0,0,7.5
Gus Edwards (BAL),2020,2,10,73,7.3,22,1,0,0,0,0,0.0,0,0,7.3
D'Andre Swift (DET),2020,2,5,12,2.4,5,0,0,5,5,60,12.0,0,0,7.2
Clyde Edwards-Helaire (KC),2020,2,10,38,3.8,17,0,0,6,8,32,5.3,0,0,7.0
Alec Ingold (MIA),2020,2,0,0,0.0,0,0,0,2,2,5,2.5,1,0,6.5
Jordan Howard (FA),2020,2,5,4,0.8,2,0,1,0,0,0,0.0,0,0,6.4
Frank Gore (FA),2020,2,21,63,3.0,13,0,0,0,2,0,0.0,0,0,6.3
Reggie Gilliam (BUF),2020,2,0,0,0.0,0,0,0,1,1,1,1.0,1,0,6.1
J.K. Dobbins (BAL),2020,2,2,48,24.0,44,3,0,1,1,13,13.0,0,0,6.1
Patrick Ricard (BAL),2020,2,0,0,0.0,0,0,0,1,1,1,1.0,1,0,6.1
Todd Gurley II (FA),2020,2,21,61,2.9,8,0,0,0,0,0,0.0,0,0,6.1
Jakob Johnson (LV),2020,2,0,0,0.0,0,0,0,1,1,1,1.0,1,0,6.1
J.D. McKissic (FA),2020,2,8,53,6.6,13,0,0,0,0,0,0.0,0,0,5.3
David Johnson (FA),2020,2,11,34,3.1,9,0,0,2,4,16,8.0,0,0,5.0
Rex Burkhead (FA),2020,2,6,2,0.3,3,0,0,4,6,47,11.8,0,0,4.9
Malcolm Brown (FA),2020,2,11,47,4.3,19,0,0,0,0,0,0.0,0,0,4.7
Boston Scott (PHI),2020,2,4,19,4.8,9,0,0,3,3,24,8.0,0,0,4.3
Adrian Peterson (FA),2020,2,7,41,5.9,25,1,0,0,0,0,0.0,0,0,4.1
Jordan Wilkins (FA),2020,2,9,40,4.4,9,0,0,0,0,0,0.0,0,0,4.0
Tevin Coleman (FA),2020,2,14,12,0.9,6,0,0,2,2,28,14.0,0,0,4.0
Matt Breida (NYG),2020,2,7,37,5.3,11,0,0,1,2,2,2.0,0,0,3.9
Zack Moss (IND),2020,2,8,37,4.6,14,0,0,0,0,0,0.0,0,0,3.7
Carlos Hyde (FA),2020,2,5,22,4.4,9,0,0,2,2,15,7.5,0,0,3.7
Latavius Murray (FA),2020,2,3,14,4.7,8,0,0,2,2,19,9.5,0,0,3.3
Saquon Barkley (NYG),2020,2,4,28,7.0,18,0,0,0,0,0,0.0,0,0,2.8
Tarik Cohen (FA),2020,2,5,12,2.4,5,0,0,1,1,15,15.0,0,0,2.7
Brian Hill (FA),2020,2,3,14,4.7,10,0,0,2,2,11,5.5,0,0,2.5
Ty Montgomery (NE),2020,2,0,0,0.0,0,0,0,2,3,25,12.5,0,0,2.5
Giovani Bernard (FA),2020,2,1,3,3.0,3,0,0,5,7,22,4.4,0,0,2.5
Darwin Thompson (SEA),2020,2,4,21,5.3,14,0,0,0,1,0,0.0,0,0,2.1
LeSean McCoy (FA),2020,2,1,-5,-5.0,0,0,0,5,7,26,5.2,0,0,2.1
Travis Homer (CHI),2020,2,3,21,7.0,10,0,0,0,0,0,0.0,0,0,2.1
Royce Freeman (FA),2020,2,3,20,6.7,13,0,0,0,0,0,0.0,0,0,2.0
Ito Smith (FA),2020,2,5,20,4.0,9,0,0,0,0,0,0.0,0,0,2.0
Sony Michel (FA),2020,2,7,19,2.7,5,0,0,0,1,0,0.0,0,0,1.9
La'Mical Perine (KC),2020,2,3,17,5.7,10,0,0,0,0,0,0.0,0,0,1.7
Kalen Ballage (FA),2020,2,1,5,5.0,5,0,0,2,2,12,6.0,0,0,1.7
AJ Dillon (GB),2020,2,5,17,3.4,12,0,0,0,0,0,0.0,0,0,1.7
Alexander Mattison (MIN),2020,2,3,13,4.3,11,0,0,1,2,3,3.0,0,0,1.6
Alex Armah Jr. (WAS),2020,2,0,0,0.0,0,0,0,1,1,14,14.0,0,0,1.4
Cam Akers (LAR),2020,2,3,13,4.3,5,0,0,0,0,0,0.0,0,0,1.3
Chase Edmonds (TB),2020,2,3,4,1.3,5,0,0,3,4,9,3.0,0,0,1.3
Darrel Williams (FA),2020,2,0,0,0.0,0,0,0,1,1,12,12.0,0,0,1.2
Tony Pollard (DAL),2020,2,2,6,3.0,3,0,0,1,1,3,3.0,0,0,0.9
Senorise Perry (FA),2020,2,2,9,4.5,6,0,0,0,0,0,0.0,0,0,0.9
Jeremy McNichols (PIT),2020,2,2,7,3.5,4,0,0,0,0,0,0.0,0,0,0.7
Kyle Juszczyk (SF),2020,2,0,0,0.0,0,0,0,2,2,6,3.0,0,0,0.6
Devontae Booker (FA),2020,2,3,-1,-0.3,1,0,0,1,1,6,6.0,0,0,0.5
Jaylen Samuels (FA),2020,2,0,0,0.0,0,0,0,1,2,4,4.0,0,0,0.4
Tyler Ervin (FA),2020,2,0,0,0.0,0,0,0,1,1,4,4.0,0,0,0.4
Nyheim Hines (BUF),2020,2,0,0,0.0,0,0,0,1,1,4,4.0,0,0,0.4
C.J. Ham (MIN),2020,2,1,4,4.0,4,0,0,0,0,0,0.0,0,0,0.4
Jeff Wilson Jr. (MIA),2020,2,2,3,1.5,2,0,0,0,0,0,0.0,0,0,0.3
Keith Smith (ATL),2020,2,1,2,2.0,2,0,0,1,2,1,1.0,0,0,0.3
Ryan Nall (FA),2020,2,0,0,0.0,0,0,0,1,1,2,2.0,0,0,0.2
Peyton Barber (FA),2020,2,1,1,1.0,1,0,0,0,0,0,0.0,0,0,0.1
Andrew Beck (HOU),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Cullen Gillaspia (FA),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Chandler Cox (FA),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
John Lovett (MIA),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Khari Blasingame (CHI),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Ty Johnson (NYJ),2020,2,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
Patrick Laird (TB),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
D'Ernest Johnson (JAC),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Gabe Nabers (FA),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Ke'Shawn Vaughn (TB),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
LeVante Bellamy (FA),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Darius Bradwell (FA),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Xavier Jones (FA),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Bruce Miller (FA),2020,2,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
Nick Bellore (SEA),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Anthony Sherman (FA),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Taiwan Jones (FA),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Cordarrelle Patterson (ATL),2020,2,7,25,3.6,10,0,0,2,2,8,4.0,0,0,0.0
Elijhaa Penny (FA),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
J.P. Holtz (FA),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Corey Clement (ARI),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Samaje Perine (DEN),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
D.J. Foster (FA),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
C.J. Prosise (FA),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Andy Janovich (FA),2020,2,0,0,0.0,0,0,0,1,1,0,0.0,0,0,0.0
Derek Watt (FA),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Trenton Cannon (FA),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jason Cabinda (DET),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Buddy Howell (FA),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Mike Boone (HOU),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Dare Ogunbowale (HOU),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Josh Adams (FA),2020,2,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Michael Burton (DEN),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Ameer Abdullah (LV),2020,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
J.J. Taylor (NE),2020,2,1,-1,-1.0,0,0,0,0,0,0,0.0,0,0,-0.1
Benny Snell Jr. (FA),2020,2,3,5,1.7,3,0,0,1,1,-4,-4.0,0,1,-1.9
Alvin Kamara (NO),2020,3,6,58,9.7,49,3,0,13,14,139,10.7,2,0,31.7
Rex Burkhead (FA),2020,3,6,49,8.2,17,0,2,7,10,49,7.0,1,0,27.8
Derrick Henry (TEN),2020,3,26,119,4.6,16,0,2,2,3,11,5.5,0,0,25.0
James Robinson (NE),2020,3,11,46,4.2,11,0,2,6,6,83,13.8,0,0,24.9
Dalvin Cook (MIN),2020,3,22,181,8.2,39,4,1,2,5,18,9.0,0,1,23.9
Nick Chubb (CLE),2020,3,19,108,5.7,25,2,2,1,1,2,2.0,0,0,23.0
James Conner (ARI),2020,3,18,109,6.1,25,1,1,4,5,40,10.0,0,0,20.9
Austin Ekeler (LAC),2020,3,12,59,4.9,12,0,1,11,11,84,7.6,0,0,20.3
Jeff Wilson Jr. (MIA),2020,3,12,15,1.3,4,0,1,3,3,54,18.0,1,0,18.9
Darrell Henderson Jr. (FA),2020,3,20,114,5.7,14,0,1,1,3,6,6.0,0,0,18.0
Mike Davis (FA),2020,3,13,46,3.5,25,1,0,8,9,45,5.6,1,0,15.1
Aaron Jones (GB),2020,3,16,69,4.3,19,0,1,2,4,17,8.5,0,0,14.6
Todd Gurley II (FA),2020,3,14,80,5.7,16,0,1,1,2,2,2.0,0,0,14.2
Sony Michel (FA),2020,3,9,117,13.0,48,5,0,2,2,23,11.5,0,0,14.0
Brian Hill (FA),2020,3,9,58,6.4,35,2,1,1,3,22,22.0,0,0,14.0
Jerick McKinnon (FA),2020,3,14,38,2.7,11,0,1,3,4,39,13.0,0,0,13.7
Clyde Edwards-Helaire (KC),2020,3,20,64,3.2,16,0,0,5,6,70,14.0,0,0,13.4
Kareem Hunt (FA),2020,3,16,46,2.9,11,0,0,2,3,18,9.0,1,0,12.4
Jonathan Taylor (IND),2020,3,13,59,4.5,16,0,1,1,1,3,3.0,0,0,12.2
Devin Singletary (HOU),2020,3,13,71,5.5,17,0,0,4,5,50,12.5,0,0,12.1
Ezekiel Elliott (FA),2020,3,14,34,2.4,9,0,1,6,11,24,4.0,0,0,11.8
Miles Sanders (CAR),2020,3,18,95,5.3,19,0,0,4,8,12,3.0,0,0,10.7
David Johnson (FA),2020,3,13,23,1.8,5,0,1,2,3,23,11.5,0,0,10.6
Antonio Gibson (WAS),2020,3,9,49,5.4,13,0,1,3,3,11,3.7,0,1,10.0
Myles Gaskin (MIA),2020,3,22,66,3.0,15,0,0,5,5,29,5.8,0,0,9.5
Adrian Peterson (FA),2020,3,22,75,3.4,27,1,0,1,1,10,10.0,0,0,8.5
