,,,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,STANDARD
Player,Season,Week,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,FPTS
Joe Mixon (CIN),2021,1,29,127,4.4,19,0,1,4,4,23,5.8,0,0,21.0
Nick Chubb (CLE),2021,1,15,83,5.5,18,0,2,2,2,18,9.0,0,1,20.1
Christian McCaffrey (SF),2021,1,21,98,4.7,18,0,0,9,9,89,9.9,0,0,18.7
David Montgomery (DET),2021,1,16,108,6.8,41,3,1,1,1,10,10.0,0,0,17.8
Melvin Gordon III (FA),2021,1,11,101,9.2,70,4,1,3,3,17,5.7,0,0,17.8
Jamaal Williams (NO),2021,1,9,54,6.0,20,1,1,8,9,56,7.0,0,0,17.0
D'Andre Swift (DET),2021,1,11,39,3.5,16,0,0,8,11,65,8.1,1,0,16.4
Elijah Mitchell (SF),2021,1,19,104,5.5,38,2,1,0,0,0,0.0,0,0,16.4
Josh Jacobs (LV),2021,1,10,34,3.4,15,0,2,1,2,6,6.0,0,0,16.0
Ty'Son Williams (ARI),2021,1,9,65,7.2,35,2,1,3,4,29,9.7,0,0,15.4
Alvin Kamara (NO),2021,1,20,83,4.2,14,0,0,3,4,8,2.7,1,0,15.1
Darrell Henderson Jr. (FA),2021,1,16,70,4.4,15,0,1,1,1,17,17.0,0,0,14.7
Mark Ingram II (FA),2021,1,26,85,3.3,11,0,1,0,1,0,0.0,0,0,14.5
Dalvin Cook (MIN),2021,1,20,61,3.1,17,0,1,6,7,43,7.2,0,1,14.4
Kareem Hunt (FA),2021,1,6,33,5.5,15,0,1,3,3,28,9.3,0,0,14.1
Miles Sanders (CAR),2021,1,15,74,4.9,23,1,0,4,5,39,9.8,0,0,13.3
Austin Ekeler (LAC),2021,1,15,57,3.8,14,0,1,0,0,0,0.0,0,0,11.7
Jonathan Taylor (IND),2021,1,17,56,3.3,12,0,0,6,7,60,10.0,0,0,11.6
Chase Edmonds (TB),2021,1,12,63,5.3,16,0,0,4,4,43,10.8,0,0,10.6
Kenneth Gainwell (PHI),2021,1,9,37,4.1,8,0,1,2,3,6,3.0,0,0,10.3
Chris Carson (FA),2021,1,16,91,5.7,33,2,0,3,3,26,8.7,0,1,9.7
Damien Harris (BUF),2021,1,23,100,4.3,35,2,0,2,3,17,8.5,0,1,9.7
Latavius Murray (FA),2021,1,10,28,2.8,8,0,1,0,0,0,0.0,0,0,8.8
Antonio Gibson (WAS),2021,1,20,90,4.5,27,1,0,3,5,18,6.0,0,1,8.8
David Johnson (FA),2021,1,3,10,3.3,5,0,0,3,4,18,6.0,1,0,8.8
Phillip Lindsay (FA),2021,1,8,25,3.1,8,0,1,0,1,0,0.0,0,0,8.5
Nyheim Hines (BUF),2021,1,9,34,3.8,8,0,0,6,8,48,8.0,0,0,8.2
Devin Singletary (HOU),2021,1,11,72,6.5,25,1,0,3,5,8,2.7,0,0,8.0
JaMycal Hasty (JAC),2021,1,1,3,3.0,3,0,1,1,1,15,15.0,0,0,7.8
Derrick Henry (TEN),2021,1,17,58,3.4,19,0,0,3,4,19,6.3,0,0,7.7
Myles Gaskin (MIA),2021,1,9,49,5.4,15,0,0,5,5,27,5.4,0,0,7.6
Mike Davis (FA),2021,1,15,49,3.3,12,0,0,3,6,23,7.7,0,0,7.2
Clyde Edwards-Helaire (KC),2021,1,14,43,3.1,9,0,0,3,3,29,9.7,0,0,7.2
Kenyan Drake (FA),2021,1,6,11,1.8,6,0,0,5,5,59,11.8,0,0,7.0
Cordarrelle Patterson (ATL),2021,1,7,54,7.7,14,0,0,2,2,13,6.5,0,0,6.7
James White (FA),2021,1,4,12,3.0,10,0,0,6,7,49,8.2,0,0,6.1
Leonard Fournette (FA),2021,1,9,32,3.6,7,0,0,5,7,27,5.4,0,0,5.9
Carlos Hyde (FA),2021,1,9,44,4.9,13,0,0,2,2,14,7.0,0,0,5.8
James Robinson (NE),2021,1,5,25,5.0,7,0,0,3,6,29,9.7,0,0,5.4
James Conner (ARI),2021,1,16,53,3.3,8,0,0,0,0,0,0.0,0,0,5.3
Tony Jones Jr. (DEN),2021,1,11,50,4.5,9,0,0,1,1,3,3.0,0,0,5.3
Najee Harris (PIT),2021,1,16,45,2.8,18,0,0,1,3,4,4.0,0,0,4.9
Tony Pollard (DAL),2021,1,3,14,4.7,11,0,0,4,4,29,7.3,0,0,4.3
Javonte Williams (DEN),2021,1,14,45,3.2,12,0,0,1,1,-4,-4.0,0,0,4.1
Damien Williams (FA),2021,1,6,12,2.0,6,0,0,4,5,28,7.0,0,0,4.0
Ezekiel Elliott (FA),2021,1,11,33,3.0,13,0,0,2,2,6,3.0,0,0,3.9
Jeremy McNichols (PIT),2021,1,2,9,4.5,8,0,0,3,4,24,8.0,0,0,3.3
Keith Smith (ATL),2021,1,2,13,6.5,8,0,0,3,3,18,6.0,0,0,3.1
Samaje Perine (DEN),2021,1,5,22,4.4,13,0,0,1,1,7,7.0,0,0,2.9
Salvon Ahmed (MIA),2021,1,3,4,1.3,8,0,0,2,3,24,12.0,0,0,2.8
Larry Rountree III (LAC),2021,1,8,27,3.4,13,0,0,0,0,0,0.0,0,0,2.7
Saquon Barkley (NYG),2021,1,10,26,2.6,5,0,0,1,3,1,1.0,0,0,2.7
AJ Dillon (GB),2021,1,4,19,4.8,6,0,0,1,2,7,7.0,0,0,2.6
