,,,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,STANDARD
Ty Johnson (NYJ),2021,1,4,15,3.8,12,0,0,1,3,11,11.0,0,0,2.6
Tevin Coleman (FA),2021,1,9,24,2.7,9,0,0,0,0,0,0.0,0,0,2.4
Aaron Jones (GB),2021,1,5,9,1.8,3,0,0,2,2,13,6.5,0,0,2.2
Alec Ingold (MIA),2021,1,0,0,0.0,0,0,0,4,4,22,5.5,0,0,2.2
Michael Carter (NYJ),2021,1,4,6,1.5,2,0,0,1,2,14,14.0,0,0,2.0
Raheem Mostert (MIA),2021,1,2,20,10.0,11,0,0,0,0,0,0.0,0,0,2.0
Ameer Abdullah (LV),2021,1,1,4,4.0,4,0,0,2,2,15,7.5,0,0,1.9
Malcolm Brown (FA),2021,1,5,16,3.2,5,0,0,0,0,0,0.0,0,0,1.6
Patrick Ricard (BAL),2021,1,0,0,0.0,0,0,0,2,3,15,7.5,0,0,1.5
Kylin Hill (FA),2021,1,5,14,2.8,8,0,0,0,0,0,0.0,0,0,1.4
Devontae Booker (FA),2021,1,4,7,1.8,6,0,0,1,1,6,6.0,0,0,1.3
Giovani Bernard (FA),2021,1,0,0,0.0,0,0,0,2,3,12,6.0,0,0,1.2
DeeJay Dallas (SEA),2021,1,1,5,5.0,5,0,0,1,1,5,5.0,0,0,1.0
C.J. Ham (MIN),2021,1,0,0,0.0,0,0,0,2,2,9,4.5,0,0,0.9
Jaret Patterson (FA),2021,1,2,9,4.5,5,0,0,0,1,0,0.0,0,0,0.9
Rashaad Penny (PHI),2021,1,2,8,4.0,4,0,0,0,0,0,0.0,0,0,0.8
J.D. McKissic (FA),2021,1,1,8,8.0,8,0,0,0,1,0,0.0,0,0,0.8
Justin Jackson (FA),2021,1,1,5,5.0,5,0,0,1,1,2,2.0,0,0,0.7
Kyle Juszczyk (SF),2021,1,0,0,0.0,0,0,0,1,1,7,7.0,0,0,0.7
Rex Burkhead (FA),2021,1,0,0,0.0,0,0,0,1,2,6,6.0,0,0,0.6
Alexander Mattison (MIN),2021,1,1,2,2.0,2,0,0,1,1,4,4.0,0,0,0.6
Gary Brightwell (NYG),2021,1,0,0,0.0,0,0,0,1,1,6,6.0,0,0,0.6
Ty Montgomery (NE),2021,1,0,0,0.0,0,0,0,1,1,5,5.0,0,0,0.5
Trenton Cannon (FA),2021,1,2,5,2.5,3,0,0,0,0,0,0.0,0,0,0.5
Brandon Bolden (LV),2021,1,1,5,5.0,5,0,0,0,0,0,0.0,0,0,0.5
Chuba Hubbard (CAR),2021,1,0,0,0.0,0,0,0,2,2,4,2.0,0,0,0.4
Matt Breida (NYG),2021,1,4,4,1.0,7,0,0,0,0,0,0.0,0,0,0.4
Darrel Williams (FA),2021,1,1,4,4.0,4,0,0,0,0,0,0.0,0,0,0.4
Sony Michel (FA),2021,1,1,2,2.0,2,0,0,0,0,0,0.0,0,0,0.2
Gabe Nabers (FA),2021,1,1,2,2.0,2,0,0,0,0,0,0.0,0,0,0.2
Mekhi Sargent (JAC),2021,1,1,2,2.0,2,0,0,0,0,0,0.0,0,0,0.2
Michael Burton (DEN),2021,1,1,2,2.0,2,0,0,0,0,0,0.0,0,0,0.2
Demetric Felton Jr. (CLE),2021,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Travis Homer (CHI),2021,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Benny Snell Jr. (FA),2021,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Khari Blasingame (CHI),2021,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Sewo Olonilua (FA),2021,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jonathan Ward (TEN),2021,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jake Funk (IND),2021,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Spencer Brown (CAR),2021,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Avery Williams (ATL),2021,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Khalil Herbert (CHI),2021,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Nick Bellore (SEA),2021,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Elijhaa Penny (FA),2021,1,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
Tarik Cohen (FA),2021,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Corey Clement (ARI),2021,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Wayne Gallman Jr. (FA),2021,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Andy Janovich (FA),2021,1,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
Derek Watt (FA),2021,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jason Cabinda (DET),2021,1,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
Godwin Igwebuike (SEA),2021,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Boston Scott (PHI),2021,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Dare Ogunbowale (HOU),2021,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Ronald Jones II (DAL),2021,1,4,14,3.5,5,0,0,0,0,0,0.0,0,1,-0.6
Rhamondre Stevenson (NE),2021,1,1,2,2.0,2,0,0,1,1,9,9.0,0,1,-0.9
Derrick Henry (TEN),2021,2,35,182,5.2,60,4,3,6,6,55,9.2,0,0,41.7
Aaron Jones (GB),2021,2,17,67,3.9,9,0,1,6,6,48,8.0,3,0,35.5
Tony Pollard (DAL),2021,2,13,109,8.4,28,2,1,3,3,31,10.3,0,0,20.0
Christian McCaffrey (SF),2021,2,24,72,3.0,16,0,1,5,6,65,13.0,0,0,19.7
Cordarrelle Patterson (ATL),2021,2,7,11,1.6,10,0,1,5,7,58,11.6,1,0,18.9
Nick Chubb (CLE),2021,2,11,95,8.6,26,2,1,1,1,3,3.0,0,0,15.8
Ezekiel Elliott (FA),2021,2,16,71,4.4,19,0,1,2,2,26,13.0,0,0,15.7
J.D. McKissic (FA),2021,2,4,10,2.5,4,0,1,5,6,83,16.6,0,0,15.3
Chris Carson (FA),2021,2,13,31,2.4,8,0,2,0,0,0,0.0,0,0,15.1
Devin Singletary (HOU),2021,2,13,82,6.3,46,3,1,2,3,9,4.5,0,0,15.1
Dalvin Cook (MIN),2021,2,22,131,6.0,16,0,0,2,3,17,8.5,0,0,14.8
Darrell Henderson Jr. (FA),2021,2,13,53,4.1,13,0,1,3,5,29,9.7,0,0,14.2
Najee Harris (PIT),2021,2,10,38,3.8,14,0,0,5,5,43,8.6,1,0,14.1
Austin Ekeler (LAC),2021,2,9,54,6.0,20,1,0,9,9,61,6.8,0,0,13.5
Zack Moss (IND),2021,2,8,26,3.3,10,0,2,2,2,8,4.0,0,1,13.4
James White (FA),2021,2,5,20,4.0,7,0,1,6,6,45,7.5,0,0,12.5
Damien Harris (BUF),2021,2,16,62,3.9,26,1,1,1,1,2,2.0,0,0,12.4
Demetric Felton Jr. (CLE),2021,2,0,0,0.0,0,0,0,2,2,51,25.5,1,0,11.1
Latavius Murray (FA),2021,2,9,36,4.0,8,0,1,0,0,0,0.0,0,0,9.6
Ty'Son Williams (ARI),2021,2,13,77,5.9,20,1,0,2,2,16,8.0,0,0,9.3
Michael Carter (NYJ),2021,2,11,59,5.4,14,0,0,2,3,29,14.5,0,0,8.8
Phillip Lindsay (FA),2021,2,5,2,0.4,5,0,0,1,1,22,22.0,1,0,8.4
David Montgomery (DET),2021,2,20,61,3.1,11,0,0,3,4,18,6.0,0,0,7.9
D'Andre Swift (DET),2021,2,8,37,4.6,12,0,0,4,5,41,10.3,0,0,7.8
Leonard Fournette (FA),2021,2,11,52,4.7,10,0,0,4,4,24,6.0,0,0,7.6
Chase Edmonds (TB),2021,2,8,46,5.8,14,0,0,5,5,29,5.8,0,0,7.5
Javonte Williams (DEN),2021,2,13,64,4.9,16,0,0,1,1,10,10.0,0,0,7.4
Antonio Gibson (WAS),2021,2,13,69,5.3,14,0,0,2,2,4,2.0,0,0,7.3
Joe Mixon (CIN),2021,2,20,69,3.5,10,0,0,1,2,2,2.0,0,0,7.1
Melvin Gordon III (FA),2021,2,13,31,2.4,8,0,0,2,2,38,19.0,0,0,6.9
Saquon Barkley (NYG),2021,2,13,57,4.4,41,3,0,2,3,12,6.0,0,0,6.9
James Robinson (NE),2021,2,11,47,4.3,12,0,0,3,3,17,5.7,0,0,6.4
Mike Davis (FA),2021,2,9,38,4.2,8,0,0,7,7,25,3.6,0,0,6.3
Andy Janovich (FA),2021,2,2,0,0.0,1,0,1,0,0,0,0.0,0,0,6.0
JaMycal Hasty (JAC),2021,2,5,38,7.6,21,1,0,4,5,21,5.3,0,0,5.9
Miles Sanders (CAR),2021,2,13,55,4.2,10,0,0,1,2,4,4.0,0,0,5.9
Darrel Williams (FA),2021,2,3,-2,-0.7,2,0,1,0,0,0,0.0,0,0,5.8
Kenyan Drake (FA),2021,2,7,9,1.3,5,0,0,5,6,46,9.2,0,0,5.5
Jonathan Taylor (IND),2021,2,15,51,3.4,13,0,0,1,1,2,2.0,0,0,5.3
Elijah Mitchell (SF),2021,2,17,42,2.5,10,0,0,2,2,11,5.5,0,0,5.3
Kareem Hunt (FA),2021,2,13,51,3.9,13,0,0,1,1,2,2.0,0,0,5.3
Kenneth Gainwell (PHI),2021,2,6,14,2.3,6,0,0,2,3,18,9.0,0,0,5.2
Ty Johnson (NYJ),2021,2,12,50,4.2,17,0,0,0,0,0,0.0,0,0,5.0
David Johnson (FA),2021,2,6,25,4.2,8,0,0,2,2,22,11.0,0,0,4.7
Sony Michel (FA),2021,2,10,46,4.6,11,0,0,0,0,0,0.0,0,0,4.6
Myles Gaskin (MIA),2021,2,5,25,5.0,18,0,0,4,5,21,5.3,0,0,4.6
Mark Ingram II (FA),2021,2,14,41,2.9,8,0,0,1,2,-1,-1.0,0,0,4.0
Jamaal Williams (NO),2021,2,7,25,3.6,8,0,0,3,3,12,4.0,0,0,3.7
Ronald Jones II (DAL),2021,2,6,27,4.5,10,0,0,1,3,9,9.0,0,0,3.6
Peyton Barber (FA),2021,2,13,32,2.5,13,0,0,0,0,0,0.0,0,0,3.2
Alvin Kamara (NO),2021,2,8,5,0.6,5,0,0,4,6,25,6.3,0,0,3.0
Jeremy McNichols (PIT),2021,2,1,3,3.0,3,0,0,3,3,26,8.7,0,0,2.9
Justin Jackson (FA),2021,2,4,21,5.3,7,0,0,1,1,8,8.0,0,0,2.9
Devonta Freeman (FA),2021,2,2,29,14.5,31,2,0,0,0,0,0.0,0,0,2.9
Alexander Mattison (MIN),2021,2,3,11,3.7,6,0,0,1,1,17,17.0,0,0,2.8
James Conner (ARI),2021,2,8,26,3.3,9,0,0,0,0,0,0.0,0,0,2.6
Clyde Edwards-Helaire (KC),2021,2,13,46,3.5,9,0,0,0,0,0,0.0,0,1,2.6
AJ Dillon (GB),2021,2,5,18,3.6,8,0,0,1,1,8,8.0,0,0,2.6
Alex Collins (FA),2021,2,1,25,25.0,25,1,0,0,0,0,0.0,0,0,2.5
Tevin Coleman (FA),2021,2,5,24,4.8,17,0,0,0,0,0,0.0,0,0,2.4
Nyheim Hines (BUF),2021,2,1,5,5.0,5,0,0,1,2,17,17.0,0,0,2.2
Malcolm Brown (FA),2021,2,5,21,4.2,12,0,0,0,0,0,0.0,0,0,2.1
Kyle Juszczyk (SF),2021,2,1,2,2.0,2,0,0,2,3,15,7.5,0,0,1.7
Salvon Ahmed (MIA),2021,2,6,17,2.8,8,0,0,0,3,0,0.0,0,0,1.7
Giovani Bernard (FA),2021,2,0,0,0.0,0,0,0,2,2,16,8.0,0,0,1.6
Marlon Mack (FA),2021,2,5,16,3.2,6,0,0,0,1,0,0.0,0,0,1.6
Travis Homer (CHI),2021,2,0,0,0.0,0,0,0,2,2,14,7.0,0,0,1.4
Jerick McKinnon (FA),2021,2,0,0,0.0,0,0,0,1,1,14,14.0,0,0,1.4
Chris Evans (CIN),2021,2,0,0,0.0,0,0,0,1,1,14,14.0,0,0,1.4
Michael Burton (DEN),2021,2,0,0,0.0,0,0,0,1,1,11,11.0,0,0,1.1
Devontae Booker (FA),2021,2,2,9,4.5,7,0,0,1,1,2,2.0,0,0,1.1
Chuba Hubbard (CAR),2021,2,8,10,1.3,9,0,0,0,1,0,0.0,0,0,1.0
Trey Sermon (PHI),2021,2,1,8,8.0,8,0,0,0,0,0,0.0,0,0,0.8
Kylin Hill (FA),2021,2,2,8,4.0,5,0,0,0,0,0,0.0,0,0,0.8
Carlos Hyde (FA),2021,2,2,7,3.5,6,0,0,0,2,0,0.0,0,0,0.7
Tony Jones Jr. (DEN),2021,2,3,7,2.3,6,0,0,0,0,0,0.0,0,0,0.7
Elijhaa Penny (FA),2021,2,2,5,2.5,3,0,0,0,0,0,0.0,0,0,0.5
Damien Williams (FA),2021,2,2,6,3.0,6,0,0,2,3,-2,-1.0,0,0,0.4
J.J. Taylor (NE),2021,2,2,3,1.5,2,0,0,0,0,0,0.0,0,0,0.3
Ty Montgomery (NE),2021,2,0,0,0.0,0,0,0,1,1,3,3.0,0,0,0.3
Keith Smith (ATL),2021,2,2,3,1.5,3,0,0,0,1,0,0.0,0,0,0.3
Reggie Gilliam (BUF),2021,2,2,2,1.0,2,0,0,0,0,0,0.0,0,0,0.2
Patrick Ricard (BAL),2021,2,1,2,2.0,2,0,0,0,0,0,0.0,0,0,0.2
Benny Snell Jr. (FA),2021,2,2,1,0.5,1,0,0,0,0,0,0.0,0,0,0.1
Alec Ingold (MIA),2021,2,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
Gabe Nabers (FA),2021,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Scottie Phillips (FA),2021,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
DeeJay Dallas (SEA),2021,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Giovanni Ricci (CAR),2021,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jake Funk (IND),2021,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Gary Brightwell (NYG),2021,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Gerrid Doaks (HOU),2021,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Avery Williams (ATL),2021,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Nick Bellore (SEA),2021,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Taiwan Jones (FA),2021,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Samaje Perine (DEN),2021,2,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
Dwayne Washington (NO),2021,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jason Cabinda (DET),2021,2,0,0,0.0,0,0,0,1,1,4,4.0,0,0,0.0
Godwin Igwebuike (SEA),2021,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Alex Armah Jr. (WAS),2021,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Ameer Abdullah (LV),2021,2,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
Trenton Cannon (FA),2021,2,1,-1,-1.0,0,0,0,0,0,0,0.0,0,0,-0.1
Larry Rountree III (LAC),2021,2,1,-1,-1.0,0,0,0,1,1,-1,-1.0,0,0,-0.2
Ezekiel Elliott (FA),2021,3,17,95,5.6,13,0,2,3,3,21,7.0,0,0,23.6
Kareem Hunt (FA),2021,3,10,81,8.1,29,1,1,6,7,74,12.3,0,0,21.5
Peyton Barber (FA),2021,3,23,111,4.8,27,1,1,3,5,31,10.3,0,0,20.2
James Robinson (NE),2021,3,15,88,5.9,21,1,1,6,6,46,7.7,0,0,19.4
Alvin Kamara (NO),2021,3,24,89,3.7,11,0,0,3,4,29,9.7,1,0,17.8
James Conner (ARI),2021,3,11,43,3.9,11,0,2,1,1,10,10.0,0,0,17.3
Alexander Mattison (MIN),2021,3,26,112,4.3,24,1,0,6,8,59,9.8,0,0,17.1
Austin Ekeler (LAC),2021,3,11,55,5.0,11,0,0,6,6,52,8.7,1,0,16.7
D'Andre Swift (DET),2021,3,14,47,3.4,14,0,1,7,7,60,8.6,0,0,16.7
Antonio Gibson (WAS),2021,3,12,31,2.6,7,0,0,1,2,73,73.0,1,0,16.4
Derrick Henry (TEN),2021,3,28,113,4.0,19,0,0,3,3,31,10.3,0,0,16.4
Aaron Jones (GB),2021,3,19,82,4.3,12,0,1,2,2,14,7.0,0,0,15.6
Saquon Barkley (NYG),2021,3,16,51,3.2,15,0,1,6,7,43,7.2,0,0,15.4
Zack Moss (IND),2021,3,13,60,4.6,9,0,0,3,3,31,10.3,1,0,15.1
Clyde Edwards-Helaire (KC),2021,3,17,100,5.9,14,0,0,2,2,9,4.5,1,1,14.9
Chris Carson (FA),2021,3,12,80,6.7,30,2,1,2,2,2,1.0,0,0,14.2
Melvin Gordon III (FA),2021,3,18,60,3.3,10,0,1,1,2,21,21.0,0,0,14.2
Najee Harris (PIT),2021,3,14,40,2.9,20,1,0,14,19,102,7.3,0,0,14.2
Nyheim Hines (BUF),2021,3,6,25,4.2,9,0,1,5,6,54,10.8,0,0,13.9
Jamaal Williams (NO),2021,3,12,42,3.5,14,0,1,2,2,25,12.5,0,0,12.7
Giovani Bernard (FA),2021,3,0,0,0.0,0,0,0,9,10,51,5.7,1,0,11.1
Kyle Juszczyk (SF),2021,3,5,14,2.8,5,0,0,4,4,37,9.3,1,0,11.1
Javonte Williams (DEN),2021,3,12,29,2.4,14,0,1,3,4,33,11.0,0,1,10.2
Cordarrelle Patterson (ATL),2021,3,7,20,2.9,11,0,0,6,7,82,13.7,0,0,10.2
Trey Sermon (PHI),2021,3,10,31,3.1,16,0,1,2,3,3,1.5,0,0,9.4
Joe Mixon (CIN),2021,3,18,90,5.0,27,1,0,1,1,4,4.0,0,0,9.4
Malcolm Brown (FA),2021,3,7,31,4.4,24,1,1,0,2,0,0.0,0,0,9.1
Nick Chubb (CLE),2021,3,22,84,3.8,14,0,0,0,0,0,0.0,0,0,8.4
Sony Michel (FA),2021,3,20,67,3.4,15,0,0,3,4,12,4.0,0,0,7.9
Chuba Hubbard (CAR),2021,3,11,52,4.7,14,0,0,3,5,27,9.0,0,0,7.9
Jeremy McNichols (PIT),2021,3,2,6,3.0,5,0,0,1,2,10,10.0,1,0,7.6
Chase Edmonds (TB),2021,3,11,26,2.4,7,0,0,7,8,49,7.0,0,0,7.5
Myles Gaskin (MIA),2021,3,13,65,5.0,15,0,0,3,6,9,3.0,0,0,7.4
Jonathan Taylor (IND),2021,3,10,64,6.4,23,1,0,1,1,8,8.0,0,0,7.2
Mike Davis (FA),2021,3,12,50,4.2,11,0,0,4,4,20,5.0,0,0,7.0
Tony Pollard (DAL),2021,3,11,60,5.5,11,0,0,1,1,5,5.0,0,0,6.5
Alec Ingold (MIA),2021,3,1,0,0.0,0,0,0,1,1,1,1.0,1,0,6.1
Kenyan Drake (FA),2021,3,8,24,3.0,6,0,0,3,6,33,11.0,0,0,5.7
David Montgomery (DET),2021,3,10,34,3.4,16,0,0,2,4,21,10.5,0,0,5.5
Miles Sanders (CAR),2021,3,2,27,13.5,24,1,0,3,4,28,9.3,0,0,5.5
Travis Homer (CHI),2021,3,0,0,0.0,0,0,0,3,3,48,16.0,0,0,4.8
Carlos Hyde (FA),2021,3,8,44,5.5,18,0,0,0,0,0,0.0,0,0,4.4
Christian McCaffrey (SF),2021,3,7,31,4.4,10,0,0,2,2,9,4.5,0,0,4.0
Darrel Williams (FA),2021,3,7,28,4.0,7,0,0,2,3,11,5.5,0,0,3.9
J.D. McKissic (FA),2021,3,3,23,7.7,11,0,0,2,2,15,7.5,0,0,3.8
Kenneth Gainwell (PHI),2021,3,1,2,2.0,2,0,0,3,4,32,10.7,0,0,3.4
Leonard Fournette (FA),2021,3,4,8,2.0,3,0,0,3,3,26,8.7,0,0,3.4
Michael Carter (NYJ),2021,3,9,24,2.7,8,0,0,2,3,5,2.5,0,0,2.9
Latavius Murray (FA),2021,3,7,28,4.0,8,0,0,0,0,0,0.0,0,0,2.8
Chris Evans (CIN),2021,3,0,0,0.0,0,0,0,2,2,26,13.0,0,0,2.6
AJ Dillon (GB),2021,3,6,18,3.0,6,0,0,2,2,8,4.0,0,0,2.6
Devin Singletary (HOU),2021,3,11,26,2.4,7,0,0,1,2,0,0.0,0,0,2.6
Royce Freeman (FA),2021,3,5,17,3.4,13,0,0,1,1,8,8.0,0,0,2.5
Ameer Abdullah (LV),2021,3,5,24,4.8,9,0,0,0,0,0,0.0,0,0,2.4
Ty Johnson (NYJ),2021,3,3,17,5.7,13,0,0,1,5,6,6.0,0,0,2.3
Brandon Bolden (LV),2021,3,3,-1,-0.3,0,0,0,3,4,23,7.7,0,0,2.2
Tony Jones Jr. (DEN),2021,3,2,12,6.0,7,0,0,2,2,10,5.0,0,0,2.2
Ty'Son Williams (ARI),2021,3,5,22,4.4,12,0,0,0,1,0,0.0,0,0,2.2
Mark Ingram II (FA),2021,3,6,21,3.5,6,0,0,1,1,-1,-1.0,0,0,2.0
Demetric Felton Jr. (CLE),2021,3,0,0,0.0,0,0,0,2,3,13,6.5,0,0,1.3
David Johnson (FA),2021,3,2,11,5.5,7,0,0,0,0,0,0.0,0,0,1.1
Damien Harris (BUF),2021,3,6,14,2.3,7,0,0,2,2,-3,-1.5,0,0,1.1
Ronald Jones II (DAL),2021,3,5,11,2.2,5,0,0,0,0,0,0.0,0,0,1.1
Gabe Nabers (FA),2021,3,0,0,0.0,0,0,0,2,2,11,5.5,0,0,1.1
D'Ernest Johnson (JAC),2021,3,2,9,4.5,5,0,0,0,0,0,0.0,0,0,0.9
Alex Collins (FA),2021,3,2,8,4.0,6,0,0,0,0,0,0.0,0,0,0.8
Devonta Freeman (FA),2021,3,3,8,2.7,5,0,0,0,0,0,0.0,0,0,0.8
Damarea Crockett (DEN),2021,3,3,7,2.3,6,0,0,0,0,0,0.0,0,0,0.7
