,,,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,STANDARD
Player,Season,Week,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,FPTS
Austin Ekeler (LAC),2019,1,12,58,4.8,19,0,1,6,7,96,16.0,2,0,33.4
Christian McCaffrey (SF),2019,1,19,128,6.7,23,1,2,10,11,81,8.1,0,0,32.9
Derrick Henry (TEN),2019,1,19,84,4.4,18,0,1,1,2,75,75.0,1,0,27.9
Marlon Mack (FA),2019,1,25,174,7.0,63,5,1,0,0,0,0.0,0,0,25.4
Dalvin Cook (MIN),2019,1,21,111,5.3,22,2,2,2,2,9,4.5,0,0,24.0
Josh Jacobs (LV),2019,1,23,85,3.7,13,0,2,1,1,28,28.0,0,0,23.3
Mark Ingram II (FA),2019,1,14,107,7.6,49,3,2,0,0,0,0.0,0,0,22.7
David Johnson (FA),2019,1,18,82,4.6,18,0,0,6,7,55,9.2,1,0,19.7
Chris Carson (FA),2019,1,15,46,3.1,21,1,1,6,7,34,5.7,1,1,18.0
Malcolm Brown (FA),2019,1,11,53,4.8,17,0,2,0,0,0,0.0,0,0,17.3
Le'Veon Bell (FA),2019,1,17,60,3.5,12,0,0,6,9,32,5.3,1,0,17.2
Alvin Kamara (NO),2019,1,13,97,7.5,28,2,0,7,8,72,10.3,0,0,16.9
Saquon Barkley (NYG),2019,1,11,120,10.9,59,4,0,4,6,19,4.8,0,0,13.9
Damien Williams (FA),2019,1,13,26,2.0,6,0,1,6,6,39,6.5,0,0,12.5
Ezekiel Elliott (FA),2019,1,13,53,4.1,10,0,1,1,2,10,10.0,0,0,12.3
Latavius Murray (FA),2019,1,6,43,7.2,30,2,1,2,3,4,2.0,0,0,10.7
Wayne Gallman Jr. (FA),2019,1,2,17,8.5,15,0,1,3,3,24,8.0,0,0,10.1
Todd Gurley II (FA),2019,1,14,97,6.9,25,1,0,1,1,4,4.0,0,0,10.1
Devin Singletary (HOU),2019,1,4,70,17.5,23,2,0,5,6,28,5.6,0,0,9.8
Ronald Jones II (DAL),2019,1,13,75,5.8,16,0,0,1,1,18,18.0,0,0,9.3
LeSean McCoy (FA),2019,1,10,81,8.1,31,2,0,1,1,12,12.0,0,0,9.3
Duke Johnson Jr. (FA),2019,1,9,57,6.3,32,2,0,4,5,33,8.3,0,0,9.0
