,,,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,STANDARD
Player,Season,Week,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,FPTS
Michael Carter (NYJ),2022,4,9,15,1.7,5,0,0,2,3,14,7.0,0,0,2.9
Javonte Williams (DEN),2022,4,10,28,2.8,13,0,0,1,1,-1,-1.0,0,0,2.7
Sony Michel (FA),2022,4,6,11,1.8,4,0,0,3,3,16,5.3,0,0,2.7
Kenneth Walker III (SEA),2022,4,8,29,3.6,13,0,0,1,1,-5,-5.0,0,0,2.4
Zamir White (LV),2022,4,2,24,12.0,22,1,0,0,0,0,0.0,0,0,2.4
Jonathan Taylor (IND),2022,4,20,42,2.1,11,0,0,1,3,1,1.0,0,1,2.3
Jaylen Warren (PIT),2022,4,3,18,6.0,14,0,0,1,1,4,4.0,0,0,2.2
JaMycal Hasty (JAC),2022,4,0,0,0.0,0,0,0,2,2,22,11.0,0,0,2.2
Avery Williams (ATL),2022,4,1,21,21.0,21,1,0,0,0,0,0.0,0,0,2.1
Patrick Ricard (BAL),2022,4,1,3,3.0,3,0,0,3,3,17,5.7,0,0,2.0
Darrel Williams (FA),2022,4,4,19,4.8,13,0,0,0,1,0,0.0,0,0,1.9
Trey Sermon (PHI),2022,4,2,19,9.5,14,0,0,0,0,0,0.0,0,0,1.9
Dontrell Hilliard (FA),2022,4,0,0,0.0,0,0,0,4,4,18,4.5,0,0,1.8
Matt Breida (NYG),2022,4,3,18,6.0,13,0,0,0,0,0,0.0,0,0,1.8
Joshua Kelley (LAC),2022,4,4,15,3.8,6,0,0,0,2,0,0.0,0,0,1.5
Cam Akers (LAR),2022,4,8,13,1.6,6,0,0,0,1,0,0.0,0,0,1.3
Trestan Ebner (CHI),2022,4,6,20,3.3,11,0,0,2,3,8,4.0,0,1,0.8
Tony Pollard (DAL),2022,4,8,6,0.8,9,0,0,1,3,2,2.0,0,0,0.8
Zack Moss (IND),2022,4,3,6,2.0,5,0,0,0,0,0,0.0,0,0,0.6
Nyheim Hines (BUF),2022,4,1,0,0.0,0,0,0,2,2,3,1.5,0,0,0.3
D'Onta Foreman (CHI),2022,4,1,2,2.0,2,0,0,0,0,0,0.0,0,0,0.2
Benny Snell Jr. (FA),2022,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Ty Johnson (NYJ),2022,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Travis Homer (CHI),2022,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Andrew Beck (HOU),2022,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Patrick Taylor Jr. (GB),2022,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Chuba Hubbard (CAR),2022,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Giovanni Ricci (CAR),2022,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
D'Ernest Johnson (JAC),2022,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Ke'Shawn Vaughn (TB),2022,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
DeeJay Dallas (SEA),2022,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Zander Horvath (LAC),2022,4,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
Hassan Haskins (TEN),2022,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jake Funk (IND),2022,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Kene Nwangwu (MIN),2022,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Gary Brightwell (NYG),2022,4,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Chris Evans (CIN),2022,4,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
James Cook (BUF),2022,4,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
Jerome Ford (CLE),2022,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Nick Bellore (SEA),2022,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Kenjon Barner (FA),2022,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
J.P. Holtz (FA),2022,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
C.J. Ham (MIN),2022,4,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
Marlon Mack (FA),2022,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Samaje Perine (DEN),2022,4,1,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
Brandin Bryant (BUF),2022,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Dare Ogunbowale (HOU),2022,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Keith Smith (ATL),2022,4,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
Jerick McKinnon (FA),2022,4,2,-1,-0.5,0,0,0,1,1,1,1.0,0,0,0.0
Ameer Abdullah (LV),2022,4,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Brandon Bolden (LV),2022,4,0,0,0.0,0,0,0,1,1,-1,-1.0,0,0,-0.1
Melvin Gordon III (FA),2022,4,3,8,2.7,7,0,0,0,1,0,0.0,0,1,-1.2
Austin Ekeler (LAC),2022,5,16,173,10.8,71,5,1,4,4,26,6.5,1,0,31.9
Leonard Fournette (FA),2022,5,14,56,4.0,14,0,1,10,11,83,8.3,1,0,25.9
Breece Hall (NYJ),2022,5,18,97,5.4,17,0,1,2,2,100,50.0,0,0,25.7
Nick Chubb (CLE),2022,5,17,134,7.9,41,4,2,0,1,0,0.0,0,0,25.4
Josh Jacobs (LV),2022,5,21,154,7.3,37,3,1,5,5,39,7.8,0,0,25.3
Derrick Henry (TEN),2022,5,28,102,3.6,15,0,2,2,2,30,15.0,0,0,25.2
Dalvin Cook (MIN),2022,5,18,94,5.2,15,0,2,2,2,27,13.5,0,0,24.1
Jeff Wilson Jr. (MIA),2022,5,17,120,7.1,41,4,1,1,2,12,12.0,0,0,19.2
Tevin Coleman (FA),2022,5,8,23,2.9,14,0,1,3,3,44,14.7,1,0,18.7
Raheem Mostert (MIA),2022,5,18,113,6.3,24,2,1,1,3,9,9.0,0,0,18.2
Rhamondre Stevenson (NE),2022,5,25,161,6.4,49,4,0,2,2,14,7.0,0,0,17.5
Alvin Kamara (NO),2022,5,23,103,4.5,13,0,0,6,6,91,15.2,0,1,17.4
Dameon Pierce (HOU),2022,5,26,99,3.8,20,1,1,3,5,14,4.7,0,0,17.3
Saquon Barkley (NYG),2022,5,13,70,5.4,40,3,1,3,6,36,12.0,0,0,16.6
Christian McCaffrey (SF),2022,5,14,54,3.9,19,0,1,7,12,50,7.1,0,0,16.4
Michael Carter (NYJ),2022,5,10,21,2.1,8,0,2,2,2,12,6.0,0,0,15.3
Kenneth Walker III (SEA),2022,5,8,88,11.0,69,4,1,0,0,0,0.0,0,0,14.8
Tony Pollard (DAL),2022,5,8,86,10.8,57,4,1,0,0,0,0.0,0,0,14.6
Joshua Kelley (LAC),2022,5,10,49,4.9,16,0,1,2,2,33,16.5,0,0,14.2
David Montgomery (DET),2022,5,12,20,1.7,9,0,1,4,4,62,15.5,0,0,14.2
Kareem Hunt (FA),2022,5,11,47,4.3,17,0,1,3,3,10,3.3,0,0,11.7
Travis Etienne Jr. (JAC),2022,5,10,71,7.1,30,2,0,3,5,43,14.3,0,0,11.4
Eno Benjamin (NO),2022,5,8,25,3.1,11,0,1,3,4,28,9.3,0,0,11.3
Melvin Gordon III (FA),2022,5,15,54,3.6,17,0,0,3,3,49,16.3,0,0,10.3
Craig Reynolds (DET),2022,5,6,24,4.0,19,0,0,3,3,68,22.7,0,0,9.2
James Cook (BUF),2022,5,4,31,7.8,24,1,1,0,0,0,0.0,0,0,9.1
Deon Jackson (IND),2022,5,13,62,4.8,17,0,0,4,4,29,7.3,0,0,9.1
Joe Mixon (CIN),2022,5,14,78,5.6,12,0,0,3,3,10,3.3,0,0,8.8
Mike Boone (HOU),2022,5,7,38,5.4,18,0,0,3,3,47,15.7,0,0,8.5
Dontrell Hilliard (FA),2022,5,1,0,0.0,0,0,0,4,5,23,5.8,1,0,8.3
Avery Williams (ATL),2022,5,3,11,3.7,8,0,1,2,2,10,5.0,0,0,8.1
Aaron Jones (GB),2022,5,13,63,4.8,11,0,0,2,3,17,8.5,0,0,8.0
Ezekiel Elliott (FA),2022,5,22,78,3.5,12,0,0,0,0,0,0.0,0,0,7.8
Jerick McKinnon (FA),2022,5,8,53,6.6,30,2,0,2,3,19,9.5,0,0,7.2
Gary Brightwell (NYG),2022,5,2,5,2.5,3,0,1,0,0,0,0.0,0,0,6.5
Miles Sanders (CAR),2022,5,15,58,3.9,12,0,0,2,3,6,3.0,0,0,6.4
Jaylen Warren (PIT),2022,5,5,24,4.8,12,0,0,4,5,39,9.8,0,0,6.3
James Conner (ARI),2022,5,9,55,6.1,17,0,0,1,1,8,8.0,0,0,6.3
Jamaal Williams (NO),2022,5,15,56,3.7,13,0,0,0,0,0,0.0,0,0,5.6
Samaje Perine (DEN),2022,5,3,17,5.7,9,0,0,4,4,39,9.8,0,0,5.6
Rashaad Penny (PHI),2022,5,8,54,6.8,32,2,0,0,0,0,0.0,0,0,5.4
Phillip Lindsay (FA),2022,5,11,40,3.6,15,0,0,3,4,14,4.7,0,0,5.4
Devin Singletary (HOU),2022,5,6,42,7.0,23,1,0,1,2,4,4.0,0,0,4.6
Tyler Allgeier (ATL),2022,5,13,45,3.5,17,0,0,0,0,0,0.0,0,0,4.5
J.K. Dobbins (BAL),2022,5,8,44,5.5,17,0,0,0,0,0,0.0,0,0,4.4
Rachaad White (TB),2022,5,5,14,2.8,7,0,0,3,4,28,9.3,0,0,4.2
Alexander Mattison (MIN),2022,5,9,19,2.1,7,0,0,3,4,21,7.0,0,0,4.0
Antonio Gibson (WAS),2022,5,3,6,2.0,3,0,0,3,4,33,11.0,0,0,3.9
James Robinson (NE),2022,5,10,27,2.7,9,0,0,2,2,12,6.0,0,0,3.9
J.D. McKissic (FA),2022,5,0,0,0.0,0,0,0,5,7,37,7.4,0,0,3.7
Mark Ingram II (FA),2022,5,9,16,1.8,4,0,0,0,0,0,0.0,0,0,3.6
Najee Harris (PIT),2022,5,11,20,1.8,6,0,0,3,4,16,5.3,0,0,3.6
Clyde Edwards-Helaire (KC),2022,5,9,15,1.7,8,0,0,3,4,20,6.7,0,0,3.5
Caleb Huntley (ATL),2022,5,8,34,4.3,22,1,0,0,0,0,0.0,0,0,3.4
AJ Dillon (GB),2022,5,6,34,5.7,11,0,0,0,0,0,0.0,0,0,3.4
Brandon Bolden (LV),2022,5,1,5,5.0,5,0,0,3,3,29,9.7,0,0,3.4
Cam Akers (LAR),2022,5,13,33,2.5,13,0,0,0,1,0,0.0,0,0,3.3
Myles Gaskin (MIA),2022,5,4,9,2.3,6,0,0,3,5,24,8.0,0,0,3.3
Darrell Henderson Jr. (FA),2022,5,0,0,0.0,0,0,0,4,5,30,7.5,0,0,3.0
Rex Burkhead (FA),2022,5,3,15,5.0,9,0,0,2,3,13,6.5,0,0,2.8
Matt Breida (NYG),2022,5,4,14,3.5,10,0,0,2,2,13,6.5,0,0,2.7
Kyle Juszczyk (SF),2022,5,0,0,0.0,0,0,0,2,2,27,13.5,0,0,2.7
Kenyan Drake (FA),2022,5,4,26,6.5,14,0,0,1,1,1,1.0,0,0,2.7
Brian Robinson Jr. (WAS),2022,5,9,22,2.4,6,0,0,0,0,0,0.0,0,0,2.2
Kenneth Gainwell (PHI),2022,5,3,20,6.7,11,0,0,0,0,0,0.0,0,0,2.0
Justin Jackson (FA),2022,5,3,14,4.7,11,0,0,0,1,0,0.0,0,0,1.4
Damien Harris (BUF),2022,5,4,11,2.8,9,0,0,1,1,1,1.0,0,0,1.2
Khalil Herbert (CHI),2022,5,4,11,2.8,7,0,0,0,0,0,0.0,0,0,1.1
DeeJay Dallas (SEA),2022,5,1,4,4.0,4,0,0,1,1,6,6.0,0,0,1.0
Darrel Williams (FA),2022,5,3,9,3.0,7,0,0,0,0,0,0.0,0,0,0.9
Nyheim Hines (BUF),2022,5,1,3,3.0,3,0,0,1,2,5,5.0,0,0,0.8
Zack Moss (IND),2022,5,1,7,7.0,7,0,0,0,0,0,0.0,0,0,0.7
JaMycal Hasty (JAC),2022,5,1,6,6.0,6,0,0,0,0,0,0.0,0,0,0.6
Jakob Johnson (LV),2022,5,0,0,0.0,0,0,0,1,1,5,5.0,0,0,0.5
Mike Davis (FA),2022,5,1,3,3.0,3,0,0,0,0,0,0.0,0,0,0.3
Zander Horvath (LAC),2022,5,2,3,1.5,3,0,0,0,0,0,0.0,0,0,0.3
D'Onta Foreman (CHI),2022,5,2,2,1.0,5,0,0,0,0,0,0.0,0,0,0.2
Devine Ozigbo (FA),2022,5,1,2,2.0,2,0,0,0,0,0,0.0,0,0,0.2
Chase Edmonds (TB),2022,5,1,1,1.0,1,0,0,0,2,0,0.0,0,0,0.1
Derek Watt (FA),2022,5,0,0,0.0,0,0,0,1,1,1,1.0,0,0,0.1
Raheem Blackshear (CAR),2022,5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Ty Johnson (NYJ),2022,5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Andrew Beck (HOU),2022,5,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
Cullen Gillaspia (FA),2022,5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Giovanni Ricci (CAR),2022,5,0,0,0.0,0,0,0,3,3,27,9.0,0,0,0.0
Ty Chandler (MIN),2022,5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Hassan Haskins (TEN),2022,5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Isiah Pacheco (KC),2022,5,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Kene Nwangwu (MIN),2022,5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Connor Heyward (PIT),2022,5,0,0,0.0,0,0,0,2,2,12,6.0,0,0,0.0
Troy Hairston II (HOU),2022,5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jordan Mason (SF),2022,5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Chris Evans (CIN),2022,5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Nick Bellore (SEA),2022,5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Taiwan Jones (FA),2022,5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jonathan Williams (WAS),2022,5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Dwayne Washington (NO),2022,5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Sony Michel (FA),2022,5,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Dare Ogunbowale (HOU),2022,5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Keith Smith (ATL),2022,5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Ameer Abdullah (LV),2022,5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Zamir White (LV),2022,5,1,-7,-7.0,0,0,0,0,0,0,0.0,0,0,-0.7
Rhamondre Stevenson (NE),2022,6,19,76,4.0,31,2,2,4,5,15,3.8,0,0,21.1
Kenyan Drake (FA),2022,6,10,119,11.9,30,5,1,1,2,8,8.0,0,0,18.7
Breece Hall (NYJ),2022,6,20,116,5.8,34,2,1,2,2,5,2.5,0,0,18.1
Deon Jackson (IND),2022,6,12,42,3.5,11,0,1,10,10,79,7.9,0,0,18.1
Kenneth Walker III (SEA),2022,6,21,97,4.6,34,3,1,2,3,13,6.5,0,0,17.0
Leonard Fournette (FA),2022,6,21,63,3.0,13,0,0,6,6,38,6.3,1,0,16.1
Christian McCaffrey (SF),2022,6,13,69,5.3,17,0,0,7,8,89,12.7,0,0,15.8
Saquon Barkley (NYG),2022,6,22,83,3.8,8,0,1,3,3,12,4.0,0,0,15.5
Ezekiel Elliott (FA),2022,6,13,81,6.2,14,0,1,1,1,5,5.0,0,0,14.6
Austin Ekeler (LAC),2022,6,14,36,2.6,11,0,1,10,16,47,4.7,0,0,14.3
Dalvin Cook (MIN),2022,6,13,77,5.9,53,4,1,1,1,6,6.0,0,0,14.3
Miles Sanders (CAR),2022,6,18,71,3.9,13,0,1,1,1,1,1.0,0,0,13.2
Joe Mixon (CIN),2022,6,8,45,5.6,10,0,0,4,6,23,5.8,1,0,12.8
Alvin Kamara (NO),2022,6,19,99,5.2,24,1,0,6,9,25,4.2,0,0,12.4
Brian Robinson Jr. (WAS),2022,6,17,60,3.5,16,0,1,0,0,0,0.0,0,0,12.0
JaMycal Hasty (JAC),2022,6,3,57,19.0,61,4,1,1,1,-5,-5.0,0,0,11.2
Darrell Henderson Jr. (FA),2022,6,12,43,3.6,16,0,1,2,3,9,4.5,0,0,11.2
Najee Harris (PIT),2022,6,14,42,3.0,14,0,0,2,3,7,3.5,1,0,10.9
Travis Etienne Jr. (JAC),2022,6,10,86,8.6,48,4,0,2,2,22,11.0,0,0,10.8
Devin Singletary (HOU),2022,6,17,85,5.0,14,0,0,4,5,22,5.5,0,0,10.7
David Montgomery (DET),2022,6,15,67,4.5,13,0,0,1,1,13,13.0,0,0,8.0
Khalil Herbert (CHI),2022,6,7,74,10.6,63,4,0,0,0,0,0.0,0,0,7.4
Nick Chubb (CLE),2022,6,12,56,4.7,18,0,0,1,2,14,14.0,0,0,7.0
Eno Benjamin (NO),2022,6,15,37,2.5,6,0,0,3,3,28,9.3,0,0,6.5
Latavius Murray (FA),2022,6,15,66,4.4,14,0,0,1,1,-2,-2.0,0,0,6.4
Caleb Huntley (ATL),2022,6,16,59,3.7,16,0,0,0,0,0,0.0,0,0,5.9
Mark Ingram II (FA),2022,6,9,46,5.1,14,0,0,1,2,11,11.0,0,0,5.7
James Robinson (NE),2022,6,12,54,4.5,14,0,0,1,1,1,1.0,0,0,5.5
Antonio Gibson (WAS),2022,6,5,35,7.0,18,0,0,3,4,18,6.0,0,0,5.3
Tony Pollard (DAL),2022,6,11,44,4.0,15,0,0,2,3,8,4.0,0,0,5.2
AJ Dillon (GB),2022,6,10,41,4.1,19,0,0,4,6,11,2.8,0,0,5.2
Tyler Allgeier (ATL),2022,6,15,51,3.4,8,0,0,0,0,0,0.0,0,0,5.1
Raheem Mostert (MIA),2022,6,14,49,3.5,16,0,0,1,2,-1,-1.0,0,0,4.8
Michael Carter (NYJ),2022,6,6,41,6.8,25,1,0,1,1,6,6.0,0,0,4.7
Aaron Jones (GB),2022,6,9,19,2.1,7,0,0,3,4,25,8.3,0,0,4.4
Sony Michel (FA),2022,6,8,28,3.5,7,0,0,3,3,14,4.7,0,0,4.2
Kyle Juszczyk (SF),2022,6,0,0,0.0,0,0,0,4,4,33,8.3,0,0,3.3
Clyde Edwards-Helaire (KC),2022,6,9,33,3.7,11,0,0,0,0,0,0.0,0,0,3.3
Phillip Lindsay (FA),2022,6,3,7,2.3,3,0,0,3,3,5,1.7,0,0,3.2
Chase Edmonds (TB),2022,6,2,3,1.5,2,0,0,2,2,28,14.0,0,0,3.1
Jerick McKinnon (FA),2022,6,2,1,0.5,1,0,0,3,3,29,9.7,0,0,3.0
Malcolm Brown (FA),2022,6,7,15,2.1,10,0,0,1,1,13,13.0,0,0,2.8
Kenneth Gainwell (PHI),2022,6,5,25,5.0,9,0,0,0,0,0,0.0,0,0,2.5
Rachaad White (TB),2022,6,4,12,3.0,8,0,0,3,4,11,3.7,0,0,2.3
J.D. McKissic (FA),2022,6,2,20,10.0,16,0,0,0,3,0,0.0,0,0,2.0
D'Onta Foreman (CHI),2022,6,5,19,3.8,8,0,0,0,0,0,0.0,0,0,1.9
Reggie Gilliam (BUF),2022,6,0,0,0.0,0,0,0,3,3,18,6.0,0,0,1.8
Isiah Pacheco (KC),2022,6,2,9,4.5,5,0,0,2,2,9,4.5,0,0,1.8
Boston Scott (PHI),2022,6,6,16,2.7,8,0,0,0,0,0,0.0,0,0,1.6
Samaje Perine (DEN),2022,6,2,5,2.5,5,0,0,2,2,11,5.5,0,0,1.6
J.K. Dobbins (BAL),2022,6,7,15,2.1,6,0,0,0,0,0,0.0,0,0,1.5
Ronnie Rivers (LAR),2022,6,1,0,0.0,0,0,0,1,1,14,14.0,0,0,1.4
Alec Ingold (MIA),2022,6,1,2,2.0,2,0,0,2,2,10,5.0,0,0,1.2
Kareem Hunt (FA),2022,6,4,12,3.0,9,0,0,0,1,0,0.0,0,0,1.2
Matt Breida (NYG),2022,6,3,-6,-2.0,1,0,0,2,2,17,8.5,0,0,1.1
Keith Smith (ATL),2022,6,1,2,2.0,2,0,0,1,1,8,8.0,0,0,1.0
D'Ernest Johnson (JAC),2022,6,0,0,0.0,0,0,0,2,2,9,4.5,0,0,0.9
Melvin Gordon III (FA),2022,6,3,8,2.7,4,0,0,0,0,0,0.0,0,0,0.8
Avery Williams (ATL),2022,6,2,6,3.0,3,0,0,1,1,2,2.0,0,0,0.8
James Cook (BUF),2022,6,2,8,4.0,4,0,0,0,0,0,0.0,0,0,0.8
Keaontay Ingram (ARI),2022,6,3,7,2.3,7,0,0,0,0,0,0.0,0,0,0.7
Chuba Hubbard (CAR),2022,6,2,6,3.0,4,0,0,1,1,1,1.0,0,0,0.7
Pierre Strong Jr. (NE),2022,6,1,5,5.0,5,0,0,0,0,0,0.0,0,0,0.5
Jeff Wilson Jr. (MIA),2022,6,7,25,3.6,9,0,0,0,1,0,0.0,0,1,0.5
Kevin Harris (NE),2022,6,3,5,1.7,3,0,0,0,0,0,0.0,0,0,0.5
Mike Boone (HOU),2022,6,1,1,1.0,1,0,0,1,4,3,3.0,0,0,0.4
Tevin Coleman (FA),2022,6,4,3,0.8,5,0,0,0,0,0,0.0,0,0,0.3
C.J. Ham (MIN),2022,6,1,3,3.0,3,0,0,0,0,0,0.0,0,0,0.3
Alexander Mattison (MIN),2022,6,1,3,3.0,3,0,0,0,0,0,0.0,0,0,0.3
Jaylen Warren (PIT),2022,6,2,2,1.0,1,0,0,0,0,0,0.0,0,0,0.2
DeeJay Dallas (SEA),2022,6,2,1,0.5,2,0,0,0,0,0,0.0,0,0,0.1
Raheem Blackshear (CAR),2022,6,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Travis Homer (CHI),2022,6,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Andrew Beck (HOU),2022,6,0,0,0.0,0,0,0,1,1,7,7.0,0,0,0.0
Cullen Gillaspia (FA),2022,6,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Khari Blasingame (CHI),2022,6,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Ke'Shawn Vaughn (TB),2022,6,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Zander Horvath (LAC),2022,6,0,0,0.0,0,0,0,1,1,0,0.0,0,0,0.0
Gary Brightwell (NYG),2022,6,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Kene Nwangwu (MIN),2022,6,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Connor Heyward (PIT),2022,6,0,0,0.0,0,0,0,2,3,49,24.5,0,0,0.0
John Lovett (FA),2022,6,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Chris Evans (CIN),2022,6,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Nick Bellore (SEA),2022,6,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Derek Watt (FA),2022,6,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Patrick Ricard (BAL),2022,6,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
Michael Burton (DEN),2022,6,0,0,0.0,0,0,0,0,1,0,0.0,0,0,0.0
Josh Jacobs (LV),2022,7,20,143,7.2,15,0,3,3,4,12,4.0,0,0,33.5
Kenneth Walker III (SEA),2022,7,23,167,7.3,74,4,2,0,0,0,0.0,0,0,28.7
Austin Ekeler (LAC),2022,7,9,31,3.4,13,0,1,12,12,96,8.0,1,0,24.7
Aaron Jones (GB),2022,7,8,23,2.9,8,0,0,9,10,53,5.9,2,0,19.6
Eno Benjamin (NO),2022,7,12,92,7.7,45,3,1,4,5,21,5.3,0,0,19.3
Gus Edwards (BAL),2022,7,16,66,4.1,12,0,2,0,1,0,0.0,0,0,18.6
Travis Etienne Jr. (JAC),2022,7,14,114,8.1,49,3,1,1,5,5,5.0,0,1,17.9
Ezekiel Elliott (FA),2022,7,15,57,3.8,18,0,2,0,0,0,0.0,0,0,17.7
Raheem Mostert (MIA),2022,7,16,79,4.9,12,0,0,4,5,30,7.5,1,0,16.9
Nick Chubb (CLE),2022,7,16,91,5.7,22,1,1,2,3,16,8.0,0,0,16.7
Rhamondre Stevenson (NE),2022,7,11,39,3.5,7,0,1,8,8,59,7.4,0,0,15.8
Joe Mixon (CIN),2022,7,17,58,3.4,11,0,1,3,3,33,11.0,0,0,15.1
Khalil Herbert (CHI),2022,7,12,62,5.2,13,0,0,1,2,25,25.0,1,0,14.7
D'Onta Foreman (CHI),2022,7,15,118,7.9,60,5,0,2,2,27,13.5,0,0,14.5
Derrick Henry (TEN),2022,7,30,128,4.3,23,2,0,3,3,10,3.3,0,0,13.8
Antonio Gibson (WAS),2022,7,10,59,5.9,20,1,0,3,4,18,6.0,1,0,13.7
Saquon Barkley (NYG),2022,7,24,110,4.6,20,1,0,4,4,25,6.3,0,0,13.5
Chuba Hubbard (CAR),2022,7,9,63,7.0,17,0,1,2,3,10,5.0,0,0,13.3
Breece Hall (NYJ),2022,7,4,72,18.0,62,4,1,0,0,0,0.0,0,0,13.2
David Montgomery (DET),2022,7,15,62,4.1,12,0,1,0,0,0,0.0,0,0,12.2
Dameon Pierce (HOU),2022,7,20,92,4.6,22,1,0,4,4,25,6.3,0,0,11.7
Tyler Allgeier (ATL),2022,7,16,50,3.1,9,0,1,0,0,0,0.0,0,0,11.0
Tony Pollard (DAL),2022,7,12,83,6.9,28,2,0,2,2,26,13.0,0,0,10.9
Alvin Kamara (NO),2022,7,11,49,4.5,17,0,0,7,9,56,8.0,0,0,10.5
Keaontay Ingram (ARI),2022,7,9,14,1.6,11,0,1,2,2,23,11.5,0,0,9.7
Clyde Edwards-Helaire (KC),2022,7,6,32,5.3,16,0,1,0,1,0,0.0,0,0,9.2
Brian Robinson Jr. (WAS),2022,7,20,73,3.7,24,1,0,2,2,13,6.5,0,0,8.6
Jonathan Taylor (IND),2022,7,10,58,5.8,14,0,0,7,8,27,3.9,0,0,8.5
Latavius Murray (FA),2022,7,8,24,3.0,5,0,1,2,3,-1,-0.5,0,0,8.3
Najee Harris (PIT),2022,7,17,65,3.8,16,0,0,3,4,15,5.0,0,0,8.0
Michael Carter (NYJ),2022,7,13,29,2.2,5,0,0,2,2,45,22.5,0,0,7.4
Kareem Hunt (FA),2022,7,5,4,0.8,6,0,1,1,2,4,4.0,0,0,6.8
Jamaal Williams (NO),2022,7,15,79,5.3,20,1,0,1,1,4,4.0,0,1,6.3
Dare Ogunbowale (HOU),2022,7,1,8,8.0,8,0,0,5,7,54,10.8,0,0,6.2
Christian McCaffrey (SF),2022,7,8,38,4.8,12,0,0,2,2,24,12.0,0,0,6.2
Jeff Wilson Jr. (MIA),2022,7,7,54,7.7,15,0,0,0,1,0,0.0,0,0,5.4
Melvin Gordon III (FA),2022,7,11,33,3.0,7,0,0,2,4,17,8.5,0,0,5.0
