,,,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RUSHING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,MISC,STANDARD
Player,Season,Week,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,FPTS
Eno Benjamin (NO),2022,2,8,31,3.9,7,0,0,3,4,20,6.7,0,0,5.1
Michael Carter (NYJ),2022,2,7,23,3.3,8,0,0,5,5,27,5.4,0,0,5.0
Ezekiel Elliott (FA),2022,2,15,53,3.5,11,0,0,1,2,-4,-4.0,0,0,4.9
Travis Homer (CHI),2022,2,2,9,4.5,5,0,0,4,4,33,8.3,0,0,4.2
Chase Edmonds (TB),2022,2,5,33,6.6,28,1,0,1,3,8,8.0,0,0,4.1
Cordarrelle Patterson (ATL),2022,2,10,41,4.1,11,0,0,0,1,0,0.0,0,0,4.1
Khalil Herbert (CHI),2022,2,4,38,9.5,27,1,0,1,1,3,3.0,0,0,4.1
Mark Ingram II (FA),2022,2,10,58,5.8,12,0,0,2,2,3,1.5,0,1,4.1
Nyheim Hines (BUF),2022,2,1,0,0.0,0,0,0,4,5,37,9.3,0,0,3.7
Hassan Haskins (TEN),2022,2,9,37,4.1,9,0,0,1,1,0,0.0,0,0,3.7
Dalvin Cook (MIN),2022,2,6,17,2.8,6,0,0,4,6,19,4.8,0,0,3.6
Tyrion Davis-Price (SF),2022,2,14,33,2.4,20,1,0,0,0,0,0.0,0,0,3.3
Tyler Allgeier (ATL),2022,2,10,30,3.0,9,0,0,0,0,0,0.0,0,0,3.0
Craig Reynolds (DET),2022,2,3,16,5.3,11,0,0,1,1,13,13.0,0,0,2.9
Joshua Kelley (LAC),2022,2,4,22,5.5,8,0,0,1,2,3,3.0,0,0,2.5
Ameer Abdullah (LV),2022,2,0,0,0.0,0,0,0,1,1,23,23.0,0,0,2.3
Boston Scott (PHI),2022,2,4,19,4.8,16,0,0,1,1,2,2.0,0,0,2.1
Devin Singletary (HOU),2022,2,6,19,3.2,16,0,0,2,3,2,1.0,0,0,2.1
Tony Jones Jr. (DEN),2022,2,2,8,4.0,6,0,0,2,2,12,6.0,0,0,2.0
Sony Michel (FA),2022,2,4,13,3.3,7,0,0,1,1,6,6.0,0,0,1.9
Kenneth Gainwell (PHI),2022,2,2,7,3.5,4,0,0,1,2,11,11.0,0,0,1.8
Dwayne Washington (NO),2022,2,4,18,4.5,8,0,0,0,0,0,0.0,0,0,1.8
Zack Moss (IND),2022,2,3,17,5.7,17,0,0,0,1,0,0.0,0,0,1.7
Alec Ingold (MIA),2022,2,1,1,1.0,1,0,0,2,2,15,7.5,0,0,1.6
Justice Hill (BAL),2022,2,3,16,5.3,13,0,0,0,0,0,0.0,0,0,1.6
Jaylen Warren (PIT),2022,2,4,15,3.8,6,0,0,1,1,0,0.0,0,0,1.5
Rashaad Penny (PHI),2022,2,6,15,2.5,6,0,0,0,0,0,0.0,0,0,1.5
Kenneth Walker III (SEA),2022,2,4,10,2.5,8,0,0,2,3,5,2.5,0,0,1.5
Alexander Mattison (MIN),2022,2,2,8,4.0,5,0,0,3,5,6,2.0,0,0,1.4
Gary Brightwell (NYG),2022,2,1,14,14.0,14,0,0,0,0,0,0.0,0,0,1.4
Samaje Perine (DEN),2022,2,1,2,2.0,2,0,0,1,1,8,8.0,0,0,1.0
D'Onta Foreman (CHI),2022,2,2,9,4.5,7,0,0,0,0,0,0.0,0,0,0.9
Rex Burkhead (FA),2022,2,0,0,0.0,0,0,0,2,3,9,4.5,0,0,0.9
Kenyan Drake (FA),2022,2,6,8,1.3,6,0,0,0,0,0,0.0,0,0,0.8
Michael Burton (DEN),2022,2,1,6,6.0,6,0,0,1,1,2,2.0,0,0,0.8
Avery Williams (ATL),2022,2,0,0,0.0,0,0,0,1,1,6,6.0,0,0,0.6
Isiah Pacheco (KC),2022,2,2,6,3.0,6,0,0,0,0,0,0.0,0,0,0.6
Patrick Ricard (BAL),2022,2,1,5,5.0,5,0,0,0,0,0,0.0,0,0,0.5
Ty Johnson (NYJ),2022,2,0,0,0.0,0,0,0,1,3,4,4.0,0,0,0.4
Mike Davis (FA),2022,2,5,4,0.8,3,0,0,0,0,0,0.0,0,0,0.4
Caleb Huntley (ATL),2022,2,1,3,3.0,3,0,0,0,0,0,0.0,0,0,0.3
Derek Watt (FA),2022,2,1,2,2.0,2,0,0,0,0,0,0.0,0,0,0.2
Adam Prentice (NO),2022,2,0,0,0.0,0,0,0,1,1,2,2.0,0,0,0.2
Zamir White (LV),2022,2,1,2,2.0,2,0,0,0,0,0,0.0,0,0,0.2
Rachaad White (TB),2022,2,2,1,0.5,2,0,0,0,2,0,0.0,0,0,0.1
Andrew Beck (HOU),2022,2,1,-1,-1.0,0,0,0,0,0,0,0.0,0,0,0.0
Rico Dowdle (DAL),2022,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Giovanni Ricci (CAR),2022,2,0,0,0.0,0,0,0,1,1,16,16.0,0,0,0.0
Trestan Ebner (CHI),2022,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Pierre Strong Jr. (NE),2022,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Kene Nwangwu (MIN),2022,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Connor Heyward (PIT),2022,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jordan Mason (SF),2022,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Jerome Ford (CLE),2022,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Nick Bellore (SEA),2022,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Taiwan Jones (FA),2022,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Giovani Bernard (FA),2022,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Latavius Murray (FA),2022,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Marlon Mack (FA),2022,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Brandin Bryant (BUF),2022,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Justin Jackson (FA),2022,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Dare Ogunbowale (HOU),2022,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0
Demetric Felton Jr. (CLE),2022,2,1,-4,-4.0,0,0,0,1,1,3,3.0,0,0,-0.1
Deon Jackson (IND),2022,2,2,-3,-1.5,1,0,0,0,0,0,0.0,0,0,-0.3
Matt Breida (NYG),2022,2,1,-4,-4.0,0,0,0,0,1,0,0.0,0,0,-0.4
DeeJay Dallas (SEA),2022,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,-1.0
