Player,TEAM,POS,DPCHT,G,FG,FG_mean,FGA,FGA_mean,FG_PCT,LG,LG_mean,FG_10_19,FG_10_19_mean,FG_20_29,FG_20_29_mean,FG_30_39,FG_30_39_mean,FG_40_49,FG_40_49_mean,FG_50,FG_50_mean,XP,XP_mean,XPA,XPA_mean,XP_PCT,OPP,OPP_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Matthew Wright ,FA,K,1.0,6,15,2.5,18,3.0,0.83,59,46.33,0,0.0,1,0.17,6,1.0,6,1.0,2,0.33,15,2.5,15,2.5,1.0,69,11.5,0.78,70.0,11.67,12.5,3.14,10.95,0,0,2,3,1,6.0,4.0,12.29,70.0,11.67,12.5,3.14,10.95,0,0,2,3,1,6.0,4.0,12.29,70.0,11.67,12.5,3.14,10.95,0,0,2,3,1,6.0,4.0,12.29
Justin Tucker ,BAL,K,1.0,17,37,2.18,43,2.53,0.86,58,43.65,0,0.0,13,0.76,11,0.65,4,0.24,9,0.53,31,1.82,32,1.88,0.97,161,9.47,1.0,164.0,9.65,9.0,3.24,8.98,0,4,9,3,1,3.25,4.0,11.66,164.0,9.65,9.0,3.24,8.98,0,4,9,3,1,3.25,4.0,11.66,164.0,9.65,9.0,3.24,8.98,0,4,9,3,1,3.25,4.0,11.66
Daniel Carlson ,LV,K,1.0,17,34,2.0,37,2.18,0.92,57,42.65,0,0.0,9,0.53,11,0.65,3,0.18,11,0.65,35,2.06,36,2.12,0.97,147,8.65,1.0,162.0,9.53,10.0,4.23,8.3,2,2,7,5,1,3.25,3.0,11.47,162.0,9.53,10.0,4.23,8.3,2,2,7,5,1,3.25,3.0,11.47,162.0,9.53,10.0,4.23,8.3,2,2,7,5,1,3.25,3.0,11.47
Jason Myers ,SEA,K,1.0,17,34,2.0,37,2.18,0.92,56,40.0,0,0.0,9,0.53,15,0.88,4,0.24,6,0.35,41,2.41,42,2.47,0.98,153,9.0,1.0,159.0,9.35,10.0,3.84,8.35,1,4,8,3,1,2.4,4.0,11.36,159.0,9.35,10.0,3.84,8.35,1,4,8,3,1,2.4,4.0,11.36,159.0,9.35,10.0,3.84,8.35,1,4,8,3,1,2.4,4.0,11.36
Cameron Dicker ,LAC,K,2.0,11,21,1.91,22,2.0,0.95,48,38.45,0,0.0,7,0.64,7,0.64,7,0.64,0,0.0,24,2.18,24,2.18,1.0,90,8.18,1.0,94.0,8.55,8.0,2.02,8.95,0,2,8,1,0,4.5,1.0,10.95,94.0,8.55,8.0,2.02,8.95,0,2,8,1,0,4.5,1.0,10.95,94.0,8.55,8.0,2.02,8.95,0,2,8,1,0,4.5,1.0,10.95
Brett Maher ,FA,K,3.0,17,29,1.71,32,1.88,0.91,60,32.53,0,0.0,9,0.53,5,0.29,6,0.35,9,0.53,50,2.94,53,3.12,0.94,149,8.76,1.0,161.0,9.47,10.0,5.68,7.66,1,7,3,3,3,1.12,6.0,10.89,161.0,9.47,10.0,5.68,7.66,1,7,3,3,3,1.12,6.0,10.89,161.0,9.47,10.0,5.68,7.66,1,7,3,3,3,1.12,6.0,10.89
Younghoe Koo ,ATL,K,1.0,17,32,1.88,37,2.18,0.86,54,36.47,0,0.0,9,0.53,7,0.41,9,0.53,7,0.41,33,1.94,35,2.06,0.94,146,8.59,1.0,152.0,8.94,9.0,5.03,7.46,2,5,3,6,1,1.43,3.5,9.85,152.0,8.94,9.0,5.03,7.46,2,5,3,6,1,1.43,3.5,9.85,152.0,8.94,9.0,5.03,7.46,2,5,3,6,1,1.43,3.5,9.85
Michael Badgley ,DET,K,1.0,13,24,1.85,28,2.15,0.86,53,36.69,0,0.0,6,0.46,7,0.54,9,0.69,2,0.15,33,2.54,33,2.54,1.0,117,9.0,1.0,118.0,9.08,8.0,4.37,7.84,1,4,4,3,1,1.6,4.0,9.83,118.0,9.08,8.0,4.37,7.84,1,4,4,3,1,1.6,4.0,9.83,118.0,9.08,8.0,4.37,7.84,1,4,4,3,1,1.6,4.0,9.83
Chase McLaughlin ,FA,K,6.0,16,30,1.88,36,2.25,0.83,54,42.81,0,0.0,7,0.44,5,0.31,9,0.56,9,0.56,21,1.31,21,1.31,1.0,129,8.06,1.0,138.0,8.62,9.0,5.21,7.13,1,6,6,1,2,1.29,3.0,9.46,138.0,8.62,9.0,5.21,7.13,1,6,6,1,2,1.29,3.0,9.46,138.0,8.62,9.0,5.21,7.13,1,6,6,1,2,1.29,3.0,9.46
Chris Boswell ,PIT,K,1.0,12,20,1.67,28,2.33,0.71,59,43.42,0,0.0,4,0.33,4,0.33,5,0.42,7,0.58,18,1.5,18,1.5,1.0,102,8.5,1.0,97.0,8.08,8.5,3.73,7.27,2,2,5,3,0,2.0,1.5,9.32,97.0,8.08,8.5,3.73,7.27,2,2,5,3,0,2.0,1.5,9.32,97.0,8.08,8.5,3.73,7.27,2,2,5,3,0,2.0,1.5,9.32
